stat, rank, value, (percentage) 
minecraft.used.dark_prismarine: #1, 23129(65%)
minecraft.crafted.map: #1, 2096(60%)
minecraft.used.string: #1, 8591(47%)
minecraft.used.red_nether_bricks: #1, 11569(84%)
minecraft.mined.campfire: #1, 740(46%)
minecraft.picked_up.dark_oak_planks: #1, 8674(45%)
minecraft.picked_up.gray_wool: #1, 15533(45%)
minecraft.used.campfire: #1, 1432(42%)
minecraft.dropped.bread: #1, 14786(47%)
minecraft.mined.dark_prismarine: #1, 2482(50%)
minecraft.crafted.gray_bed: #1, 288(79%)
minecraft.picked_up.light_gray_wool: #1, 16691(45%)
minecraft.crafted.soul_lantern: #1, 3628(54%)
minecraft.mined.light_gray_stained_glass: #1, 3212(57%)
minecraft.picked_up.music_disc_cat: #1, 120(51%)
minecraft.picked_up.sugar_cane: #1, 125001(36%)
minecraft.used.orange_terracotta: #1, 7083(45%)
minecraft.picked_up.coarse_dirt: #1, 20076(39%)
minecraft.crafted.item_frame: #1, 3835(37%)
minecraft.crafted.bread: #1, 11885(38%)
minecraft.crafted.compass: #1, 1946(44%)
minecraft.used.mycelium: #1, 13702(39%)
minecraft.used.gray_wool: #1, 12808(39%)
minecraft.used.mushroom_stem: #1, 3264(47%)
minecraft.mined.light_gray_stained_glass_pane: #1, 695(40%)
minecraft.dropped.rail: #1, 1983(35%)
minecraft.picked_up.bread: #1, 4413(38%)
minecraft.mined.dark_oak_planks: #1, 3553(35%)
minecraft.used.music_disc_cat: #1, 101(61%)
minecraft.picked_up.campfire: #1, 1018(34%)
minecraft.used.firework_rocket: #1, 8351(32%)
minecraft.crafted.glass_pane: #1, 5872(36%)
minecraft.picked_up.light_gray_stained_glass: #1, 3998(45%)
minecraft.picked_up.dark_prismarine: #1, 3111(40%)
minecraft.used.brown_wool: #1, 2900(36%)
minecraft.picked_up.shears: #1, 327(33%)
minecraft.dropped.jungle_leaves: #1, 1531(46%)
minecraft.used.warped_stairs: #1, 1007(38%)
minecraft.crafted.golden_carrot: #1, 61205(38%)
minecraft.used.dark_oak_planks: #1, 12345(33%)
minecraft.used.gray_bed: #1, 434(46%)
minecraft.dropped.dark_oak_planks: #1, 984(37%)
minecraft.used.light_gray_stained_glass: #1, 11467(43%)
minecraft.mined.dark_oak_fence_gate: #1, 372(38%)
minecraft.killed.villager: #1, 250(42%)
minecraft.crafted.oak_button: #1, 432(34%)
minecraft.crafted.soul_torch: #1, 3628(39%)
minecraft.crafted.warped_stairs: #1, 924(35%)
minecraft.crafted.flower_pot: #1, 1799(32%)
minecraft.crafted.campfire: #1, 1055(30%)
minecraft.dropped.spruce_planks: #1, 1456(27%)
minecraft.used.map: #1, 205(39%)
minecraft.crafted.spruce_sign: #1, 717(28%)
minecraft.custom.play_record: #1, 145(38%)
minecraft.mined.dark_oak_stairs: #1, 1373(29%)
minecraft.used.oak_button: #1, 388(36%)
minecraft.crafted.ender_chest: #1, 247(29%)
minecraft.crafted.red_nether_bricks: #1, 11902(47%)
minecraft.mined.cocoa: #1, 2224(31%)
minecraft.picked_up.cauldron: #1, 223(31%)
minecraft.crafted.anvil: #2, 1453(29%)
minecraft.picked_up.cooked_cod: #1, 633(32%)
minecraft.crafted.lantern: #1, 4249(29%)
minecraft.mined.spruce_sign: #1, 71(30%)
minecraft.mined.diamond_block: #1, 2020(25%)
minecraft.picked_up.melon_slice: #2, 16179(31%)
minecraft.used.jukebox: #1, 39(32%)
minecraft.mined.red_concrete_powder: #1, 209(34%)
minecraft.used.spruce_sign: #1, 535(24%)
minecraft.crafted.yellow_stained_glass_pane: #1, 1272(35%)
minecraft.mined.dark_oak_log: #1, 19487(25%)
minecraft.mined.spruce_sapling: #1, 250(29%)
minecraft.crafted.name_tag: #1, 825(35%)
minecraft.crafted.brick: #1, 102551(26%)
minecraft.crafted.chain: #1, 3842(24%)
minecraft.picked_up.spruce_planks: #1, 6436(23%)
minecraft.dropped.red_stained_glass: #1, 514(60%)
minecraft.used.anvil: #2, 1039(25%)
minecraft.picked_up.warped_planks: #1, 418(28%)
minecraft.picked_up.glowstone: #1, 3037(22%)
minecraft.mined.jukebox: #1, 35(38%)
minecraft.killed.cod: #1, 571(30%)
minecraft.picked_up.orange_terracotta: #1, 35392(23%)
minecraft.killed.zombie: #1, 7598(20%)
minecraft.picked_up.cobblestone_slab: #1, 2449(24%)
minecraft.dropped.shears: #1, 199(26%)
minecraft.dropped.melon_slice: #1, 8708(38%)
minecraft.dropped.lime_bed: #1, 24(75%)
minecraft.picked_up.gray_dye: #1, 1113(37%)
minecraft.picked_up.netherite_pickaxe: #1, 227(23%)
minecraft.picked_up.dark_oak_log: #1, 23568(23%)
minecraft.mined.dark_oak_fence: #1, 397(26%)
minecraft.picked_up.golden_carrot: #1, 8818(21%)
minecraft.used.crimson_planks: #1, 2981(29%)
minecraft.killed.parrot: #1, 34(57%)
minecraft.used.soul_campfire: #1, 140(39%)
minecraft.used.diamond_block: #1, 2232(22%)
minecraft.mined.spruce_log: #1, 29483(21%)
minecraft.crafted.bricks: #1, 24267(26%)
minecraft.killed_by.iron_golem: #1, 22(39%)
minecraft.picked_up.gravel: #1, 158083(19%)
minecraft.mined.warped_stairs: #1, 134(26%)
minecraft.crafted.iron_nugget: #1, 39689(21%)
minecraft.mined.spruce_wall_sign: #1, 85(22%)
minecraft.picked_up.firework_rocket: #1, 24710(19%)
minecraft.mined.infested_stone: #1, 365(35%)
minecraft.picked_up.diamond_block: #1, 2320(20%)
minecraft.used.dark_oak_fence: #1, 1977(23%)
minecraft.crafted.nether_brick: #1, 21185(28%)
minecraft.mined.orange_terracotta: #1, 28736(21%)
minecraft.used.spruce_planks: #1, 13014(21%)
minecraft.picked_up.jukebox: #1, 36(33%)
minecraft.picked_up.nether_wart: #2, 39016(25%)
minecraft.custom.player_kills: #1, 222(21%)
minecraft.picked_up.cobblestone: #1, 354726(17%)
minecraft.dropped.dark_oak_leaves: #1, 133(45%)
minecraft.used.dark_oak_stairs: #1, 3294(21%)
minecraft.broken.shears: #2, 645(25%)
minecraft.used.dark_oak_fence_gate: #2, 1357(28%)
minecraft.picked_up.warped_stairs: #1, 181(23%)
minecraft.mined.tripwire: #2, 550(22%)
minecraft.crafted.diamond_shovel: #1, 66(18%)
minecraft.mined.red_nether_bricks: #1, 483(39%)
minecraft.mined.spruce_button: #1, 75(24%)
minecraft.crafted.dark_oak_fence: #1, 1866(20%)
minecraft.picked_up.netherite_leggings: #1, 83(19%)
minecraft.picked_up.netherite_shovel: #1, 99(19%)
minecraft.picked_up.birch_planks: #2, 3628(23%)
minecraft.used.spruce_button: #2, 755(26%)
minecraft.crafted.gray_carpet: #1, 7807(21%)
minecraft.crafted.lime_wool: #1, 320(35%)
minecraft.crafted.spruce_button: #2, 881(26%)
minecraft.crafted.stone_stairs: #1, 1432(22%)
minecraft.dropped.quartz_pillar: #1, 173(51%)
minecraft.picked_up.rail: #1, 8071(16%)
minecraft.crafted.dark_oak_fence_gate: #2, 1119(27%)
minecraft.dropped.jungle_planks: #1, 454(20%)
minecraft.used.crossbow: #1, 764(18%)
minecraft.crafted.dark_oak_planks: #1, 35117(18%)
minecraft.dropped.chainmail_chestplate: #1, 31(29%)
minecraft.dropped.orange_terracotta: #2, 985(24%)
minecraft.mined.birch_sign: #1, 111(20%)
minecraft.dropped.gray_dye: #1, 303(43%)
minecraft.dropped.respawn_anchor: #1, 25(78%)
minecraft.used.clay: #2, 2091(27%)
minecraft.used.shears: #2, 151414(21%)
minecraft.picked_up.dark_oak_fence_gate: #2, 494(27%)
minecraft.dropped.lead: #2, 134(24%)
minecraft.picked_up.netherite_axe: #1, 92(17%)
minecraft.used.red_mushroom_block: #2, 2361(27%)
minecraft.mined.oxeye_daisy: #1, 240(19%)
minecraft.mined.dark_oak_slab: #1, 1185(18%)
minecraft.crafted.dark_oak_stairs: #1, 2536(18%)
minecraft.mined.spruce_planks: #1, 3063(15%)
minecraft.picked_up.clay: #2, 3446(21%)
minecraft.mined.birch_planks: #2, 2207(20%)
minecraft.mined.quartz_pillar: #2, 925(23%)
minecraft.used.lead: #1, 22(41%)
minecraft.crafted.firework_star: #1, 8960(41%)
minecraft.dropped.potato: #2, 2507(23%)
minecraft.used.yellow_stained_glass_pane: #2, 1145(31%)
minecraft.used.orange_stained_glass_pane: #1, 917(26%)
minecraft.picked_up.spruce_door: #1, 93(16%)
minecraft.crafted.green_bed: #1, 22(40%)
minecraft.dropped.firework_rocket: #2, 5936(18%)
minecraft.picked_up.dark_oak_stairs: #2, 1859(21%)
minecraft.picked_up.sand: #1, 340066(15%)
minecraft.dropped.green_dye: #2, 18102(32%)
minecraft.crafted.smooth_quartz: #1, 2416(21%)
minecraft.dropped.beef: #1, 198(23%)
minecraft.used.music_disc_ward: #1, 14(50%)
minecraft.picked_up.birch_log: #1, 12610(14%)
minecraft.dropped.seagrass: #2, 452(34%)
minecraft.mined.black_glazed_terracotta: #1, 174(38%)
minecraft.dropped.birch_planks: #2, 483(20%)
minecraft.used.black_banner: #1, 208(24%)
minecraft.crafted.soul_campfire: #2, 352(40%)
minecraft.custom.traded_with_villager: #2, 227147(19%)
minecraft.used.gray_carpet: #2, 7738(20%)
minecraft.picked_up.andesite: #1, 54521(13%)
minecraft.mined.birch_log: #1, 10916(14%)
minecraft.dropped.gray_bed: #1, 191(83%)
minecraft.picked_up.spruce_fence_gate: #1, 179(17%)
minecraft.picked_up.charcoal: #2, 192(20%)
minecraft.mined.oak_leaves: #2, 160299(18%)
minecraft.picked_up.oak_leaves: #2, 152151(19%)
minecraft.crafted.emerald: #2, 138895(18%)
minecraft.mined.sand: #1, 271728(13%)
minecraft.crafted.end_rod: #2, 5280(38%)
minecraft.used.brown_terracotta: #2, 7850(25%)
minecraft.mined.black_wall_banner: #1, 79(25%)
minecraft.killed.ocelot: #2, 161(35%)
minecraft.used.golden_carrot: #1, 10379(13%)
minecraft.picked_up.granite: #1, 45702(13%)
minecraft.picked_up.respawn_anchor: #1, 33(32%)
minecraft.picked_up.spruce_sign: #2, 522(17%)
minecraft.picked_up.gray_bed: #2, 457(32%)
minecraft.picked_up.stripped_spruce_wood: #1, 323(32%)
