stat, rank, value, (percentage) 
minecraft.custom.trigger_trapped_chest: #6, 4(1%)
minecraft.crafted.trapped_chest: #7, 1(2%)
minecraft.used.trapped_chest: #7, 1(2%)
minecraft.crafted.red_bed: #14, 1(1%)
minecraft.mined.red_bed: #15, 4(1%)
minecraft.picked_up.red_bed: #15, 4(1%)
minecraft.used.red_bed: #15, 4(1%)
minecraft.crafted.brown_concrete_powder: #15, 64(0%)
minecraft.crafted.green_concrete_powder: #15, 64(0%)
minecraft.used.brown_concrete_powder: #16, 30(0%)
minecraft.used.green_concrete_powder: #16, 42(0%)
minecraft.mined.green_concrete_powder: #16, 3(0%)
minecraft.picked_up.green_concrete_powder: #16, 3(0%)
minecraft.crafted.polished_diorite: #18, 64(0%)
minecraft.crafted.brown_dye: #19, 8(0%)
minecraft.used.polished_diorite: #19, 3(0%)
minecraft.crafted.stone_button: #20, 32(0%)
minecraft.crafted.green_dye: #21, 8(0%)
minecraft.used.stone_button: #22, 20(0%)
minecraft.crafted.sticky_piston: #23, 1(0%)
minecraft.dropped.cactus: #23, 1(0%)
minecraft.picked_up.cooked_beef: #24, 64(0%)
minecraft.picked_up.iron_sword: #24, 1(0%)
minecraft.used.iron_shovel: #24, 113(0%)
minecraft.mined.red_shulker_box: #24, 5(0%)
minecraft.picked_up.red_shulker_box: #24, 5(0%)
minecraft.used.red_shulker_box: #24, 4(0%)
minecraft.used.cooked_beef: #24, 6(0%)
minecraft.used.sand: #24, 21(0%)
minecraft.used.oak_boat: #25, 2(0%)
minecraft.picked_up.oak_boat: #25, 2(0%)
minecraft.used.iron_pickaxe: #25, 112(0%)
minecraft.crafted.torch: #25, 104(0%)
minecraft.custom.boat_one_cm: #25, 81967(0%)
minecraft.mined.furnace: #25, 1(0%)
minecraft.picked_up.furnace: #25, 1(0%)
minecraft.used.redstone: #25, 13(0%)
minecraft.mined.redstone_wire: #25, 3(0%)
minecraft.used.furnace: #25, 1(0%)
minecraft.custom.sleep_in_bed: #25, 4(0%)
minecraft.custom.open_chest: #25, 63(0%)
minecraft.used.stone: #25, 75(0%)
minecraft.used.sticky_piston: #25, 1(0%)
minecraft.custom.interact_with_furnace: #25, 5(0%)
minecraft.mined.grass_block: #25, 75(0%)
minecraft.picked_up.dirt: #25, 100(0%)
minecraft.used.torch: #25, 23(0%)
minecraft.crafted.piston: #25, 1(0%)
minecraft.picked_up.cobblestone: #25, 88(0%)
minecraft.custom.interact_with_crafting_table: #25, 4(0%)
minecraft.picked_up.cactus: #25, 1(0%)
minecraft.picked_up.flint: #25, 1(0%)
minecraft.custom.crouch_one_cm: #25, 7383(0%)
minecraft.picked_up.diorite: #25, 9(0%)
minecraft.crafted.stick: #25, 16(0%)
minecraft.mined.diorite: #25, 9(0%)
minecraft.mined.dirt: #25, 27(0%)
minecraft.picked_up.andesite: #25, 9(0%)
minecraft.crafted.oak_planks: #25, 8(0%)
minecraft.mined.andesite: #25, 9(0%)
minecraft.mined.torch: #25, 1(0%)
minecraft.used.oak_log: #25, 1(0%)
minecraft.mined.stone: #25, 88(0%)
minecraft.picked_up.torch: #25, 2(0%)
minecraft.mined.gravel: #25, 7(0%)
minecraft.picked_up.redstone: #25, 3(0%)
minecraft.crafted.air: #25, 0(0%)
minecraft.custom.jump: #26, 611(0%)
minecraft.used.item_frame: #26, 1(0%)
minecraft.custom.sprint_one_cm: #26, 194113(0%)
minecraft.custom.inspect_hopper: #26, 4(0%)
minecraft.custom.walk_one_cm: #26, 122564(0%)
minecraft.used.repeater: #26, 1(0%)
minecraft.used.dirt: #26, 9(0%)
minecraft.custom.open_barrel: #26, 1(0%)
minecraft.used.grass_block: #26, 1(0%)
minecraft.used.redstone_torch: #27, 1(0%)
minecraft.custom.fall_one_cm: #27, 11454(0%)
minecraft.picked_up.gravel: #27, 6(0%)
minecraft.custom.open_shulker_box: #28, 4(0%)
minecraft.custom.interact_with_anvil: #29, 1(0%)
minecraft.custom.drop: #29, 1(0%)
minecraft.custom.damage_taken: #30, 30(0%)
minecraft.custom.time_since_rest: #35, 12217(0%)
minecraft.custom.time_since_death: #42, 89008(0%)
minecraft.custom.sneak_time: #42, 18498(0%)
minecraft.custom.leave_game: #45, 11(0%)
minecraft.custom.walk_on_water_one_cm: #46, 1983(0%)
minecraft.custom.play_one_minute: #48, 89008(0%)
minecraft.custom.fly_one_cm: #49, 158102(0%)
minecraft.custom.walk_under_water_one_cm: #49, 110(0%)
