stat, rank, value, (percentage) 
minecraft.picked_up.tropical_fish: #10, 26(1%)
minecraft.killed.drowned: #12, 89(1%)
minecraft.used.birch_leaves: #16, 34(0%)
minecraft.killed.zombie_villager: #17, 12(3%)
minecraft.used.splash_potion: #17, 21(1%)
minecraft.killed.husk: #17, 3(0%)
minecraft.picked_up.sandstone_slab: #18, 1(0%)
minecraft.used.cobweb: #19, 3(0%)
minecraft.killed.zombie: #21, 553(1%)
minecraft.picked_up.pufferfish: #21, 3(0%)
minecraft.picked_up.rotten_flesh: #21, 772(0%)
minecraft.picked_up.cod: #21, 20(0%)
minecraft.picked_up.rabbit: #21, 1(0%)
minecraft.picked_up.golden_helmet: #22, 4(1%)
minecraft.picked_up.golden_leggings: #22, 3(1%)
minecraft.picked_up.golden_chestplate: #22, 2(0%)
minecraft.custom.time_since_rest: #22, 162366(0%)
minecraft.used.cobblestone_wall: #22, 3(0%)
minecraft.picked_up.slime_ball: #22, 4(0%)
minecraft.picked_up.quartz_block: #22, 1(0%)
minecraft.used.netherite_sword: #22, 10(0%)
minecraft.picked_up.leather_chestplate: #23, 3(1%)
minecraft.picked_up.leather_helmet: #23, 2(0%)
minecraft.picked_up.gunpowder: #23, 93(0%)
minecraft.picked_up.potato: #23, 6(0%)
minecraft.used.black_concrete: #23, 1(0%)
minecraft.picked_up.leather_leggings: #24, 4(1%)
minecraft.picked_up.chainmail_leggings: #24, 1(1%)
minecraft.picked_up.leather_boots: #24, 3(1%)
minecraft.picked_up.golden_boots: #24, 2(0%)
minecraft.picked_up.arrow: #24, 333(0%)
minecraft.picked_up.bone: #24, 259(0%)
minecraft.custom.damage_dealt: #24, 125475(0%)
minecraft.custom.mob_kills: #24, 662(0%)
minecraft.picked_up.gold_ingot: #24, 4(0%)
minecraft.picked_up.lead: #24, 1(0%)
minecraft.picked_up.cactus: #24, 3(0%)
minecraft.picked_up.clay_ball: #24, 4(0%)
minecraft.picked_up.carrot: #24, 4(0%)
minecraft.picked_up.bone_meal: #24, 1(0%)
minecraft.picked_up.birch_leaves: #24, 1(0%)
minecraft.picked_up.string: #25, 48(0%)
minecraft.picked_up.player_head: #25, 11(0%)
minecraft.picked_up.egg: #25, 1(0%)
minecraft.used.diorite: #25, 1(0%)
minecraft.killed.skeleton: #25, 5(0%)
minecraft.picked_up.sugar_cane: #25, 2(0%)
minecraft.custom.minecart_one_cm: #25, 422(0%)
minecraft.custom.interact_with_anvil: #26, 3(0%)
minecraft.picked_up.bow: #26, 1(0%)
minecraft.picked_up.cobblestone: #26, 64(0%)
minecraft.picked_up.gravel: #26, 17(0%)
minecraft.picked_up.iron_ingot: #26, 4(0%)
minecraft.picked_up.grass_block: #26, 1(0%)
minecraft.picked_up.stone: #26, 3(0%)
minecraft.custom.walk_one_cm: #27, 57760(0%)
minecraft.custom.jump: #27, 112(0%)
minecraft.picked_up.dirt: #27, 13(0%)
minecraft.custom.crouch_one_cm: #28, 4162(0%)
minecraft.used.stone: #28, 2(0%)
minecraft.custom.sprint_one_cm: #29, 32361(0%)
minecraft.custom.damage_taken: #29, 40(0%)
minecraft.custom.walk_on_water_one_cm: #38, 84618(0%)
minecraft.custom.time_since_death: #40, 162366(0%)
minecraft.custom.walk_under_water_one_cm: #40, 97996(0%)
minecraft.custom.fly_one_cm: #42, 6430239(0%)
minecraft.custom.sneak_time: #44, 12877(0%)
minecraft.custom.play_one_minute: #46, 162366(0%)
minecraft.custom.leave_game: #48, 4(0%)
