stat, rank, value, (percentage) 
minecraft.custom.time_since_death: #26, 947731(0%)
minecraft.custom.sleep_in_bed: #26, 1(0%)
minecraft.custom.climb_one_cm: #27, 3084(0%)
minecraft.custom.sprint_one_cm: #27, 58247(0%)
minecraft.custom.crouch_one_cm: #27, 4997(0%)
minecraft.custom.walk_one_cm: #29, 31144(0%)
minecraft.custom.jump: #30, 25(0%)
minecraft.custom.time_since_rest: #36, 12179(0%)
minecraft.custom.leave_game: #42, 21(0%)
minecraft.custom.play_one_minute: #42, 947731(0%)
minecraft.custom.fly_one_cm: #46, 1210714(0%)
minecraft.custom.sneak_time: #48, 4261(0%)
minecraft.custom.walk_under_water_one_cm: #48, 114(0%)
minecraft.custom.walk_on_water_one_cm: #49, 774(0%)
