stat, rank, value, (percentage) 
minecraft.custom.tune_noteblock: #1, 635213(87%)
minecraft.mined.bookshelf: #1, 6971(65%)
minecraft.used.fishing_rod: #1, 14200(70%)
minecraft.crafted.cooked_porkchop: #1, 7613(81%)
minecraft.used.birch_leaves: #1, 34411(62%)
minecraft.used.white_wool: #1, 22308(56%)
minecraft.used.cobweb: #1, 1729(62%)
minecraft.used.spruce_leaves: #1, 38364(64%)
minecraft.custom.fish_caught: #1, 4664(74%)
minecraft.killed.pig: #1, 511(48%)
minecraft.used.light_gray_wool: #1, 13471(61%)
minecraft.used.spruce_wood: #1, 4169(64%)
minecraft.crafted.light_gray_wool: #1, 5119(87%)
minecraft.used.quartz_pillar: #1, 13196(56%)
minecraft.crafted.enchanted_book: #1, 4658(57%)
minecraft.used.chiseled_quartz_block: #1, 6807(59%)
minecraft.crafted.white_wool: #1, 19989(55%)
minecraft.mined.stripped_oak_wood: #1, 3323(80%)
minecraft.crafted.cooked_chicken: #1, 7165(65%)
minecraft.used.quartz_slab: #1, 11704(49%)
minecraft.used.stripped_oak_wood: #1, 3500(84%)
minecraft.used.granite: #1, 16835(42%)
minecraft.killed.cave_spider: #1, 17337(46%)
minecraft.crafted.spruce_wood: #1, 4615(58%)
minecraft.picked_up.stripped_oak_wood: #1, 3431(81%)
minecraft.mined.light_gray_wool: #1, 1691(53%)
minecraft.used.grass: #1, 8484(50%)
minecraft.picked_up.grass: #1, 9841(43%)
minecraft.used.white_banner: #1, 428(41%)
minecraft.picked_up.book: #1, 21526(43%)
minecraft.used.bookshelf: #1, 7284(40%)
minecraft.crafted.quartz_slab: #1, 12156(44%)
minecraft.used.smooth_stone: #1, 51898(37%)
minecraft.used.black_wool: #1, 13604(39%)
minecraft.crafted.white_banner: #1, 604(49%)
minecraft.picked_up.spider_eye: #1, 10197(34%)
minecraft.used.iron_bars: #1, 9794(35%)
minecraft.mined.gray_stained_glass: #1, 1965(50%)
minecraft.crafted.iron_bars: #1, 12352(35%)
minecraft.used.loom: #1, 374(38%)
minecraft.picked_up.cobweb: #1, 2076(43%)
minecraft.mined.black_stained_glass_pane: #1, 896(41%)
minecraft.custom.bell_ring: #1, 597(35%)
minecraft.used.anvil: #1, 1246(30%)
minecraft.used.hay_block: #1, 661(36%)
minecraft.crafted.bookshelf: #2, 8489(38%)
minecraft.used.white_tulip: #1, 667(73%)
minecraft.crafted.brick_stairs: #1, 896(66%)
minecraft.used.smooth_quartz: #1, 12157(34%)
minecraft.crafted.anvil: #1, 1478(30%)
minecraft.crafted.gray_wool: #1, 1635(54%)
minecraft.crafted.oak_sign: #1, 1972(31%)
minecraft.dropped.grass_block: #1, 9282(32%)
minecraft.crafted.birch_trapdoor: #1, 2738(31%)
minecraft.used.cauldron: #1, 311(32%)
minecraft.mined.white_wall_banner: #1, 72(40%)
minecraft.crafted.oak_fence: #1, 4788(28%)
minecraft.used.polished_andesite: #1, 24080(28%)
minecraft.used.bricks: #1, 17691(43%)
minecraft.picked_up.stripped_oak_log: #1, 1591(27%)
minecraft.mined.stripped_oak_log: #1, 1619(27%)
minecraft.mined.cobweb: #1, 2156(27%)
minecraft.used.tripwire_hook: #1, 203(29%)
minecraft.crafted.gray_banner: #1, 104(71%)
minecraft.used.oak_sign: #1, 1969(27%)
minecraft.crafted.birch_door: #1, 207(45%)
minecraft.crafted.snow: #1, 1674(48%)
minecraft.used.stripped_birch_wood: #1, 718(52%)
minecraft.dropped.grass: #1, 501(35%)
minecraft.mined.gray_wool: #1, 1267(31%)
minecraft.crafted.dark_oak_trapdoor: #1, 3210(28%)
minecraft.killed.wolf: #1, 33(43%)
minecraft.used.quartz_block: #2, 11368(34%)
minecraft.picked_up.oak_wood: #1, 1340(43%)
minecraft.used.birch_trapdoor: #2, 2510(32%)
minecraft.killed.horse: #1, 83(54%)
minecraft.picked_up.dried_kelp: #2, 58754(46%)
minecraft.used.oak_planks: #1, 4126(25%)
minecraft.used.red_terracotta: #1, 7694(28%)
minecraft.used.andesite: #1, 20744(24%)
minecraft.mined.quartz_pillar: #1, 1158(29%)
minecraft.crafted.andesite_slab: #1, 6421(32%)
minecraft.used.dark_oak_trapdoor: #1, 3156(26%)
minecraft.custom.interact_with_loom: #1, 235(26%)
minecraft.dropped.beetroot: #1, 88(94%)
minecraft.used.blue_concrete: #1, 4067(27%)
minecraft.used.light_gray_banner: #1, 100(51%)
minecraft.crafted.cookie: #1, 5734(51%)
minecraft.mined.oak_wood: #1, 1046(37%)
minecraft.dropped.birch_door: #1, 44(69%)
minecraft.mined.lectern: #1, 1644(23%)
minecraft.picked_up.lectern: #1, 1653(22%)
minecraft.used.gray_stained_glass: #1, 14378(36%)
