stat, rank, value, (percentage) 
minecraft.mined.grass_path: #1, 11551(63%)
minecraft.picked_up.light_gray_concrete: #1, 24909(48%)
minecraft.dropped.dandelion: #1, 2442(46%)
minecraft.dropped.yellow_terracotta: #1, 829(61%)
minecraft.mined.light_gray_concrete: #1, 23766(41%)
minecraft.used.light_gray_concrete: #1, 23285(34%)
minecraft.crafted.stone_brick_slab: #1, 15544(30%)
minecraft.crafted.iron_boots: #1, 67(31%)
minecraft.dropped.cornflower: #1, 1185(40%)
minecraft.picked_up.stone_axe: #1, 27(42%)
minecraft.crafted.light_blue_wool: #1, 1194(51%)
minecraft.used.oak_fence: #1, 4702(28%)
minecraft.dropped.iron_helmet: #1, 84(36%)
minecraft.used.stripped_spruce_log: #1, 664(29%)
minecraft.killed.silverfish: #1, 280(33%)
minecraft.used.stone_brick_slab: #1, 15242(25%)
minecraft.crafted.oak_fence: #2, 4683(28%)
minecraft.mined.stripped_spruce_log: #1, 823(24%)
minecraft.dropped.beehive: #1, 50(57%)
minecraft.picked_up.stripped_spruce_log: #1, 815(22%)
minecraft.used.stone_bricks: #1, 50132(20%)
minecraft.crafted.stone_bricks: #1, 52595(20%)
minecraft.used.light_blue_wool: #1, 2363(31%)
minecraft.crafted.iron_helmet: #2, 54(23%)
minecraft.mined.cobblestone_stairs: #1, 313(23%)
minecraft.dropped.baked_potato: #1, 143(57%)
minecraft.used.redstone_lamp: #2, 1255(24%)
minecraft.used.cobblestone_stairs: #1, 759(20%)
minecraft.picked_up.stone_shovel: #1, 34(36%)
minecraft.used.comparator: #1, 1698(18%)
minecraft.crafted.melon_seeds: #1, 656(28%)
minecraft.crafted.pumpkin_seeds: #1, 780(28%)
minecraft.mined.stone_brick_slab: #1, 2322(18%)
minecraft.dropped.iron_shovel: #1, 32(19%)
minecraft.used.yellow_concrete: #1, 5358(20%)
minecraft.dropped.stone_axe: #2, 77(25%)
minecraft.mined.sticky_piston: #1, 689(17%)
minecraft.crafted.baked_potato: #1, 602(34%)
minecraft.picked_up.redstone: #1, 62444(14%)
minecraft.used.light_gray_concrete_powder: #2, 20145(20%)
minecraft.dropped.melon_seeds: #1, 83(22%)
minecraft.mined.stone_bricks: #2, 14208(19%)
minecraft.crafted.comparator: #1, 1338(15%)
minecraft.dropped.jungle_sign: #1, 59(27%)
minecraft.picked_up.sticky_piston: #1, 813(16%)
minecraft.dropped.magma_block: #1, 397(19%)
minecraft.used.pumpkin_seeds: #2, 405(21%)
minecraft.mined.infested_stone: #2, 324(31%)
minecraft.used.sticky_piston: #2, 1930(17%)
minecraft.crafted.light_gray_concrete_powder: #2, 20400(19%)
minecraft.picked_up.cobblestone_stairs: #1, 290(15%)
minecraft.crafted.redstone_block: #1, 6734(13%)
minecraft.dropped.allium: #1, 64(35%)
minecraft.crafted.oak_planks: #1, 47043(12%)
minecraft.picked_up.redstone_lamp: #2, 447(20%)
minecraft.crafted.redstone_torch: #1, 9462(13%)
minecraft.used.hopper: #1, 5221(13%)
minecraft.crafted.stripped_spruce_wood: #1, 93(61%)
minecraft.mined.redstone_lamp: #2, 337(19%)
minecraft.crafted.smooth_stone_slab: #2, 20009(17%)
minecraft.crafted.chest: #1, 8377(12%)
minecraft.crafted.iron_leggings: #1, 20(12%)
minecraft.used.iron_block: #2, 24370(16%)
minecraft.crafted.cobblestone_stairs: #2, 736(19%)
minecraft.used.chest: #1, 4866(11%)
minecraft.mined.spruce_slab: #2, 2133(16%)
minecraft.dropped.activator_rail: #1, 5(28%)
minecraft.crafted.stone_axe: #2, 52(15%)
minecraft.picked_up.blue_concrete: #2, 1976(16%)
minecraft.dropped.wet_sponge: #1, 57(27%)
minecraft.used.repeater: #2, 2731(13%)
minecraft.dropped.light_gray_concrete: #1, 175(16%)
minecraft.picked_up.stone_bricks: #2, 12359(13%)
minecraft.crafted.hopper: #2, 4320(13%)
minecraft.crafted.jungle_sign: #2, 237(19%)
minecraft.crafted.yellow_shulker_box: #3, 71(19%)
minecraft.crafted.repeater: #2, 2144(13%)
minecraft.dropped.bamboo: #2, 3033(17%)
minecraft.crafted.rail: #2, 4464(12%)
minecraft.used.sugar_cane: #2, 1838(12%)
minecraft.dropped.purpur_block: #2, 193(17%)
minecraft.mined.slime_block: #2, 1032(12%)
minecraft.used.dropper: #2, 925(11%)
minecraft.dropped.oak_leaves: #2, 1477(12%)
minecraft.used.jungle_sign: #2, 180(14%)
minecraft.used.jungle_pressure_plate: #2, 35(26%)
minecraft.mined.redstone_ore: #2, 11292(11%)
minecraft.dropped.magenta_stained_glass_pane: #1, 8(38%)
minecraft.crafted.hopper_minecart: #2, 133(11%)
minecraft.picked_up.jungle_door: #2, 51(21%)
minecraft.used.smooth_stone_slab: #2, 21688(11%)
minecraft.dropped.music_disc_mall: #1, 2(50%)
minecraft.mined.dead_tube_coral_wall_fan: #1, 3(50%)
minecraft.crafted.jungle_button: #2, 110(16%)
minecraft.used.melon_seeds: #3, 353(19%)
minecraft.dropped.light_weighted_pressure_plate: #2, 67(26%)
minecraft.used.jungle_boat: #3, 85(17%)
minecraft.picked_up.baked_potato: #2, 129(17%)
minecraft.crafted.dropper: #2, 835(9%)
minecraft.crafted.sticky_piston: #3, 1216(14%)
minecraft.crafted.wooden_shovel: #2, 81(15%)
minecraft.used.glass: #3, 10488(13%)
minecraft.used.baked_potato: #2, 310(17%)
minecraft.used.dead_tube_coral_fan: #1, 2(50%)
