stat, rank, value, (percentage) 
minecraft.used.blackstone: #1, 91577(72%)
minecraft.picked_up.black_concrete_powder: #1, 43648(59%)
minecraft.dropped.warped_fungus: #1, 478(72%)
minecraft.used.lava_bucket: #1, 11668(52%)
minecraft.used.red_sand: #1, 27256(56%)
minecraft.used.black_concrete: #1, 39565(44%)
minecraft.mined.dark_oak_leaves: #1, 26285(51%)
minecraft.mined.acacia_leaves: #1, 15659(46%)
minecraft.picked_up.black_bed: #1, 603(69%)
minecraft.dropped.crimson_fungus: #1, 448(64%)
minecraft.crafted.black_concrete_powder: #1, 65400(43%)
minecraft.mined.black_bed: #1, 589(69%)
minecraft.used.black_concrete_powder: #1, 56645(42%)
minecraft.mined.black_concrete_powder: #1, 2811(46%)
minecraft.mined.magenta_wool: #1, 638(79%)
minecraft.mined.smooth_sandstone: #1, 9026(41%)
minecraft.crafted.sandstone_stairs: #1, 5000(65%)
minecraft.picked_up.smooth_sandstone: #1, 14744(38%)
minecraft.used.smooth_sandstone: #1, 35243(41%)
minecraft.mined.blackstone: #1, 97327(36%)
minecraft.picked_up.brown_concrete_powder: #2, 5353(40%)
minecraft.picked_up.blackstone: #1, 96961(35%)
minecraft.crafted.polished_blackstone_brick_slab: #1, 3798(50%)
minecraft.used.birch_sapling: #1, 4716(41%)
minecraft.crafted.polished_blackstone_bricks: #1, 10672(41%)
minecraft.mined.dead_bush: #1, 2156(33%)
minecraft.used.bone_meal: #1, 104978(33%)
minecraft.used.black_bed: #1, 616(63%)
minecraft.dropped.warped_wart_block: #1, 2840(40%)
minecraft.dropped.gold_ingot: #1, 1685(32%)
minecraft.mined.oak_sapling: #1, 235(34%)
minecraft.used.jungle_sapling: #1, 1515(53%)
minecraft.mined.white_wool: #1, 1378(32%)
minecraft.mined.spruce_pressure_plate: #1, 167(55%)
minecraft.dropped.cracked_polished_blackstone_bricks: #1, 347(60%)
minecraft.dropped.basalt: #1, 3093(34%)
minecraft.used.spruce_pressure_plate: #1, 244(45%)
minecraft.crafted.oak_stairs: #1, 1000(31%)
minecraft.picked_up.red_sand: #1, 49707(32%)
minecraft.dropped.apple: #1, 505(33%)
minecraft.mined.polished_blackstone_brick_stairs: #1, 871(31%)
minecraft.crafted.birch_pressure_plate: #1, 116(49%)
minecraft.mined.bamboo: #1, 4969(30%)
minecraft.picked_up.orange_shulker_box: #1, 1770(31%)
minecraft.crafted.polished_blackstone_brick_stairs: #1, 1120(43%)
minecraft.mined.orange_shulker_box: #1, 1713(31%)
minecraft.picked_up.polished_blackstone_brick_stairs: #1, 846(31%)
minecraft.picked_up.spruce_pressure_plate: #1, 180(48%)
minecraft.picked_up.black_terracotta: #1, 4240(37%)
minecraft.crafted.dark_oak_fence_gate: #1, 1479(35%)
minecraft.used.orange_shulker_box: #1, 1784(32%)
minecraft.used.dark_oak_fence_gate: #1, 1637(34%)
minecraft.dropped.carved_pumpkin: #1, 56(50%)
minecraft.used.blast_furnace: #1, 407(31%)
minecraft.picked_up.brown_concrete: #1, 1458(43%)
minecraft.used.dark_oak_sapling: #1, 3749(40%)
minecraft.mined.brown_concrete_powder: #1, 212(33%)
minecraft.mined.red_sand: #1, 48391(32%)
minecraft.mined.daylight_detector: #1, 72(32%)
minecraft.used.black_terracotta: #1, 9936(39%)
minecraft.picked_up.oak_log: #1, 49351(26%)
minecraft.used.magenta_wool: #1, 642(42%)
minecraft.mined.sandstone_stairs: #1, 1751(37%)
minecraft.picked_up.dark_oak_sapling: #1, 3394(31%)
minecraft.picked_up.daylight_detector: #1, 100(31%)
minecraft.picked_up.dark_oak_door: #1, 192(41%)
minecraft.picked_up.black_concrete: #1, 11751(27%)
minecraft.picked_up.birch_sapling: #1, 4141(25%)
minecraft.used.sandstone_stairs: #1, 6300(33%)
minecraft.mined.smooth_sandstone_slab: #1, 1780(32%)
minecraft.dropped.stick: #1, 12639(25%)
minecraft.used.spruce_stairs: #1, 3629(25%)
minecraft.picked_up.acacia_sapling: #1, 2433(29%)
minecraft.crafted.spruce_stairs: #1, 3428(25%)
minecraft.dropped.oak_log: #1, 1304(25%)
minecraft.picked_up.smooth_sandstone_slab: #1, 2132(30%)
minecraft.used.brown_concrete: #1, 2995(44%)
minecraft.crafted.dark_oak_door: #1, 234(40%)
minecraft.dropped.shroomlight: #1, 541(35%)
minecraft.used.acacia_sapling: #1, 3200(51%)
minecraft.crafted.brown_concrete_powder: #1, 10392(33%)
minecraft.used.oak_sapling: #2, 12649(30%)
minecraft.crafted.cooked_salmon: #1, 189(43%)
minecraft.dropped.comparator: #1, 262(50%)
minecraft.used.spruce_log: #1, 6656(24%)
minecraft.crafted.bucket: #1, 1388(23%)
minecraft.picked_up.sandstone_stairs: #1, 1576(30%)
minecraft.dropped.birch_sapling: #1, 401(26%)
minecraft.used.oak_stairs: #1, 814(22%)
minecraft.picked_up.oak_stairs: #1, 574(23%)
minecraft.custom.interact_with_campfire: #1, 76(58%)
minecraft.mined.black_concrete: #1, 10755(24%)
minecraft.dropped.oak_boat: #1, 37(29%)
minecraft.crafted.scaffolding: #1, 9672(24%)
minecraft.mined.birch_pressure_plate: #1, 65(42%)
minecraft.picked_up.acacia_log: #1, 8504(22%)
minecraft.mined.acacia_log: #1, 7742(23%)
minecraft.picked_up.nether_wart_block: #1, 14001(22%)
minecraft.mined.birch_leaves: #2, 32926(25%)
minecraft.used.netherite_hoe: #1, 217243(38%)
minecraft.mined.soul_soil: #1, 8533(21%)
minecraft.mined.polished_blackstone_slab: #1, 1176(22%)
minecraft.crafted.charcoal: #2, 1394(37%)
minecraft.picked_up.oak_button: #1, 86(24%)
minecraft.dropped.orange_shulker_box: #1, 54(44%)
minecraft.crafted.magenta_wool: #1, 729(68%)
minecraft.picked_up.jungle_sapling: #1, 1279(23%)
minecraft.picked_up.charcoal: #1, 207(22%)
minecraft.crafted.black_terracotta: #1, 9184(29%)
minecraft.picked_up.acacia_trapdoor: #1, 602(27%)
minecraft.used.birch_pressure_plate: #1, 88(33%)
minecraft.mined.birch_sapling: #1, 158(25%)
minecraft.mined.nether_wart_block: #2, 14225(24%)
minecraft.picked_up.birch_pressure_plate: #1, 65(38%)
minecraft.mined.black_terracotta: #1, 2097(30%)
minecraft.used.crimson_fungus: #2, 812(29%)
minecraft.mined.oak_log: #1, 28991(18%)
minecraft.used.brown_concrete_powder: #2, 5833(25%)
minecraft.picked_up.polished_blackstone_brick_slab: #2, 1631(26%)
minecraft.used.iron_ore: #2, 176(24%)
minecraft.mined.spruce_stairs: #1, 762(18%)
minecraft.picked_up.salmon: #1, 279(21%)
minecraft.picked_up.smooth_red_sandstone_slab: #1, 117(62%)
minecraft.used.spruce_slab: #1, 9279(19%)
minecraft.crafted.brown_shulker_box: #1, 43(23%)
minecraft.crafted.oak_button: #2, 330(26%)
minecraft.used.redstone_block: #1, 1735(17%)
minecraft.used.spruce_sapling: #2, 3796(25%)
minecraft.mined.polished_blackstone_brick_slab: #2, 1285(25%)
minecraft.picked_up.oak_door: #1, 112(19%)
minecraft.used.polished_blackstone_bricks: #1, 7011(19%)
minecraft.used.tnt_minecart: #1, 152(65%)
minecraft.crafted.tnt_minecart: #1, 152(65%)
minecraft.picked_up.stick: #1, 19557(16%)
minecraft.mined.smooth_red_sandstone_slab: #1, 94(65%)
minecraft.mined.dark_oak_log: #2, 16681(21%)
minecraft.picked_up.polished_blackstone_slab: #1, 1210(17%)
minecraft.picked_up.spruce_slab: #1, 3462(16%)
minecraft.mined.jungle_leaves: #2, 20179(21%)
minecraft.mined.player_wall_head: #1, 127(16%)
minecraft.mined.cactus: #1, 371(16%)
minecraft.crafted.orange_shulker_box: #1, 60(24%)
minecraft.used.bucket: #1, 14053(14%)
minecraft.picked_up.oak_sapling: #2, 11752(19%)
minecraft.used.gold_ore: #2, 94(24%)
minecraft.picked_up.light_blue_concrete: #2, 4180(20%)
minecraft.crafted.red_stained_glass_pane: #1, 984(26%)
minecraft.mined.acacia_trapdoor: #1, 333(20%)
minecraft.mined.warped_wart_block: #1, 10247(14%)
minecraft.used.acacia_trapdoor: #1, 1653(19%)
minecraft.used.nether_brick_wall: #1, 996(23%)
minecraft.mined.basalt: #2, 35888(18%)
minecraft.mined.oak_button: #1, 27(23%)
minecraft.crafted.dark_oak_fence: #2, 1842(20%)
minecraft.dropped.netherite_sword: #1, 13(17%)
minecraft.picked_up.spruce_stairs: #2, 1171(17%)
minecraft.picked_up.netherite_hoe: #1, 37(23%)
minecraft.dropped.wooden_pickaxe: #1, 5(26%)
minecraft.crafted.red_stained_glass: #2, 8152(22%)
minecraft.picked_up.white_wool: #2, 4361(16%)
minecraft.used.wooden_axe: #1, 110(25%)
minecraft.dropped.netherite_axe: #1, 13(17%)
minecraft.crafted.blast_furnace: #2, 352(19%)
minecraft.crafted.black_shulker_box: #2, 45(20%)
minecraft.used.polished_blackstone_brick_slab: #2, 4995(20%)
