stat, rank, value, (percentage) 
minecraft.picked_up.pink_concrete: #1, 11900(84%)
minecraft.mined.pink_concrete: #1, 12213(82%)
minecraft.mined.light_blue_stained_glass_pane: #1, 1882(69%)
minecraft.used.magenta_stained_glass: #1, 1203(74%)
minecraft.used.pink_concrete: #1, 6991(67%)
minecraft.mined.carrots: #1, 10254(44%)
minecraft.used.pink_concrete_powder: #1, 11460(59%)
minecraft.used.pink_carpet: #1, 2328(62%)
minecraft.picked_up.light_blue_stained_glass_pane: #1, 1858(58%)
minecraft.crafted.pink_carpet: #1, 2316(58%)
minecraft.picked_up.pink_stained_glass: #1, 572(85%)
minecraft.crafted.pink_concrete_powder: #1, 11504(52%)
minecraft.used.carrot: #1, 10274(34%)
minecraft.dropped.pink_concrete: #1, 656(55%)
minecraft.picked_up.carrot: #1, 38003(32%)
minecraft.picked_up.cyan_concrete_powder: #1, 8533(50%)
minecraft.crafted.magenta_stained_glass: #1, 1688(57%)
minecraft.picked_up.pink_concrete_powder: #1, 12497(67%)
minecraft.crafted.glass: #1, 117003(30%)
minecraft.crafted.pink_stained_glass_pane: #1, 2288(75%)
minecraft.used.pink_stained_glass_pane: #1, 2085(83%)
minecraft.dropped.carrot: #1, 21864(31%)
minecraft.picked_up.magenta_stained_glass: #2, 277(38%)
minecraft.picked_up.magenta_shulker_box: #1, 431(36%)
minecraft.mined.magenta_shulker_box: #1, 429(35%)
minecraft.used.magenta_shulker_box: #1, 428(35%)
minecraft.crafted.pink_stained_glass: #1, 1544(50%)
minecraft.picked_up.magenta_stained_glass_pane: #1, 108(50%)
minecraft.dropped.poppy: #2, 37494(27%)
minecraft.used.dark_oak_slab: #1, 8454(24%)
minecraft.crafted.dark_oak_slab: #1, 8104(21%)
minecraft.mined.pink_stained_glass: #1, 65(79%)
minecraft.used.cyan_concrete_powder: #1, 10245(24%)
minecraft.picked_up.magma_cream: #1, 1006(20%)
minecraft.used.light_blue_terracotta: #1, 2896(36%)
minecraft.used.mossy_stone_brick_slab: #1, 113(44%)
minecraft.used.magenta_stained_glass_pane: #1, 246(43%)
minecraft.dropped.magenta_dye: #1, 61(81%)
minecraft.crafted.cyan_concrete_powder: #1, 10496(23%)
minecraft.crafted.green_dye: #1, 3209(19%)
minecraft.mined.cyan_concrete: #2, 8066(24%)
minecraft.mined.light_gray_carpet: #2, 1086(21%)
minecraft.crafted.lime_bed: #1, 28(33%)
minecraft.picked_up.glistering_melon_slice: #1, 64(76%)
minecraft.crafted.emerald_block: #1, 3004(18%)
minecraft.picked_up.pink_dye: #1, 208(30%)
minecraft.mined.magenta_stained_glass: #2, 101(23%)
minecraft.crafted.magenta_stained_glass_pane: #1, 288(40%)
minecraft.dropped.magenta_terracotta: #1, 64(86%)
minecraft.picked_up.yellow_dye: #1, 311(24%)
minecraft.dropped.black_carpet: #2, 247(28%)
minecraft.used.allium: #1, 116(53%)
minecraft.picked_up.melon_seeds: #1, 135(15%)
minecraft.mined.magenta_concrete_powder: #1, 25(28%)
minecraft.picked_up.peony: #2, 769(19%)
minecraft.crafted.mossy_stone_brick_slab: #1, 108(41%)
minecraft.crafted.green_stained_glass: #2, 3208(24%)
minecraft.crafted.cracked_stone_bricks: #1, 935(20%)
minecraft.mined.crimson_door: #1, 8(31%)
minecraft.picked_up.cyan_concrete: #3, 7340(23%)
minecraft.dropped.pink_stained_glass_pane: #1, 36(68%)
minecraft.dropped.writable_book: #1, 26(13%)
minecraft.picked_up.magenta_dye: #1, 242(44%)
minecraft.used.pink_stained_glass: #2, 288(41%)
minecraft.picked_up.black_concrete_powder: #2, 12864(17%)
minecraft.mined.potted_spruce_sapling: #1, 5(42%)
minecraft.crafted.light_blue_terracotta: #2, 3136(25%)
minecraft.mined.jungle_planks: #2, 624(16%)
minecraft.used.magenta_bed: #1, 30(34%)
minecraft.crafted.gray_wool: #2, 759(25%)
minecraft.mined.rail: #2, 4212(14%)
minecraft.picked_up.pink_stained_glass_pane: #1, 50(36%)
minecraft.crafted.pink_dye: #2, 1670(16%)
minecraft.dropped.allium: #2, 64(35%)
minecraft.mined.warped_stairs: #2, 82(16%)
minecraft.mined.mossy_stone_brick_slab: #1, 6(25%)
minecraft.crafted.mossy_stone_brick_wall: #1, 36(67%)
minecraft.mined.powered_rail: #2, 1188(13%)
minecraft.picked_up.allium: #3, 649(25%)
minecraft.picked_up.white_concrete: #2, 14441(12%)
minecraft.mined.composter: #2, 122(13%)
minecraft.used.purple_banner: #1, 7(44%)
minecraft.mined.potted_crimson_fungus: #1, 3(43%)
minecraft.used.wooden_hoe: #2, 135(21%)
minecraft.picked_up.jungle_planks: #2, 783(12%)
minecraft.used.cracked_stone_bricks: #2, 840(12%)
minecraft.used.rail: #2, 5790(10%)
minecraft.mined.jungle_fence: #2, 74(15%)
minecraft.used.powered_rail: #2, 2853(10%)
minecraft.crafted.magenta_bed: #2, 9(36%)
minecraft.crafted.cyan_stained_glass: #3, 13376(18%)
minecraft.used.green_stained_glass: #3, 2328(22%)
minecraft.dropped.green_concrete: #2, 60(23%)
minecraft.crafted.iron_block: #2, 24202(10%)
minecraft.crafted.birch_fence_gate: #2, 326(14%)
minecraft.mined.dark_oak_slab: #2, 759(11%)
minecraft.custom.minecart_one_cm: #2, 15606243(9%)
minecraft.mined.light_gray_concrete_powder: #3, 543(17%)
minecraft.mined.magenta_stained_glass_pane: #2, 27(21%)
minecraft.dropped.blue_orchid: #2, 50(26%)
minecraft.dropped.feather: #3, 1284(15%)
minecraft.used.lily_pad: #2, 19(15%)
minecraft.mined.pink_carpet: #2, 103(18%)
minecraft.picked_up.crimson_door: #2, 8(18%)
minecraft.dropped.wooden_pickaxe: #2, 3(16%)
minecraft.mined.rose_bush: #3, 159(14%)
minecraft.crafted.white_stained_glass: #2, 7568(9%)
minecraft.picked_up.pink_carpet: #2, 114(16%)
minecraft.used.diamond_hoe: #3, 20415(13%)
minecraft.killed.phantom: #2, 265(8%)
minecraft.used.crimson_door: #2, 12(17%)
minecraft.picked_up.rail: #3, 5265(11%)
minecraft.dropped.mossy_stone_brick_slab: #2, 9(41%)
minecraft.mined.cyan_concrete_powder: #2, 59(16%)
minecraft.picked_up.iron_block: #2, 6704(7%)
minecraft.crafted.white_terracotta: #2, 1277(11%)
minecraft.crafted.sand: #2, 64(47%)
minecraft.mined.warped_planks: #3, 126(14%)
minecraft.dropped.comparator: #2, 65(12%)
minecraft.used.mossy_stone_bricks: #3, 327(12%)
minecraft.used.magenta_glazed_terracotta: #2, 40(34%)
minecraft.picked_up.phantom_membrane: #2, 377(6%)
minecraft.picked_up.crimson_roots: #3, 2420(10%)
minecraft.picked_up.powered_rail: #3, 1627(10%)
minecraft.picked_up.green_concrete: #3, 1269(11%)
minecraft.crafted.light_gray_stained_glass: #3, 6176(15%)
minecraft.crafted.purple_bed: #2, 31(14%)
minecraft.crafted.black_concrete_powder: #3, 15936(11%)
minecraft.picked_up.composter: #3, 121(10%)
minecraft.crafted.melon: #3, 30766(15%)
minecraft.mined.infested_cobblestone: #2, 2(29%)
minecraft.used.green_concrete: #3, 1199(12%)
minecraft.used.black_concrete_powder: #3, 13540(10%)
minecraft.custom.enchant_item: #3, 329(10%)
minecraft.mined.nether_wart_block: #3, 5181(9%)
minecraft.used.dead_tube_coral_fan: #2, 2(50%)
minecraft.mined.dead_tube_coral_wall_fan: #2, 2(33%)
minecraft.used.spruce_log: #3, 2442(9%)
minecraft.picked_up.cracked_stone_bricks: #3, 371(9%)
minecraft.used.crying_obsidian: #3, 1931(12%)
minecraft.crafted.purple_banner: #2, 7(24%)
minecraft.picked_up.warped_stairs: #3, 81(10%)
minecraft.crafted.paper: #4, 107636(13%)
minecraft.mined.black_concrete: #3, 3670(8%)
minecraft.picked_up.mossy_stone_brick_slab: #3, 16(22%)
minecraft.picked_up.light_gray_carpet: #3, 1186(8%)
minecraft.used.jungle_fence: #3, 160(10%)
minecraft.crafted.pumpkin_seeds: #3, 292(10%)
minecraft.picked_up.purple_dye: #2, 119(8%)
minecraft.mined.magenta_bed: #3, 21(30%)
minecraft.picked_up.magenta_bed: #3, 21(30%)
minecraft.used.white_stained_glass: #3, 5328(7%)
minecraft.dropped.nether_wart: #3, 256(10%)
minecraft.picked_up.magenta_concrete_powder: #2, 255(4%)
minecraft.picked_up.iron_ingot: #2, 14324(1%)
minecraft.mined.magenta_glazed_terracotta: #2, 9(12%)
minecraft.picked_up.purple_concrete_powder: #2, 222(3%)
minecraft.dropped.lectern: #2, 10(4%)
minecraft.picked_up.magenta_concrete: #3, 526(8%)
minecraft.used.magenta_concrete: #3, 592(9%)
