stat, rank, value, (percentage) 
minecraft.picked_up.iron_ingot: #1, 938440(94%)
minecraft.picked_up.gold_nugget: #1, 424297(77%)
minecraft.picked_up.paper: #1, 95071(72%)
minecraft.picked_up.gunpowder: #1, 106009(62%)
minecraft.crafted.writable_book: #1, 2161(67%)
minecraft.crafted.shears: #1, 10042(60%)
minecraft.dropped.iron_ingot: #1, 23113(55%)
minecraft.crafted.iron_block: #1, 123285(53%)
minecraft.used.light_blue_carpet: #1, 4953(68%)
minecraft.dropped.iron_block: #1, 6951(56%)
minecraft.dropped.iron_nugget: #1, 9312(57%)
minecraft.used.coal_block: #1, 2892(53%)
minecraft.dropped.cactus: #1, 4852(48%)
minecraft.crafted.written_book: #1, 2125(87%)
minecraft.used.nether_wart_block: #1, 7553(51%)
minecraft.used.crimson_sign: #1, 315(62%)
minecraft.crafted.light_blue_carpet: #1, 4818(61%)
minecraft.used.smithing_table: #1, 690(42%)
minecraft.dropped.gold_nugget: #1, 8112(43%)
minecraft.dropped.ghast_tear: #1, 263(57%)
minecraft.used.cooked_cod: #1, 799(46%)
minecraft.mined.light_blue_carpet: #1, 460(50%)
minecraft.mined.lime_wool: #1, 917(55%)
minecraft.dropped.azure_bluet: #1, 913(55%)
minecraft.picked_up.end_crystal: #1, 126(67%)
minecraft.picked_up.crimson_sign: #1, 131(61%)
minecraft.mined.smithing_table: #1, 282(37%)
minecraft.crafted.firework_rocket: #1, 356622(40%)
minecraft.dropped.oak_fence_gate: #1, 194(80%)
minecraft.used.red_concrete: #1, 12121(38%)
minecraft.picked_up.iron_nugget: #1, 6686(35%)
minecraft.mined.red_nether_brick_slab: #1, 916(68%)
minecraft.used.yellow_wool: #1, 2310(47%)
minecraft.used.purpur_slab: #1, 939(68%)
minecraft.dropped.feather: #1, 3159(36%)
minecraft.crafted.crimson_sign: #1, 228(50%)
minecraft.used.lime_wool: #1, 2000(41%)
minecraft.crafted.white_shulker_box: #1, 88(33%)
minecraft.used.iron_block: #1, 46792(30%)
minecraft.dropped.sand: #1, 21031(33%)
minecraft.dropped.stone_pressure_plate: #1, 338(36%)
minecraft.mined.nether_brick_slab: #1, 1294(32%)
minecraft.crafted.crimson_planks: #1, 16674(33%)
minecraft.used.cooked_porkchop: #1, 4525(30%)
minecraft.mined.chiseled_polished_blackstone: #1, 374(40%)
minecraft.dropped.crimson_roots: #1, 758(31%)
minecraft.mined.dark_oak_wall_sign: #1, 82(37%)
minecraft.custom.inspect_dropper: #1, 7898(27%)
minecraft.crafted.jungle_boat: #1, 85(45%)
minecraft.mined.redstone_wall_torch: #1, 502(28%)
minecraft.used.gold_ore: #1, 139(35%)
minecraft.picked_up.chiseled_polished_blackstone: #1, 387(39%)
minecraft.dropped.purple_concrete: #1, 194(60%)
minecraft.dropped.birch_trapdoor: #1, 228(50%)
minecraft.dropped.poppy: #1, 38216(28%)
minecraft.mined.polished_blackstone_brick_slab: #1, 1622(32%)
minecraft.dropped.lime_concrete_powder: #1, 256(91%)
minecraft.picked_up.smithing_table: #1, 307(29%)
minecraft.crafted.iron_trapdoor: #1, 8493(29%)
minecraft.dropped.stripped_spruce_log: #1, 69(42%)
minecraft.used.pink_wool: #1, 1567(42%)
minecraft.used.magenta_carpet: #1, 1295(45%)
minecraft.mined.weeping_vines: #1, 263(33%)
minecraft.mined.stone_pressure_plate: #1, 166(31%)
minecraft.used.redstone: #1, 19432(24%)
minecraft.picked_up.lime_concrete: #1, 3744(28%)
minecraft.picked_up.cartography_table: #1, 70(32%)
minecraft.dropped.golden_apple: #1, 173(47%)
minecraft.picked_up.poppy: #1, 12377(24%)
minecraft.used.red_nether_brick_slab: #1, 2080(51%)
minecraft.picked_up.oak_fence_gate: #1, 370(29%)
minecraft.mined.purpur_slab: #1, 330(34%)
minecraft.picked_up.glass: #1, 20350(25%)
minecraft.used.stone_pressure_plate: #1, 583(29%)
minecraft.crafted.fishing_rod: #1, 86(30%)
minecraft.crafted.magenta_carpet: #1, 1197(43%)
minecraft.used.soul_sand: #1, 5953(25%)
minecraft.picked_up.polished_blackstone_brick_slab: #1, 1789(28%)
minecraft.mined.crimson_wall_sign: #1, 69(58%)
minecraft.picked_up.stone_pressure_plate: #1, 419(28%)
minecraft.picked_up.red_nether_brick_stairs: #1, 350(58%)
minecraft.dropped.spectral_arrow: #2, 1433(40%)
minecraft.used.blue_wool: #1, 683(32%)
minecraft.dropped.written_book: #1, 199(26%)
minecraft.picked_up.cracked_stone_bricks: #1, 1049(26%)
minecraft.picked_up.iron_block: #1, 23500(24%)
minecraft.mined.polished_blackstone: #1, 1647(24%)
minecraft.mined.redstone_wire: #1, 4157(22%)
minecraft.picked_up.purpur_slab: #1, 322(29%)
minecraft.picked_up.orange_concrete: #1, 2932(25%)
minecraft.dropped.gunpowder: #1, 8376(25%)
minecraft.mined.crimson_fence_gate: #1, 54(61%)
minecraft.crafted.stone_pressure_plate: #1, 726(24%)
minecraft.picked_up.potion: #1, 806(24%)
minecraft.dropped.firework_rocket: #1, 6974(22%)
minecraft.mined.tripwire_hook: #1, 37(28%)
minecraft.used.red_nether_brick_stairs: #1, 450(48%)
minecraft.dropped.dandelion: #2, 1590(30%)
minecraft.mined.red_nether_brick_stairs: #1, 223(59%)
minecraft.picked_up.light_blue_carpet: #1, 565(28%)
minecraft.used.redstone_torch: #1, 2796(19%)
minecraft.mined.cobblestone_wall: #1, 506(24%)
minecraft.crafted.red_concrete_powder: #1, 11896(26%)
minecraft.dropped.obsidian: #1, 682(28%)
minecraft.mined.lime_concrete: #1, 3748(24%)
minecraft.crafted.red_nether_brick_slab: #1, 1578(57%)
minecraft.mined.green_wool: #1, 428(32%)
minecraft.used.orange_concrete: #1, 4395(25%)
minecraft.dropped.nether_wart: #1, 904(34%)
minecraft.crafted.black_shulker_box: #1, 57(25%)
minecraft.dropped.beetroot_seeds: #1, 285(51%)
minecraft.mined.comparator: #1, 495(22%)
minecraft.dropped.tipped_arrow: #1, 564(55%)
minecraft.picked_up.light_blue_concrete: #1, 4714(23%)
minecraft.used.blue_shulker_box: #1, 506(26%)
minecraft.dropped.tripwire_hook: #2, 176(35%)
minecraft.used.cartography_table: #1, 76(29%)
minecraft.custom.damage_blocked_by_shield: #1, 52405(33%)
minecraft.used.damaged_anvil: #1, 45(25%)
minecraft.picked_up.purple_concrete: #1, 1040(25%)
minecraft.crafted.paper: #1, 178297(22%)
minecraft.crafted.smithing_table: #2, 526(26%)
minecraft.picked_up.crimson_fence_gate: #1, 47(44%)
minecraft.picked_up.cactus: #1, 4994(19%)
minecraft.mined.blackstone_slab: #1, 968(25%)
minecraft.picked_up.polished_blackstone: #1, 1685(21%)
minecraft.used.blue_terracotta: #1, 4954(48%)
minecraft.crafted.white_carpet: #1, 7617(21%)
minecraft.used.chipped_anvil: #1, 76(21%)
minecraft.used.hopper_minecart: #1, 230(21%)
minecraft.dropped.white_terracotta: #1, 422(25%)
minecraft.picked_up.ghast_tear: #1, 435(21%)
minecraft.used.polished_blackstone_brick_wall: #1, 363(27%)
minecraft.picked_up.tnt: #2, 5171(26%)
minecraft.picked_up.green_wool: #1, 4074(29%)
minecraft.crafted.iron_ingot: #1, 109891(19%)
minecraft.used.compass: #1, 462(77%)
minecraft.dropped.stone_button: #1, 535(23%)
minecraft.mined.repeater: #1, 1077(20%)
minecraft.mined.redstone_torch: #1, 442(20%)
minecraft.crafted.lodestone: #1, 52(46%)
minecraft.mined.polished_blackstone_stairs: #1, 467(23%)
minecraft.mined.soul_wall_torch: #1, 70(51%)
minecraft.mined.iron_block: #1, 13763(20%)
minecraft.dropped.lime_concrete: #1, 256(32%)
minecraft.picked_up.feather: #2, 2870(23%)
minecraft.dropped.oxeye_daisy: #2, 829(34%)
minecraft.dropped.iron_door: #1, 30(37%)
minecraft.picked_up.lime_carpet: #1, 785(26%)
minecraft.crafted.hopper_minecart: #1, 234(20%)
minecraft.dropped.crimson_stem: #1, 1195(37%)
minecraft.mined.damaged_anvil: #1, 48(22%)
minecraft.picked_up.cracked_nether_bricks: #1, 518(73%)
minecraft.mined.light_blue_concrete: #1, 4792(22%)
minecraft.dropped.tnt: #2, 1012(28%)
minecraft.mined.yellow_wool: #1, 516(30%)
minecraft.crafted.red_carpet: #2, 4941(23%)
minecraft.picked_up.sugar_cane: #2, 72053(21%)
minecraft.killed.vex: #1, 61(38%)
minecraft.dropped.red_carpet: #2, 212(35%)
minecraft.dropped.lime_carpet: #1, 431(42%)
minecraft.used.red_concrete_powder: #2, 11452(26%)
minecraft.mined.chipped_anvil: #1, 77(18%)
minecraft.dropped.light_gray_terracotta: #1, 335(23%)
minecraft.used.purple_wool: #2, 594(30%)
minecraft.dropped.iron_pickaxe: #1, 27(28%)
minecraft.crafted.piston: #1, 3271(17%)
minecraft.used.lime_concrete: #2, 5780(24%)
minecraft.used.lodestone: #1, 122(59%)
minecraft.crafted.polished_granite_slab: #1, 254(34%)
minecraft.used.rail: #1, 9151(16%)
minecraft.used.light_blue_concrete: #2, 9223(25%)
minecraft.crafted.golden_apple: #1, 948(24%)
minecraft.used.red_carpet: #2, 4741(22%)
minecraft.dropped.stone: #1, 54065(18%)
minecraft.crafted.rail: #1, 6192(17%)
minecraft.picked_up.chipped_anvil: #1, 93(18%)
minecraft.mined.dropper: #1, 456(17%)
minecraft.mined.sugar_cane: #1, 14650(17%)
minecraft.used.white_carpet: #1, 6773(17%)
minecraft.picked_up.polished_blackstone_stairs: #1, 464(20%)
minecraft.picked_up.damaged_anvil: #1, 48(20%)
minecraft.mined.crimson_sign: #1, 13(57%)
minecraft.dropped.crimson_sign: #1, 31(56%)
minecraft.used.repeater: #1, 3166(15%)
minecraft.crafted.book: #1, 1961(18%)
minecraft.dropped.sticky_piston: #1, 163(33%)
minecraft.used.cracked_polished_blackstone_bricks: #2, 1409(27%)
minecraft.used.green_wool: #1, 1319(24%)
minecraft.used.soul_torch: #1, 287(35%)
minecraft.crafted.magma_block: #1, 1376(77%)
minecraft.picked_up.dispenser: #1, 414(17%)
minecraft.dropped.yellow_concrete_powder: #1, 443(55%)
minecraft.crafted.nether_bricks: #1, 9730(18%)
minecraft.picked_up.iron_horse_armor: #1, 9(27%)
minecraft.dropped.beacon: #1, 39(42%)
minecraft.picked_up.repeater: #1, 1581(17%)
minecraft.picked_up.lodestone: #1, 86(76%)
minecraft.mined.lodestone: #1, 86(76%)
minecraft.picked_up.blue_shulker_box: #2, 486(25%)
minecraft.crafted.blue_shulker_box: #1, 22(29%)
minecraft.used.glass_bottle: #2, 2894(21%)
minecraft.picked_up.redstone_torch: #1, 1558(15%)
minecraft.dropped.andesite: #1, 7382(15%)
minecraft.picked_up.blackstone_slab: #1, 992(19%)
minecraft.mined.soul_lantern: #1, 93(17%)
minecraft.dropped.polished_blackstone_stairs: #1, 72(61%)
minecraft.used.dropper: #1, 1217(15%)
minecraft.mined.oak_door: #1, 24(24%)
minecraft.crafted.red_shulker_box: #2, 56(21%)
minecraft.picked_up.magenta_carpet: #2, 256(29%)
minecraft.used.cooked_chicken: #2, 1098(25%)
minecraft.dropped.granite: #1, 8877(15%)
minecraft.mined.blue_shulker_box: #2, 483(25%)
minecraft.picked_up.light_blue_wool: #2, 3062(28%)
minecraft.crafted.blue_terracotta: #1, 5632(35%)
minecraft.broken.fishing_rod: #1, 10(25%)
minecraft.mined.light_gray_wall_banner: #1, 18(58%)
minecraft.dropped.blaze_rod: #1, 256(25%)
minecraft.crafted.cooked_cod: #2, 994(28%)
minecraft.picked_up.comparator: #1, 708(15%)
minecraft.picked_up.lime_wool: #2, 2649(25%)
minecraft.used.light_blue_concrete_powder: #2, 10397(28%)
minecraft.mined.iron_door: #2, 78(26%)
minecraft.mined.polished_blackstone_slab: #2, 1059(20%)
minecraft.picked_up.red_banner: #1, 21(24%)
minecraft.crafted.dark_oak_boat: #1, 9(38%)
minecraft.mined.rail: #1, 4375(14%)
minecraft.crafted.hopper: #1, 4560(14%)
minecraft.dropped.paper: #2, 5822(20%)
