stat, rank, value, (percentage) 
minecraft.picked_up.yellow_carpet: #1, 14836(90%)
minecraft.used.yellow_carpet: #1, 14849(70%)
minecraft.mined.heavy_weighted_pressure_plate: #1, 306(82%)
minecraft.mined.brown_wool: #1, 1016(61%)
minecraft.used.snow: #1, 31110(71%)
minecraft.crafted.yellow_carpet: #1, 14463(70%)
minecraft.picked_up.golden_sword: #1, 1852(46%)
minecraft.picked_up.white_carpet: #1, 5789(44%)
minecraft.used.heavy_weighted_pressure_plate: #1, 314(53%)
minecraft.picked_up.snow: #1, 33961(50%)
minecraft.picked_up.magenta_concrete: #1, 3879(55%)
minecraft.used.acacia_stairs: #1, 1990(67%)
minecraft.used.cooked_mutton: #1, 1883(46%)
minecraft.crafted.acacia_stairs: #1, 1704(65%)
minecraft.dropped.yellow_wool: #1, 1026(69%)
minecraft.picked_up.red_sandstone: #1, 368(75%)
minecraft.picked_up.heavy_weighted_pressure_plate: #1, 319(42%)
minecraft.mined.pink_wool: #1, 1153(57%)
minecraft.picked_up.music_disc_13: #1, 30(43%)
minecraft.mined.magenta_concrete: #1, 3835(52%)
minecraft.picked_up.cooked_mutton: #1, 1557(43%)
minecraft.used.magenta_concrete: #1, 3805(55%)
minecraft.used.red_carpet: #1, 6998(33%)
minecraft.crafted.hay_block: #1, 3127(37%)
minecraft.crafted.red_carpet: #1, 7017(32%)
minecraft.dropped.wheat_seeds: #1, 29281(27%)
minecraft.crafted.heavy_weighted_pressure_plate: #1, 263(32%)
minecraft.killed.sheep: #1, 677(28%)
minecraft.mined.pink_terracotta: #1, 372(54%)
minecraft.dropped.white_carpet: #1, 442(30%)
minecraft.picked_up.music_disc_ward: #1, 31(49%)
minecraft.dropped.yellow_carpet: #1, 197(59%)
minecraft.picked_up.blue_wool: #2, 3752(31%)
minecraft.picked_up.music_disc_chirp: #1, 29(53%)
minecraft.picked_up.music_disc_blocks: #1, 26(58%)
minecraft.crafted.cooked_mutton: #1, 1079(39%)
minecraft.picked_up.note_block: #1, 678(30%)
minecraft.mined.green_carpet: #1, 725(25%)
minecraft.picked_up.spruce_wood: #1, 182(31%)
minecraft.mined.blue_concrete_powder: #1, 112(59%)
minecraft.mined.spruce_wood: #1, 184(31%)
minecraft.mined.redstone_block: #1, 914(23%)
minecraft.used.jungle_button: #1, 195(32%)
minecraft.killed.ghast: #1, 738(22%)
minecraft.picked_up.music_disc_strad: #1, 24(62%)
minecraft.mined.yellow_carpet: #1, 461(29%)
minecraft.mined.blue_wool: #1, 252(27%)
minecraft.picked_up.yellow_wool: #2, 3901(35%)
minecraft.picked_up.music_disc_mall: #1, 15(48%)
minecraft.picked_up.music_disc_11: #1, 37(80%)
minecraft.used.red_sandstone: #1, 135(48%)
minecraft.picked_up.music_disc_mellohi: #1, 32(68%)
minecraft.picked_up.mutton: #1, 1117(21%)
minecraft.killed.chicken: #1, 818(20%)
minecraft.mined.white_carpet: #1, 923(20%)
minecraft.mined.jungle_button: #1, 35(38%)
minecraft.picked_up.chicken: #1, 1225(20%)
minecraft.mined.red_sandstone: #1, 68(50%)
minecraft.crafted.black_carpet: #2, 16453(27%)
minecraft.picked_up.jungle_button: #1, 45(27%)
minecraft.picked_up.pink_wool: #2, 2951(29%)
minecraft.killed.iron_golem: #1, 137(23%)
minecraft.mined.glass_pane: #1, 302(20%)
minecraft.picked_up.cyan_wool: #2, 1923(26%)
minecraft.mined.light_blue_terracotta: #1, 353(33%)
minecraft.mined.magenta_terracotta: #1, 148(65%)
minecraft.crafted.jukebox: #1, 20(24%)
minecraft.used.pink_wool: #2, 1166(31%)
minecraft.crafted.jungle_button: #1, 161(23%)
minecraft.mined.pumpkin: #2, 2278(20%)
minecraft.mined.cut_red_sandstone: #1, 23(59%)
minecraft.picked_up.music_disc_wait: #1, 27(59%)
minecraft.mined.gray_terracotta: #1, 1241(32%)
minecraft.picked_up.porkchop: #2, 432(19%)
minecraft.used.black_carpet: #2, 37046(22%)
minecraft.mined.orange_wool: #2, 637(34%)
minecraft.picked_up.black_carpet: #2, 23836(21%)
minecraft.picked_up.cut_red_sandstone: #1, 23(56%)
minecraft.mined.magenta_stained_glass_pane: #1, 40(31%)
minecraft.used.pink_terracotta: #1, 390(33%)
minecraft.picked_up.purple_glazed_terracotta: #1, 126(79%)
minecraft.crafted.smooth_sandstone: #2, 7558(26%)
minecraft.picked_up.red_glazed_terracotta: #1, 549(44%)
minecraft.mined.gray_wool: #2, 834(20%)
minecraft.picked_up.music_disc_far: #1, 38(60%)
minecraft.picked_up.yellow_glazed_terracotta: #2, 517(36%)
minecraft.picked_up.egg: #2, 3578(16%)
minecraft.used.cut_red_sandstone: #1, 110(32%)
minecraft.used.diorite_wall: #1, 438(22%)
minecraft.used.egg: #2, 1707(17%)
minecraft.crafted.blue_banner: #1, 18(41%)
minecraft.used.acacia_door: #1, 69(32%)
minecraft.mined.light_gray_wool: #2, 672(21%)
minecraft.picked_up.music_disc_stal: #1, 46(56%)
minecraft.mined.purple_glazed_terracotta: #1, 78(70%)
