stat, rank, value, (percentage) 
minecraft.mined.red_bed: #1, 163(40%)
minecraft.picked_up.red_bed: #1, 166(39%)
minecraft.used.purple_terracotta: #1, 3852(55%)
minecraft.used.red_bed: #1, 163(36%)
minecraft.crafted.purple_terracotta: #1, 3064(32%)
minecraft.picked_up.purple_terracotta: #1, 1172(39%)
minecraft.mined.purple_terracotta: #1, 860(39%)
minecraft.used.magenta_terracotta: #1, 388(39%)
minecraft.mined.cyan_carpet: #2, 212(19%)
minecraft.mined.potted_birch_sapling: #1, 8(40%)
minecraft.mined.trapped_chest: #1, 4(44%)
minecraft.picked_up.black_bed: #2, 176(20%)
minecraft.mined.black_bed: #2, 176(21%)
minecraft.picked_up.cyan_carpet: #3, 400(18%)
minecraft.used.oak_slab: #2, 1669(10%)
minecraft.crafted.crimson_stairs: #2, 348(15%)
minecraft.picked_up.bone_block: #2, 1382(10%)
minecraft.used.black_bed: #2, 176(18%)
minecraft.picked_up.chest_minecart: #1, 5(100%)
minecraft.picked_up.golden_hoe: #1, 1(100%)
minecraft.dropped.purple_terracotta: #2, 64(33%)
minecraft.picked_up.magenta_terracotta: #2, 819(26%)
minecraft.picked_up.trapped_chest: #2, 4(27%)
minecraft.used.cobblestone_slab: #3, 2762(11%)
minecraft.crafted.crossbow: #2, 130(8%)
minecraft.used.crimson_stairs: #3, 250(14%)
minecraft.mined.bone_block: #3, 720(10%)
minecraft.mined.magenta_terracotta: #2, 31(14%)
minecraft.crafted.magenta_terracotta: #3, 984(15%)
minecraft.picked_up.cut_sandstone_slab: #3, 173(12%)
minecraft.mined.blue_wool: #3, 80(9%)
minecraft.used.smooth_sandstone_stairs: #2, 2112(3%)
minecraft.used.cyan_carpet: #4, 1143(14%)
minecraft.killed.cow: #4, 973(9%)
minecraft.picked_up.cooked_salmon: #4, 48(12%)
minecraft.used.birch_fence: #4, 321(9%)
minecraft.mined.potted_oak_sapling: #3, 1(11%)
minecraft.picked_up.crimson_stairs: #4, 106(11%)
minecraft.crafted.oak_slab: #4, 1590(6%)
minecraft.used.bone_block: #4, 2905(7%)
minecraft.dropped.crossbow: #4, 128(6%)
minecraft.picked_up.yellow_shulker_box: #5, 504(10%)
minecraft.picked_up.redstone: #4, 22643(5%)
minecraft.picked_up.red_banner: #4, 8(9%)
minecraft.picked_up.cooked_beef: #5, 2233(9%)
minecraft.crafted.cobblestone_slab: #5, 2838(10%)
minecraft.mined.yellow_shulker_box: #5, 501(10%)
minecraft.used.yellow_shulker_box: #5, 501(9%)
minecraft.picked_up.white_concrete: #5, 9992(8%)
minecraft.picked_up.smooth_sandstone_stairs: #4, 468(5%)
minecraft.crafted.cyan_carpet: #5, 966(10%)
minecraft.custom.trigger_trapped_chest: #4, 52(11%)
minecraft.used.smooth_red_sandstone_slab: #4, 48(12%)
minecraft.used.netherite_hoe: #4, 35603(6%)
minecraft.mined.smooth_sandstone_stairs: #4, 361(4%)
minecraft.used.trapped_chest: #4, 5(9%)
minecraft.picked_up.blue_concrete_powder: #4, 448(4%)
minecraft.crafted.trapped_chest: #4, 4(8%)
minecraft.picked_up.birch_fence_gate: #5, 31(9%)
minecraft.mined.loom: #5, 23(8%)
minecraft.crafted.smooth_red_sandstone_slab: #4, 24(7%)
minecraft.used.birch_fence_gate: #5, 164(8%)
minecraft.crafted.birch_fence: #5, 264(8%)
minecraft.mined.birch_fence_gate: #5, 28(8%)
minecraft.picked_up.music_disc_wait: #4, 1(2%)
minecraft.mined.cyan_wool: #5, 37(6%)
minecraft.crafted.smooth_sandstone: #5, 1792(6%)
minecraft.crafted.lapis_block: #5, 657(4%)
minecraft.mined.polished_diorite: #5, 170(4%)
minecraft.picked_up.oak_slab: #6, 563(8%)
minecraft.dropped.red_bed: #5, 1(9%)
minecraft.killed_by.hoglin: #5, 2(5%)
minecraft.mined.light_gray_wool: #5, 59(2%)
minecraft.picked_up.lapis_lazuli: #6, 7844(5%)
minecraft.mined.oak_slab: #6, 273(6%)
minecraft.crafted.white_stained_glass_pane: #6, 864(6%)
minecraft.crafted.birch_fence_gate: #6, 143(6%)
minecraft.used.mossy_cobblestone: #6, 145(6%)
minecraft.picked_up.loom: #6, 23(6%)
minecraft.crafted.iron_boots: #6, 9(4%)
minecraft.picked_up.oak_leaves: #6, 33999(4%)
minecraft.picked_up.crossbow: #6, 42(4%)
minecraft.picked_up.birch_fence: #6, 85(5%)
minecraft.used.poisonous_potato: #6, 1(9%)
minecraft.picked_up.polished_diorite: #6, 176(4%)
minecraft.used.cyan_wool: #6, 124(3%)
minecraft.used.cooked_salmon: #6, 48(4%)
minecraft.crafted.iron_chestplate: #7, 10(7%)
minecraft.crafted.mossy_stone_brick_slab: #6, 12(5%)
minecraft.picked_up.leather: #7, 2287(5%)
minecraft.mined.smooth_red_sandstone_slab: #6, 4(3%)
minecraft.mined.white_concrete: #7, 10105(5%)
minecraft.used.loom: #7, 54(5%)
minecraft.dropped.smooth_sandstone_stairs: #6, 12(2%)
minecraft.crafted.diamond_hoe: #7, 5(5%)
minecraft.picked_up.magenta_dye: #6, 5(1%)
minecraft.picked_up.lapis_block: #7, 197(5%)
minecraft.mined.oak_leaves: #7, 34656(4%)
minecraft.crafted.mossy_cobblestone_slab: #7, 36(7%)
minecraft.used.smooth_sandstone_slab: #7, 1098(4%)
minecraft.used.hay_block: #7, 62(3%)
minecraft.picked_up.netherite_chestplate: #7, 2(5%)
minecraft.crafted.mossy_cobblestone: #7, 192(4%)
minecraft.mined.smooth_sandstone_slab: #7, 159(3%)
minecraft.picked_up.music_disc_13: #7, 2(3%)
minecraft.picked_up.golden_horse_armor: #7, 2(5%)
minecraft.used.blue_concrete_powder: #7, 512(3%)
minecraft.mined.crimson_fence: #7, 9(3%)
minecraft.used.red_banner: #7, 14(4%)
minecraft.broken.iron_sword: #7, 2(3%)
minecraft.mined.crimson_stairs: #7, 8(3%)
minecraft.crafted.cut_sandstone_slab: #7, 126(4%)
minecraft.used.item_frame: #8, 545(5%)
minecraft.crafted.smooth_sandstone_slab: #7, 390(2%)
minecraft.picked_up.crimson_fence: #7, 9(2%)
minecraft.crafted.polished_blackstone_brick_wall: #7, 42(3%)
minecraft.crafted.iron_leggings: #8, 9(5%)
minecraft.dropped.ghast_tear: #7, 6(1%)
minecraft.used.smooth_red_sandstone_stairs: #7, 10(2%)
minecraft.picked_up.smooth_red_sandstone_slab: #7, 4(2%)
minecraft.used.azure_bluet: #7, 5(1%)
minecraft.used.blue_orchid: #7, 5(1%)
minecraft.used.yellow_banner: #7, 1(1%)
minecraft.crafted.redstone_block: #8, 2235(4%)
minecraft.picked_up.purple_dye: #7, 2(0%)
minecraft.picked_up.bookshelf: #8, 132(5%)
minecraft.picked_up.coal: #8, 13954(4%)
minecraft.mined.ender_chest: #8, 519(3%)
minecraft.used.ender_chest: #8, 525(3%)
minecraft.picked_up.ender_chest: #8, 526(3%)
