stat, rank, value, (percentage) 
minecraft.killed.hoglin: #1, 8399(91%)
minecraft.crafted.blaze_powder: #1, 62094(91%)
minecraft.picked_up.rabbit: #1, 3207(94%)
minecraft.killed.witch: #1, 78790(91%)
minecraft.killed.blaze: #1, 36599(81%)
minecraft.custom.minecart_one_cm: #1, 119582133(72%)
minecraft.dropped.cooked_porkchop: #1, 22691(89%)
minecraft.picked_up.tropical_fish: #1, 1837(73%)
minecraft.killed.skeleton: #1, 112994(66%)
minecraft.crafted.fermented_spider_eye: #1, 8660(89%)
minecraft.killed.magma_cube: #1, 23332(71%)
minecraft.picked_up.rabbit_hide: #1, 3323(90%)
minecraft.picked_up.phantom_membrane: #1, 4492(77%)
minecraft.dropped.tropical_fish: #1, 21048(99%)
minecraft.killed.slime: #1, 41496(74%)
minecraft.used.netherite_sword: #1, 479237(69%)
minecraft.killed.rabbit: #1, 1882(89%)
minecraft.mined.nether_wart: #1, 59378(69%)
minecraft.killed.zombified_piglin: #1, 429638(72%)
minecraft.killed.phantom: #1, 2254(68%)
minecraft.picked_up.glass_bottle: #1, 9099(67%)
minecraft.custom.damage_dealt: #1, 39794895(50%)
minecraft.used.nether_wart: #1, 60067(67%)
minecraft.picked_up.light_gray_concrete_powder: #1, 23747(65%)
minecraft.picked_up.purple_concrete_powder: #1, 8253(94%)
minecraft.dropped.porkchop: #1, 2957(87%)
minecraft.crafted.gold_nugget: #1, 125567(64%)
minecraft.picked_up.white_concrete_powder: #1, 114404(53%)
minecraft.dropped.glowstone_dust: #1, 1045(64%)
minecraft.used.obsidian: #1, 17127(49%)
minecraft.dropped.chicken: #1, 3074(60%)
minecraft.crafted.minecart: #1, 2076(47%)
minecraft.picked_up.brown_concrete_powder: #1, 6476(48%)
minecraft.used.glass_bottle: #1, 6736(48%)
minecraft.picked_up.yellow_concrete_powder: #1, 9550(69%)
minecraft.crafted.yellow_wool: #1, 982(72%)
minecraft.used.yellow_terracotta: #1, 6469(66%)
minecraft.used.bone_block: #1, 21306(50%)
minecraft.used.jungle_trapdoor: #1, 3124(61%)
minecraft.picked_up.honeycomb: #1, 21211(94%)
minecraft.picked_up.seagrass: #1, 5673(54%)
minecraft.mined.obsidian: #1, 16561(42%)
minecraft.picked_up.honey_bottle: #1, 555(68%)
minecraft.killed.tropical_fish: #1, 563(59%)
minecraft.crafted.bone_block: #1, 76852(45%)
minecraft.used.jungle_door: #1, 952(89%)
minecraft.picked_up.red_concrete_powder: #1, 11595(56%)
minecraft.crafted.glistering_melon_slice: #1, 13506(73%)
minecraft.crafted.jungle_door: #1, 996(85%)
minecraft.picked_up.blaze_powder: #1, 1199(52%)
minecraft.used.purple_concrete_powder: #1, 7625(54%)
minecraft.picked_up.magenta_concrete_powder: #1, 5950(92%)
minecraft.custom.mob_kills: #1, 777814(34%)
minecraft.used.honey_block: #1, 6347(44%)
minecraft.killed.snow_golem: #1, 612(69%)
minecraft.mined.white_bed: #1, 1282(35%)
minecraft.used.white_concrete_powder: #1, 110732(36%)
minecraft.picked_up.white_bed: #1, 1298(34%)
minecraft.used.cooked_salmon: #1, 758(60%)
minecraft.picked_up.sugar: #1, 2041(49%)
minecraft.used.white_bed: #1, 1331(33%)
minecraft.picked_up.gray_concrete_powder: #1, 46956(36%)
minecraft.picked_up.blue_concrete_powder: #1, 6032(48%)
minecraft.dropped.leather: #1, 4228(43%)
minecraft.crafted.purple_concrete_powder: #1, 7648(48%)
