stat, rank, value, (percentage) 
minecraft.picked_up.light_gray_dye: #1, 7739(88%)
minecraft.dropped.rose_bush: #1, 6846(82%)
minecraft.picked_up.dark_oak_sign: #1, 1359(72%)
minecraft.dropped.stone_brick_slab: #1, 7398(80%)
minecraft.dropped.spruce_sign: #1, 1218(74%)
minecraft.dropped.polished_andesite_slab: #1, 3740(70%)
minecraft.dropped.white_wool: #1, 5767(66%)
minecraft.dropped.light_gray_wool: #1, 8007(83%)
minecraft.dropped.cocoa_beans: #1, 10687(83%)
minecraft.dropped.cyan_terracotta: #1, 4932(68%)
minecraft.dropped.spruce_fence: #1, 3119(76%)
minecraft.dropped.glass_pane: #1, 2757(90%)
minecraft.picked_up.flower_pot: #1, 1502(60%)
minecraft.dropped.red_dye: #1, 1847(78%)
minecraft.picked_up.white_stained_glass_pane: #1, 3438(57%)
minecraft.dropped.mushroom_stem: #1, 9004(96%)
minecraft.dropped.stone_slab: #1, 13439(66%)
minecraft.picked_up.andesite_stairs: #1, 2090(67%)
minecraft.dropped.andesite_slab: #1, 5856(79%)
minecraft.dropped.dark_oak_stairs: #1, 2937(85%)
minecraft.picked_up.light_gray_stained_glass_pane: #1, 8353(54%)
minecraft.dropped.nether_brick_slab: #1, 2756(84%)
minecraft.picked_up.blue_dye: #1, 8538(89%)
minecraft.dropped.light_gray_stained_glass_pane: #1, 6758(55%)
minecraft.picked_up.red_dye: #1, 2402(64%)
minecraft.dropped.white_dye: #1, 3626(71%)
minecraft.dropped.sugar_cane: #1, 20534(54%)
minecraft.picked_up.glass_pane: #1, 3444(54%)
minecraft.picked_up.egg: #1, 10112(45%)
minecraft.dropped.nether_wart_block: #1, 4839(59%)
minecraft.dropped.chain: #1, 2674(61%)
minecraft.picked_up.white_dye: #1, 5017(55%)
minecraft.dropped.dark_oak_fence: #1, 1631(91%)
minecraft.dropped.coarse_dirt: #1, 3595(54%)
minecraft.dropped.brown_wool: #1, 3916(89%)
minecraft.dropped.dark_oak_trapdoor: #1, 1394(72%)
minecraft.dropped.black_banner: #1, 635(89%)
minecraft.dropped.quartz_slab: #1, 2632(89%)
minecraft.dropped.light_gray_dye: #1, 5880(96%)
minecraft.picked_up.spruce_sign: #1, 1311(44%)
minecraft.dropped.stone_stairs: #1, 2871(74%)
minecraft.picked_up.stone_slab: #1, 14862(45%)
minecraft.picked_up.mushroom_stem: #1, 10778(49%)
minecraft.picked_up.andesite_slab: #1, 6711(51%)
minecraft.picked_up.quartz_slab: #1, 3254(46%)
minecraft.dropped.dark_oak_sign: #1, 1352(84%)
minecraft.picked_up.blackstone_wall: #1, 1304(56%)
minecraft.picked_up.stone_stairs: #1, 3493(46%)
