stat, rank, value, (percentage) 
minecraft.used.rose_bush: #1, 2888(78%)
minecraft.used.smooth_sandstone_stairs: #1, 71107(86%)
minecraft.crafted.lapis_lazuli: #1, 40531(62%)
minecraft.dropped.glass_bottle: #1, 4516(69%)
minecraft.picked_up.black_carpet: #1, 71622(63%)
minecraft.used.chorus_fruit: #1, 1461(72%)
minecraft.picked_up.smooth_sandstone_stairs: #1, 6691(65%)
minecraft.mined.ancient_debris: #1, 3947(56%)
minecraft.mined.podzol: #1, 42186(58%)
minecraft.mined.smooth_sandstone_stairs: #1, 5863(67%)
minecraft.mined.snow_block: #1, 23306(74%)
minecraft.used.sandstone: #1, 76379(54%)
minecraft.used.cut_sandstone: #1, 21531(68%)
minecraft.picked_up.podzol: #1, 41313(58%)
minecraft.picked_up.ancient_debris: #1, 4011(52%)
minecraft.mined.cut_sandstone: #1, 4246(60%)
minecraft.used.podzol: #1, 26495(66%)
minecraft.mined.kelp_plant: #1, 11230(52%)
minecraft.dropped.rotten_flesh: #1, 294683(48%)
minecraft.used.blackstone_stairs: #1, 5298(61%)
minecraft.crafted.lapis_block: #1, 8388(47%)
minecraft.used.blue_ice: #1, 8077(91%)
minecraft.used.lapis_block: #1, 9051(90%)
minecraft.picked_up.rotten_flesh: #1, 110012(40%)
minecraft.used.crimson_fungus: #1, 1602(56%)
minecraft.dropped.shulker_box: #1, 792(44%)
minecraft.picked_up.cut_sandstone: #1, 4199(54%)
minecraft.used.ancient_debris: #1, 2291(85%)
minecraft.used.glowstone: #1, 8730(42%)
minecraft.picked_up.snow_block: #1, 21280(59%)
minecraft.crafted.cut_sandstone: #1, 17443(66%)
minecraft.mined.blackstone_stairs: #1, 904(55%)
minecraft.used.warped_fungus: #1, 4053(54%)
minecraft.crafted.sugar: #1, 9794(44%)
minecraft.crafted.sandstone_wall: #1, 5007(64%)
minecraft.used.chiseled_nether_bricks: #1, 1409(59%)
minecraft.used.chiseled_sandstone: #1, 6150(73%)
minecraft.crafted.blackstone_stairs: #1, 2135(52%)
minecraft.picked_up.chiseled_nether_bricks: #1, 423(59%)
minecraft.used.cactus: #1, 3587(43%)
minecraft.picked_up.kelp: #1, 85438(40%)
minecraft.mined.purple_stained_glass_pane: #1, 959(83%)
minecraft.used.warped_roots: #1, 652(61%)
minecraft.mined.chiseled_nether_bricks: #1, 435(59%)
minecraft.crafted.sandstone: #1, 8488(45%)
minecraft.mined.netherrack: #1, 835546(37%)
minecraft.mined.black_carpet: #1, 16147(44%)
minecraft.picked_up.blackstone_stairs: #1, 949(49%)
minecraft.used.crimson_stem: #1, 3522(42%)
minecraft.mined.green_stained_glass: #1, 1365(68%)
minecraft.crafted.dried_kelp_block: #1, 63855(62%)
minecraft.mined.brown_carpet: #1, 611(46%)
minecraft.custom.target_hit: #1, 5648(42%)
minecraft.used.purple_stained_glass_pane: #1, 7515(79%)
minecraft.used.gold_block: #1, 6500(38%)
minecraft.used.black_carpet: #1, 71606(43%)
minecraft.picked_up.yellow_banner: #1, 76(72%)
minecraft.crafted.gold_block: #1, 19679(36%)
minecraft.used.cookie: #1, 87(41%)
minecraft.picked_up.lapis_block: #1, 1679(43%)
minecraft.dropped.orange_carpet: #1, 662(86%)
minecraft.used.brown_bed: #1, 339(57%)
minecraft.picked_up.spruce_boat: #1, 232(48%)
minecraft.mined.red_carpet: #1, 826(39%)
minecraft.crafted.sandstone_slab: #1, 21422(50%)
minecraft.crafted.chiseled_sandstone: #1, 5383(93%)
minecraft.custom.horse_one_cm: #1, 4642592(36%)
minecraft.used.pumpkin_pie: #1, 1902(42%)
minecraft.picked_up.purple_stained_glass_pane: #1, 1128(83%)
minecraft.used.vine: #1, 1069(40%)
minecraft.used.snowball: #1, 5026(44%)
minecraft.dropped.stripped_birch_log: #1, 159(69%)
minecraft.mined.green_concrete_powder: #1, 3521(51%)
minecraft.used.lapis_ore: #1, 2062(39%)
minecraft.mined.spawner: #1, 76(63%)
minecraft.mined.spruce_trapdoor: #1, 4800(35%)
minecraft.used.turtle_egg: #1, 1126(62%)
minecraft.crafted.smooth_sandstone_stairs: #1, 5244(57%)
minecraft.dropped.blue_stained_glass: #1, 157(89%)
minecraft.crafted.warped_button: #1, 214(79%)
minecraft.used.sandstone_wall: #1, 5647(46%)
minecraft.picked_up.honeycomb_block: #1, 1156(52%)
minecraft.dropped.polished_blackstone_wall: #1, 425(78%)
minecraft.used.shroomlight: #1, 2968(35%)
minecraft.picked_up.red_carpet: #1, 1324(35%)
minecraft.crafted.purple_stained_glass_pane: #1, 7072(77%)
minecraft.dropped.birch_planks: #1, 844(35%)
minecraft.picked_up.warped_fungus: #1, 3148(35%)
minecraft.used.birch_log: #1, 6410(33%)
minecraft.used.iron_door: #1, 366(36%)
minecraft.used.warped_button: #1, 162(75%)
minecraft.dropped.spider_eye: #1, 6103(36%)
minecraft.used.honeycomb_block: #1, 5529(62%)
minecraft.crafted.netherite_ingot: #1, 413(32%)
minecraft.crafted.brown_bed: #1, 321(83%)
minecraft.picked_up.polished_blackstone_wall: #1, 945(35%)
minecraft.mined.birch_wall_sign: #1, 526(32%)
minecraft.used.spruce_trapdoor: #1, 13515(32%)
minecraft.mined.target: #1, 393(52%)
minecraft.mined.sea_pickle: #1, 433(36%)
minecraft.used.polished_diorite: #1, 4735(34%)
minecraft.used.orange_glazed_terracotta: #1, 810(89%)
minecraft.picked_up.green_stained_glass: #1, 1413(55%)
minecraft.dropped.polished_basalt: #1, 519(65%)
minecraft.picked_up.sandstone_wall: #1, 1486(42%)
minecraft.custom.play_noteblock: #2, 3879(41%)
minecraft.picked_up.green_concrete: #1, 3955(35%)
minecraft.used.potion: #1, 748(30%)
minecraft.dropped.yellow_banner: #1, 28(78%)
minecraft.picked_up.blue_concrete: #1, 4043(33%)
minecraft.dropped.cut_sandstone: #1, 921(50%)
minecraft.dropped.clock: #1, 59(58%)
minecraft.custom.interact_with_smoker: #1, 857(39%)
minecraft.used.light_gray_glazed_terracotta: #1, 1401(77%)
minecraft.mined.white_shulker_box: #1, 1625(31%)
minecraft.dropped.smooth_sandstone_slab: #1, 398(62%)
minecraft.dropped.mossy_cobblestone: #1, 376(43%)
minecraft.used.crimson_roots: #1, 86(40%)
minecraft.used.horn_coral: #1, 74(68%)
minecraft.dropped.brown_mushroom_block: #1, 2545(62%)
minecraft.picked_up.chiseled_sandstone: #1, 1107(48%)
minecraft.picked_up.white_shulker_box: #1, 1633(31%)
minecraft.mined.sandstone: #1, 140337(29%)
minecraft.mined.crimson_fence: #1, 124(42%)
minecraft.dropped.gold_block: #1, 650(42%)
minecraft.mined.lapis_block: #1, 638(67%)
minecraft.picked_up.brown_carpet: #1, 1020(35%)
minecraft.dropped.sandstone: #1, 4511(30%)
minecraft.picked_up.sandstone: #1, 139979(29%)
minecraft.used.white_shulker_box: #1, 1624(30%)
minecraft.mined.sandstone_wall: #1, 1274(39%)
