stat, rank, value, (percentage) 
minecraft.used.light_gray_carpet: #1, 42498(78%)
minecraft.crafted.light_gray_carpet: #1, 33120(71%)
minecraft.picked_up.light_gray_carpet: #1, 9725(62%)
minecraft.mined.magenta_stained_glass: #1, 224(51%)
minecraft.mined.light_gray_carpet: #1, 2006(40%)
minecraft.crafted.red_sandstone: #1, 7313(54%)
minecraft.picked_up.purpur_stairs: #1, 838(45%)
minecraft.used.smooth_red_sandstone: #1, 6114(85%)
minecraft.mined.warped_roots: #1, 3449(38%)
minecraft.mined.purpur_stairs: #1, 813(43%)
minecraft.picked_up.gray_concrete: #1, 49878(36%)
minecraft.mined.nether_sprouts: #1, 2010(37%)
minecraft.crafted.cyan_stained_glass: #1, 29168(38%)
minecraft.picked_up.pink_terracotta: #1, 1523(58%)
minecraft.picked_up.magenta_stained_glass: #1, 286(39%)
minecraft.used.cyan_stained_glass: #2, 34249(39%)
minecraft.dropped.magenta_stained_glass: #1, 64(54%)
minecraft.used.gray_concrete_powder: #1, 89919(29%)
minecraft.mined.smooth_red_sandstone: #1, 942(75%)
minecraft.picked_up.smooth_red_sandstone: #1, 848(67%)
minecraft.used.crimson_slab: #1, 2416(40%)
minecraft.dropped.soul_torch: #1, 64(52%)
minecraft.picked_up.purpur_block: #1, 2342(34%)
minecraft.used.warped_stem: #1, 6942(29%)
minecraft.used.nether_brick_fence: #1, 811(42%)
minecraft.mined.purpur_block: #1, 2188(33%)
minecraft.picked_up.yellow_terracotta: #1, 23978(29%)
minecraft.crafted.crimson_slab: #1, 2117(34%)
minecraft.picked_up.purpur_pillar: #1, 937(31%)
minecraft.used.cyan_concrete: #1, 8983(29%)
minecraft.used.gray_concrete: #1, 63984(26%)
minecraft.mined.gray_concrete: #1, 50025(27%)
minecraft.crafted.nether_brick_stairs: #1, 1472(46%)
minecraft.mined.warped_fungus: #1, 586(27%)
minecraft.mined.yellow_terracotta: #1, 22208(29%)
minecraft.crafted.gray_concrete_powder: #1, 90416(28%)
minecraft.picked_up.cyan_concrete: #1, 8453(26%)
minecraft.picked_up.detector_rail: #1, 123(29%)
minecraft.used.black_stained_glass: #1, 24024(26%)
minecraft.used.green_concrete_powder: #1, 13978(26%)
minecraft.mined.purpur_pillar: #1, 780(27%)
minecraft.crafted.black_stained_glass: #1, 23992(26%)
minecraft.mined.cyan_concrete: #1, 8368(25%)
minecraft.crafted.green_concrete_powder: #1, 15856(27%)
minecraft.mined.cyan_carpet: #1, 293(27%)
minecraft.mined.cyan_concrete_powder: #1, 182(50%)
