stat, rank, value, (percentage) 
minecraft.mined.acacia_wall_sign: #1, 667(78%)
minecraft.picked_up.acacia_sign: #1, 681(61%)
minecraft.killed.bat: #1, 808(48%)
minecraft.dropped.light_gray_concrete_powder: #1, 2533(83%)
minecraft.mined.lily_pad: #1, 934(55%)
minecraft.dropped.salmon: #1, 352(54%)
minecraft.picked_up.iron_boots: #1, 291(40%)
minecraft.dropped.white_concrete_powder: #1, 5876(66%)
minecraft.used.prismarine_brick_slab: #1, 3588(78%)
minecraft.used.birch_planks: #1, 13036(37%)
minecraft.dropped.black_concrete_powder: #1, 2231(72%)
minecraft.used.birch_trapdoor: #1, 2578(33%)
minecraft.dropped.potion: #1, 1420(35%)
minecraft.dropped.rabbit: #1, 87(43%)
minecraft.dropped.blue_concrete_powder: #1, 448(96%)
minecraft.mined.prismarine_brick_slab: #1, 1180(73%)
minecraft.crafted.clay: #1, 1707(47%)
minecraft.dropped.rabbit_hide: #1, 100(40%)
minecraft.picked_up.lily_pad: #1, 941(30%)
minecraft.picked_up.experience_bottle: #1, 644(55%)
minecraft.dropped.cooked_mutton: #1, 329(42%)
minecraft.killed.dolphin: #1, 33(45%)
minecraft.mined.turtle_egg: #1, 1243(37%)
minecraft.crafted.birch_trapdoor: #2, 2562(29%)
minecraft.killed.drowned: #2, 3563(27%)
minecraft.dropped.mutton: #1, 230(30%)
minecraft.picked_up.prismarine_brick_slab: #1, 1320(57%)
minecraft.killed.piglin: #1, 422(20%)
minecraft.picked_up.blue_shulker_box: #1, 495(26%)
minecraft.mined.blue_shulker_box: #1, 490(26%)
minecraft.mined.detector_rail: #1, 62(26%)
minecraft.dropped.iron_boots: #2, 761(28%)
minecraft.killed.mooshroom: #1, 553(39%)
minecraft.crafted.trapped_chest: #1, 32(62%)
minecraft.crafted.golden_boots: #1, 31(26%)
minecraft.used.trapped_chest: #1, 34(60%)
minecraft.dropped.birch_sapling: #2, 377(24%)
minecraft.used.tube_coral_block: #1, 156(44%)
minecraft.used.chiseled_red_sandstone: #1, 386(77%)
minecraft.mined.lectern: #2, 1438(20%)
minecraft.used.blue_shulker_box: #2, 490(25%)
minecraft.dropped.light_blue_concrete_powder: #1, 448(76%)
minecraft.picked_up.lectern: #2, 1440(19%)
minecraft.dropped.cyan_concrete_powder: #1, 200(93%)
minecraft.used.lectern: #2, 1478(19%)
minecraft.dropped.bread: #2, 7247(23%)
minecraft.killed.salmon: #2, 216(26%)
minecraft.picked_up.cooked_beef: #1, 3476(14%)
minecraft.custom.trigger_trapped_chest: #1, 199(41%)
minecraft.picked_up.orange_banner: #1, 18(46%)
minecraft.crafted.netherite_shovel: #1, 9(32%)
minecraft.dropped.cooked_salmon: #1, 109(40%)
minecraft.dropped.dark_oak_planks: #2, 577(21%)
minecraft.picked_up.arrow: #1, 11092(12%)
minecraft.dropped.trident: #1, 13(23%)
minecraft.dropped.chest: #2, 301(19%)
minecraft.picked_up.clay_ball: #2, 7232(17%)
minecraft.crafted.bread: #2, 5322(17%)
minecraft.mined.white_bed: #2, 577(16%)
minecraft.picked_up.white_bed: #2, 594(16%)
minecraft.dropped.phantom_membrane: #1, 58(26%)
minecraft.dropped.lapis_block: #1, 576(36%)
minecraft.used.white_bed: #2, 608(15%)
minecraft.used.blackstone_stairs: #2, 1812(21%)
minecraft.crafted.orange_banner: #1, 54(45%)
minecraft.dropped.enchanted_book: #2, 471(19%)
minecraft.picked_up.golden_boots: #1, 53(11%)
minecraft.used.warped_roots: #2, 258(24%)
minecraft.used.detector_rail: #2, 86(17%)
minecraft.mined.sea_pickle: #2, 207(17%)
minecraft.picked_up.nautilus_shell: #2, 76(18%)
minecraft.picked_up.oak_boat: #1, 143(10%)
minecraft.used.splash_potion: #2, 231(15%)
minecraft.used.oak_boat: #1, 138(9%)
minecraft.dropped.fishing_rod: #2, 35(21%)
minecraft.picked_up.gold_block: #2, 1686(14%)
minecraft.picked_up.enchanted_book: #2, 300(13%)
minecraft.picked_up.turtle_egg: #2, 1233(21%)
minecraft.mined.brown_banner: #1, 4(67%)
minecraft.picked_up.detector_rail: #2, 67(16%)
minecraft.mined.emerald_block: #3, 1654(16%)
minecraft.picked_up.sea_pickle: #2, 651(15%)
minecraft.crafted.golden_chestplate: #2, 25(21%)
minecraft.picked_up.potion: #2, 429(13%)
minecraft.mined.chiseled_sandstone: #2, 407(22%)
minecraft.picked_up.emerald_block: #3, 1658(15%)
minecraft.mined.orange_wall_banner: #1, 5(45%)
minecraft.custom.interact_with_grindstone: #2, 317(13%)
minecraft.used.cooked_beef: #2, 2516(11%)
minecraft.dropped.rotten_flesh: #3, 96394(16%)
minecraft.used.tripwire_hook: #2, 87(12%)
minecraft.dropped.ender_pearl: #2, 46749(11%)
minecraft.picked_up.tube_coral_fan: #2, 121(16%)
minecraft.used.fletching_table: #2, 108(19%)
minecraft.crafted.arrow: #2, 5152(22%)
minecraft.picked_up.chiseled_sandstone: #2, 410(18%)
minecraft.mined.tube_coral_wall_fan: #2, 106(14%)
minecraft.picked_up.fletching_table: #2, 91(16%)
minecraft.killed.cat: #2, 26(19%)
minecraft.used.birch_pressure_plate: #2, 47(17%)
minecraft.picked_up.golden_leggings: #2, 51(10%)
minecraft.dropped.pink_glazed_terracotta: #1, 7(70%)
minecraft.mined.fletching_table: #2, 91(17%)
minecraft.crafted.leather_horse_armor: #1, 7(64%)
minecraft.mined.oak_fence: #2, 574(9%)
minecraft.dropped.lily_of_the_valley: #2, 15(15%)
minecraft.killed.creeper: #2, 846(9%)
minecraft.picked_up.golden_chestplate: #2, 39(9%)
minecraft.picked_up.seagrass: #2, 1168(11%)
minecraft.used.sea_pickle: #3, 615(16%)
minecraft.dropped.chainmail_leggings: #3, 20(16%)
minecraft.used.beehive: #2, 269(13%)
minecraft.mined.blackstone_stairs: #2, 191(12%)
minecraft.used.turtle_egg: #2, 286(16%)
minecraft.crafted.netherite_pickaxe: #2, 8(14%)
minecraft.crafted.conduit: #2, 4(25%)
minecraft.dropped.green_glazed_terracotta: #1, 7(100%)
minecraft.crafted.flint: #1, 440(100%)
minecraft.crafted.chainmail_chestplate: #2, 9(33%)
minecraft.crafted.detector_rail: #2, 126(11%)
minecraft.crafted.golden_apple: #3, 688(17%)
minecraft.crafted.birch_pressure_plate: #2, 33(14%)
minecraft.dropped.coal_block: #2, 256(14%)
minecraft.crafted.chainmail_leggings: #2, 12(32%)
minecraft.killed.pufferfish: #3, 59(17%)
