stat, rank, value, (percentage) 
minecraft.used.oak_log: #1, 33399(57%)
minecraft.dropped.crossbow: #1, 1237(56%)
minecraft.crafted.light_weighted_pressure_plate: #1, 10708(80%)
minecraft.used.oak_wood: #1, 37892(74%)
minecraft.used.light_weighted_pressure_plate: #1, 10897(79%)
minecraft.crafted.oak_wood: #1, 37596(73%)
minecraft.dropped.slime_block: #1, 2269(67%)
minecraft.dropped.oak_sapling: #1, 3372(50%)
minecraft.crafted.crossbow: #1, 1157(67%)
minecraft.picked_up.oak_sapling: #1, 26129(42%)
minecraft.crafted.wooden_shovel: #1, 394(71%)
minecraft.mined.gold_block: #1, 3390(47%)
minecraft.picked_up.fletching_table: #1, 357(64%)
minecraft.mined.fletching_table: #1, 357(67%)
minecraft.used.oak_sapling: #1, 17634(42%)
minecraft.used.fletching_table: #1, 358(63%)
minecraft.mined.purple_wool: #1, 573(58%)
minecraft.dropped.wooden_shovel: #1, 167(80%)
minecraft.crafted.yellow_shulker_box: #1, 147(39%)
minecraft.picked_up.apple: #1, 2899(35%)
minecraft.picked_up.light_weighted_pressure_plate: #1, 1343(70%)
minecraft.crafted.arrow: #1, 16309(69%)
minecraft.dropped.golden_sword: #1, 1440(40%)
minecraft.picked_up.gold_block: #1, 4150(34%)
minecraft.mined.jungle_planks: #1, 1360(35%)
minecraft.dropped.oak_slab: #1, 490(38%)
minecraft.dropped.melon: #1, 2053(50%)
minecraft.used.gold_block: #2, 5903(34%)
minecraft.picked_up.slime_block: #1, 4364(31%)
minecraft.dropped.white_stained_glass: #1, 378(42%)
minecraft.used.iron_ore: #1, 219(30%)
minecraft.crafted.slime_ball: #1, 21183(39%)
minecraft.used.oak_slab: #1, 4695(29%)
minecraft.picked_up.wooden_shovel: #1, 148(90%)
minecraft.crafted.bow: #1, 1606(26%)
minecraft.mined.light_weighted_pressure_plate: #1, 362(51%)
minecraft.used.slime_block: #1, 4452(25%)
minecraft.crafted.golden_shovel: #1, 137(93%)
minecraft.picked_up.diamond_ore: #1, 5668(24%)
minecraft.dropped.pumpkin_seeds: #2, 4394(34%)
minecraft.used.diamond_ore: #1, 4606(24%)
minecraft.mined.slime_block: #1, 1955(23%)
minecraft.dropped.diamond_hoe: #1, 18(38%)
minecraft.used.golden_shovel: #1, 939(34%)
minecraft.used.oak_leaves: #2, 55803(25%)
minecraft.used.spruce_door: #1, 160(25%)
minecraft.crafted.oak_slab: #1, 5115(21%)
minecraft.used.flint_and_steel: #1, 1284(19%)
minecraft.dropped.wither_rose: #1, 372(46%)
minecraft.dropped.arrow: #2, 24979(24%)
minecraft.dropped.oak_door: #1, 64(42%)
minecraft.crafted.netherite_scrap: #1, 670(24%)
minecraft.picked_up.jungle_planks: #1, 1352(21%)
minecraft.mined.redstone_lamp: #1, 379(21%)
minecraft.picked_up.redstone_lamp: #1, 477(21%)
minecraft.mined.birch_button: #1, 25(36%)
minecraft.dropped.diorite: #1, 13293(19%)
minecraft.used.furnace: #1, 1203(17%)
minecraft.dropped.bow: #2, 1787(22%)
minecraft.picked_up.diamond_hoe: #1, 20(23%)
minecraft.dropped.gold_block: #2, 498(32%)
minecraft.mined.oak_fence_gate: #2, 223(24%)
minecraft.used.stripped_warped_stem: #1, 383(34%)
minecraft.used.jack_o_lantern: #1, 782(29%)
minecraft.mined.oak_wood: #2, 949(33%)
