stat, rank, value, (percentage) 
minecraft.crafted.armor_stand: #1, 31773(84%)
minecraft.used.sweet_berries: #1, 16301(87%)
minecraft.picked_up.sweet_berries: #1, 45768(75%)
minecraft.used.iron_hoe: #1, 27943(74%)
minecraft.used.white_stained_glass: #1, 44673(59%)
minecraft.used.iron_pickaxe: #1, 78091(49%)
minecraft.used.iron_shovel: #1, 67595(48%)
minecraft.picked_up.white_stained_glass: #1, 7804(52%)
minecraft.used.iron_sword: #1, 21496(48%)
minecraft.crafted.white_stained_glass: #1, 46008(53%)
minecraft.mined.sweet_berry_bush: #1, 4407(56%)
minecraft.picked_up.lime_stained_glass_pane: #1, 973(56%)
minecraft.mined.lime_stained_glass_pane: #1, 865(61%)
minecraft.crafted.iron_pickaxe: #1, 260(40%)
minecraft.mined.white_stained_glass: #1, 4721(44%)
minecraft.used.light_gray_terracotta: #1, 16361(49%)
minecraft.used.iron_axe: #1, 18725(37%)
minecraft.used.stone_sword: #1, 1313(50%)
minecraft.broken.iron_pickaxe: #1, 119(35%)
minecraft.broken.iron_shovel: #1, 149(37%)
minecraft.crafted.oak_boat: #1, 126(35%)
minecraft.crafted.blackstone_slab: #1, 4791(45%)
minecraft.used.mushroom_stew: #1, 530(95%)
minecraft.crafted.iron_shovel: #1, 250(31%)
minecraft.crafted.stick: #1, 197591(29%)
minecraft.dropped.light_blue_carpet: #1, 578(81%)
minecraft.crafted.light_gray_terracotta: #1, 12175(55%)
minecraft.crafted.charcoal: #1, 1654(44%)
minecraft.mined.beetroots: #1, 656(46%)
minecraft.used.bread: #1, 1381(33%)
minecraft.picked_up.birch_door: #1, 165(53%)
minecraft.picked_up.iron_pickaxe: #1, 89(35%)
minecraft.dropped.cyan_carpet: #1, 388(51%)
minecraft.used.purple_carpet: #1, 1661(33%)
minecraft.picked_up.purple_stained_glass: #1, 1398(44%)
minecraft.broken.golden_helmet: #1, 20(54%)
minecraft.used.blackstone_slab: #1, 5083(32%)
minecraft.used.stone_hoe: #1, 3186(35%)
minecraft.crafted.smooth_stone_slab: #1, 32204(27%)
minecraft.picked_up.mushroom_stew: #1, 117(89%)
minecraft.used.purple_stained_glass: #1, 5232(39%)
minecraft.mined.purple_stained_glass: #1, 1095(47%)
minecraft.picked_up.blue_stained_glass: #1, 912(37%)
minecraft.picked_up.yellow_stained_glass: #1, 1230(40%)
minecraft.picked_up.heart_of_the_sea: #1, 65(35%)
minecraft.mined.sunflower: #1, 41(36%)
minecraft.mined.cracked_stone_bricks: #1, 490(25%)
minecraft.mined.blue_carpet: #1, 929(64%)
minecraft.used.stone_pickaxe: #2, 9608(29%)
minecraft.used.ender_pearl: #1, 3864(24%)
minecraft.dropped.fern: #1, 205(38%)
minecraft.picked_up.armor_stand: #1, 1008(25%)
minecraft.dropped.heart_of_the_sea: #1, 72(40%)
minecraft.used.soul_soil: #1, 5282(31%)
minecraft.picked_up.iron_shovel: #1, 76(25%)
minecraft.broken.iron_sword: #1, 25(42%)
minecraft.crafted.snow_block: #1, 18767(32%)
minecraft.used.cornflower: #1, 107(33%)
minecraft.used.jungle_slab: #1, 4882(35%)
minecraft.crafted.jungle_stairs: #1, 1548(40%)
minecraft.mined.diorite_slab: #1, 704(57%)
minecraft.picked_up.bowl: #1, 53(36%)
minecraft.crafted.purple_carpet: #1, 1568(31%)
minecraft.used.wooden_pickaxe: #1, 142(23%)
minecraft.used.stone_axe: #1, 1296(22%)
minecraft.crafted.cooked_beef: #1, 3157(20%)
minecraft.dropped.light_blue_concrete: #1, 256(37%)
minecraft.used.diorite_slab: #1, 2536(60%)
minecraft.mined.nether_brick_stairs: #1, 603(27%)
minecraft.picked_up.blue_carpet: #1, 921(48%)
minecraft.mined.red_stained_glass: #2, 918(30%)
minecraft.crafted.diorite_slab: #1, 2106(68%)
minecraft.picked_up.iron_sword: #1, 73(19%)
minecraft.mined.mossy_cobblestone_stairs: #1, 29(42%)
minecraft.picked_up.soul_soil: #1, 6551(20%)
minecraft.used.red_stained_glass_pane: #1, 791(33%)
minecraft.mined.magenta_carpet: #1, 159(31%)
minecraft.mined.wheat: #1, 11208(18%)
minecraft.picked_up.nether_brick_stairs: #1, 610(25%)
minecraft.used.brown_wool: #2, 1989(25%)
minecraft.picked_up.diorite_slab: #1, 715(46%)
minecraft.used.oak_door: #1, 95(21%)
minecraft.crafted.mossy_cobblestone_stairs: #1, 52(37%)
minecraft.used.fern: #1, 1044(23%)
minecraft.crafted.nether_wart_block: #1, 40(45%)
minecraft.mined.spruce_door: #1, 27(25%)
minecraft.crafted.purple_stained_glass: #1, 4616(25%)
minecraft.mined.orange_carpet: #1, 241(25%)
minecraft.picked_up.granite_stairs: #1, 48(31%)
minecraft.mined.snow: #2, 75693(23%)
minecraft.mined.black_banner: #1, 37(57%)
minecraft.mined.large_fern: #1, 680(23%)
minecraft.mined.granite_stairs: #1, 50(33%)
minecraft.picked_up.chainmail_boots: #1, 24(19%)
minecraft.picked_up.iron_hoe: #1, 15(30%)
minecraft.picked_up.snowball: #2, 61462(24%)
minecraft.crafted.bowl: #1, 140(42%)
minecraft.custom.boat_one_cm: #1, 39489942(14%)
minecraft.custom.climb_one_cm: #1, 14876554(13%)
minecraft.killed.cow: #1, 1639(15%)
minecraft.used.granite_stairs: #1, 231(33%)
minecraft.broken.golden_leggings: #1, 11(73%)
minecraft.custom.damage_resisted: #2, 62801(19%)
minecraft.used.green_terracotta: #2, 2623(24%)
minecraft.picked_up.chainmail_chestplate: #1, 24(18%)
minecraft.killed_by.drowned: #1, 8(44%)
minecraft.used.snow_block: #2, 15510(24%)
minecraft.crafted.red_terracotta: #1, 4264(27%)
minecraft.crafted.stone_sword: #1, 14(21%)
minecraft.used.blue_carpet: #1, 1744(32%)
minecraft.crafted.iron_axe: #2, 54(19%)
minecraft.mined.red_stained_glass_pane: #2, 250(40%)
minecraft.used.rotten_flesh: #2, 207(26%)
