stat, rank, value, (percentage) 
minecraft.used.blackstone_wall: #1, 5535(67%)
minecraft.used.stone_button: #1, 31232(53%)
minecraft.crafted.stone_button: #1, 33479(54%)
minecraft.used.dark_oak_button: #1, 1390(70%)
minecraft.dropped.sweet_berries: #1, 1257(64%)
minecraft.crafted.dark_oak_button: #1, 1401(62%)
minecraft.mined.stone_brick_stairs: #1, 2129(42%)
minecraft.mined.stone_stairs: #1, 1314(41%)
minecraft.mined.polished_diorite: #1, 1930(42%)
minecraft.picked_up.polished_diorite: #1, 1936(39%)
minecraft.used.twisting_vines: #1, 821(51%)
minecraft.mined.acacia_fence: #1, 185(62%)
minecraft.picked_up.acacia_fence: #1, 181(54%)
minecraft.used.stone_stairs: #1, 4246(36%)
minecraft.used.stone_brick_stairs: #1, 5685(33%)
minecraft.used.beetroot_seeds: #1, 2182(51%)
minecraft.mined.stone_brick_wall: #1, 910(35%)
minecraft.used.dandelion: #1, 125(33%)
minecraft.used.acacia_log: #1, 3458(30%)
minecraft.used.potato: #1, 2190(33%)
minecraft.mined.coarse_dirt: #2, 9089(31%)
minecraft.picked_up.beetroot_seeds: #1, 2272(31%)
minecraft.used.birch_button: #1, 258(41%)
minecraft.used.crimson_nylium: #1, 1060(29%)
minecraft.used.warped_nylium: #1, 1113(30%)
minecraft.used.mossy_stone_brick_stairs: #1, 212(84%)
minecraft.mined.acacia_stairs: #1, 489(45%)
minecraft.mined.tall_grass: #1, 2329(26%)
minecraft.picked_up.acacia_slab: #1, 380(41%)
minecraft.mined.sweet_berry_bush: #2, 2817(36%)
minecraft.mined.oak_stairs: #1, 486(25%)
minecraft.crafted.birch_button: #1, 256(40%)
minecraft.picked_up.stone_brick_wall: #1, 890(31%)
minecraft.used.polished_andesite_stairs: #1, 4508(28%)
minecraft.picked_up.acacia_stairs: #1, 586(40%)
minecraft.mined.acacia_slab: #1, 307(43%)
minecraft.mined.prismarine_slab: #1, 239(57%)
minecraft.picked_up.polished_diorite_slab: #1, 618(46%)
minecraft.used.polished_blackstone_brick_stairs: #1, 1873(24%)
minecraft.used.polished_diorite_slab: #1, 2064(49%)
minecraft.picked_up.stone_brick_stairs: #2, 2209(25%)
minecraft.used.polished_diorite: #2, 3792(27%)
minecraft.mined.orange_concrete: #1, 3703(24%)
minecraft.dropped.bone_meal: #2, 6000(25%)
minecraft.mined.acacia_planks: #1, 410(35%)
minecraft.dropped.heart_of_the_sea: #2, 72(40%)
minecraft.mined.polished_diorite_slab: #1, 591(50%)
minecraft.crafted.redstone_lamp: #1, 1112(20%)
minecraft.picked_up.acacia_planks: #1, 500(25%)
minecraft.picked_up.heart_of_the_sea: #2, 60(32%)
minecraft.used.glass_pane: #1, 1563(20%)
minecraft.used.prismarine_slab: #1, 433(38%)
minecraft.picked_up.beetroot: #1, 651(30%)
minecraft.mined.diorite_stairs: #1, 177(60%)
minecraft.picked_up.polished_blackstone_brick_wall: #1, 130(26%)
minecraft.picked_up.polished_diorite_stairs: #1, 518(41%)
minecraft.used.blackstone_slab: #2, 4027(25%)
minecraft.dropped.spruce_pressure_plate: #1, 64(34%)
minecraft.mined.polished_blackstone_brick_wall: #1, 110(24%)
minecraft.used.oak_stairs: #2, 726(20%)
minecraft.crafted.spruce_pressure_plate: #1, 146(24%)
minecraft.picked_up.diorite_stairs: #1, 182(54%)
minecraft.dropped.acacia_stairs: #1, 64(63%)
minecraft.dropped.bone: #2, 8333(20%)
minecraft.crafted.orange_stained_glass_pane: #1, 1072(24%)
minecraft.used.diorite_stairs: #1, 293(60%)
minecraft.used.white_stained_glass_pane: #1, 2002(17%)
minecraft.mined.orange_bed: #1, 23(32%)
minecraft.picked_up.oak_stairs: #2, 484(19%)
minecraft.picked_up.stone_stairs: #2, 1543(20%)
minecraft.picked_up.painting: #1, 546(15%)
minecraft.mined.mossy_stone_brick_stairs: #1, 24(69%)
minecraft.crafted.daylight_detector: #2, 521(23%)
minecraft.used.acacia_fence: #1, 162(26%)
minecraft.mined.polished_diorite_stairs: #1, 512(42%)
minecraft.mined.nether_bricks: #2, 6396(19%)
minecraft.picked_up.orange_bed: #1, 24(32%)
minecraft.used.orange_concrete: #2, 3602(21%)
minecraft.used.polished_diorite_stairs: #1, 1091(35%)
minecraft.picked_up.netherite_chestplate: #1, 11(26%)
minecraft.crafted.stonecutter: #2, 321(19%)
minecraft.mined.glass_pane: #2, 285(19%)
minecraft.mined.polished_andesite_stairs: #2, 809(20%)
minecraft.picked_up.brown_banner: #1, 28(34%)
minecraft.mined.campfire: #2, 263(16%)
minecraft.mined.warped_nylium: #2, 1411(17%)
minecraft.mined.grass: #2, 12305(15%)
minecraft.mined.brown_wall_banner: #1, 18(38%)
minecraft.dropped.polished_diorite_slab: #1, 17(44%)
minecraft.used.spruce_log: #2, 4408(16%)
minecraft.used.campfire: #2, 531(16%)
minecraft.mined.spruce_stairs: #2, 621(15%)
minecraft.picked_up.warped_nylium: #2, 1420(16%)
minecraft.used.stonecutter: #2, 466(15%)
minecraft.picked_up.crimson_nylium: #2, 1393(15%)
minecraft.mined.beetroots: #2, 320(23%)
minecraft.used.cod_bucket: #1, 15(34%)
minecraft.dropped.stone_sword: #2, 263(16%)
minecraft.picked_up.mossy_stone_brick_stairs: #1, 23(46%)
minecraft.mined.spruce_pressure_plate: #2, 76(25%)
minecraft.custom.target_hit: #2, 2123(16%)
minecraft.crafted.polished_blackstone_brick_stairs: #2, 532(20%)
minecraft.picked_up.redstone_ore: #2, 5874(14%)
minecraft.used.painting: #2, 565(14%)
minecraft.dropped.warped_roots: #2, 487(18%)
minecraft.mined.granite_wall: #2, 180(36%)
minecraft.mined.black_stained_glass: #2, 876(16%)
minecraft.mined.crimson_nylium: #2, 1402(14%)
minecraft.crafted.comparator: #2, 1209(14%)
minecraft.picked_up.bone_meal: #2, 6262(13%)
minecraft.used.warped_fence_gate: #2, 81(25%)
minecraft.mined.blackstone_wall: #2, 129(17%)
minecraft.mined.grass_path: #2, 2377(13%)
minecraft.picked_up.mycelium: #2, 27178(13%)
minecraft.used.nether_quartz_ore: #2, 3088(13%)
minecraft.used.polished_andesite_slab: #2, 2765(13%)
minecraft.crafted.warped_fence_gate: #2, 117(22%)
minecraft.used.spruce_stairs: #2, 1762(12%)
minecraft.picked_up.granite_wall: #2, 180(29%)
minecraft.used.salmon_bucket: #1, 11(92%)
minecraft.broken.golden_shovel: #2, 20(20%)
minecraft.used.redstone_ore: #2, 3240(12%)
minecraft.picked_up.acacia_pressure_plate: #1, 3(60%)
minecraft.used.polished_blackstone_brick_wall: #2, 215(16%)
minecraft.mined.melon_stem: #2, 35(16%)
minecraft.crafted.iron_door: #2, 126(14%)
minecraft.crafted.netherite_chestplate: #1, 2(22%)
minecraft.mined.andesite_wall: #2, 264(15%)
minecraft.picked_up.polished_andesite_stairs: #2, 909(13%)
minecraft.picked_up.spruce_pressure_plate: #2, 67(18%)
minecraft.picked_up.nether_bricks: #3, 6118(15%)
minecraft.mined.polished_granite_slab: #2, 31(22%)
minecraft.picked_up.grass_block: #2, 63010(9%)
minecraft.dropped.chorus_fruit: #3, 589(19%)
minecraft.picked_up.orange_concrete_powder: #2, 2902(22%)
minecraft.picked_up.stone_sword: #2, 131(11%)
minecraft.mined.glowstone: #2, 1070(10%)
minecraft.picked_up.sweet_berries: #2, 6582(11%)
minecraft.mined.andesite_stairs: #3, 102(19%)
minecraft.picked_up.warped_fence_gate: #2, 17(29%)
minecraft.dropped.gravel: #2, 3354(10%)
minecraft.mined.polished_andesite_slab: #3, 849(15%)
minecraft.used.acacia_planks: #3, 469(21%)
minecraft.mined.warped_fence_gate: #2, 17(28%)
minecraft.crafted.glass_pane: #2, 1680(10%)
