stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #19, 661860(0%)
minecraft.custom.time_since_death: #29, 661860(0%)
minecraft.custom.sprint_one_cm: #33, 1123(0%)
minecraft.custom.jump: #36, 4(0%)
minecraft.custom.fall_one_cm: #40, 478(0%)
minecraft.custom.walk_one_cm: #41, 382(0%)
minecraft.custom.fly_one_cm: #42, 6367457(0%)
minecraft.custom.leave_game: #46, 34(0%)
minecraft.custom.play_time: #46, 661860(0%)
minecraft.custom.total_world_time: #46, 661860(0%)
minecraft.custom.sneak_time: #47, 7506(0%)
minecraft.custom.walk_on_water_one_cm: #48, 10451(0%)
minecraft.custom.walk_under_water_one_cm: #51, 1844(0%)
