stat, rank, value, (percentage) 
minecraft.used.stone_shovel: #1, 10259(56%)
minecraft.mined.white_bed: #1, 1005(45%)
minecraft.picked_up.white_bed: #1, 1035(44%)
minecraft.picked_up.white_wool: #1, 5666(44%)
minecraft.crafted.ladder: #1, 3894(43%)
minecraft.used.white_bed: #1, 1023(42%)
minecraft.picked_up.light_gray_wool: #1, 2081(67%)
minecraft.mined.white_wool: #1, 799(43%)
minecraft.broken.stone_shovel: #1, 78(60%)
minecraft.picked_up.yellow_wool: #1, 2344(59%)
minecraft.dropped.spruce_sapling: #1, 385(54%)
minecraft.dropped.stripped_oak_log: #1, 158(90%)
minecraft.dropped.light_gray_wool: #1, 960(77%)
minecraft.picked_up.warped_wart_block: #1, 4876(27%)
minecraft.mined.warped_wart_block: #1, 4817(26%)
minecraft.mined.yellow_wool: #1, 702(46%)
minecraft.dropped.dark_oak_log: #1, 410(35%)
minecraft.dropped.wheat_seeds: #1, 19086(24%)
minecraft.dropped.acacia_sapling: #1, 481(87%)
minecraft.used.wooden_shovel: #1, 3153(97%)
minecraft.used.grass_block: #1, 39911(21%)
minecraft.killed.llama: #1, 290(93%)
minecraft.picked_up.light_blue_wool: #1, 785(36%)
minecraft.dropped.brown_mushroom: #1, 89(36%)
minecraft.picked_up.grass: #1, 706(23%)
minecraft.picked_up.birch_boat: #1, 98(31%)
minecraft.used.yellow_wool: #1, 1184(37%)
minecraft.picked_up.lead: #1, 464(19%)
minecraft.killed.cave_spider: #2, 2620(30%)
minecraft.mined.brain_coral_block: #1, 1789(42%)
minecraft.picked_up.spruce_sapling: #1, 2853(20%)
minecraft.picked_up.red_sandstone: #1, 594(82%)
minecraft.picked_up.spruce_boat: #1, 201(27%)
minecraft.picked_up.brain_coral_block: #1, 1773(41%)
minecraft.used.stripped_acacia_log: #1, 127(69%)
minecraft.used.stone_hoe: #1, 1630(26%)
minecraft.picked_up.stripped_warped_stem: #1, 813(46%)
minecraft.picked_up.beef: #1, 2687(18%)
minecraft.mined.nether_sprouts: #1, 335(25%)
minecraft.used.prismarine: #1, 2002(37%)
minecraft.mined.stripped_warped_stem: #1, 750(44%)
minecraft.crafted.stone_shovel: #2, 80(25%)
minecraft.used.light_blue_wool: #1, 650(47%)
minecraft.used.green_bed: #1, 125(60%)
minecraft.mined.green_bed: #1, 111(60%)
minecraft.crafted.wooden_shovel: #1, 53(47%)
minecraft.dropped.crimson_planks: #1, 86(84%)
minecraft.broken.stone_hoe: #1, 13(37%)
minecraft.mined.stripped_acacia_log: #1, 128(34%)
minecraft.picked_up.stripped_acacia_log: #1, 127(33%)
minecraft.picked_up.green_bed: #1, 122(56%)
minecraft.broken.iron_pickaxe: #1, 48(16%)
minecraft.used.deepslate_coal_ore: #1, 414(19%)
minecraft.picked_up.lime_terracotta: #1, 112(37%)
minecraft.custom.horse_one_cm: #2, 23572830(17%)
minecraft.dropped.oak_sapling: #2, 212(20%)
minecraft.dropped.acacia_log: #1, 160(43%)
minecraft.killed.horse: #1, 230(86%)
minecraft.mined.acacia_sapling: #1, 79(37%)
minecraft.dropped.yellow_wool: #1, 879(66%)
minecraft.crafted.hay_block: #2, 1102(20%)
minecraft.mined.warped_roots: #2, 442(22%)
minecraft.used.stripped_warped_stem: #1, 609(54%)
minecraft.picked_up.dead_fire_coral_block: #1, 54(46%)
minecraft.dropped.warped_slab: #1, 27(63%)
minecraft.custom.boat_one_cm: #1, 12736838(11%)
minecraft.mined.dead_fire_coral_block: #1, 54(52%)
minecraft.dropped.diamond_block: #1, 36(34%)
minecraft.used.dead_fire_coral_block: #1, 54(60%)
minecraft.picked_up.acacia_fence: #1, 52(33%)
minecraft.picked_up.crimson_planks: #1, 92(49%)
minecraft.used.mossy_cobblestone_wall: #1, 77(42%)
minecraft.mined.vine: #2, 2201(18%)
