stat, rank, value, (percentage) 
minecraft.used.obsidian: #1, 33346(74%)
minecraft.crafted.flint_and_steel: #1, 393(68%)
minecraft.mined.redstone_block: #1, 1184(62%)
minecraft.custom.damage_taken: #1, 2051122(38%)
minecraft.killed.zombified_piglin: #1, 146857(100%)
minecraft.picked_up.powered_rail: #1, 5476(56%)
minecraft.dropped.bone: #1, 16563(51%)
minecraft.used.gray_stained_glass: #1, 11051(86%)
minecraft.crafted.gray_stained_glass: #1, 12744(74%)
minecraft.dropped.snowball: #1, 4500(78%)
minecraft.picked_up.obsidian: #1, 14060(47%)
minecraft.custom.damage_resisted: #1, 9049(72%)
minecraft.used.redstone_block: #1, 1378(41%)
minecraft.mined.cobbled_deepslate: #1, 2330(38%)
minecraft.used.powered_rail: #1, 5620(40%)
minecraft.killed.drowned: #1, 403679(41%)
minecraft.dropped.feather: #1, 296(54%)
minecraft.crafted.shulker_box: #1, 1924(42%)
minecraft.used.ice: #1, 12416(57%)
minecraft.killed.piglin: #1, 338(42%)
minecraft.used.warped_button: #1, 1025(92%)
minecraft.mined.powered_rail: #1, 1392(35%)
minecraft.picked_up.deepslate_diamond_ore: #1, 431(38%)
minecraft.picked_up.shulker_shell: #1, 3731(39%)
minecraft.dropped.fire_charge: #1, 500(95%)
minecraft.used.polished_deepslate: #1, 13313(29%)
minecraft.crafted.warped_button: #1, 1012(92%)
minecraft.mined.oxidized_copper: #1, 6436(40%)
minecraft.used.flint_and_steel: #1, 1630(27%)
minecraft.picked_up.oxidized_copper: #1, 6489(39%)
minecraft.dropped.tipped_arrow: #1, 5821(98%)
minecraft.used.cobbled_deepslate: #1, 7337(25%)
minecraft.crafted.copper_block: #1, 7295(27%)
minecraft.mined.blue_bed: #1, 122(85%)
minecraft.dropped.deepslate: #1, 1478(32%)
minecraft.used.copper_block: #1, 7048(33%)
minecraft.crafted.oak_fence_gate: #1, 172(40%)
minecraft.used.oxidized_copper: #1, 3179(37%)
minecraft.picked_up.redstone_block: #1, 1145(24%)
minecraft.picked_up.blue_bed: #1, 123(87%)
