stat, rank, value, (percentage) 
minecraft.dropped.ink_sac: #1, 1841(88%)
minecraft.picked_up.ladder: #1, 3588(53%)
minecraft.crafted.sugar: #1, 5613(67%)
minecraft.dropped.crimson_roots: #1, 403(84%)
minecraft.dropped.ladder: #1, 3584(86%)
minecraft.picked_up.rabbit: #1, 903(83%)
minecraft.picked_up.crimson_roots: #1, 1155(45%)
minecraft.used.cyan_stained_glass: #1, 1748(82%)
minecraft.crafted.cyan_stained_glass: #1, 1640(69%)
minecraft.dropped.glass: #1, 3393(47%)
minecraft.picked_up.rabbit_hide: #1, 630(71%)
minecraft.picked_up.saddle: #1, 259(54%)
minecraft.crafted.magenta_dye: #1, 756(37%)
minecraft.crafted.yellow_shulker_box: #1, 54(76%)
minecraft.dropped.splash_potion: #1, 261(92%)
minecraft.dropped.azalea: #1, 644(48%)
minecraft.used.rotten_flesh: #1, 156(57%)
minecraft.dropped.rose_bush: #1, 128(88%)
minecraft.dropped.lilac: #1, 157(85%)
minecraft.mined.cyan_stained_glass: #1, 324(91%)
minecraft.dropped.rabbit: #1, 320(89%)
minecraft.picked_up.cyan_stained_glass: #1, 373(88%)
minecraft.crafted.pink_terracotta: #1, 1600(58%)
minecraft.custom.horse_one_cm: #1, 35470054(26%)
minecraft.used.dark_oak_boat: #1, 114(36%)
minecraft.picked_up.dark_oak_boat: #1, 107(33%)
minecraft.crafted.fermented_spider_eye: #1, 195(36%)
minecraft.dropped.bow: #1, 458(24%)
minecraft.crafted.green_shulker_box: #1, 84(78%)
minecraft.crafted.furnace: #1, 672(23%)
minecraft.picked_up.moss_block: #1, 18672(23%)
minecraft.crafted.red_terracotta: #1, 1344(45%)
minecraft.picked_up.lilac: #1, 411(25%)
minecraft.picked_up.splash_potion: #1, 301(49%)
minecraft.picked_up.orange_dye: #1, 257(83%)
minecraft.picked_up.peony: #1, 370(30%)
minecraft.dropped.leather: #1, 443(32%)
minecraft.dropped.nether_wart: #1, 787(79%)
minecraft.picked_up.light_blue_dye: #1, 139(61%)
minecraft.dropped.sunflower: #1, 137(67%)
minecraft.used.spruce_pressure_plate: #1, 37(38%)
minecraft.mined.orange_terracotta: #2, 4519(30%)
minecraft.used.white_terracotta: #1, 486(34%)
minecraft.picked_up.trident: #1, 43(32%)
minecraft.picked_up.cooked_beef: #1, 2600(20%)
minecraft.killed.rabbit: #1, 341(50%)
minecraft.crafted.yellow_terracotta: #1, 1600(36%)
minecraft.picked_up.lime_dye: #1, 363(62%)
minecraft.picked_up.warped_roots: #1, 973(24%)
minecraft.dropped.peony: #1, 175(95%)
minecraft.used.spruce_boat: #1, 100(21%)
minecraft.picked_up.salmon: #1, 104(23%)
minecraft.picked_up.orange_bed: #1, 548(78%)
minecraft.picked_up.green_dye: #1, 132(36%)
minecraft.mined.orange_bed: #1, 533(77%)
minecraft.dropped.salmon: #1, 20(38%)
minecraft.used.orange_bed: #1, 536(77%)
minecraft.crafted.stonecutter: #2, 64(23%)
minecraft.crafted.purple_terracotta: #1, 1608(90%)
minecraft.picked_up.arrow: #1, 9230(16%)
minecraft.dropped.stone_pressure_plate: #1, 29(40%)
minecraft.dropped.golden_carrot: #1, 1030(17%)
minecraft.crafted.smooth_red_sandstone: #1, 832(61%)
minecraft.mined.spruce_pressure_plate: #1, 12(43%)
minecraft.picked_up.orange_terracotta: #2, 4407(26%)
minecraft.picked_up.brown_mushroom: #2, 726(20%)
minecraft.dropped.brown_mushroom_block: #1, 128(67%)
minecraft.picked_up.rabbit_foot: #1, 123(66%)
minecraft.dropped.trident: #1, 15(56%)
minecraft.mined.brick_wall: #1, 22(55%)
minecraft.crafted.light_blue_terracotta: #1, 832(35%)
minecraft.picked_up.stripped_jungle_log: #1, 178(29%)
