stat, rank, value, (percentage) 
minecraft.dropped.iron_nugget: #1, 870(28%)
minecraft.dropped.glow_ink_sac: #2, 256(17%)
minecraft.killed_by.player: #2, 20(13%)
minecraft.used.cod: #2, 23(27%)
minecraft.custom.strider_one_cm: #1, 70477(54%)
minecraft.dropped.warped_fungus_on_a_stick: #1, 1(100%)
minecraft.dropped.cracked_deepslate_tiles: #1, 24(50%)
minecraft.picked_up.warped_fungus_on_a_stick: #1, 1(100%)
minecraft.dropped.crimson_stem: #2, 229(44%)
minecraft.dropped.polished_blackstone_slab: #2, 25(37%)
minecraft.picked_up.iron_nugget: #3, 725(8%)
minecraft.crafted.air: #1, 0(0%)
minecraft.crafted.polished_blackstone_brick_wall: #2, 8(19%)
minecraft.used.red_stained_glass: #3, 185(10%)
minecraft.dropped.polished_blackstone_stairs: #2, 4(8%)
minecraft.used.red_nether_bricks: #3, 99(14%)
minecraft.picked_up.cracked_deepslate_tiles: #3, 24(10%)
minecraft.dropped.red_bed: #3, 1(11%)
minecraft.picked_up.red_stained_glass: #4, 11(7%)
minecraft.mined.red_stained_glass: #4, 11(6%)
minecraft.used.dragon_head: #4, 1(4%)
minecraft.dropped.deepslate_tile_stairs: #4, 3(3%)
minecraft.mined.red_nether_bricks: #4, 3(3%)
minecraft.crafted.polished_blackstone_brick_stairs: #4, 8(1%)
minecraft.used.polished_blackstone_brick_wall: #4, 8(1%)
minecraft.used.nether_brick_fence: #5, 43(7%)
minecraft.used.light_gray_stained_glass: #5, 432(5%)
minecraft.dropped.name_tag: #5, 6(4%)
minecraft.killed.villager: #5, 2(3%)
minecraft.dropped.lead: #6, 9(5%)
minecraft.mined.gray_stained_glass: #5, 11(1%)
minecraft.used.cracked_deepslate_bricks: #6, 197(4%)
minecraft.mined.cracked_deepslate_bricks: #6, 16(3%)
minecraft.used.crimson_stem: #6, 33(2%)
minecraft.used.gray_stained_glass: #6, 151(1%)
minecraft.picked_up.red_nether_bricks: #6, 3(2%)
minecraft.picked_up.cracked_deepslate_bricks: #6, 16(0%)
minecraft.dropped.chest: #7, 17(4%)
minecraft.picked_up.crimson_stem: #7, 244(3%)
minecraft.used.jungle_planks: #7, 97(1%)
minecraft.dropped.deepslate_brick_slab: #7, 2(1%)
minecraft.dropped.diamond_chestplate: #8, 1(5%)
minecraft.used.crimson_stairs: #8, 20(4%)
minecraft.mined.light_gray_stained_glass: #8, 18(2%)
minecraft.crafted.crimson_stairs: #8, 20(3%)
minecraft.dropped.deepslate_tile_slab: #8, 11(2%)
minecraft.dropped.polished_blackstone: #8, 4(2%)
minecraft.mined.red_bed: #8, 9(1%)
minecraft.used.red_concrete: #8, 109(1%)
minecraft.picked_up.red_bed: #8, 9(1%)
minecraft.mined.red_concrete: #8, 146(1%)
minecraft.crafted.deepslate_tiles: #8, 108(1%)
minecraft.picked_up.gray_stained_glass: #8, 11(1%)
minecraft.used.cracked_deepslate_tiles: #8, 32(1%)
minecraft.mined.polished_blackstone_brick_stairs: #8, 2(1%)
minecraft.used.black_stained_glass: #8, 267(0%)
minecraft.used.polished_blackstone_brick_stairs: #8, 18(0%)
minecraft.used.warped_stem: #9, 107(3%)
minecraft.picked_up.polished_blackstone_slab: #9, 26(3%)
minecraft.used.red_concrete_powder: #9, 144(1%)
minecraft.dropped.polished_deepslate: #9, 6(2%)
minecraft.mined.light_gray_concrete: #9, 48(1%)
minecraft.picked_up.red_concrete: #9, 146(1%)
minecraft.picked_up.light_gray_concrete: #9, 48(1%)
minecraft.picked_up.polished_blackstone_bricks: #9, 27(1%)
minecraft.mined.black_stained_glass: #9, 13(0%)
minecraft.crafted.diamond_chestplate: #10, 1(2%)
minecraft.used.cobbled_deepslate_wall: #10, 65(2%)
minecraft.used.crimson_trapdoor: #10, 16(2%)
minecraft.picked_up.name_tag: #10, 14(1%)
minecraft.crafted.crimson_trapdoor: #10, 16(2%)
minecraft.used.red_bed: #10, 7(1%)
minecraft.mined.cut_sandstone_slab: #10, 1(0%)
minecraft.mined.polished_blackstone_brick_slab: #10, 1(0%)
minecraft.used.redstone_block: #11, 64(2%)
minecraft.crafted.deepslate_bricks: #11, 288(1%)
minecraft.used.red_wool: #11, 72(1%)
minecraft.used.gray_concrete: #11, 100(1%)
minecraft.mined.crimson_trapdoor: #11, 1(1%)
minecraft.picked_up.crimson_trapdoor: #11, 1(1%)
minecraft.used.light_gray_concrete: #11, 31(0%)
