stat, rank, value, (percentage) 
minecraft.used.sunflower: #1, 94(62%)
minecraft.used.lilac: #1, 94(50%)
minecraft.picked_up.hanging_roots: #1, 1408(56%)
minecraft.used.flowering_azalea_leaves: #1, 909(35%)
minecraft.mined.hanging_roots: #1, 1180(61%)
minecraft.used.big_dripleaf: #1, 1010(48%)
minecraft.used.birch_planks: #1, 2148(33%)
minecraft.used.cyan_bed: #1, 203(80%)
minecraft.used.melon: #1, 227(80%)
minecraft.dropped.spruce_sign: #1, 105(47%)
minecraft.mined.cyan_bed: #1, 203(88%)
minecraft.picked_up.cyan_bed: #1, 204(87%)
minecraft.picked_up.birch_leaves: #1, 8192(31%)
minecraft.used.smooth_sandstone: #1, 7948(37%)
minecraft.used.jungle_leaves: #1, 616(66%)
minecraft.crafted.birch_wood: #1, 990(58%)
minecraft.used.birch_wood: #1, 655(51%)
minecraft.used.pink_wool: #1, 604(61%)
minecraft.used.white_tulip: #1, 70(72%)
minecraft.picked_up.spore_blossom: #1, 71(29%)
minecraft.picked_up.big_dripleaf: #1, 4389(34%)
minecraft.used.oxeye_daisy: #1, 76(41%)
minecraft.mined.brown_mushroom: #1, 221(26%)
minecraft.mined.dark_oak_wood: #1, 237(48%)
minecraft.used.orange_tulip: #1, 66(74%)
minecraft.picked_up.jungle_leaves: #1, 828(34%)
minecraft.used.spruce_wood: #1, 1338(38%)
minecraft.used.birch_leaves: #2, 3530(35%)
minecraft.used.birch_stairs: #1, 349(32%)
minecraft.used.azure_bluet: #1, 58(43%)
minecraft.dropped.spore_blossom: #1, 44(79%)
minecraft.mined.azalea: #1, 509(20%)
minecraft.crafted.spruce_wood: #1, 1362(35%)
minecraft.used.dark_oak_planks: #1, 1764(23%)
minecraft.mined.dead_bush: #2, 1100(22%)
minecraft.mined.flowering_azalea: #1, 254(19%)
minecraft.mined.moss_block: #1, 7814(17%)
minecraft.dropped.moss_carpet: #1, 386(20%)
minecraft.used.spruce_slab: #1, 3163(17%)
minecraft.crafted.spore_blossom: #1, 391(46%)
minecraft.mined.gold_block: #1, 341(22%)
minecraft.used.azalea_leaves: #1, 4983(22%)
minecraft.used.rose_bush: #1, 32(20%)
minecraft.dropped.magenta_stained_glass: #1, 80(79%)
minecraft.used.peony: #1, 22(30%)
minecraft.used.yellow_dye: #1, 12(43%)
minecraft.crafted.small_dripleaf: #1, 547(48%)
minecraft.picked_up.netherite_hoe: #1, 8(47%)
minecraft.used.jungle_slab: #1, 709(25%)
minecraft.used.warped_roots: #1, 37(36%)
minecraft.picked_up.pink_stained_glass: #1, 67(39%)
minecraft.used.pink_tulip: #1, 47(59%)
minecraft.picked_up.brown_mushroom_block: #1, 3201(25%)
minecraft.crafted.birch_stairs: #1, 324(25%)
minecraft.mined.birch_log: #1, 4729(13%)
minecraft.picked_up.birch_slab: #2, 192(21%)
minecraft.used.brown_mushroom_block: #1, 2877(34%)
minecraft.mined.birch_leaves: #2, 8953(17%)
minecraft.mined.lilac: #1, 30(14%)
minecraft.picked_up.dark_oak_wood: #1, 299(28%)
minecraft.dropped.yellow_stained_glass: #1, 64(75%)
minecraft.mined.birch_wood: #1, 96(43%)
minecraft.used.magenta_terracotta: #1, 257(75%)
minecraft.mined.spruce_wood: #1, 63(36%)
minecraft.mined.birch_planks: #2, 246(17%)
minecraft.crafted.jungle_button: #1, 22(42%)
minecraft.mined.dark_oak_planks: #2, 308(19%)
minecraft.mined.big_dripleaf_stem: #1, 37(24%)
minecraft.used.oak_wood: #2, 1629(25%)
minecraft.crafted.oak_wood: #2, 1674(25%)
minecraft.used.spruce_planks: #2, 7254(15%)
minecraft.used.oak_leaves: #3, 8348(19%)
minecraft.picked_up.leather_horse_armor: #1, 7(44%)
minecraft.picked_up.birch_wood: #1, 92(37%)
minecraft.custom.fall_one_cm: #2, 9757853(8%)
minecraft.used.jungle_button: #1, 22(35%)
minecraft.used.allium: #1, 72(27%)
minecraft.used.prismarine_slab: #1, 144(48%)
minecraft.mined.smooth_sandstone: #2, 1416(20%)
minecraft.mined.prismarine_slab: #1, 14(58%)
minecraft.mined.dark_oak_slab: #2, 186(16%)
minecraft.picked_up.dragon_breath: #1, 114(39%)
minecraft.mined.warped_nylium: #2, 256(15%)
minecraft.picked_up.dead_bush: #2, 1025(25%)
minecraft.picked_up.birch_planks: #2, 448(13%)
minecraft.mined.magenta_shulker_box: #1, 64(28%)
minecraft.used.pink_stained_glass_pane: #1, 54(75%)
minecraft.picked_up.magenta_shulker_box: #1, 64(27%)
minecraft.used.birch_fence: #2, 204(21%)
minecraft.picked_up.prismarine_slab: #1, 16(53%)
minecraft.used.magenta_shulker_box: #1, 66(27%)
minecraft.dropped.dark_oak_leaves: #1, 20(35%)
minecraft.picked_up.moss_carpet: #2, 3074(13%)
minecraft.mined.flower_pot: #2, 18(17%)
minecraft.mined.yellow_wool: #2, 329(21%)
minecraft.crafted.iron_hoe: #1, 4(11%)
minecraft.dropped.quartz_slab: #1, 48(98%)
minecraft.crafted.lime_glazed_terracotta: #1, 81(65%)
minecraft.picked_up.birch_log: #2, 4716(11%)
minecraft.picked_up.stone_button: #2, 442(12%)
minecraft.used.birch_log: #3, 1405(21%)
minecraft.crafted.prismarine_slab: #1, 102(63%)
minecraft.crafted.leather_chestplate: #2, 38(24%)
