stat, rank, value, (percentage) 
minecraft.crafted.oak_boat: #1, 987(82%)
minecraft.dropped.oak_boat: #1, 982(90%)
minecraft.crafted.spruce_boat: #1, 435(76%)
minecraft.crafted.glowstone: #1, 8523(75%)
minecraft.picked_up.glass_pane: #1, 9405(82%)
minecraft.used.anvil: #1, 624(44%)
minecraft.picked_up.stripped_oak_log: #1, 6033(57%)
minecraft.custom.traded_with_villager: #1, 201578(46%)
minecraft.crafted.anvil: #1, 545(42%)
minecraft.crafted.birch_boat: #1, 178(68%)
minecraft.picked_up.anvil: #1, 197(43%)
minecraft.dropped.shears: #1, 212(53%)
minecraft.dropped.spruce_boat: #1, 430(88%)
minecraft.mined.stripped_oak_log: #1, 3772(45%)
minecraft.picked_up.flower_pot: #1, 241(43%)
minecraft.dropped.birch_boat: #1, 176(85%)
minecraft.picked_up.black_concrete: #1, 7394(41%)
minecraft.crafted.glass: #1, 96086(35%)
minecraft.crafted.brick: #1, 40646(43%)
minecraft.custom.talked_to_villager: #1, 18040(32%)
minecraft.crafted.redstone: #1, 41279(35%)
minecraft.used.black_wool: #1, 5661(48%)
minecraft.crafted.black_stained_glass: #1, 46312(48%)
minecraft.picked_up.shears: #1, 220(38%)
minecraft.crafted.quartz_block: #1, 11694(36%)
minecraft.crafted.emerald: #1, 131699(43%)
minecraft.crafted.glass_pane: #1, 109533(50%)
minecraft.crafted.lantern: #1, 2016(34%)
minecraft.mined.sugar_cane: #1, 15952(31%)
minecraft.picked_up.honeycomb: #1, 10977(51%)
minecraft.mined.black_concrete: #1, 7366(33%)
minecraft.picked_up.sugar_cane: #1, 31208(30%)
minecraft.used.gravel: #1, 5187(30%)
minecraft.picked_up.green_wool: #1, 2250(54%)
minecraft.mined.warped_planks: #1, 805(63%)
minecraft.crafted.golden_carrot: #1, 16431(37%)
minecraft.mined.light_gray_stained_glass: #1, 416(46%)
minecraft.picked_up.warped_planks: #1, 1038(53%)
minecraft.used.diamond_block: #1, 572(34%)
minecraft.picked_up.dark_oak_slab: #1, 756(34%)
minecraft.dropped.spruce_log: #1, 2046(39%)
minecraft.picked_up.lime_wool: #1, 2068(58%)
minecraft.picked_up.golden_apple: #1, 115(38%)
minecraft.picked_up.chiseled_stone_bricks: #1, 1078(87%)
minecraft.mined.anvil: #1, 86(29%)
minecraft.used.black_stained_glass: #1, 45528(49%)
minecraft.dropped.ender_chest: #1, 49(38%)
minecraft.crafted.crimson_planks: #1, 8432(40%)
minecraft.mined.potatoes: #1, 3014(29%)
minecraft.mined.oak_sapling: #1, 139(29%)
minecraft.used.smooth_quartz: #1, 2502(42%)
minecraft.picked_up.emerald: #1, 3917(31%)
minecraft.used.light_gray_stained_glass: #1, 3492(41%)
minecraft.crafted.deepslate_tile_stairs: #1, 412(31%)
minecraft.used.black_concrete: #1, 7166(33%)
minecraft.dropped.oak_planks: #1, 440(27%)
minecraft.dropped.diamond_shovel: #1, 41(35%)
minecraft.picked_up.light_gray_stained_glass_pane: #1, 574(70%)
minecraft.picked_up.diamond_block: #1, 394(31%)
minecraft.dropped.birch_planks: #1, 343(34%)
minecraft.picked_up.quartz_block: #1, 1343(39%)
minecraft.crafted.bricks: #1, 9929(44%)
minecraft.crafted.shears: #1, 551(25%)
minecraft.dropped.birch_leaves: #1, 354(47%)
minecraft.dropped.spruce_planks: #1, 744(29%)
minecraft.dropped.diamond_pickaxe: #1, 48(25%)
minecraft.mined.carrots: #1, 4537(26%)
minecraft.crafted.dark_oak_boat: #1, 56(40%)
minecraft.crafted.book: #1, 1086(25%)
minecraft.picked_up.green_carpet: #1, 144(66%)
minecraft.crafted.light_gray_terracotta: #1, 960(65%)
minecraft.crafted.light_gray_stained_glass: #1, 4232(37%)
minecraft.picked_up.light_gray_stained_glass: #1, 329(37%)
minecraft.dropped.bone_block: #1, 782(58%)
minecraft.picked_up.birch_planks: #1, 801(23%)
minecraft.dropped.green_wool: #1, 1930(83%)
minecraft.dropped.oak_slab: #1, 157(36%)
minecraft.used.dragon_egg: #1, 30(41%)
minecraft.picked_up.paper: #1, 1297(23%)
minecraft.used.warped_planks: #1, 1782(44%)
minecraft.picked_up.map: #1, 771(95%)
minecraft.picked_up.polished_granite: #1, 360(30%)
minecraft.used.green_wool: #1, 725(51%)
minecraft.mined.diamond_block: #1, 394(35%)
minecraft.picked_up.egg: #1, 1481(21%)
minecraft.dropped.glass_pane: #1, 8291(92%)
minecraft.mined.green_wool: #1, 71(55%)
minecraft.mined.bricks: #1, 209(46%)
minecraft.dropped.chest: #1, 118(25%)
minecraft.picked_up.bricks: #1, 1231(45%)
minecraft.picked_up.experience_bottle: #1, 1196(67%)
minecraft.crafted.redstone_block: #1, 3801(21%)
minecraft.used.emerald_block: #1, 1705(49%)
minecraft.crafted.emerald_block: #1, 3184(41%)
minecraft.picked_up.dragon_egg: #1, 35(44%)
minecraft.used.potato: #1, 3305(27%)
minecraft.picked_up.cartography_table: #1, 84(48%)
minecraft.used.carrot: #1, 4640(20%)
minecraft.crafted.deepslate_tile_slab: #2, 2034(29%)
minecraft.crafted.redstone_lamp: #1, 772(25%)
minecraft.picked_up.bone_block: #1, 1629(22%)
minecraft.picked_up.black_dye: #1, 210(46%)
minecraft.dropped.dark_oak_planks: #1, 355(27%)
minecraft.used.light_gray_stained_glass_pane: #1, 1084(50%)
minecraft.picked_up.quartz_stairs: #1, 151(36%)
minecraft.used.flower_pot: #1, 208(23%)
minecraft.picked_up.birch_fence: #1, 257(38%)
minecraft.picked_up.oak_sapling: #1, 3521(19%)
minecraft.picked_up.baked_potato: #1, 2412(20%)
minecraft.picked_up.light_gray_dye: #1, 220(49%)
minecraft.crafted.iron_leggings: #1, 20(20%)
minecraft.used.diamond_leggings: #1, 15(27%)
minecraft.picked_up.dark_oak_button: #1, 49(44%)
minecraft.dropped.lantern: #1, 166(48%)
minecraft.picked_up.carrot: #2, 24034(21%)
minecraft.picked_up.oak_slab: #1, 432(20%)
minecraft.dropped.spruce_leaves: #1, 629(36%)
minecraft.crafted.black_dye: #2, 8107(24%)
minecraft.crafted.diamond_shovel: #1, 24(18%)
minecraft.used.oak_sapling: #1, 1635(19%)
minecraft.picked_up.light_blue_terracotta: #1, 352(77%)
minecraft.picked_up.observer: #1, 640(18%)
minecraft.picked_up.glow_item_frame: #1, 37(21%)
minecraft.dropped.bow: #2, 408(21%)
minecraft.crafted.dark_oak_fence_gate: #1, 208(29%)
minecraft.crafted.comparator: #1, 662(20%)
minecraft.dropped.iron_leggings: #1, 22(25%)
minecraft.dropped.emerald_block: #1, 275(75%)
minecraft.picked_up.blackstone_slab: #1, 212(45%)
minecraft.dropped.firework_rocket: #1, 2397(21%)
minecraft.picked_up.white_dye: #2, 503(26%)
minecraft.dropped.wheat_seeds: #2, 16776(21%)
minecraft.killed.skeleton: #1, 5221(17%)
minecraft.crafted.diamond_leggings: #1, 13(19%)
minecraft.crafted.player_head: #1, 686(26%)
minecraft.mined.cartography_table: #1, 67(44%)
minecraft.used.diamond_helmet: #1, 19(34%)
minecraft.dropped.cobbled_deepslate_slab: #1, 65(49%)
minecraft.used.bricks: #1, 2260(34%)
minecraft.dropped.emerald: #2, 1700(36%)
minecraft.dropped.arrow: #2, 14389(21%)
minecraft.dropped.stone_hoe: #1, 12(36%)
minecraft.dropped.diamond_axe: #1, 30(23%)
minecraft.mined.spruce_button: #1, 20(29%)
minecraft.dropped.glowstone: #1, 324(62%)
minecraft.picked_up.iron_bars: #1, 430(18%)
minecraft.picked_up.crimson_slab: #1, 79(61%)
minecraft.crafted.diamond_helmet: #1, 14(18%)
minecraft.used.candle: #1, 281(27%)
minecraft.dropped.dark_oak_boat: #1, 51(60%)
minecraft.dropped.torch: #1, 950(17%)
minecraft.dropped.orange_bed: #1, 31(84%)
minecraft.mined.oak_sign: #1, 31(21%)
minecraft.picked_up.cyan_terracotta: #1, 991(25%)
minecraft.dropped.anvil: #1, 90(83%)
minecraft.crafted.diamond_sword: #1, 16(17%)
minecraft.picked_up.smooth_quartz: #1, 475(30%)
minecraft.picked_up.lantern: #2, 729(22%)
minecraft.crafted.diamond_boots: #1, 14(15%)
minecraft.picked_up.dark_oak_stairs: #1, 198(20%)
minecraft.crafted.diamond_hoe: #1, 13(21%)
minecraft.dropped.gold_block: #1, 160(82%)
minecraft.picked_up.emerald_block: #2, 1651(43%)
minecraft.picked_up.dark_oak_planks: #1, 982(19%)
minecraft.used.black_concrete_powder: #2, 10854(27%)
minecraft.picked_up.blackstone_stairs: #1, 61(58%)
