stat, rank, value, (percentage) 
minecraft.used.cooked_beef: #25, 1(0%)
minecraft.custom.open_barrel: #29, 3(0%)
minecraft.custom.sprint_one_cm: #29, 26892(0%)
minecraft.custom.jump: #29, 64(0%)
minecraft.custom.walk_one_cm: #30, 12285(0%)
minecraft.custom.crouch_one_cm: #30, 222(0%)
minecraft.custom.fall_one_cm: #37, 629(0%)
minecraft.custom.time_since_rest: #48, 6897(0%)
minecraft.custom.time_since_death: #51, 6897(0%)
minecraft.custom.fly_one_cm: #54, 20550(0%)
minecraft.custom.sneak_time: #54, 177(0%)
minecraft.custom.leave_game: #55, 1(0%)
minecraft.custom.play_time: #55, 6897(0%)
minecraft.custom.total_world_time: #55, 6897(0%)
