stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #15, 2439099(2%)
minecraft.custom.time_since_death: #18, 2439099(1%)
minecraft.custom.fall_one_cm: #33, 1081(0%)
minecraft.custom.damage_taken: #34, 80(0%)
minecraft.custom.walk_on_water_one_cm: #36, 63478(0%)
minecraft.custom.walk_under_water_one_cm: #37, 97479(0%)
minecraft.custom.jump: #38, 3(0%)
minecraft.custom.fly_one_cm: #40, 6911927(1%)
minecraft.custom.play_time: #41, 2439099(0%)
minecraft.custom.total_world_time: #41, 2439099(0%)
minecraft.custom.leave_game: #42, 52(0%)
minecraft.custom.sneak_time: #43, 11651(0%)
minecraft.custom.walk_one_cm: #47, 76(0%)
