stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #13, 3588001(2%)
minecraft.custom.time_since_death: #15, 3587743(2%)
minecraft.custom.deaths: #28, 1(0%)
minecraft.custom.damage_taken: #30, 480(0%)
minecraft.custom.fall_one_cm: #30, 5021(0%)
minecraft.custom.sneak_time: #34, 35315(0%)
minecraft.custom.leave_game: #37, 94(1%)
minecraft.custom.fly_one_cm: #38, 8973801(1%)
minecraft.custom.play_time: #38, 4565746(0%)
minecraft.custom.total_world_time: #38, 4565746(0%)
minecraft.custom.walk_under_water_one_cm: #42, 30185(0%)
minecraft.custom.walk_on_water_one_cm: #43, 41545(0%)
