stat, rank, value, (percentage) 
minecraft.crafted.map: #1, 2702(72%)
minecraft.mined.stripped_oak_wood: #1, 624(54%)
minecraft.picked_up.stripped_oak_wood: #1, 595(53%)
minecraft.crafted.quartz_stairs: #1, 396(67%)
minecraft.crafted.iron_door: #1, 177(38%)
minecraft.mined.nether_brick_stairs: #1, 88(81%)
minecraft.crafted.heavy_weighted_pressure_plate: #1, 80(53%)
minecraft.used.birch_leaves: #1, 3768(37%)
minecraft.used.daylight_detector: #1, 1380(51%)
minecraft.crafted.birch_slab: #1, 2660(28%)
minecraft.used.heavy_weighted_pressure_plate: #1, 55(49%)
minecraft.picked_up.nether_brick_stairs: #1, 83(73%)
minecraft.used.nether_quartz_ore: #1, 1940(36%)
minecraft.crafted.black_shulker_box: #1, 25(48%)
minecraft.used.oak_wood: #1, 2282(35%)
minecraft.mined.andesite_slab: #1, 156(32%)
minecraft.used.stripped_oak_wood: #1, 823(56%)
minecraft.used.quartz_stairs: #1, 373(36%)
minecraft.crafted.iron_bars: #1, 1904(21%)
minecraft.dropped.deepslate_tile_stairs: #1, 64(70%)
minecraft.crafted.stone_brick_stairs: #1, 528(24%)
minecraft.used.nether_bricks: #1, 934(24%)
minecraft.crafted.andesite_slab: #1, 612(30%)
minecraft.dropped.flowering_azalea_leaves: #1, 217(43%)
minecraft.crafted.white_bed: #1, 86(19%)
minecraft.used.iron_bars: #1, 1037(19%)
minecraft.crafted.enchanted_book: #1, 1842(27%)
minecraft.killed_by.zombie: #1, 24(24%)
minecraft.picked_up.andesite_wall: #1, 662(35%)
minecraft.used.red_terracotta: #1, 954(33%)
minecraft.mined.oak_wood: #1, 275(35%)
minecraft.dropped.hay_block: #1, 145(64%)
minecraft.used.cyan_dye: #1, 79(44%)
minecraft.mined.purpur_slab: #1, 58(31%)
minecraft.crafted.oak_wood: #1, 1959(29%)
minecraft.used.grass: #1, 464(24%)
minecraft.used.blue_orchid: #1, 83(50%)
minecraft.picked_up.andesite_slab: #1, 185(23%)
minecraft.mined.black_concrete_powder: #1, 133(33%)
minecraft.dropped.purpur_slab: #1, 46(56%)
minecraft.crafted.leather_horse_armor: #1, 57(55%)
minecraft.crafted.cobblestone_wall: #2, 834(23%)
minecraft.dropped.spruce_trapdoor: #1, 118(28%)
minecraft.crafted.black_banner: #1, 70(47%)
minecraft.picked_up.andesite_stairs: #1, 87(34%)
minecraft.mined.red_concrete_powder: #1, 46(41%)
minecraft.crafted.experience_bottle: #1, 7788(45%)
minecraft.picked_up.purpur_slab: #1, 55(30%)
minecraft.crafted.brick_slab: #1, 234(50%)
minecraft.crafted.cyan_bed: #1, 14(50%)
minecraft.picked_up.birch_leaves: #2, 5301(20%)
minecraft.dropped.warped_trapdoor: #1, 26(87%)
minecraft.dropped.clock: #1, 101(34%)
minecraft.crafted.orange_shulker_box: #1, 13(33%)
minecraft.crafted.quartz_slab: #2, 462(35%)
minecraft.crafted.smooth_quartz_stairs: #1, 232(40%)
minecraft.crafted.daylight_detector: #2, 732(35%)
minecraft.crafted.granite_slab: #1, 222(52%)
minecraft.picked_up.heavy_weighted_pressure_plate: #1, 11(37%)
minecraft.crafted.deepslate_brick_slab: #1, 168(18%)
minecraft.crafted.cyan_wool: #1, 54(42%)
minecraft.used.stripped_acacia_wood: #1, 152(48%)
minecraft.picked_up.nether_quartz_ore: #2, 1695(18%)
minecraft.crafted.mossy_cobblestone_wall: #1, 131(57%)
minecraft.crafted.detector_rail: #1, 60(26%)
minecraft.used.warped_fence: #1, 101(22%)
minecraft.dropped.filled_map: #1, 13(15%)
minecraft.used.gray_banner: #1, 84(92%)
minecraft.mined.mossy_cobblestone_stairs: #1, 35(30%)
minecraft.picked_up.grass: #2, 502(16%)
minecraft.used.light_gray_bed: #1, 22(54%)
minecraft.dropped.quartz_block: #1, 55(65%)
minecraft.crafted.black_bed: #1, 88(52%)
minecraft.used.green_dye: #1, 18(51%)
minecraft.crafted.clock: #2, 233(32%)
minecraft.used.brown_candle: #1, 54(49%)
minecraft.crafted.warped_trapdoor: #1, 182(16%)
minecraft.used.warped_trapdoor: #1, 162(16%)
minecraft.used.cyan_wool: #1, 58(34%)
minecraft.used.nether_brick_stairs: #1, 78(39%)
minecraft.crafted.red_bed: #2, 21(22%)
minecraft.dropped.andesite_wall: #1, 66(38%)
minecraft.killed_by.spider: #1, 3(38%)
minecraft.crafted.stripped_oak_wood: #1, 276(56%)
minecraft.picked_up.mossy_cobblestone_wall: #1, 65(43%)
minecraft.mined.andesite_wall: #2, 177(29%)
minecraft.used.experience_bottle: #2, 1758(24%)
minecraft.crafted.chiseled_quartz_block: #1, 40(42%)
minecraft.used.quartz_slab: #2, 341(19%)
minecraft.crafted.gray_banner: #1, 24(69%)
minecraft.mined.quartz_stairs: #2, 56(22%)
minecraft.crafted.diamond_chestplate: #2, 7(16%)
minecraft.picked_up.oak_wood: #2, 292(18%)
minecraft.picked_up.dark_oak_wood: #2, 292(27%)
minecraft.crafted.light_gray_bed: #1, 4(67%)
minecraft.crafted.andesite_stairs: #2, 143(27%)
minecraft.crafted.tnt_minecart: #1, 145(99%)
minecraft.crafted.filled_map: #1, 64(50%)
minecraft.used.tnt_minecart: #1, 113(99%)
minecraft.dropped.black_candle: #1, 174(99%)
minecraft.crafted.iron_trapdoor: #3, 666(18%)
minecraft.used.acacia_door: #1, 9(21%)
minecraft.crafted.saddle: #1, 22(96%)
minecraft.crafted.andesite_wall: #2, 324(22%)
minecraft.crafted.warped_fence: #2, 174(22%)
minecraft.crafted.black_concrete: #1, 224(62%)
minecraft.mined.acacia_door: #1, 4(36%)
minecraft.used.spruce_leaves: #2, 6378(17%)
minecraft.mined.nether_quartz_ore: #2, 3687(11%)
minecraft.picked_up.green_concrete_powder: #2, 299(34%)
minecraft.used.map: #2, 38(18%)
minecraft.used.mossy_cobblestone_stairs: #2, 118(26%)
minecraft.mined.stripped_jungle_wood: #2, 61(33%)
minecraft.crafted.magenta_banner: #1, 6(55%)
minecraft.picked_up.stripped_jungle_wood: #2, 60(33%)
minecraft.used.cobblestone_wall: #3, 577(17%)
minecraft.crafted.mossy_stone_brick_wall: #1, 74(54%)
minecraft.dropped.brown_candle: #1, 7(54%)
minecraft.dropped.soul_soil: #2, 112(26%)
minecraft.mined.red_terracotta: #2, 1329(15%)
minecraft.crafted.spruce_wood: #2, 765(20%)
minecraft.used.stripped_jungle_wood: #2, 56(32%)
minecraft.picked_up.red_terracotta: #2, 1318(15%)
minecraft.picked_up.mossy_stone_brick_wall: #1, 45(51%)
minecraft.picked_up.black_glazed_terracotta: #1, 14(38%)
minecraft.picked_up.pink_banner: #1, 3(75%)
minecraft.crafted.pink_banner: #1, 4(50%)
minecraft.mined.crimson_hyphae: #1, 7(50%)
minecraft.dropped.smooth_quartz_slab: #1, 2(50%)
minecraft.crafted.mossy_cobblestone_stairs: #2, 144(35%)
minecraft.used.iron_trapdoor: #3, 610(16%)
minecraft.picked_up.gray_banner: #1, 17(68%)
minecraft.used.spruce_wood: #2, 632(18%)
minecraft.crafted.light_gray_concrete: #1, 16(67%)
minecraft.mined.mossy_stone_brick_wall: #1, 10(67%)
minecraft.dropped.acacia_wood: #1, 2(67%)
minecraft.crafted.mossy_cobblestone: #2, 1024(15%)
minecraft.dropped.mossy_cobblestone_slab: #1, 36(43%)
minecraft.crafted.glass: #3, 35056(13%)
minecraft.mined.light_gray_bed: #1, 16(43%)
minecraft.dropped.purpur_pillar: #2, 23(25%)
minecraft.mined.black_glazed_terracotta: #1, 14(64%)
minecraft.mined.gray_wall_banner: #1, 7(64%)
minecraft.crafted.gray_shulker_box: #2, 6(25%)
minecraft.used.pink_banner: #1, 5(62%)
minecraft.used.small_dripleaf: #2, 55(20%)
minecraft.picked_up.crimson_hyphae: #1, 7(58%)
minecraft.used.black_banner: #2, 20(27%)
minecraft.custom.talked_to_villager: #3, 6301(11%)
minecraft.custom.traded_with_villager: #3, 57965(13%)
minecraft.crafted.leather_helmet: #2, 20(27%)
minecraft.dropped.dandelion: #2, 57(10%)
minecraft.mined.lightning_rod: #2, 71(11%)
minecraft.crafted.diamond_leggings: #3, 9(13%)
minecraft.mined.acacia_wood: #2, 60(34%)
minecraft.crafted.pink_carpet: #2, 21(29%)
minecraft.crafted.quartz_pillar: #2, 420(26%)
minecraft.crafted.white_shulker_box: #2, 26(15%)
minecraft.mined.pink_wall_banner: #1, 3(100%)
minecraft.mined.gray_banner: #1, 8(100%)
minecraft.mined.light_gray_wall_banner: #1, 1(100%)
