stat, rank, value, (percentage) 
minecraft.used.string: #1, 19330(71%)
minecraft.mined.tripwire: #1, 1652(70%)
minecraft.picked_up.name_tag: #1, 863(62%)
minecraft.used.jungle_planks: #1, 9250(79%)
minecraft.mined.jungle_planks: #1, 1474(71%)
minecraft.used.orange_terracotta: #1, 2483(73%)
minecraft.mined.red_terracotta: #1, 6418(74%)
minecraft.picked_up.red_terracotta: #1, 6460(73%)
minecraft.mined.coarse_dirt: #1, 6540(51%)
minecraft.picked_up.coarse_dirt: #1, 7207(46%)
minecraft.picked_up.jungle_planks: #1, 1572(60%)
minecraft.crafted.green_terracotta: #1, 13723(81%)
minecraft.used.granite: #1, 7493(36%)
minecraft.used.beehive: #1, 1092(64%)
minecraft.used.green_terracotta: #1, 11704(89%)
minecraft.mined.beehive: #1, 399(62%)
minecraft.picked_up.beehive: #1, 464(54%)
minecraft.crafted.spruce_door: #1, 174(40%)
minecraft.crafted.green_dye: #1, 3040(36%)
minecraft.used.jungle_log: #1, 1863(37%)
minecraft.picked_up.snow: #1, 23505(51%)
minecraft.used.loom: #1, 80(43%)
minecraft.picked_up.bookshelf: #1, 461(40%)
minecraft.dropped.oak_fence: #1, 138(30%)
minecraft.mined.jungle_log: #1, 9113(33%)
minecraft.picked_up.jungle_sapling: #1, 952(39%)
minecraft.picked_up.magenta_stained_glass: #1, 81(63%)
minecraft.mined.cave_vines_plant: #1, 190(40%)
minecraft.mined.jungle_stairs: #1, 157(53%)
minecraft.mined.green_terracotta: #1, 1137(85%)
minecraft.crafted.beehive: #1, 700(56%)
minecraft.mined.netherrack: #1, 128227(26%)
minecraft.picked_up.jungle_log: #1, 9808(33%)
minecraft.dropped.lead: #1, 51(30%)
minecraft.used.smoker: #1, 48(41%)
minecraft.crafted.jungle_planks: #1, 25993(36%)
minecraft.picked_up.clock: #1, 248(43%)
minecraft.used.blackstone: #1, 6645(29%)
minecraft.picked_up.spruce_fence: #1, 1064(27%)
minecraft.picked_up.amethyst_shard: #1, 12488(28%)
minecraft.used.spruce_door: #1, 159(31%)
minecraft.crafted.bookshelf: #1, 2024(25%)
minecraft.used.fletching_table: #1, 91(76%)
minecraft.picked_up.smoker: #1, 49(47%)
minecraft.picked_up.deepslate_redstone_ore: #1, 1003(25%)
