stat, rank, value, (percentage) 
minecraft.mined.twisting_vines: #1, 925(75%)
minecraft.mined.jungle_leaves: #1, 14995(67%)
minecraft.mined.dark_oak_leaves: #1, 9649(49%)
minecraft.mined.acacia_leaves: #1, 18421(67%)
minecraft.mined.weathered_copper: #1, 585(61%)
minecraft.used.cooked_chicken: #1, 1369(72%)
minecraft.picked_up.weathered_copper: #1, 577(60%)
minecraft.picked_up.chicken: #1, 660(43%)
minecraft.crafted.blast_furnace: #1, 185(51%)
minecraft.killed.chicken: #1, 574(42%)
minecraft.mined.white_concrete_powder: #1, 1768(61%)
minecraft.used.chiseled_deepslate: #1, 2192(52%)
minecraft.mined.birch_leaves: #1, 19113(37%)
minecraft.crafted.cooked_chicken: #1, 460(60%)
minecraft.used.grindstone: #1, 953(40%)
minecraft.used.blast_furnace: #1, 182(41%)
minecraft.picked_up.feather: #1, 673(35%)
minecraft.picked_up.cooked_chicken: #1, 660(52%)
minecraft.used.egg: #1, 1807(31%)
minecraft.mined.grindstone: #1, 292(37%)
minecraft.used.red_stained_glass: #1, 1085(60%)
minecraft.crafted.grindstone: #1, 697(37%)
minecraft.mined.copper_block: #1, 781(37%)
minecraft.picked_up.black_concrete_powder: #1, 5309(64%)
minecraft.crafted.dark_oak_trapdoor: #1, 1542(33%)
minecraft.mined.polished_deepslate: #1, 1941(30%)
minecraft.used.light_blue_shulker_box: #1, 476(54%)
minecraft.used.weathered_copper: #1, 255(53%)
minecraft.picked_up.light_blue_shulker_box: #1, 442(53%)
minecraft.crafted.coal: #1, 19239(29%)
minecraft.mined.light_blue_shulker_box: #1, 430(52%)
minecraft.picked_up.chiseled_deepslate: #1, 405(45%)
minecraft.used.dark_oak_trapdoor: #1, 1433(33%)
minecraft.mined.polished_blackstone: #1, 760(36%)
minecraft.mined.chiseled_deepslate: #1, 373(47%)
minecraft.used.amethyst_cluster: #1, 1674(49%)
minecraft.picked_up.red_stained_glass: #1, 85(57%)
minecraft.crafted.light_blue_shulker_box: #1, 51(67%)
minecraft.dropped.warped_wart_block: #1, 2164(60%)
minecraft.picked_up.polished_deepslate: #1, 2097(25%)
minecraft.used.birch_sapling: #1, 1309(31%)
minecraft.mined.jungle_sapling: #1, 123(58%)
minecraft.used.acacia_sapling: #1, 1332(42%)
minecraft.crafted.red_stained_glass: #1, 1992(49%)
minecraft.mined.exposed_copper: #1, 209(37%)
minecraft.picked_up.exposed_copper: #1, 207(37%)
minecraft.mined.horn_coral_block: #1, 1216(56%)
minecraft.mined.tube_coral_block: #1, 1195(62%)
minecraft.mined.polished_blackstone_button: #1, 104(39%)
minecraft.picked_up.horn_coral_block: #1, 1161(60%)
minecraft.used.diamond_hoe: #1, 106324(28%)
minecraft.mined.red_stained_glass: #1, 102(53%)
minecraft.picked_up.polished_blackstone: #1, 742(28%)
minecraft.used.deepslate_redstone_ore: #1, 455(29%)
minecraft.used.spruce_sapling: #1, 1535(23%)
minecraft.picked_up.copper_block: #1, 1465(26%)
minecraft.mined.cactus: #1, 1018(22%)
minecraft.picked_up.grindstone: #2, 285(30%)
minecraft.used.soul_torch: #1, 196(66%)
minecraft.used.bone_meal: #1, 26592(21%)
minecraft.mined.flowering_azalea_leaves: #2, 5277(26%)
minecraft.used.exposed_copper: #1, 135(35%)
minecraft.crafted.white_concrete_powder: #1, 32592(26%)
minecraft.mined.azalea_leaves: #2, 15777(26%)
minecraft.picked_up.tube_coral_block: #1, 1123(62%)
minecraft.picked_up.acacia_sapling: #1, 1545(29%)
minecraft.used.azalea: #2, 1294(25%)
minecraft.mined.white_banner: #1, 16(48%)
minecraft.picked_up.horn_coral_fan: #2, 621(42%)
minecraft.used.petrified_oak_slab: #1, 227(69%)
minecraft.used.redstone_ore: #1, 1029(23%)
minecraft.mined.fire_coral_block: #1, 1177(53%)
minecraft.dropped.sweet_berries: #1, 169(36%)
minecraft.picked_up.birch_sapling: #1, 1565(18%)
minecraft.picked_up.amethyst_cluster: #2, 1935(30%)
minecraft.picked_up.soul_lantern: #1, 155(29%)
minecraft.mined.warped_roots: #1, 481(24%)
minecraft.mined.iron_bars: #1, 190(20%)
minecraft.picked_up.petrified_oak_slab: #1, 132(65%)
minecraft.mined.birch_sapling: #1, 48(27%)
minecraft.used.soul_lantern: #2, 552(32%)
minecraft.picked_up.black_bed: #1, 160(63%)
minecraft.crafted.furnace: #2, 607(21%)
minecraft.mined.horn_coral_wall_fan: #2, 452(39%)
minecraft.picked_up.egg: #2, 1427(20%)
minecraft.mined.birch_stairs: #1, 71(24%)
minecraft.mined.deepslate_brick_stairs: #1, 258(27%)
minecraft.used.cobbled_deepslate_wall: #1, 890(25%)
minecraft.used.polished_deepslate: #2, 9283(20%)
minecraft.picked_up.deepslate_gold_ore: #1, 210(20%)
minecraft.mined.player_wall_head: #1, 36(20%)
minecraft.mined.light_gray_concrete_powder: #1, 174(30%)
minecraft.mined.sea_pickle: #2, 442(29%)
minecraft.mined.petrified_oak_slab: #1, 132(68%)
minecraft.mined.spruce_fence: #1, 447(18%)
minecraft.crafted.deepslate: #1, 358(36%)
minecraft.picked_up.jungle_sapling: #2, 685(28%)
minecraft.mined.polished_deepslate_stairs: #1, 330(20%)
minecraft.picked_up.fire_coral_block: #1, 1066(44%)
minecraft.used.white_concrete_powder: #2, 27104(24%)
minecraft.dropped.light_gray_concrete_powder: #1, 128(55%)
minecraft.mined.black_stained_glass_pane: #1, 134(39%)
minecraft.used.spyglass: #1, 760(21%)
minecraft.custom.interact_with_grindstone: #1, 196(16%)
minecraft.mined.black_bed: #1, 142(63%)
minecraft.dropped.orange_tulip: #1, 19(76%)
minecraft.crafted.magenta_shulker_box: #1, 9(47%)
minecraft.mined.deepslate: #1, 53414(14%)
minecraft.mined.brown_mushroom: #2, 196(23%)
minecraft.used.black_bed: #1, 206(54%)
minecraft.used.weathered_cut_copper_slab: #1, 136(53%)
minecraft.killed.squid: #2, 524(20%)
minecraft.custom.enchant_item: #1, 373(15%)
minecraft.used.waxed_weathered_cut_copper_stairs: #1, 207(90%)
minecraft.dropped.rabbit_hide: #1, 23(45%)
minecraft.dropped.polished_blackstone: #1, 61(36%)
minecraft.used.jungle_boat: #1, 28(35%)
minecraft.dropped.brown_mushroom: #2, 75(30%)
minecraft.mined.sand: #1, 88523(13%)
minecraft.used.tube_coral_block: #1, 529(69%)
minecraft.mined.brain_coral_wall_fan: #2, 424(37%)
minecraft.mined.mycelium: #1, 613(85%)
minecraft.used.oak_boat: #2, 177(18%)
minecraft.picked_up.tube_coral_fan: #2, 415(33%)
minecraft.crafted.light_blue_dye: #1, 430(14%)
minecraft.mined.tube_coral_wall_fan: #2, 393(36%)
minecraft.mined.fire_coral_wall_fan: #2, 443(33%)
minecraft.mined.deepslate_redstone_ore: #1, 1317(13%)
minecraft.crafted.golden_boots: #1, 11(37%)
minecraft.picked_up.coal: #1, 23112(13%)
minecraft.mined.glowstone: #2, 866(17%)
minecraft.picked_up.written_book: #2, 36(24%)
minecraft.mined.nether_sprouts: #2, 321(24%)
minecraft.picked_up.gray_wool: #2, 965(24%)
minecraft.crafted.golden_helmet: #1, 9(20%)
minecraft.picked_up.brain_coral_fan: #2, 563(39%)
minecraft.used.cactus: #2, 1051(19%)
minecraft.crafted.golden_chestplate: #1, 9(36%)
minecraft.used.iron_bars: #2, 943(17%)
minecraft.crafted.lime_shulker_box: #2, 242(35%)
minecraft.picked_up.music_disc_far: #1, 9(64%)
minecraft.picked_up.fire_coral_fan: #2, 588(35%)
minecraft.crafted.light_blue_banner: #1, 16(64%)
minecraft.mined.deepslate_bricks: #2, 802(17%)
minecraft.dropped.black_concrete: #1, 84(35%)
minecraft.used.waxed_cut_copper_slab: #1, 138(79%)
minecraft.used.jungle_sapling: #2, 332(26%)
minecraft.mined.deepslate_coal_ore: #1, 1581(12%)
minecraft.used.copper_ore: #2, 1526(21%)
minecraft.dropped.cooked_mutton: #1, 25(62%)
minecraft.crafted.wooden_sword: #1, 7(39%)
minecraft.mined.oak_leaves: #2, 19422(16%)
minecraft.picked_up.mycelium: #1, 241(77%)
minecraft.dropped.egg: #3, 863(22%)
minecraft.dropped.stripped_warped_hyphae: #1, 90(76%)
