stat, rank, value, (percentage) 
minecraft.mined.nether_wart_block: #1, 2855(41%)
minecraft.picked_up.nether_wart_block: #1, 2840(42%)
minecraft.mined.stripped_crimson_stem: #1, 645(96%)
minecraft.picked_up.stripped_crimson_stem: #1, 642(96%)
minecraft.mined.cracked_deepslate_tiles: #1, 85(62%)
minecraft.crafted.deepslate_tile_stairs: #2, 408(31%)
minecraft.mined.crimson_roots: #1, 373(27%)
minecraft.picked_up.cracked_deepslate_tiles: #1, 120(51%)
minecraft.picked_up.magenta_wool: #1, 684(50%)
minecraft.used.magenta_wool: #1, 182(79%)
minecraft.crafted.deepslate_tiles: #2, 3344(27%)
minecraft.crafted.melon: #1, 13528(52%)
minecraft.used.crimson_fungus: #1, 45(31%)
minecraft.used.light_blue_dye: #1, 20(59%)
minecraft.used.wooden_axe: #1, 60(38%)
minecraft.crafted.deepslate_bricks: #2, 3784(19%)
minecraft.killed.salmon: #1, 30(21%)
minecraft.used.stripped_crimson_stem: #1, 412(96%)
minecraft.used.magenta_dye: #1, 32(89%)
minecraft.mined.melon_stem: #1, 17(27%)
minecraft.dropped.allium: #1, 64(41%)
minecraft.crafted.chainmail_boots: #1, 28(41%)
minecraft.crafted.iron_helmet: #2, 12(14%)
minecraft.picked_up.crimson_roots: #2, 374(15%)
minecraft.dropped.powered_rail: #2, 48(32%)
minecraft.mined.magenta_wool: #1, 6(43%)
minecraft.used.warped_wart_block: #2, 276(19%)
minecraft.dropped.stone_axe: #2, 13(15%)
minecraft.picked_up.composter: #2, 76(10%)
minecraft.mined.crimson_fungus: #3, 53(16%)
minecraft.dropped.jack_o_lantern: #2, 15(38%)
minecraft.crafted.deepslate_tile_wall: #3, 156(13%)
minecraft.used.cracked_deepslate_tiles: #3, 646(21%)
minecraft.mined.carrots: #3, 1700(10%)
minecraft.mined.powered_rail: #3, 392(10%)
minecraft.dropped.chiseled_deepslate: #2, 17(26%)
minecraft.mined.melon: #2, 221(7%)
minecraft.dropped.wooden_axe: #2, 2(25%)
minecraft.used.melon_seeds: #2, 61(8%)
minecraft.dropped.note_block: #2, 12(21%)
minecraft.mined.potted_spruce_sapling: #2, 1(50%)
minecraft.used.golden_chestplate: #2, 2(33%)
minecraft.picked_up.lectern: #4, 799(15%)
minecraft.crafted.melon_seeds: #2, 74(8%)
minecraft.crafted.cracked_deepslate_tiles: #3, 568(20%)
minecraft.crafted.blue_terracotta: #3, 448(17%)
minecraft.dropped.chain: #3, 27(13%)
minecraft.picked_up.weeping_vines: #4, 115(12%)
minecraft.crafted.emerald_block: #3, 953(12%)
minecraft.used.purple_stained_glass: #2, 130(11%)
minecraft.crafted.stone_axe: #4, 13(10%)
minecraft.crafted.cobbled_deepslate_stairs: #3, 60(9%)
minecraft.used.deepslate_tiles: #4, 3638(9%)
minecraft.crafted.polished_deepslate: #4, 3780(9%)
minecraft.mined.lilac: #4, 20(9%)
minecraft.used.lectern: #5, 814(14%)
minecraft.mined.nether_sprouts: #4, 158(12%)
minecraft.mined.composter: #4, 68(10%)
minecraft.mined.warped_roots: #4, 211(11%)
minecraft.used.purple_shulker_box: #3, 36(14%)
minecraft.picked_up.salmon: #4, 43(10%)
minecraft.picked_up.light_blue_dye: #3, 23(10%)
minecraft.picked_up.carrot: #4, 7715(7%)
minecraft.mined.purple_shulker_box: #3, 35(13%)
minecraft.picked_up.purple_shulker_box: #3, 35(13%)
minecraft.mined.lectern: #5, 799(15%)
minecraft.picked_up.melon_slice: #3, 739(4%)
minecraft.mined.allium: #3, 43(7%)
minecraft.crafted.stone: #4, 1504(7%)
minecraft.mined.attached_melon_stem: #3, 4(12%)
minecraft.used.blue_terracotta: #4, 252(19%)
minecraft.crafted.purple_stained_glass: #3, 136(6%)
minecraft.picked_up.melon_seeds: #4, 17(8%)
minecraft.used.diamond_chestplate: #4, 2(12%)
minecraft.used.melon: #3, 9(3%)
minecraft.crafted.deepslate_brick_stairs: #4, 60(7%)
minecraft.picked_up.dark_oak_fence_gate: #4, 22(8%)
minecraft.used.porkchop: #4, 4(20%)
minecraft.mined.magenta_shulker_box: #4, 33(15%)
minecraft.picked_up.magenta_shulker_box: #4, 33(14%)
minecraft.picked_up.iron_hoe: #4, 2(12%)
minecraft.crafted.chiseled_deepslate: #4, 20(7%)
minecraft.mined.lapis_block: #3, 2(2%)
minecraft.mined.purple_stained_glass: #3, 1(2%)
minecraft.mined.deepslate_tiles: #5, 548(8%)
minecraft.picked_up.detector_rail: #4, 7(10%)
minecraft.picked_up.crimson_fungus: #5, 53(10%)
minecraft.used.carrot: #5, 1730(7%)
minecraft.used.pink_shulker_box: #4, 34(10%)
minecraft.dropped.carrot: #5, 2859(9%)
minecraft.used.warped_stem: #5, 391(11%)
minecraft.broken.golden_chestplate: #4, 1(20%)
minecraft.crafted.cobbled_deepslate_wall: #4, 60(6%)
minecraft.dropped.piston: #4, 8(5%)
minecraft.mined.blue_terracotta: #4, 16(8%)
minecraft.mined.redstone_torch: #5, 38(7%)
minecraft.mined.pink_shulker_box: #4, 33(10%)
minecraft.picked_up.pink_shulker_box: #4, 33(10%)
minecraft.crafted.pumpkin_seeds: #4, 48(5%)
minecraft.crafted.cracked_deepslate_bricks: #4, 218(6%)
minecraft.crafted.enchanted_book: #5, 595(9%)
minecraft.crafted.cooked_salmon: #4, 13(11%)
minecraft.killed.villager: #4, 4(5%)
minecraft.crafted.deepslate_brick_wall: #5, 54(11%)
minecraft.dropped.redstone_torch: #5, 31(9%)
minecraft.crafted.emerald: #5, 21277(7%)
minecraft.mined.weeping_vines_plant: #5, 24(8%)
minecraft.crafted.pumpkin_pie: #4, 72(3%)
minecraft.picked_up.cracked_deepslate_bricks: #4, 80(2%)
minecraft.picked_up.melon: #4, 78(2%)
minecraft.mined.oak_door: #5, 5(10%)
minecraft.dropped.pumpkin_pie: #4, 7(2%)
minecraft.used.magenta_shulker_box: #5, 34(14%)
minecraft.mined.cyan_terracotta: #5, 119(7%)
minecraft.picked_up.powered_rail: #5, 460(5%)
minecraft.mined.rail: #6, 1132(8%)
minecraft.crafted.oak_pressure_plate: #5, 2(8%)
minecraft.used.minecart: #6, 108(7%)
minecraft.crafted.diamond_boots: #6, 6(7%)
minecraft.picked_up.minecart: #6, 102(7%)
minecraft.used.pumpkin_pie: #5, 42(7%)
minecraft.picked_up.deepslate_tiles: #6, 535(7%)
minecraft.used.cyan_shulker_box: #5, 22(7%)
minecraft.picked_up.cyan_shulker_box: #5, 21(7%)
minecraft.mined.cracked_deepslate_bricks: #5, 29(6%)
minecraft.mined.cyan_shulker_box: #5, 21(7%)
minecraft.used.crimson_nylium: #5, 26(4%)
minecraft.picked_up.wooden_axe: #5, 1(9%)
minecraft.used.wheat: #5, 8(6%)
minecraft.mined.warped_fungus: #6, 34(6%)
minecraft.dropped.shroomlight: #5, 3(2%)
minecraft.crafted.cyan_wool: #5, 3(2%)
minecraft.mined.cyan_bed: #5, 4(2%)
minecraft.picked_up.purple_stained_glass: #5, 1(1%)
minecraft.custom.traded_with_villager: #6, 19331(4%)
minecraft.dropped.peony: #5, 1(1%)
minecraft.used.lapis_block: #5, 1(0%)
minecraft.used.deepslate_brick_wall: #6, 127(7%)
minecraft.picked_up.oak_door: #6, 5(5%)
minecraft.used.oak_pressure_plate: #6, 2(7%)
minecraft.mined.andesite_slab: #6, 22(5%)
minecraft.used.peony: #6, 4(5%)
minecraft.picked_up.rail: #7, 1253(6%)
minecraft.custom.talked_to_villager: #7, 3225(6%)
minecraft.crafted.andesite_slab: #6, 78(4%)
minecraft.used.wooden_sword: #6, 25(6%)
minecraft.mined.ladder: #7, 64(6%)
minecraft.picked_up.blue_terracotta: #6, 12(6%)
minecraft.dropped.yellow_bed: #6, 1(7%)
minecraft.mined.grindstone: #6, 18(2%)
minecraft.used.blue_dye: #6, 1(8%)
minecraft.crafted.bread: #7, 885(7%)
minecraft.picked_up.allium: #6, 107(1%)
minecraft.picked_up.cyan_bed: #6, 4(2%)
minecraft.mined.attached_pumpkin_stem: #6, 3(1%)
minecraft.picked_up.warped_roots: #7, 212(5%)
minecraft.picked_up.black_bed: #6, 2(1%)
minecraft.mined.black_bed: #6, 2(1%)
minecraft.picked_up.magenta_dye: #6, 3(1%)
minecraft.used.black_bed: #6, 2(1%)
minecraft.mined.pumpkin: #7, 196(5%)
minecraft.used.powered_rail: #7, 539(4%)
minecraft.crafted.purple_shulker_box: #7, 1(10%)
minecraft.picked_up.book: #7, 618(4%)
minecraft.mined.bookshelf: #7, 206(4%)
minecraft.dropped.azalea_leaves: #7, 64(5%)
minecraft.picked_up.vine: #7, 358(3%)
minecraft.crafted.note_block: #7, 76(3%)
minecraft.used.rail: #8, 1530(6%)
minecraft.picked_up.cyan_terracotta: #7, 118(3%)
minecraft.mined.deepslate_brick_stairs: #7, 30(3%)
minecraft.crafted.wooden_sword: #7, 1(6%)
minecraft.used.cracked_deepslate_bricks: #7, 157(3%)
minecraft.picked_up.crimson_nylium: #7, 43(2%)
minecraft.dropped.porkchop: #7, 7(4%)
minecraft.used.dark_oak_button: #7, 8(2%)
minecraft.picked_up.andesite_slab: #7, 17(2%)
minecraft.picked_up.chiseled_deepslate: #7, 17(2%)
minecraft.mined.detector_rail: #7, 1(4%)
minecraft.mined.light_blue_shulker_box: #7, 16(2%)
minecraft.picked_up.light_blue_shulker_box: #7, 16(2%)
minecraft.crafted.cyan_bed: #7, 1(4%)
minecraft.picked_up.blue_dye: #7, 9(2%)
minecraft.used.composter: #8, 100(5%)
minecraft.crafted.cooked_chicken: #7, 7(1%)
minecraft.mined.peony: #8, 7(6%)
minecraft.dropped.spruce_planks: #8, 128(5%)
minecraft.dropped.comparator: #7, 1(0%)
minecraft.crafted.wooden_axe: #8, 1(11%)
minecraft.crafted.chain: #8, 331(4%)
minecraft.crafted.deepslate_brick_slab: #8, 54(6%)
minecraft.crafted.lectern: #8, 16(4%)
minecraft.mined.oak_leaves: #8, 4290(3%)
minecraft.used.oak_door: #8, 4(5%)
minecraft.crafted.composter: #8, 58(3%)
minecraft.used.diamond_helmet: #8, 3(5%)
minecraft.used.flowering_azalea_leaves: #8, 83(3%)
minecraft.crafted.dark_oak_fence_gate: #8, 31(4%)
minecraft.crafted.bookshelf: #8, 222(3%)
minecraft.mined.obsidian: #8, 446(3%)
minecraft.used.iron_helmet: #8, 1(7%)
minecraft.used.cactus: #8, 152(3%)
minecraft.used.cooked_salmon: #8, 6(6%)
minecraft.crafted.golden_carrot: #8, 1185(3%)
minecraft.used.grass: #8, 54(3%)
minecraft.crafted.cyan_shulker_box: #8, 1(6%)
minecraft.used.oak_leaves: #8, 807(2%)
minecraft.crafted.magenta_shulker_box: #8, 1(5%)
minecraft.picked_up.grindstone: #8, 17(2%)
