stat, rank, value, (percentage) 
minecraft.picked_up.cobblestone_slab: #2, 602(22%)
minecraft.crafted.polished_diorite_slab: #1, 204(78%)
minecraft.mined.cobblestone_slab: #2, 627(21%)
minecraft.crafted.polished_granite_stairs: #1, 144(68%)
minecraft.picked_up.stone_pickaxe: #2, 7(15%)
minecraft.picked_up.polished_diorite_slab: #2, 102(40%)
minecraft.picked_up.polished_granite_stairs: #2, 69(44%)
minecraft.mined.candle: #2, 22(15%)
minecraft.used.polished_granite_stairs: #2, 109(27%)
minecraft.used.stone_pickaxe: #3, 1063(9%)
minecraft.used.cobblestone: #3, 7276(7%)
minecraft.crafted.magma_cream: #2, 30(33%)
minecraft.used.cobblestone_slab: #4, 811(11%)
minecraft.broken.stone_pickaxe: #3, 8(12%)
minecraft.used.stone_shovel: #3, 1587(9%)
minecraft.mined.polished_diorite_slab: #2, 22(13%)
minecraft.broken.stone_shovel: #3, 12(9%)
minecraft.crafted.blaze_powder: #3, 124(5%)
minecraft.dropped.oak_trapdoor: #3, 20(9%)
minecraft.used.polished_diorite_slab: #3, 172(12%)
minecraft.crafted.cobblestone_slab: #5, 768(9%)
minecraft.crafted.stone_pickaxe: #5, 7(4%)
minecraft.killed_by.drowned: #5, 1(12%)
minecraft.broken.iron_pickaxe: #6, 18(6%)
minecraft.crafted.cobblestone_stairs: #6, 144(6%)
minecraft.mined.polished_granite_stairs: #5, 1(3%)
minecraft.used.cobblestone_stairs: #6, 101(4%)
minecraft.picked_up.candle: #6, 41(5%)
minecraft.broken.iron_shovel: #6, 9(3%)
minecraft.picked_up.oak_button: #6, 3(4%)
minecraft.killed.dolphin: #6, 1(6%)
minecraft.used.iron_shovel: #7, 2472(3%)
minecraft.used.iron_pickaxe: #8, 4511(4%)
minecraft.crafted.polished_granite: #8, 220(5%)
minecraft.picked_up.oak_door: #8, 4(4%)
minecraft.used.candle: #8, 47(4%)
minecraft.dropped.stripped_oak_log: #8, 1(1%)
minecraft.crafted.iron_pickaxe: #9, 18(4%)
minecraft.crafted.redstone_block: #9, 652(4%)
minecraft.picked_up.iron_shovel: #9, 7(3%)
minecraft.crafted.stone_shovel: #9, 11(3%)
minecraft.used.stone_hoe: #9, 165(3%)
minecraft.used.polished_andesite: #9, 177(2%)
minecraft.crafted.iron_shovel: #9, 10(2%)
minecraft.mined.oak_button: #9, 1(4%)
minecraft.crafted.polished_andesite_stairs: #9, 4(1%)
minecraft.crafted.lapis_block: #10, 136(3%)
minecraft.crafted.coal: #10, 1287(2%)
minecraft.crafted.polished_andesite: #10, 288(3%)
minecraft.broken.stone_hoe: #10, 1(3%)
minecraft.crafted.polished_diorite: #10, 104(2%)
minecraft.dropped.powered_rail: #10, 1(1%)
minecraft.dropped.cobblestone_slab: #10, 7(0%)
minecraft.mined.deepslate_lapis_ore: #11, 45(3%)
minecraft.used.oak_door: #11, 2(2%)
minecraft.used.oak_button: #11, 5(2%)
minecraft.mined.polished_andesite_stairs: #11, 1(1%)
minecraft.mined.kelp: #12, 87(2%)
minecraft.picked_up.mutton: #12, 14(2%)
minecraft.picked_up.powered_rail: #12, 103(1%)
minecraft.picked_up.polished_andesite_stairs: #12, 3(1%)
minecraft.used.polished_andesite_stairs: #12, 2(0%)
minecraft.picked_up.redstone: #13, 5320(4%)
minecraft.crafted.coal_block: #13, 319(2%)
minecraft.crafted.stone_hoe: #13, 2(3%)
minecraft.used.sticky_piston: #13, 63(2%)
minecraft.picked_up.kelp: #13, 605(1%)
minecraft.killed_by.zombie: #13, 2(2%)
minecraft.dropped.magma_block: #13, 4(1%)
minecraft.crafted.slime_ball: #13, 45(1%)
minecraft.mined.polished_andesite: #13, 7(0%)
minecraft.picked_up.blaze_rod: #14, 64(2%)
minecraft.crafted.lightning_rod: #14, 21(1%)
minecraft.picked_up.diamond_block: #14, 13(1%)
minecraft.picked_up.birch_boat: #14, 2(1%)
minecraft.used.shroomlight: #14, 17(0%)
minecraft.crafted.raw_gold_block: #14, 2(0%)
minecraft.picked_up.lapis_lazuli: #15, 1260(3%)
minecraft.mined.redstone_ore: #15, 667(3%)
minecraft.mined.deepslate_coal_ore: #15, 297(2%)
minecraft.crafted.powered_rail: #15, 102(1%)
minecraft.mined.kelp_plant: #15, 47(1%)
minecraft.picked_up.lightning_rod: #15, 12(1%)
minecraft.mined.carrots: #15, 200(1%)
minecraft.mined.iron_bars: #15, 10(1%)
minecraft.killed_by.skeleton: #15, 1(1%)
minecraft.picked_up.polished_andesite: #15, 7(0%)
minecraft.crafted.oak_door: #16, 3(4%)
minecraft.mined.deepslate_copper_ore: #16, 30(2%)
minecraft.mined.deepslate_gold_ore: #16, 70(2%)
minecraft.broken.stone_axe: #16, 1(3%)
minecraft.used.carrot: #16, 419(2%)
minecraft.used.deepslate: #16, 676(1%)
minecraft.crafted.iron_bars: #16, 128(1%)
minecraft.picked_up.repeater: #16, 51(1%)
minecraft.used.repeater: #16, 92(1%)
minecraft.picked_up.oak_trapdoor: #16, 20(1%)
minecraft.crafted.brewing_stand: #16, 2(1%)
minecraft.killed.sheep: #16, 5(1%)
minecraft.dropped.oak_sapling: #16, 7(1%)
minecraft.picked_up.clay_ball: #16, 84(1%)
minecraft.used.lightning_rod: #16, 15(1%)
minecraft.crafted.oak_button: #16, 2(1%)
minecraft.custom.minecart_one_cm: #16, 64077(0%)
minecraft.crafted.gold_block: #16, 22(0%)
minecraft.mined.cobblestone: #17, 1064(3%)
minecraft.mined.deepslate_redstone_ore: #17, 275(3%)
minecraft.mined.diamond_ore: #17, 121(2%)
minecraft.crafted.diamond_block: #17, 25(1%)
minecraft.crafted.repeater: #17, 64(1%)
minecraft.crafted.rail: #17, 128(1%)
minecraft.used.oak_slab: #17, 23(0%)
minecraft.crafted.glass_bottle: #17, 45(0%)
minecraft.crafted.raw_copper_block: #17, 5(0%)
minecraft.picked_up.polished_diorite: #17, 1(0%)
minecraft.crafted.gold_nugget: #17, 9(0%)
minecraft.crafted.diamond_boots: #18, 2(2%)
minecraft.used.stone_axe: #18, 127(2%)
minecraft.picked_up.diamond: #18, 277(2%)
minecraft.picked_up.raw_gold: #18, 327(2%)
minecraft.crafted.redstone: #18, 1341(1%)
minecraft.used.andesite: #18, 355(1%)
minecraft.picked_up.carrot: #18, 873(1%)
minecraft.dropped.iron_shovel: #18, 1(1%)
minecraft.mined.oak_slab: #18, 9(1%)
minecraft.picked_up.rail: #18, 109(1%)
minecraft.crafted.raw_iron_block: #18, 18(0%)
minecraft.used.polished_granite: #18, 1(0%)
minecraft.mined.deepslate_iron_ore: #19, 161(2%)
minecraft.picked_up.cobblestone: #19, 11479(1%)
minecraft.mined.tuff: #19, 369(1%)
minecraft.picked_up.iron_sword: #19, 2(1%)
minecraft.picked_up.tuff: #19, 366(1%)
minecraft.used.oak_sapling: #19, 67(1%)
minecraft.crafted.redstone_torch: #19, 192(1%)
minecraft.used.granite: #19, 128(1%)
minecraft.mined.oak_trapdoor: #19, 6(0%)
minecraft.used.birch_boat: #19, 1(0%)
minecraft.used.apple: #19, 1(0%)
minecraft.killed.pig: #19, 1(0%)
minecraft.crafted.torch: #20, 2556(2%)
minecraft.picked_up.cobbled_deepslate: #20, 4029(1%)
minecraft.picked_up.oak_sapling: #20, 211(1%)
minecraft.broken.iron_axe: #20, 1(1%)
minecraft.mined.repeater: #20, 14(1%)
minecraft.used.iron_axe: #20, 250(1%)
minecraft.crafted.diamond: #20, 54(1%)
minecraft.crafted.oak_trapdoor: #20, 16(0%)
minecraft.picked_up.iron_bars: #20, 10(0%)
minecraft.crafted.flint_and_steel: #20, 2(0%)
minecraft.mined.clay: #20, 21(0%)
minecraft.mined.magma_block: #20, 39(0%)
minecraft.picked_up.stripped_oak_log: #20, 1(0%)
minecraft.used.ladder: #21, 56(1%)
minecraft.mined.deepslate_diamond_ore: #21, 30(1%)
minecraft.used.redstone: #21, 272(1%)
minecraft.dropped.crafting_table: #21, 1(1%)
minecraft.used.brewing_stand: #21, 2(1%)
minecraft.used.flint_and_steel: #21, 31(1%)
minecraft.picked_up.flint: #21, 41(0%)
minecraft.mined.cobblestone_stairs: #21, 2(0%)
minecraft.used.rail: #21, 81(0%)
minecraft.crafted.iron_sword: #21, 1(0%)
minecraft.used.oak_trapdoor: #21, 12(0%)
minecraft.picked_up.cobblestone_stairs: #21, 2(0%)
minecraft.killed.phantom: #21, 2(0%)
minecraft.mined.powered_rail: #21, 6(0%)
minecraft.mined.stripped_oak_log: #21, 1(0%)
minecraft.picked_up.coal: #22, 3059(2%)
minecraft.mined.lapis_ore: #22, 52(1%)
minecraft.picked_up.raw_iron: #22, 1268(1%)
minecraft.picked_up.raw_copper: #22, 863(1%)
minecraft.used.cobbled_deepslate: #22, 182(1%)
minecraft.dropped.iron_sword: #22, 1(1%)
minecraft.picked_up.ladder: #22, 30(0%)
minecraft.picked_up.apple: #22, 22(0%)
minecraft.picked_up.oak_slab: #22, 8(0%)
minecraft.custom.inspect_hopper: #22, 61(0%)
minecraft.mined.dirt_path: #22, 20(0%)
minecraft.mined.oak_sapling: #22, 1(0%)
minecraft.used.iron_sword: #22, 29(0%)
minecraft.used.oak_planks: #22, 46(0%)
minecraft.used.powered_rail: #22, 12(0%)
minecraft.dropped.carrot: #22, 1(0%)
minecraft.crafted.diamond_helmet: #23, 1(1%)
minecraft.picked_up.water_bucket: #23, 3(1%)
minecraft.crafted.oak_planks: #23, 820(0%)
minecraft.crafted.oak_slab: #23, 36(0%)
minecraft.dropped.oak_planks: #23, 4(0%)
minecraft.picked_up.golden_carrot: #23, 50(0%)
minecraft.dropped.flint: #23, 6(0%)
minecraft.mined.rail: #23, 28(0%)
minecraft.crafted.copper_block: #23, 53(0%)
