stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #7, 10117653(7%)
minecraft.custom.time_since_death: #7, 10117653(6%)
minecraft.custom.fly_one_cm: #13, 43306359(3%)
minecraft.custom.leave_game: #23, 231(1%)
minecraft.custom.walk_under_water_one_cm: #29, 422204(0%)
minecraft.custom.play_time: #30, 10117653(1%)
minecraft.custom.total_world_time: #30, 10117653(1%)
minecraft.custom.walk_on_water_one_cm: #30, 198006(0%)
minecraft.custom.damage_taken: #32, 160(0%)
minecraft.custom.fall_one_cm: #32, 1877(0%)
minecraft.custom.sprint_one_cm: #32, 1506(0%)
minecraft.custom.sneak_time: #33, 35346(0%)
minecraft.custom.jump: #33, 14(0%)
minecraft.custom.walk_one_cm: #39, 765(0%)
