stat, rank, value, (percentage) 
minecraft.picked_up.cookie: #1, 2132(88%)
minecraft.picked_up.bread: #1, 1730(49%)
minecraft.picked_up.apple: #1, 1965(37%)
minecraft.picked_up.pumpkin_pie: #1, 1872(86%)
minecraft.mined.smooth_quartz_slab: #1, 556(70%)
minecraft.crafted.red_shulker_box: #1, 29(37%)
minecraft.mined.quartz_block: #1, 770(49%)
minecraft.dropped.apple: #1, 326(34%)
minecraft.picked_up.smooth_quartz_slab: #1, 724(55%)
minecraft.dropped.egg: #1, 1014(26%)
minecraft.used.smooth_quartz_slab: #1, 4415(46%)
minecraft.picked_up.quartz: #1, 12075(23%)
minecraft.used.quartz_block: #1, 2080(36%)
minecraft.mined.quartz_stairs: #1, 91(35%)
minecraft.mined.quartz_slab: #1, 101(34%)
minecraft.dropped.pumpkin_pie: #1, 263(79%)
minecraft.used.diorite_stairs: #1, 92(77%)
minecraft.mined.nether_quartz_ore: #1, 5813(17%)
minecraft.picked_up.chiseled_quartz_block: #1, 53(82%)
minecraft.picked_up.black_terracotta: #1, 268(81%)
minecraft.used.black_terracotta: #1, 544(64%)
minecraft.mined.chiseled_quartz_block: #1, 19(70%)
minecraft.used.end_stone: #2, 575(21%)
minecraft.custom.interact_with_smoker: #1, 120(18%)
minecraft.used.wooden_sword: #1, 138(32%)
minecraft.picked_up.quartz_block: #2, 831(24%)
minecraft.mined.diorite_stairs: #1, 17(89%)
minecraft.picked_up.diorite_stairs: #1, 17(89%)
minecraft.picked_up.quartz_slab: #2, 133(24%)
minecraft.mined.black_concrete_powder: #2, 117(29%)
minecraft.picked_up.quartz_stairs: #2, 91(22%)
minecraft.killed.silverfish: #2, 74(18%)
minecraft.used.cracked_nether_bricks: #1, 111(59%)
minecraft.picked_up.podzol: #2, 777(13%)
minecraft.mined.heavy_weighted_pressure_plate: #1, 3(21%)
minecraft.used.porkchop: #1, 5(25%)
minecraft.crafted.smooth_quartz: #2, 2014(19%)
minecraft.used.quartz_stairs: #2, 181(17%)
minecraft.used.egg: #3, 773(13%)
minecraft.used.podzol: #3, 617(20%)
minecraft.broken.wooden_sword: #1, 2(67%)
minecraft.mined.cracked_nether_bricks: #1, 10(67%)
minecraft.crafted.cracked_nether_bricks: #1, 110(100%)
minecraft.crafted.sea_pickle: #1, 2(100%)
minecraft.dropped.cracked_nether_bricks: #1, 9(100%)
minecraft.dropped.golden_apple: #2, 23(22%)
minecraft.mined.infested_deepslate: #2, 26(28%)
minecraft.used.netherrack: #3, 5958(11%)
minecraft.picked_up.heavy_weighted_pressure_plate: #2, 7(23%)
minecraft.used.coal_block: #2, 458(13%)
minecraft.crafted.nether_brick: #2, 1371(19%)
minecraft.mined.polished_deepslate_wall: #3, 118(15%)
minecraft.crafted.golden_boots: #2, 5(17%)
minecraft.used.purpur_pillar: #2, 41(13%)
minecraft.used.nether_brick_fence: #2, 73(12%)
minecraft.picked_up.coal_block: #2, 274(7%)
minecraft.mined.emerald_ore: #3, 65(14%)
minecraft.used.quartz_slab: #3, 240(14%)
minecraft.crafted.cooked_chicken: #3, 108(14%)
minecraft.mined.redstone_lamp: #3, 37(12%)
minecraft.dropped.cookie: #3, 648(26%)
minecraft.dropped.black_shulker_box: #2, 1(50%)
minecraft.mined.potted_wither_rose: #2, 1(25%)
minecraft.mined.crimson_nylium: #3, 181(8%)
minecraft.broken.wooden_pickaxe: #2, 1(20%)
