stat, rank, value, (percentage) 
minecraft.used.sugar_cane: #1, 5318(49%)
minecraft.used.white_carpet: #1, 1321(47%)
minecraft.used.light_gray_concrete: #1, 4725(65%)
minecraft.dropped.stone_shovel: #1, 84(54%)
minecraft.picked_up.gray_concrete_powder: #1, 1194(70%)
minecraft.mined.red_bed: #1, 302(37%)
minecraft.used.light_gray_concrete_powder: #1, 5633(37%)
minecraft.mined.sandstone_slab: #1, 253(48%)
minecraft.used.sea_lantern: #1, 2380(33%)
minecraft.picked_up.sandstone_slab: #1, 231(41%)
minecraft.picked_up.red_bed: #1, 303(36%)
minecraft.picked_up.white_concrete_powder: #1, 3384(33%)
minecraft.crafted.stone_shovel: #1, 92(29%)
minecraft.used.red_bed: #1, 303(34%)
minecraft.picked_up.light_gray_concrete_powder: #1, 505(37%)
minecraft.used.andesite: #1, 8669(19%)
minecraft.crafted.light_gray_concrete_powder: #1, 5640(33%)
minecraft.used.white_stained_glass_pane: #1, 976(30%)
minecraft.crafted.white_stained_glass_pane: #1, 1136(31%)
minecraft.mined.emerald_ore: #1, 142(30%)
minecraft.crafted.stone_slab: #2, 4218(27%)
minecraft.used.stone_slab: #1, 4282(19%)
minecraft.mined.bamboo_sapling: #1, 31(39%)
minecraft.used.white_concrete: #2, 13506(24%)
minecraft.picked_up.dead_horn_coral_block: #1, 157(51%)
minecraft.used.gray_concrete_powder: #2, 7859(28%)
minecraft.mined.mossy_stone_bricks: #2, 419(32%)
minecraft.crafted.white_carpet: #2, 1293(21%)
minecraft.crafted.baked_potato: #1, 1280(22%)
minecraft.used.sandstone_slab: #1, 511(20%)
minecraft.used.chiseled_quartz_block: #1, 142(61%)
minecraft.used.item_frame: #1, 569(12%)
minecraft.mined.cracked_stone_bricks: #2, 306(31%)
minecraft.crafted.diamond_sword: #2, 15(16%)
minecraft.used.dead_horn_coral_block: #1, 125(47%)
minecraft.used.gray_concrete: #2, 4328(25%)
minecraft.mined.infested_stone_bricks: #1, 79(64%)
minecraft.picked_up.gravel: #2, 31541(14%)
minecraft.crafted.gray_concrete_powder: #2, 7952(23%)
minecraft.mined.pumpkin: #2, 683(17%)
minecraft.mined.gravel: #2, 31561(13%)
minecraft.picked_up.black_wool: #2, 322(18%)
minecraft.dropped.wooden_shovel: #1, 10(33%)
minecraft.dropped.dark_prismarine: #1, 22(58%)
minecraft.dropped.diamond: #2, 257(12%)
minecraft.mined.infested_stone: #2, 75(18%)
minecraft.mined.infested_cobblestone: #1, 3(60%)
minecraft.mined.magenta_stained_glass_pane: #1, 7(88%)
minecraft.picked_up.netherite_chestplate: #1, 2(29%)
minecraft.used.nether_gold_ore: #1, 18(43%)
minecraft.picked_up.purple_stained_glass_pane: #1, 13(81%)
minecraft.mined.yellow_shulker_box: #2, 262(23%)
minecraft.mined.infested_mossy_stone_bricks: #1, 10(77%)
minecraft.picked_up.white_wool: #2, 1248(10%)
minecraft.picked_up.yellow_shulker_box: #2, 262(23%)
minecraft.used.yellow_shulker_box: #2, 262(23%)
minecraft.mined.white_stained_glass_pane: #2, 51(17%)
minecraft.picked_up.egg: #3, 925(13%)
minecraft.mined.polished_diorite: #2, 210(19%)
minecraft.mined.infested_cracked_stone_bricks: #1, 5(71%)
minecraft.crafted.netherite_hoe: #1, 2(29%)
minecraft.crafted.item_frame: #3, 614(14%)
minecraft.used.blue_terracotta: #2, 353(26%)
minecraft.dropped.sea_lantern: #2, 64(28%)
minecraft.crafted.polished_diorite: #2, 824(14%)
minecraft.mined.white_carpet: #2, 82(11%)
minecraft.used.smooth_quartz_slab: #2, 1579(16%)
minecraft.used.white_concrete_powder: #3, 17091(15%)
