stat, rank, value, (percentage) 
minecraft.custom.damage_dealt: #1, 28658755(69%)
minecraft.dropped.glass_bottle: #1, 10809(93%)
minecraft.used.diamond_sword: #1, 426549(64%)
minecraft.dropped.spider_eye: #1, 10702(75%)
minecraft.used.spruce_button: #1, 975(74%)
minecraft.crafted.spruce_button: #1, 866(70%)
minecraft.picked_up.poppy: #1, 5108(49%)
minecraft.dropped.glowstone_dust: #1, 3906(86%)
minecraft.crafted.iron_sword: #1, 155(57%)
minecraft.used.dark_oak_button: #1, 253(69%)
minecraft.mined.seagrass: #1, 2645(46%)
minecraft.dropped.sugar: #1, 10446(95%)
minecraft.dropped.gunpowder: #1, 5085(44%)
minecraft.dropped.poppy: #1, 17343(40%)
minecraft.dropped.iron_ingot: #1, 3583(43%)
minecraft.crafted.dark_oak_button: #1, 261(58%)
minecraft.picked_up.pumpkin: #1, 6119(43%)
minecraft.crafted.iron_nugget: #1, 31642(37%)
minecraft.mined.stone_stairs: #1, 505(44%)
minecraft.dropped.iron_block: #1, 2846(50%)
minecraft.used.prismarine_bricks: #1, 1883(55%)
minecraft.picked_up.podzol: #1, 2247(37%)
minecraft.picked_up.spruce_button: #1, 132(43%)
minecraft.mined.podzol: #1, 2973(32%)
minecraft.mined.brown_shulker_box: #1, 472(71%)
minecraft.dropped.minecart: #1, 43(43%)
minecraft.picked_up.brown_shulker_box: #1, 486(70%)
minecraft.used.brown_shulker_box: #1, 493(69%)
minecraft.killed.zombie: #2, 11403(32%)
minecraft.picked_up.basalt: #1, 23739(29%)
minecraft.used.cut_sandstone_slab: #1, 2448(56%)
minecraft.dropped.iron_sword: #1, 47(32%)
minecraft.picked_up.orange_shulker_box: #1, 809(62%)
minecraft.picked_up.smooth_sandstone_slab: #1, 519(41%)
minecraft.mined.bamboo: #1, 2262(27%)
minecraft.mined.smooth_sandstone_stairs: #1, 543(33%)
minecraft.used.soul_soil: #1, 2096(38%)
minecraft.picked_up.cut_sandstone_slab: #1, 289(50%)
minecraft.mined.orange_shulker_box: #1, 801(64%)
minecraft.used.orange_shulker_box: #1, 808(64%)
minecraft.mined.smooth_sandstone_slab: #1, 455(40%)
minecraft.used.cut_copper_stairs: #1, 1541(48%)
minecraft.used.nether_brick_fence: #1, 327(52%)
minecraft.picked_up.smooth_sandstone_stairs: #1, 536(30%)
minecraft.used.damaged_anvil: #1, 32(36%)
minecraft.mined.cut_sandstone_slab: #1, 274(51%)
minecraft.dropped.chicken: #1, 88(33%)
minecraft.crafted.deepslate_tiles: #1, 3500(28%)
minecraft.mined.soul_soil: #1, 3216(31%)
minecraft.used.crimson_stem: #1, 711(42%)
minecraft.crafted.deepslate_bricks: #1, 5657(28%)
minecraft.mined.damaged_anvil: #1, 34(37%)
minecraft.used.spruce_stairs: #1, 2141(24%)
minecraft.crafted.stonecutter: #1, 67(24%)
minecraft.crafted.pumpkin_pie: #1, 1488(71%)
minecraft.crafted.apple: #1, 1556(52%)
minecraft.mined.oak_slab: #1, 345(25%)
minecraft.picked_up.damaged_anvil: #1, 34(35%)
minecraft.mined.polished_blackstone_slab: #1, 305(40%)
minecraft.picked_up.polished_blackstone_slab: #1, 338(38%)
minecraft.used.fire_coral_block: #1, 472(70%)
