stat, rank, value, (percentage) 
minecraft.dropped.wheat: #1, 7878(89%)
minecraft.picked_up.beetroot_seeds: #1, 5614(71%)
minecraft.picked_up.melon_slice: #1, 12581(72%)
minecraft.picked_up.beetroot: #1, 2982(79%)
minecraft.picked_up.cauldron: #1, 911(55%)
minecraft.dropped.carrot: #1, 15586(46%)
minecraft.dropped.beetroot_seeds: #1, 2985(96%)
minecraft.picked_up.light_blue_stained_glass: #1, 1360(79%)
minecraft.dropped.white_wool: #1, 400(56%)
minecraft.dropped.white_dye: #1, 1144(62%)
minecraft.dropped.brick: #1, 1118(87%)
minecraft.mined.cauldron: #1, 208(50%)
minecraft.dropped.beetroot: #1, 983(94%)
minecraft.dropped.phantom_membrane: #1, 149(55%)
minecraft.picked_up.target: #1, 336(79%)
minecraft.mined.light_blue_stained_glass: #1, 957(78%)
minecraft.used.stone_pickaxe: #1, 2971(26%)
minecraft.crafted.dried_kelp: #1, 1997(68%)
minecraft.mined.beetroots: #1, 623(48%)
minecraft.dropped.melon_slice: #1, 12272(95%)
minecraft.picked_up.light_blue_stained_glass_pane: #1, 856(94%)
minecraft.picked_up.lever: #1, 542(25%)
minecraft.used.egg: #2, 1669(28%)
minecraft.picked_up.carrot: #1, 25669(23%)
minecraft.picked_up.white_dye: #1, 560(29%)
minecraft.picked_up.poisonous_potato: #1, 126(30%)
minecraft.dropped.poisonous_potato: #1, 63(43%)
minecraft.dropped.cooked_chicken: #1, 150(46%)
minecraft.dropped.magma_block: #1, 185(40%)
minecraft.picked_up.potato: #2, 19280(24%)
minecraft.crafted.stone_axe: #1, 31(24%)
minecraft.picked_up.writable_book: #1, 40(26%)
minecraft.picked_up.enchanted_book: #1, 135(23%)
minecraft.dropped.prismarine_shard: #1, 38522(93%)
minecraft.picked_up.orange_wool: #1, 623(46%)
minecraft.crafted.white_shulker_box: #1, 70(42%)
minecraft.picked_up.white_concrete: #1, 10071(27%)
minecraft.picked_up.prismarine_shard: #1, 36825(53%)
minecraft.used.light_blue_stained_glass_pane: #1, 1664(57%)
minecraft.dropped.stone_axe: #1, 29(33%)
minecraft.broken.stone_pickaxe: #1, 21(30%)
minecraft.dropped.white_concrete: #1, 697(44%)
minecraft.dropped.lever: #1, 56(27%)
minecraft.used.light_blue_stained_glass: #1, 2155(37%)
minecraft.dropped.magma_cream: #1, 181(24%)
minecraft.mined.light_blue_stained_glass_pane: #1, 186(68%)
minecraft.dropped.gray_wool: #1, 110(35%)
minecraft.dropped.enchanted_book: #1, 108(30%)
minecraft.picked_up.blue_wool: #1, 475(62%)
minecraft.dropped.egg: #2, 877(22%)
minecraft.picked_up.cyan_wool: #1, 531(52%)
minecraft.picked_up.white_concrete_powder: #2, 2735(26%)
minecraft.picked_up.pink_wool: #1, 437(33%)
minecraft.picked_up.pufferfish: #1, 71(30%)
minecraft.crafted.ender_pearl: #1, 240(55%)
minecraft.mined.deepslate_tiles: #1, 1037(16%)
minecraft.picked_up.sticky_piston: #1, 261(17%)
minecraft.picked_up.melon: #2, 2082(44%)
minecraft.picked_up.redstone_lamp: #1, 132(21%)
minecraft.dropped.pufferfish: #1, 100(94%)
minecraft.picked_up.deepslate_tiles: #1, 1225(16%)
minecraft.picked_up.black_wool: #1, 348(19%)
minecraft.used.cyan_stained_glass_pane: #1, 233(73%)
minecraft.dropped.black_wool: #1, 104(33%)
minecraft.picked_up.polished_blackstone_pressure_plate: #1, 33(60%)
minecraft.mined.lever: #2, 131(18%)
minecraft.crafted.light_blue_stained_glass: #1, 1976(28%)
minecraft.picked_up.pumpkin: #2, 3077(22%)
minecraft.picked_up.brown_wool: #1, 555(32%)
minecraft.picked_up.phantom_membrane: #1, 128(14%)
minecraft.picked_up.dropper: #1, 172(18%)
minecraft.mined.water_cauldron: #1, 17(39%)
minecraft.crafted.cyan_stained_glass_pane: #1, 272(69%)
minecraft.dropped.pumpkin: #1, 2919(43%)
minecraft.mined.polished_blackstone_pressure_plate: #1, 30(67%)
