stat, rank, value, (percentage) 
minecraft.used.pointed_dripstone: #1, 34162(93%)
minecraft.used.lava_bucket: #1, 10965(78%)
minecraft.dropped.grass_block: #1, 36774(80%)
minecraft.used.dripstone_block: #1, 38322(73%)
minecraft.mined.rooted_dirt: #1, 2658(69%)
minecraft.used.glow_lichen: #1, 26095(71%)
minecraft.picked_up.rooted_dirt: #1, 2661(67%)
minecraft.custom.fill_cauldron: #1, 437(75%)
minecraft.crafted.orange_dye: #1, 4130(71%)
minecraft.custom.use_cauldron: #1, 11641(90%)
minecraft.used.rooted_dirt: #1, 2583(78%)
minecraft.picked_up.sea_pickle: #1, 12826(69%)
minecraft.crafted.slime_block: #1, 22386(82%)
minecraft.mined.large_amethyst_bud: #1, 1032(73%)
minecraft.used.smooth_basalt: #1, 3214(59%)
minecraft.mined.small_amethyst_bud: #1, 3747(90%)
minecraft.mined.crimson_nylium: #1, 1156(53%)
minecraft.used.raw_iron_block: #1, 4370(96%)
minecraft.dropped.slime_ball: #1, 4072(83%)
minecraft.mined.dead_bush: #1, 2439(49%)
minecraft.crafted.raw_copper_block: #1, 3677(68%)
minecraft.dropped.pointed_dripstone: #1, 1036(86%)
minecraft.crafted.raw_iron_block: #1, 3669(57%)
minecraft.picked_up.lava_bucket: #1, 271(80%)
minecraft.used.azalea: #1, 2439(48%)
minecraft.used.sea_pickle: #1, 9374(73%)
minecraft.mined.dripstone_block: #1, 5186(48%)
minecraft.used.weeping_vines: #1, 1553(91%)
minecraft.mined.slime_block: #1, 2688(57%)
minecraft.mined.medium_amethyst_bud: #1, 1628(83%)
minecraft.used.cauldron: #1, 1974(49%)
minecraft.dropped.snow_block: #1, 4356(89%)
minecraft.picked_up.snow_block: #1, 13683(74%)
minecraft.picked_up.red_sand: #1, 79534(77%)
minecraft.picked_up.crimson_nylium: #1, 1135(53%)
minecraft.killed.slime: #1, 3711(41%)
minecraft.mined.ice: #1, 41842(57%)
minecraft.used.powder_snow_bucket: #1, 739(73%)
minecraft.mined.sea_pickle: #1, 815(53%)
minecraft.picked_up.small_amethyst_bud: #1, 2614(86%)
minecraft.used.fern: #1, 2121(94%)
minecraft.mined.blue_ice: #1, 2261(94%)
minecraft.used.snow: #1, 18019(78%)
minecraft.picked_up.ice: #1, 40854(58%)
minecraft.mined.red_sand: #1, 81041(77%)
minecraft.picked_up.blue_ice: #1, 2213(92%)
minecraft.mined.bubble_coral_block: #1, 9943(83%)
minecraft.picked_up.raw_iron_block: #1, 1829(91%)
minecraft.mined.raw_iron_block: #1, 1311(99%)
minecraft.mined.large_fern: #1, 985(55%)
minecraft.used.raw_copper_block: #1, 2411(98%)
