stat, rank, value, (percentage) 
minecraft.crafted.birch_trapdoor: #1, 2596(86%)
minecraft.used.birch_trapdoor: #1, 2556(82%)
minecraft.mined.cobblestone_slab: #1, 1030(35%)
minecraft.dropped.stone_brick_slab: #1, 884(74%)
minecraft.picked_up.purpur_block: #1, 900(51%)
minecraft.mined.purpur_block: #1, 921(51%)
minecraft.dropped.cobblestone_slab: #1, 984(64%)
minecraft.used.mushroom_stem: #1, 1344(71%)
minecraft.crafted.bone_block: #1, 22919(33%)
minecraft.dropped.mutton: #1, 97(63%)
minecraft.mined.mushroom_stem: #1, 1358(33%)
minecraft.used.purpur_block: #1, 540(44%)
minecraft.crafted.bone_meal: #1, 218492(24%)
minecraft.used.red_mushroom: #1, 228(66%)
minecraft.picked_up.red_wool: #1, 3545(33%)
minecraft.crafted.white_wool: #1, 7150(39%)
minecraft.mined.birch_trapdoor: #1, 108(38%)
minecraft.dropped.jungle_fence: #1, 135(62%)
minecraft.picked_up.mushroom_stem: #1, 1350(37%)
minecraft.used.magma_block: #2, 5016(31%)
minecraft.dropped.white_carpet: #1, 61(45%)
minecraft.crafted.gold_block: #2, 3389(30%)
minecraft.mined.magma_block: #2, 5709(24%)
minecraft.used.red_concrete_powder: #1, 3459(29%)
minecraft.custom.fish_caught: #1, 335(43%)
minecraft.used.red_concrete: #2, 3405(36%)
minecraft.picked_up.magma_block: #2, 5436(23%)
minecraft.used.red_wool: #1, 3362(28%)
minecraft.dropped.stone_brick_stairs: #1, 261(66%)
minecraft.mined.turtle_egg: #1, 586(66%)
minecraft.dropped.deepslate_tile_slab: #1, 170(31%)
minecraft.used.cobblestone_slab: #2, 1580(22%)
minecraft.picked_up.turtle_egg: #1, 586(65%)
minecraft.mined.red_mushroom_block: #2, 2798(29%)
minecraft.crafted.red_concrete_powder: #1, 3456(26%)
minecraft.dropped.white_concrete_powder: #1, 640(50%)
minecraft.crafted.moss_carpet: #2, 2760(24%)
minecraft.used.fishing_rod: #2, 413(36%)
minecraft.dropped.purpur_stairs: #1, 50(53%)
minecraft.dropped.red_concrete_powder: #1, 1725(92%)
minecraft.picked_up.purpur_stairs: #1, 50(26%)
minecraft.dropped.pink_dye: #1, 189(73%)
minecraft.dropped.stone_brick_wall: #1, 131(40%)
minecraft.crafted.cobblestone_slab: #2, 1650(20%)
minecraft.crafted.tnt: #1, 3529(19%)
minecraft.mined.red_concrete: #2, 3511(25%)
minecraft.mined.purpur_stairs: #1, 54(25%)
minecraft.mined.dark_oak_fence_gate: #1, 28(23%)
minecraft.used.gray_terracotta: #1, 549(43%)
minecraft.crafted.jungle_fence: #1, 219(23%)
minecraft.picked_up.red_concrete: #2, 3509(24%)
minecraft.picked_up.red_mushroom: #2, 294(22%)
minecraft.used.gold_block: #2, 1139(26%)
minecraft.crafted.gold_ingot: #2, 30744(16%)
minecraft.used.red_mushroom_block: #2, 631(37%)
minecraft.used.turtle_egg: #1, 213(48%)
minecraft.picked_up.gray_terracotta: #1, 31(48%)
minecraft.crafted.iron_block: #3, 13888(18%)
minecraft.dropped.dark_oak_fence_gate: #1, 31(91%)
minecraft.killed.cat: #1, 18(55%)
minecraft.picked_up.red_mushroom_block: #2, 1889(28%)
minecraft.picked_up.birch_trapdoor: #2, 108(24%)
minecraft.dropped.gray_dye: #1, 37(37%)
minecraft.picked_up.salmon: #2, 78(17%)
minecraft.dropped.rabbit_hide: #2, 22(43%)
minecraft.used.podzol: #2, 621(20%)
minecraft.dropped.white_concrete: #2, 468(30%)
minecraft.picked_up.music_disc_13: #1, 4(22%)
minecraft.crafted.wheat: #2, 1854(17%)
minecraft.mined.iron_trapdoor: #2, 158(16%)
minecraft.used.glow_berries: #2, 455(13%)
minecraft.killed.bat: #3, 55(18%)
minecraft.used.cobbled_deepslate_wall: #3, 823(23%)
minecraft.mined.black_carpet: #2, 82(29%)
minecraft.dropped.diorite_slab: #1, 128(93%)
minecraft.picked_up.pufferfish: #2, 51(22%)
minecraft.picked_up.mutton: #2, 97(12%)
minecraft.mined.red_mushroom: #2, 27(18%)
minecraft.picked_up.iron_trapdoor: #3, 183(17%)
minecraft.crafted.black_wool: #2, 1088(20%)
minecraft.broken.leather_helmet: #1, 2(50%)
minecraft.mined.cobblestone_stairs: #2, 57(11%)
minecraft.dropped.basalt: #3, 1480(16%)
minecraft.used.glow_item_frame: #2, 61(11%)
minecraft.used.pink_terracotta: #2, 217(32%)
minecraft.crafted.glow_item_frame: #2, 56(12%)
minecraft.crafted.sandstone_slab: #2, 384(17%)
minecraft.used.vine: #2, 268(14%)
minecraft.dropped.purpur_slab: #2, 26(32%)
minecraft.dropped.stone_stairs: #2, 40(24%)
minecraft.picked_up.red_concrete_powder: #2, 401(22%)
minecraft.used.stone_brick_slab: #3, 3931(16%)
minecraft.dropped.wooden_shovel: #2, 9(30%)
minecraft.picked_up.seagrass: #2, 265(16%)
minecraft.used.music_disc_pigstep: #1, 1(100%)
minecraft.used.music_disc_wait: #1, 3(100%)
minecraft.dropped.jungle_fence_gate: #1, 5(100%)
minecraft.picked_up.music_disc_wait: #1, 4(100%)
minecraft.picked_up.music_disc_pigstep: #1, 1(100%)
minecraft.killed.iron_golem: #2, 32(21%)
minecraft.picked_up.bone: #3, 4787(11%)
minecraft.crafted.birch_planks: #3, 9100(10%)
minecraft.mined.diorite_slab: #2, 28(34%)
minecraft.mined.gold_block: #3, 223(14%)
minecraft.used.azalea_leaves: #3, 3287(15%)
minecraft.picked_up.cobblestone_slab: #3, 277(10%)
minecraft.dropped.flowering_azalea_leaves: #2, 76(15%)
minecraft.dropped.apple: #3, 129(13%)
minecraft.dropped.magenta_dye: #2, 44(31%)
minecraft.dropped.white_tulip: #2, 3(21%)
minecraft.mined.jungle_button: #2, 4(25%)
minecraft.mined.jungle_fence: #2, 64(15%)
minecraft.dropped.brown_terracotta: #2, 254(29%)
minecraft.crafted.netherite_hoe: #2, 2(29%)
minecraft.broken.golden_boots: #2, 2(33%)
minecraft.mined.brown_terracotta: #3, 3651(19%)
minecraft.picked_up.bow: #3, 216(9%)
minecraft.mined.jukebox: #2, 3(21%)
minecraft.picked_up.jukebox: #2, 3(21%)
minecraft.dropped.seagrass: #2, 13(25%)
minecraft.used.jungle_fence: #3, 130(15%)
minecraft.mined.red_bed: #3, 97(12%)
minecraft.crafted.jungle_planks: #3, 8888(12%)
minecraft.picked_up.brown_terracotta: #3, 3649(18%)
minecraft.dropped.crimson_nylium: #2, 7(17%)
minecraft.picked_up.red_bed: #3, 101(12%)
minecraft.crafted.chainmail_leggings: #2, 2(29%)
minecraft.mined.gray_terracotta: #2, 11(21%)
minecraft.dropped.magma_block: #3, 63(14%)
minecraft.used.red_bed: #3, 100(11%)
minecraft.used.music_disc_13: #2, 3(50%)
minecraft.killed.skeleton_horse: #2, 1(33%)
minecraft.picked_up.blue_shulker_box: #3, 76(22%)
