stat, rank, value, (percentage) 
minecraft.used.stone_button: #1, 30658(85%)
minecraft.crafted.stone_button: #1, 30497(84%)
minecraft.killed.wither_skeleton: #1, 16228(92%)
minecraft.picked_up.bone_meal: #1, 80026(66%)
minecraft.dropped.bone_meal: #1, 83037(74%)
minecraft.picked_up.lily_pad: #1, 1432(74%)
minecraft.dropped.stone_sword: #1, 481(74%)
minecraft.mined.melon: #1, 2721(82%)
minecraft.picked_up.painting: #1, 2717(70%)
minecraft.dropped.stone_bricks: #1, 2014(73%)
minecraft.dropped.sugar_cane: #1, 4100(73%)
minecraft.dropped.netherrack: #1, 96776(57%)
minecraft.dropped.stone_button: #1, 1451(72%)
minecraft.picked_up.stone_button: #1, 2035(54%)
minecraft.picked_up.stone_stairs: #1, 2782(68%)
minecraft.picked_up.stone_sword: #1, 284(58%)
minecraft.used.glass_bottle: #1, 3786(58%)
minecraft.picked_up.wither_skeleton_skull: #1, 509(79%)
minecraft.dropped.gold_nugget: #1, 7367(64%)
minecraft.picked_up.nether_star: #1, 142(85%)
minecraft.picked_up.stone_brick_slab: #1, 5479(62%)
minecraft.mined.lime_shulker_box: #1, 2606(68%)
minecraft.picked_up.lime_shulker_box: #1, 2654(68%)
minecraft.used.painting: #1, 1136(60%)
minecraft.dropped.iron_boots: #1, 176(63%)
minecraft.crafted.stone_stairs: #1, 3512(66%)
minecraft.picked_up.white_banner: #1, 235(54%)
minecraft.crafted.mossy_stone_bricks: #1, 17342(83%)
minecraft.dropped.flint: #1, 1384(45%)
minecraft.mined.stone_button: #1, 770(55%)
minecraft.crafted.beacon: #1, 86(83%)
minecraft.dropped.soul_sand: #1, 866(64%)
minecraft.mined.lily_pad: #1, 743(76%)
minecraft.dropped.potion: #1, 300(57%)
minecraft.used.melon_seeds: #1, 563(76%)
minecraft.picked_up.potion: #1, 466(49%)
minecraft.crafted.stone_bricks: #1, 61668(47%)
minecraft.used.green_stained_glass: #1, 14005(86%)
minecraft.custom.minecart_one_cm: #1, 7971203(51%)
minecraft.picked_up.soul_sand: #1, 7945(45%)
minecraft.crafted.lime_dye: #1, 4010(56%)
minecraft.used.lime_shulker_box: #1, 2671(65%)
minecraft.picked_up.mossy_stone_bricks: #1, 4844(79%)
minecraft.used.wither_skeleton_skull: #1, 268(68%)
minecraft.crafted.green_stained_glass: #1, 13760(78%)
minecraft.mined.lime_concrete: #1, 10497(91%)
minecraft.dropped.gravel: #1, 7171(41%)
minecraft.killed.wither: #1, 88(82%)
minecraft.mined.soul_fire: #1, 312(88%)
minecraft.mined.stone_slab: #1, 2357(50%)
minecraft.mined.hopper: #1, 2031(40%)
minecraft.picked_up.hopper: #1, 2450(40%)
minecraft.crafted.cracked_stone_bricks: #1, 10368(86%)
minecraft.killed.pillager: #1, 1719(46%)
minecraft.picked_up.jungle_trapdoor: #1, 1465(84%)
minecraft.dropped.stone_slab: #1, 1756(56%)
minecraft.picked_up.lime_concrete: #1, 5585(84%)
minecraft.picked_up.totem_of_undying: #1, 165(83%)
minecraft.picked_up.cracked_stone_bricks: #1, 1871(71%)
minecraft.killed.ghast: #1, 250(52%)
minecraft.killed.witch: #1, 349(45%)
minecraft.used.cracked_stone_bricks: #1, 3026(76%)
minecraft.dropped.calcite: #1, 396(52%)
minecraft.used.lime_concrete_powder: #1, 7621(89%)
minecraft.mined.budding_amethyst: #1, 246(44%)
minecraft.picked_up.iron_nugget: #1, 3332(36%)
minecraft.dropped.coal_ore: #1, 788(43%)
minecraft.crafted.lime_concrete_powder: #1, 7896(85%)
minecraft.crafted.rail: #1, 8240(39%)
minecraft.dropped.copper_ore: #1, 527(66%)
minecraft.mined.oak_fence_gate: #1, 132(62%)
minecraft.picked_up.netherrack: #1, 106237(35%)
minecraft.picked_up.crossbow: #1, 103(48%)
minecraft.picked_up.stone_bricks: #1, 10863(38%)
minecraft.dropped.netherite_pickaxe: #1, 51(45%)
minecraft.mined.jungle_trapdoor: #1, 638(74%)
minecraft.dropped.dirt: #1, 16345(34%)
minecraft.crafted.gold_nugget: #1, 28690(52%)
minecraft.picked_up.mossy_stone_brick_stairs: #1, 2920(98%)
minecraft.crafted.painting: #1, 494(46%)
minecraft.dropped.stone: #1, 64029(35%)
minecraft.dropped.crossbow: #1, 128(62%)
minecraft.used.end_stone_bricks: #1, 1165(86%)
minecraft.picked_up.iron_boots: #1, 120(39%)
minecraft.crafted.purple_dye: #1, 1152(45%)
minecraft.crafted.melon_seeds: #1, 699(77%)
minecraft.crafted.jungle_trapdoor: #1, 2014(71%)
minecraft.used.tuff: #1, 5407(35%)
minecraft.used.jungle_trapdoor: #1, 2146(70%)
minecraft.picked_up.dark_oak_sign: #1, 444(35%)
minecraft.used.lime_stained_glass: #1, 20508(75%)
minecraft.used.lime_concrete: #1, 10065(91%)
minecraft.dropped.rail: #1, 277(35%)
minecraft.crafted.pumpkin_seeds: #1, 608(62%)
minecraft.dropped.nether_quartz_ore: #1, 256(80%)
minecraft.picked_up.kelp: #1, 12464(31%)
minecraft.picked_up.stone_slab: #1, 2627(38%)
minecraft.dropped.ender_pearl: #1, 50242(33%)
minecraft.mined.pumpkin_stem: #1, 380(61%)
minecraft.mined.jungle_wall_sign: #1, 104(87%)
minecraft.picked_up.jungle_sign: #1, 249(78%)
minecraft.used.jungle_sign: #1, 303(65%)
minecraft.picked_up.netherite_pickaxe: #1, 140(36%)
minecraft.dropped.blackstone: #1, 2379(39%)
minecraft.picked_up.string: #1, 5593(27%)
minecraft.picked_up.ender_pearl: #1, 48922(28%)
minecraft.picked_up.scaffolding: #1, 30911(29%)
minecraft.mined.white_carpet: #1, 277(39%)
minecraft.mined.chest: #1, 2229(27%)
minecraft.picked_up.cracked_deepslate_bricks: #1, 2252(66%)
minecraft.crafted.lime_stained_glass: #1, 20048(73%)
minecraft.used.stone_bricks: #1, 27253(31%)
minecraft.mined.glowstone: #1, 1448(29%)
minecraft.picked_up.glowstone: #1, 2056(33%)
minecraft.used.mossy_stone_bricks: #1, 2089(55%)
minecraft.mined.kelp: #1, 1072(29%)
minecraft.picked_up.nether_brick: #1, 2526(60%)
minecraft.dropped.deepslate_coal_ore: #1, 56(59%)
minecraft.mined.stone_bricks: #1, 7966(30%)
minecraft.picked_up.crying_obsidian: #1, 1219(54%)
minecraft.picked_up.lime_concrete_powder: #1, 8215(99%)
minecraft.dropped.bamboo: #1, 2114(43%)
minecraft.used.glowstone: #1, 2175(31%)
minecraft.picked_up.deepslate_brick_stairs: #1, 660(43%)
minecraft.used.bell: #1, 50(53%)
minecraft.picked_up.glowstone_dust: #1, 1253(30%)
minecraft.mined.crimson_trapdoor: #1, 90(62%)
minecraft.used.glass: #1, 8903(26%)
minecraft.picked_up.blaze_powder: #1, 113(48%)
minecraft.picked_up.crimson_trapdoor: #1, 90(61%)
minecraft.dropped.andesite: #1, 4603(27%)
minecraft.picked_up.chest: #1, 2898(25%)
minecraft.mined.vine: #1, 3717(31%)
minecraft.mined.attached_pumpkin_stem: #1, 183(81%)
minecraft.mined.glass: #1, 2905(27%)
minecraft.dropped.quartz: #1, 920(46%)
minecraft.used.scaffolding: #1, 27893(28%)
minecraft.picked_up.netherite_shovel: #1, 51(34%)
minecraft.mined.mossy_stone_brick_stairs: #1, 124(71%)
minecraft.crafted.mossy_stone_brick_stairs: #1, 3492(89%)
minecraft.picked_up.tnt: #1, 457(31%)
minecraft.used.pumpkin_seeds: #1, 699(39%)
minecraft.picked_up.ancient_debris: #1, 372(33%)
minecraft.picked_up.netherite_sword: #1, 50(41%)
minecraft.mined.cracked_stone_bricks: #1, 470(48%)
minecraft.picked_up.deepslate: #1, 29195(24%)
minecraft.dropped.smooth_basalt: #1, 388(34%)
minecraft.used.vine: #1, 741(38%)
minecraft.picked_up.stone: #1, 410877(23%)
minecraft.crafted.purple_concrete_powder: #1, 6912(87%)
minecraft.picked_up.polished_blackstone_brick_stairs: #1, 260(55%)
minecraft.picked_up.polished_blackstone_bricks: #1, 969(46%)
minecraft.picked_up.oak_fence_gate: #1, 136(40%)
minecraft.crafted.coal_block: #1, 3495(25%)
minecraft.mined.bell: #1, 51(54%)
minecraft.used.kelp: #1, 2525(28%)
minecraft.picked_up.iron_axe: #1, 70(33%)
minecraft.mined.stone_brick_slab: #1, 1158(31%)
minecraft.mined.ancient_debris: #1, 371(33%)
minecraft.mined.dark_oak_wall_sign: #1, 133(28%)
minecraft.used.lime_bed: #1, 150(74%)
minecraft.picked_up.brewing_stand: #1, 79(29%)
minecraft.dropped.dark_oak_sign: #1, 42(45%)
minecraft.dropped.painting: #1, 1225(98%)
minecraft.picked_up.white_carpet: #1, 293(31%)
minecraft.dropped.netherite_shovel: #1, 17(41%)
minecraft.mined.obsidian: #1, 3928(24%)
minecraft.picked_up.netherite_leggings: #1, 40(34%)
minecraft.crafted.lime_shulker_box: #1, 328(48%)
minecraft.crafted.deepslate_brick_stairs: #1, 272(32%)
minecraft.picked_up.vine: #1, 3421(30%)
minecraft.used.deepslate: #1, 10073(21%)
minecraft.picked_up.jungle_fence: #1, 217(44%)
minecraft.crafted.stone_brick_slab: #1, 4236(32%)
minecraft.crafted.lime_carpet: #1, 423(70%)
minecraft.dropped.coal_block: #1, 1917(94%)
minecraft.used.oak_boat: #1, 227(22%)
minecraft.mined.dead_horn_coral_block: #1, 125(80%)
minecraft.dropped.diorite: #1, 4992(21%)
minecraft.picked_up.comparator: #1, 422(24%)
minecraft.picked_up.diorite: #1, 34394(21%)
minecraft.used.tnt: #1, 2483(28%)
minecraft.dropped.coal: #1, 700(22%)
minecraft.mined.brewing_stand: #1, 67(28%)
minecraft.picked_up.netherite_helmet: #1, 41(39%)
minecraft.mined.end_stone_bricks: #1, 227(32%)
minecraft.dropped.emerald: #1, 1745(37%)
minecraft.picked_up.melon: #1, 2371(50%)
minecraft.picked_up.flint: #1, 2082(21%)
minecraft.picked_up.lime_stained_glass: #1, 1368(68%)
minecraft.dropped.scaffolding: #1, 1016(30%)
minecraft.dropped.jungle_trapdoor: #1, 453(91%)
minecraft.picked_up.stone_brick_stairs: #1, 527(26%)
minecraft.crafted.jungle_sign: #1, 147(45%)
minecraft.dropped.lily_pad: #1, 74(54%)
minecraft.picked_up.netherite_ingot: #1, 41(49%)
minecraft.mined.fire: #1, 1541(20%)
minecraft.mined.wither_rose: #1, 163(77%)
minecraft.used.purple_concrete_powder: #1, 3464(89%)
minecraft.dropped.kelp: #1, 1888(31%)
minecraft.used.crying_obsidian: #1, 3061(66%)
minecraft.used.chest: #1, 4324(19%)
minecraft.crafted.mossy_stone_brick_slab: #1, 3480(88%)
minecraft.mined.purple_concrete: #1, 3545(88%)
minecraft.dropped.flint_and_steel: #1, 13(35%)
minecraft.picked_up.oak_boat: #1, 232(22%)
minecraft.picked_up.lime_bed: #1, 163(87%)
minecraft.used.hopper: #1, 3238(20%)
minecraft.picked_up.wither_rose: #1, 291(40%)
minecraft.crafted.polished_blackstone_brick_stairs: #1, 501(86%)
minecraft.used.dark_oak_sign: #1, 609(23%)
minecraft.mined.lime_stained_glass: #1, 1240(64%)
minecraft.crafted.suspicious_stew: #1, 59(51%)
minecraft.used.jungle_fence_gate: #1, 79(51%)
minecraft.picked_up.ghast_tear: #1, 168(28%)
minecraft.dropped.deepslate_bricks: #1, 355(47%)
minecraft.crafted.netherite_ingot: #1, 91(34%)
minecraft.used.deepslate_brick_stairs: #1, 1977(27%)
minecraft.picked_up.gunpowder: #2, 4487(22%)
minecraft.used.mossy_stone_brick_stairs: #1, 538(63%)
minecraft.dropped.granite: #1, 4334(20%)
minecraft.picked_up.fire_charge: #1, 610(42%)
minecraft.mined.furnace: #1, 288(20%)
minecraft.picked_up.furnace: #1, 332(20%)
minecraft.used.amethyst_block: #1, 1726(23%)
minecraft.mined.jungle_fence_gate: #1, 38(62%)
minecraft.used.purple_wool: #1, 628(71%)
minecraft.used.potion: #1, 162(22%)
minecraft.mined.tnt: #1, 144(29%)
minecraft.custom.inspect_hopper: #1, 3732(18%)
minecraft.mined.lever: #1, 140(20%)
minecraft.used.brewing_stand: #1, 66(20%)
minecraft.mined.red_mushroom: #1, 49(32%)
minecraft.picked_up.netherite_axe: #1, 44(30%)
minecraft.mined.jungle_fence: #1, 210(48%)
minecraft.used.oak_leaves: #2, 10449(24%)
minecraft.dropped.lime_concrete: #1, 95(96%)
minecraft.mined.amethyst_block: #1, 3882(21%)
minecraft.used.lectern: #1, 1235(22%)
minecraft.used.lime_carpet: #1, 442(80%)
minecraft.picked_up.andesite: #1, 28917(18%)
minecraft.picked_up.amethyst_block: #1, 4133(20%)
minecraft.used.stone_brick_stairs: #1, 1676(24%)
minecraft.custom.drop: #1, 16969(17%)
minecraft.used.wither_rose: #1, 654(59%)
minecraft.picked_up.dirt: #1, 93738(16%)
minecraft.picked_up.activator_rail: #1, 49(52%)
minecraft.picked_up.mossy_stone_brick_slab: #1, 3209(93%)
