stat, rank, value, (percentage) 
minecraft.picked_up.gold_nugget: #1, 459984(95%)
minecraft.dropped.cactus: #1, 1809(84%)
minecraft.mined.glow_lichen: #1, 20404(64%)
minecraft.custom.mob_kills: #1, 1975672(49%)
minecraft.crafted.brown_dye: #1, 3808(68%)
minecraft.used.andesite_slab: #1, 4552(67%)
minecraft.crafted.iron_shovel: #1, 302(54%)
minecraft.picked_up.glow_lichen: #1, 15985(53%)
minecraft.crafted.gold_block: #1, 6032(53%)
minecraft.picked_up.shroomlight: #1, 2101(44%)
minecraft.used.polished_blackstone_brick_slab: #1, 11994(89%)
minecraft.crafted.gold_ingot: #1, 80551(41%)
minecraft.picked_up.coal_block: #1, 2341(58%)
minecraft.used.shroomlight: #1, 3007(46%)
minecraft.crafted.white_carpet: #1, 2946(48%)
minecraft.mined.polished_blackstone_brick_slab: #1, 1288(91%)
minecraft.used.lever: #1, 1205(38%)
minecraft.used.cocoa_beans: #1, 3431(64%)
minecraft.used.yellow_bed: #1, 136(50%)
minecraft.mined.white_concrete: #1, 24538(48%)
minecraft.picked_up.yellow_bed: #1, 135(50%)
minecraft.used.polished_andesite_stairs: #1, 1464(72%)
minecraft.picked_up.gray_stained_glass: #1, 597(58%)
minecraft.mined.magma_block: #1, 8524(36%)
minecraft.used.cyan_terracotta: #1, 17694(58%)
minecraft.crafted.light_gray_wool: #1, 2107(64%)
minecraft.picked_up.cactus: #1, 7592(36%)
minecraft.picked_up.polished_blackstone_brick_slab: #1, 1398(68%)
minecraft.used.redstone_lamp: #1, 807(40%)
minecraft.mined.yellow_bed: #1, 127(51%)
minecraft.mined.yellow_concrete: #1, 1919(51%)
minecraft.used.coal_block: #1, 2189(62%)
minecraft.crafted.light_gray_dye: #1, 3024(36%)
minecraft.picked_up.magma_block: #1, 7847(33%)
minecraft.crafted.brown_stained_glass: #1, 10784(86%)
minecraft.mined.smooth_stone_slab: #1, 1347(45%)
minecraft.crafted.black_wool: #1, 3526(65%)
minecraft.crafted.warped_planks: #1, 21064(44%)
minecraft.used.magma_block: #1, 6373(39%)
minecraft.used.polished_blackstone: #1, 7093(38%)
minecraft.used.white_concrete: #1, 22471(39%)
minecraft.picked_up.polished_basalt: #1, 813(41%)
minecraft.crafted.lever: #1, 872(30%)
minecraft.picked_up.gold_block: #1, 1106(37%)
minecraft.crafted.iron_trapdoor: #1, 1294(35%)
minecraft.mined.coal_block: #1, 493(59%)
minecraft.crafted.brown_wool: #1, 1248(85%)
minecraft.picked_up.birch_trapdoor: #1, 229(51%)
minecraft.crafted.cyan_dye: #1, 2298(35%)
minecraft.used.oak_planks: #1, 11560(30%)
minecraft.crafted.smithing_table: #1, 450(40%)
minecraft.crafted.cyan_terracotta: #1, 17800(47%)
minecraft.mined.gray_concrete: #1, 6762(50%)
minecraft.used.smithing_table: #1, 422(37%)
minecraft.picked_up.cocoa_beans: #1, 3854(39%)
minecraft.crafted.nether_bricks: #1, 3930(62%)
minecraft.used.brown_stained_glass: #1, 10540(92%)
minecraft.used.brown_carpet: #1, 1721(67%)
minecraft.crafted.polished_blackstone: #1, 9752(37%)
minecraft.used.black_stained_glass_pane: #1, 2610(53%)
minecraft.mined.gray_stained_glass: #1, 654(61%)
minecraft.crafted.firework_rocket: #1, 122532(38%)
minecraft.used.yellow_concrete_powder: #1, 2558(60%)
minecraft.used.yellow_concrete: #1, 1867(65%)
minecraft.used.gray_stained_glass_pane: #1, 1087(59%)
minecraft.used.polished_basalt: #1, 4041(39%)
minecraft.mined.polished_basalt: #1, 610(37%)
minecraft.crafted.gray_concrete_powder: #1, 15752(46%)
minecraft.mined.brown_concrete: #1, 1368(85%)
minecraft.used.gold_block: #1, 1870(42%)
minecraft.used.end_rod: #1, 1699(30%)
minecraft.crafted.gray_dye: #1, 3634(29%)
minecraft.crafted.black_stained_glass_pane: #1, 3088(51%)
minecraft.used.gray_wool: #1, 2335(37%)
minecraft.dropped.polished_basalt: #1, 122(66%)
minecraft.dropped.polished_granite: #1, 131(50%)
minecraft.used.polished_blackstone_bricks: #1, 5937(50%)
minecraft.crafted.yellow_carpet: #1, 863(80%)
minecraft.crafted.yellow_stained_glass: #1, 3072(71%)
minecraft.used.brick_stairs: #1, 713(64%)
minecraft.used.granite_stairs: #1, 831(79%)
minecraft.dropped.golden_sword: #1, 52(42%)
