stat, rank, value, (percentage) 
minecraft.picked_up.cod: #1, 13806(86%)
minecraft.picked_up.prismarine_crystals: #1, 12639(97%)
minecraft.dropped.cod: #1, 2000(84%)
minecraft.picked_up.prismarine_bricks: #1, 6121(69%)
minecraft.mined.prismarine_bricks: #1, 6350(72%)
minecraft.mined.prismarine: #1, 4493(73%)
minecraft.picked_up.prismarine: #1, 4533(67%)
minecraft.dropped.prismarine_crystals: #1, 997(80%)
minecraft.picked_up.sea_lantern: #1, 730(33%)
minecraft.mined.sea_lantern: #1, 388(34%)
minecraft.mined.sponge: #1, 2125(60%)
minecraft.dropped.mossy_cobblestone: #1, 249(47%)
minecraft.used.lime_terracotta: #1, 678(48%)
minecraft.picked_up.sponge: #1, 2125(45%)
minecraft.mined.lime_terracotta: #1, 91(58%)
minecraft.mined.exposed_cut_copper_stairs: #1, 83(72%)
minecraft.picked_up.exposed_cut_copper_stairs: #1, 83(72%)
minecraft.mined.redstone_torch: #1, 103(18%)
minecraft.picked_up.dark_prismarine: #1, 550(51%)
minecraft.killed.guardian: #1, 811(74%)
minecraft.used.glass_pane: #1, 573(31%)
minecraft.mined.dark_prismarine: #1, 566(54%)
minecraft.killed.glow_squid: #1, 32(20%)
minecraft.used.wet_sponge: #1, 2060(60%)
minecraft.used.trident: #1, 2126(38%)
minecraft.used.dark_oak_door: #1, 55(31%)
minecraft.dropped.dark_oak_slab: #1, 49(37%)
minecraft.dropped.sea_lantern: #1, 113(50%)
minecraft.crafted.glistering_melon_slice: #1, 144(30%)
minecraft.used.sponge: #1, 1942(34%)
minecraft.dropped.prismarine: #1, 260(54%)
minecraft.crafted.lime_terracotta: #1, 632(25%)
minecraft.picked_up.prismarine_shard: #2, 32455(47%)
minecraft.used.sand: #2, 26414(18%)
minecraft.dropped.moss_block: #1, 876(17%)
minecraft.mined.glass_pane: #1, 181(26%)
minecraft.dropped.cooked_cod: #1, 25(32%)
minecraft.mined.wet_sponge: #1, 2090(32%)
minecraft.picked_up.wet_sponge: #1, 2087(31%)
minecraft.mined.prismarine_brick_stairs: #1, 115(56%)
minecraft.crafted.cyan_shulker_box: #1, 7(41%)
minecraft.used.exposed_cut_copper_stairs: #1, 87(52%)
minecraft.picked_up.weathered_cut_copper_stairs: #1, 56(59%)
minecraft.used.cod: #1, 25(29%)
minecraft.crafted.birch_door: #1, 120(59%)
minecraft.mined.weathered_cut_copper_stairs: #1, 54(58%)
minecraft.used.prismarine_bricks: #2, 884(26%)
minecraft.used.birch_door: #1, 90(56%)
minecraft.dropped.prismarine_bricks: #1, 114(28%)
minecraft.mined.birch_door: #1, 77(91%)
minecraft.picked_up.birch_door: #1, 83(89%)
minecraft.dropped.grindstone: #1, 16(89%)
minecraft.used.light_blue_stained_glass: #2, 1590(27%)
minecraft.used.kelp: #2, 1462(16%)
minecraft.crafted.cooked_cod: #2, 181(30%)
minecraft.mined.dark_oak_door: #1, 11(22%)
minecraft.crafted.light_blue_stained_glass: #2, 1744(24%)
minecraft.crafted.arrow: #1, 384(27%)
minecraft.used.prismarine: #2, 1422(26%)
minecraft.mined.magenta_concrete: #1, 11(69%)
minecraft.dropped.jungle_log: #1, 74(23%)
minecraft.picked_up.trident: #2, 25(19%)
minecraft.picked_up.magenta_concrete: #1, 10(67%)
minecraft.crafted.sea_lantern: #1, 22339(100%)
minecraft.crafted.dark_oak_door: #2, 51(23%)
minecraft.picked_up.lime_terracotta: #2, 88(29%)
minecraft.mined.smooth_stone: #2, 690(15%)
minecraft.used.magenta_concrete_powder: #1, 8(62%)
minecraft.picked_up.iron_helmet: #2, 18(12%)
minecraft.dropped.apple: #2, 133(14%)
minecraft.picked_up.stone_hoe: #1, 4(19%)
minecraft.dropped.lime_terracotta: #1, 3(43%)
minecraft.used.iron_chestplate: #1, 3(19%)
minecraft.dropped.stripped_jungle_log: #1, 5(83%)
minecraft.dropped.chiseled_sandstone: #1, 2(33%)
minecraft.mined.spruce_button: #2, 12(17%)
minecraft.picked_up.prismarine_brick_stairs: #2, 115(43%)
minecraft.picked_up.iron_leggings: #2, 19(12%)
minecraft.dropped.item_frame: #2, 14(20%)
minecraft.picked_up.mossy_cobblestone: #2, 409(13%)
minecraft.used.cod_bucket: #1, 9(50%)
minecraft.mined.rail: #3, 1962(13%)
minecraft.picked_up.iron_chestplate: #2, 20(11%)
minecraft.mined.kelp_plant: #3, 539(13%)
minecraft.used.prismarine_brick_stairs: #2, 163(34%)
minecraft.dropped.green_concrete: #1, 2(67%)
minecraft.crafted.wooden_pickaxe: #2, 3(10%)
minecraft.used.magenta_concrete: #1, 3(60%)
minecraft.used.spruce_log: #2, 1211(9%)
minecraft.mined.gray_stained_glass_pane: #2, 31(19%)
minecraft.dropped.cookie: #2, 653(26%)
minecraft.crafted.dark_prismarine: #1, 1376(100%)
minecraft.crafted.brain_coral_block: #1, 8(100%)
minecraft.crafted.prismarine_stairs: #1, 9(100%)
minecraft.crafted.prismarine_bricks: #1, 7017(100%)
minecraft.crafted.prismarine: #1, 9341(100%)
minecraft.crafted.magenta_concrete_powder: #1, 8(33%)
minecraft.mined.slime_block: #2, 476(10%)
minecraft.picked_up.rail: #3, 2258(11%)
minecraft.used.cooked_cod: #2, 101(14%)
minecraft.dropped.azalea_leaves: #2, 174(14%)
minecraft.dropped.glistering_melon_slice: #2, 144(43%)
minecraft.dropped.moss_carpet: #3, 243(13%)
minecraft.mined.tall_seagrass: #4, 450(14%)
minecraft.dropped.azalea: #2, 129(10%)
minecraft.mined.polished_granite_slab: #2, 12(24%)
minecraft.dropped.trident: #2, 6(22%)
minecraft.dropped.campfire: #2, 6(38%)
minecraft.used.furnace_minecart: #2, 11(21%)
minecraft.crafted.furnace_minecart: #2, 11(21%)
minecraft.crafted.light_blue_shulker_box: #2, 11(14%)
minecraft.dropped.diamond_horse_armor: #2, 2(29%)
minecraft.picked_up.kelp: #3, 3727(9%)
minecraft.used.jungle_log: #3, 564(11%)
minecraft.mined.chiseled_sandstone: #2, 2(17%)
minecraft.picked_up.chiseled_sandstone: #2, 2(17%)
minecraft.dropped.sponge: #2, 64(33%)
minecraft.mined.wither_skeleton_wall_skull: #2, 3(43%)
minecraft.dropped.nether_brick_fence: #2, 4(24%)
minecraft.crafted.light_blue_dye: #3, 282(9%)
minecraft.mined.coarse_dirt: #3, 1198(9%)
minecraft.mined.stripped_jungle_log: #3, 105(16%)
minecraft.dropped.podzol: #2, 43(14%)
minecraft.used.dried_kelp: #2, 64(22%)
minecraft.picked_up.light_gray_candle: #2, 18(27%)
minecraft.mined.tinted_glass: #3, 202(11%)
minecraft.used.warped_wart_block: #3, 212(14%)
minecraft.mined.potted_azure_bluet: #2, 1(25%)
minecraft.used.leather_leggings: #2, 1(25%)
minecraft.picked_up.music_disc_mellohi: #2, 1(50%)
minecraft.crafted.prismarine_slab: #2, 54(33%)
minecraft.dropped.filled_map: #3, 9(11%)
minecraft.used.sea_lantern: #3, 684(9%)
minecraft.dropped.dead_tube_coral_block: #2, 2(29%)
minecraft.picked_up.stripped_jungle_log: #3, 81(13%)
minecraft.used.suspicious_stew: #3, 7(17%)
minecraft.picked_up.polished_granite_slab: #3, 59(18%)
minecraft.dropped.bowl: #3, 7(18%)
minecraft.dropped.wooden_pickaxe: #3, 3(11%)
minecraft.dropped.flowering_azalea: #3, 38(11%)
minecraft.crafted.birch_sign: #4, 162(11%)
minecraft.dropped.mossy_stone_bricks: #2, 13(11%)
minecraft.used.oak_pressure_plate: #3, 4(14%)
minecraft.dropped.red_shulker_box: #2, 1(25%)
minecraft.used.pufferfish_bucket: #2, 1(25%)
minecraft.picked_up.dark_oak_door: #3, 10(14%)
minecraft.used.dark_prismarine: #3, 114(18%)
minecraft.crafted.fletching_table: #3, 5(16%)
minecraft.used.iron_boots: #3, 2(12%)
minecraft.crafted.cookie: #3, 872(16%)
minecraft.dropped.salmon: #3, 6(12%)
minecraft.used.weathered_cut_copper_stairs: #3, 36(23%)
minecraft.dropped.polished_andesite: #3, 13(15%)
minecraft.dropped.prismarine_shard: #2, 2440(6%)
minecraft.picked_up.cooked_salmon: #3, 5(17%)
minecraft.dropped.iron_helmet: #3, 5(9%)
minecraft.dropped.white_shulker_box: #3, 2(25%)
minecraft.dropped.lightning_rod: #2, 1(6%)
minecraft.dropped.iron_hoe: #3, 2(15%)
minecraft.used.dragon_egg: #3, 6(8%)
minecraft.picked_up.water_bucket: #4, 34(8%)
minecraft.dropped.blue_concrete: #2, 2(7%)
minecraft.crafted.exposed_cut_copper: #2, 1(5%)
minecraft.crafted.stripped_spruce_wood: #3, 6(22%)
minecraft.mined.cyan_shulker_box: #3, 39(14%)
minecraft.used.rail: #4, 2084(8%)
minecraft.dropped.mossy_stone_brick_stairs: #2, 2(3%)
minecraft.custom.walk_under_water_one_cm: #5, 5883019(6%)
minecraft.used.stripped_jungle_log: #3, 52(11%)
minecraft.picked_up.smooth_stone: #4, 631(9%)
minecraft.mined.dark_oak_stairs: #4, 66(9%)
minecraft.dropped.name_tag: #4, 31(19%)
minecraft.crafted.iron_boots: #4, 7(8%)
minecraft.mined.jungle_planks: #3, 100(5%)
minecraft.picked_up.dragon_egg: #3, 6(8%)
minecraft.dropped.nautilus_shell: #3, 5(29%)
minecraft.dropped.oak_log: #4, 212(9%)
minecraft.dropped.bow: #4, 136(7%)
minecraft.mined.honey_block: #3, 22(6%)
minecraft.crafted.blue_stained_glass: #3, 128(9%)
minecraft.picked_up.coarse_dirt: #4, 1169(7%)
minecraft.picked_up.slime_block: #4, 563(8%)
minecraft.picked_up.cyan_dye: #3, 27(8%)
minecraft.broken.leather_boots: #3, 1(25%)
minecraft.picked_up.jungle_door: #3, 6(12%)
minecraft.dropped.coal_ore: #4, 142(8%)
minecraft.crafted.bowl: #3, 4(17%)
minecraft.mined.oxidized_cut_copper_stairs: #3, 67(8%)
minecraft.dropped.stone_brick_stairs: #3, 36(9%)
minecraft.dropped.oak_planks: #4, 105(6%)
minecraft.mined.cut_copper_stairs: #4, 30(14%)
minecraft.picked_up.cut_copper_stairs: #4, 30(14%)
minecraft.mined.jungle_door: #3, 5(12%)
minecraft.used.slime_block: #4, 543(7%)
minecraft.mined.potted_azalea_bush: #3, 1(9%)
minecraft.mined.light_blue_stained_glass: #3, 51(4%)
minecraft.mined.light_blue_stained_glass_pane: #3, 16(6%)
minecraft.mined.birch_sign: #4, 9(8%)
minecraft.dropped.flowering_azalea_leaves: #4, 63(12%)
minecraft.dropped.deepslate_bricks: #4, 93(12%)
minecraft.used.fletching_table: #3, 5(4%)
minecraft.used.prismarine_stairs: #3, 6(11%)
minecraft.mined.mossy_cobblestone_wall: #3, 3(8%)
minecraft.used.cyan_shulker_box: #4, 45(15%)
minecraft.mined.spore_blossom: #4, 6(10%)
minecraft.used.prismarine_slab: #3, 16(5%)
minecraft.picked_up.green_concrete: #3, 13(3%)
minecraft.crafted.polished_granite_slab: #4, 60(15%)
minecraft.dropped.petrified_oak_slab: #3, 1(8%)
minecraft.mined.green_concrete: #3, 11(3%)
minecraft.dropped.yellow_concrete: #3, 2(7%)
minecraft.picked_up.petrified_oak_slab: #3, 6(3%)
minecraft.picked_up.cyan_shulker_box: #4, 40(13%)
minecraft.picked_up.yellow_bed: #4, 17(6%)
minecraft.dropped.tinted_glass: #3, 2(3%)
minecraft.mined.polished_andesite: #4, 109(6%)
minecraft.picked_up.light_gray_stained_glass: #4, 66(7%)
minecraft.mined.yellow_bed: #4, 17(7%)
minecraft.dropped.mossy_cobblestone_stairs: #3, 1(6%)
minecraft.mined.petrified_oak_slab: #3, 5(3%)
minecraft.mined.blue_concrete: #3, 10(2%)
minecraft.picked_up.soul_lantern: #4, 37(7%)
minecraft.crafted.light_blue_stained_glass_pane: #3, 48(2%)
minecraft.picked_up.light_blue_stained_glass_pane: #3, 12(1%)
minecraft.crafted.white_shulker_box: #4, 14(8%)
minecraft.picked_up.leather_helmet: #4, 11(5%)
minecraft.used.cyan_dye: #4, 19(11%)
minecraft.dropped.jungle_planks: #4, 40(10%)
minecraft.used.green_concrete: #3, 3(1%)
minecraft.used.raw_copper_block: #3, 7(0%)
minecraft.dropped.gray_stained_glass_pane: #3, 1(1%)
minecraft.dropped.wither_skeleton_skull: #3, 2(0%)
minecraft.picked_up.moss_block: #5, 6315(8%)
minecraft.used.dark_oak_boat: #4, 17(5%)
minecraft.broken.golden_leggings: #4, 1(20%)
minecraft.used.iron_leggings: #4, 2(11%)
minecraft.crafted.oak_pressure_plate: #4, 2(8%)
minecraft.crafted.wooden_axe: #4, 1(11%)
minecraft.picked_up.gray_stained_glass_pane: #4, 26(8%)
minecraft.dropped.glow_berries: #4, 9(8%)
minecraft.mined.stripped_spruce_log: #4, 227(5%)
minecraft.mined.mossy_stone_bricks: #4, 88(7%)
