stat, rank, value, (percentage) 
minecraft.used.hay_block: #1, 1604(66%)
minecraft.used.ender_pearl: #1, 4420(53%)
minecraft.mined.smooth_sandstone: #1, 4964(70%)
minecraft.used.bread: #1, 1655(51%)
minecraft.picked_up.stripped_birch_log: #1, 1823(62%)
minecraft.picked_up.allium: #1, 5764(65%)
minecraft.mined.stripped_birch_log: #1, 1843(57%)
minecraft.picked_up.azure_bluet: #1, 773(57%)
minecraft.used.stripped_oak_log: #1, 1484(55%)
minecraft.mined.sunflower: #1, 221(58%)
minecraft.mined.deepslate_tile_stairs: #1, 1612(43%)
minecraft.picked_up.deepslate_tile_stairs: #1, 1526(39%)
minecraft.mined.pointed_dripstone: #1, 4985(36%)
minecraft.used.stripped_birch_log: #1, 1809(75%)
minecraft.picked_up.pink_tulip: #1, 334(74%)
minecraft.mined.cut_sandstone: #1, 1510(79%)
minecraft.picked_up.white_tulip: #1, 2128(79%)
minecraft.mined.tall_grass: #1, 3755(31%)
minecraft.mined.orange_tulip: #1, 195(86%)
minecraft.picked_up.cut_sandstone: #1, 1382(70%)
minecraft.mined.allium: #1, 449(69%)
minecraft.mined.white_tulip: #1, 223(84%)
minecraft.mined.azure_bluet: #1, 246(39%)
minecraft.mined.pink_tulip: #1, 123(79%)
minecraft.crafted.iron_helmet: #1, 25(29%)
minecraft.used.apple: #1, 128(36%)
minecraft.picked_up.smooth_sandstone: #1, 4792(36%)
minecraft.crafted.wheat: #1, 3890(35%)
minecraft.used.sandstone_wall: #1, 906(80%)
minecraft.used.birch_log: #1, 2274(33%)
minecraft.mined.dark_oak_slab: #1, 351(30%)
minecraft.picked_up.orange_tulip: #1, 2520(56%)
minecraft.mined.red_tulip: #1, 136(76%)
minecraft.mined.acacia_stairs: #1, 122(60%)
minecraft.dropped.tinted_glass: #1, 65(84%)
minecraft.mined.tinted_glass: #1, 564(30%)
minecraft.picked_up.light_blue_concrete_powder: #1, 278(92%)
minecraft.picked_up.sandstone_wall: #1, 272(92%)
minecraft.used.glow_ink_sac: #2, 485(25%)
minecraft.dropped.dark_oak_sapling: #1, 61(45%)
minecraft.mined.acacia_planks: #1, 678(44%)
minecraft.mined.wheat: #1, 16287(21%)
minecraft.picked_up.wheat_seeds: #1, 55448(19%)
minecraft.killed.endermite: #1, 39(31%)
minecraft.crafted.oak_sign: #1, 470(22%)
minecraft.mined.carved_pumpkin: #1, 743(26%)
minecraft.crafted.hay_block: #1, 1311(24%)
minecraft.used.deepslate_tile_stairs: #1, 3483(22%)
minecraft.picked_up.acacia_stairs: #1, 101(46%)
minecraft.mined.cornflower: #1, 163(26%)
minecraft.picked_up.acacia_planks: #1, 616(29%)
minecraft.used.jack_o_lantern: #1, 659(33%)
minecraft.crafted.iron_boots: #1, 18(20%)
minecraft.crafted.iron_chestplate: #1, 18(21%)
minecraft.crafted.blue_stained_glass: #1, 744(54%)
minecraft.mined.grass: #1, 9503(17%)
minecraft.mined.sandstone_wall: #1, 296(96%)
minecraft.custom.minecart_one_cm: #2, 4103352(26%)
minecraft.used.acacia_stairs: #1, 583(48%)
minecraft.picked_up.pointed_dripstone: #2, 7328(25%)
minecraft.crafted.acacia_stairs: #1, 516(43%)
minecraft.mined.light_blue_concrete_powder: #1, 277(95%)
minecraft.mined.warped_wart_block: #2, 4262(23%)
minecraft.picked_up.pumpkin_seeds: #1, 3010(22%)
minecraft.picked_up.crimson_fungus: #1, 124(23%)
minecraft.used.glow_berries: #1, 671(20%)
minecraft.crafted.jack_o_lantern: #1, 697(35%)
minecraft.custom.climb_one_cm: #1, 7209441(15%)
minecraft.mined.dark_oak_stairs: #1, 150(20%)
minecraft.used.wheat_seeds: #1, 20782(19%)
minecraft.picked_up.warped_wart_block: #2, 3944(22%)
minecraft.crafted.stone_axe: #2, 29(22%)
minecraft.used.dark_oak_slab: #1, 1854(20%)
minecraft.dropped.redstone_torch: #1, 96(29%)
minecraft.picked_up.wheat: #1, 15985(16%)
minecraft.crafted.iron_pickaxe: #1, 77(18%)
minecraft.mined.lily_of_the_valley: #1, 57(26%)
minecraft.crafted.dark_oak_sign: #1, 451(22%)
minecraft.picked_up.dark_oak_fence: #2, 391(27%)
minecraft.used.stone_axe: #1, 993(16%)
minecraft.picked_up.lime_stained_glass_pane: #1, 65(68%)
minecraft.mined.peony: #1, 25(21%)
minecraft.picked_up.redstone_torch: #1, 528(16%)
minecraft.mined.white_wall_banner: #1, 11(44%)
minecraft.used.smooth_sandstone: #2, 5798(27%)
minecraft.used.birch_sign: #2, 310(19%)
minecraft.dropped.smooth_sandstone_stairs: #1, 136(96%)
minecraft.crafted.birch_sign: #2, 303(21%)
minecraft.dropped.amethyst_shard: #1, 115(24%)
minecraft.mined.warped_fence: #1, 44(41%)
minecraft.mined.dripstone_block: #2, 2193(20%)
minecraft.picked_up.carved_pumpkin: #2, 730(17%)
minecraft.used.chiseled_stone_bricks: #1, 1011(70%)
minecraft.crafted.dark_oak_slab: #1, 2016(16%)
minecraft.picked_up.diamond_chestplate: #1, 20(17%)
minecraft.crafted.sandstone_wall: #1, 795(85%)
minecraft.picked_up.hay_block: #2, 568(19%)
minecraft.crafted.scaffolding: #1, 2327(16%)
minecraft.mined.rose_bush: #1, 27(15%)
minecraft.picked_up.cobbled_deepslate_wall: #1, 123(21%)
minecraft.mined.wall_torch: #1, 1018(12%)
minecraft.mined.oxeye_daisy: #2, 137(24%)
minecraft.picked_up.stone_shovel: #1, 10(36%)
minecraft.mined.hay_block: #2, 447(18%)
minecraft.mined.blue_terracotta: #1, 71(36%)
minecraft.dropped.oak_log: #1, 364(15%)
minecraft.used.polished_blackstone_button: #2, 970(26%)
minecraft.picked_up.warped_fence: #1, 44(39%)
minecraft.mined.lime_stained_glass_pane: #1, 67(61%)
minecraft.used.lime_stained_glass_pane: #1, 71(61%)
minecraft.crafted.white_bed: #2, 73(16%)
minecraft.mined.chiseled_stone_bricks: #1, 54(49%)
minecraft.used.dark_oak_sign: #2, 462(18%)
minecraft.dropped.armor_stand: #1, 71(58%)
minecraft.used.blue_stained_glass: #1, 751(96%)
minecraft.picked_up.blue_terracotta: #1, 65(32%)
minecraft.mined.stripped_oak_log: #2, 1530(18%)
minecraft.picked_up.stone_pickaxe: #1, 8(17%)
minecraft.picked_up.red_tulip: #2, 887(38%)
minecraft.picked_up.polished_blackstone_button: #2, 193(18%)
minecraft.used.waxed_exposed_cut_copper_stairs: #1, 179(92%)
minecraft.crafted.golden_leggings: #1, 11(39%)
minecraft.mined.andesite_slab: #2, 113(23%)
minecraft.picked_up.dark_oak_slab: #2, 393(18%)
minecraft.picked_up.crimson_stairs: #1, 46(34%)
minecraft.mined.dark_oak_log: #2, 9003(15%)
minecraft.used.gray_candle: #1, 20(67%)
minecraft.mined.yellow_stained_glass_pane: #1, 29(44%)
minecraft.picked_up.dark_oak_log: #2, 10372(14%)
minecraft.used.trident: #2, 1818(33%)
minecraft.picked_up.brick: #1, 193(20%)
minecraft.picked_up.birch_sign: #2, 132(14%)
minecraft.used.sandstone: #3, 5359(19%)
