stat, rank, value, (percentage) 
minecraft.picked_up.polished_granite_slab: #1, 134(41%)
minecraft.picked_up.light_gray_candle: #1, 32(48%)
minecraft.used.light_gray_candle: #2, 14(42%)
minecraft.picked_up.name_tag: #3, 94(7%)
minecraft.used.light_gray_dye: #2, 2(9%)
minecraft.dropped.netherite_helmet: #4, 1(6%)
minecraft.custom.player_kills: #5, 9(7%)
minecraft.used.diamond_leggings: #5, 3(5%)
minecraft.used.diamond_helmet: #5, 4(7%)
minecraft.used.diamond_boots: #6, 4(7%)
minecraft.mined.polished_granite_slab: #6, 2(4%)
minecraft.killed.player: #7, 9(6%)
minecraft.dropped.netherite_sword: #7, 1(3%)
minecraft.picked_up.gray_dye: #7, 3(2%)
minecraft.picked_up.polished_granite: #8, 24(2%)
minecraft.picked_up.stone_brick_stairs: #9, 73(4%)
minecraft.dropped.netherite_axe: #9, 1(2%)
minecraft.picked_up.netherite_helmet: #10, 1(1%)
minecraft.dropped.netherite_pickaxe: #11, 2(2%)
minecraft.picked_up.netherite_sword: #11, 1(1%)
minecraft.used.polished_granite: #11, 13(1%)
minecraft.picked_up.poisonous_potato: #13, 5(1%)
minecraft.used.elytra: #13, 2(1%)
minecraft.picked_up.netherite_axe: #13, 1(1%)
minecraft.used.rotten_flesh: #13, 1(0%)
minecraft.mined.polished_granite: #13, 1(0%)
minecraft.picked_up.baked_potato: #14, 136(1%)
minecraft.picked_up.oak_wood: #14, 16(1%)
minecraft.used.carved_pumpkin: #14, 1(0%)
minecraft.picked_up.netherite_pickaxe: #15, 2(1%)
minecraft.picked_up.white_dye: #15, 7(0%)
minecraft.picked_up.potato: #15, 159(0%)
minecraft.dropped.diamond_axe: #16, 1(1%)
minecraft.mined.dark_oak_wall_sign: #16, 3(1%)
minecraft.used.birch_boat: #16, 1(0%)
minecraft.picked_up.birch_boat: #16, 1(0%)
minecraft.custom.damage_resisted: #16, 7(0%)
minecraft.dropped.iron_nugget: #17, 12(0%)
minecraft.dropped.golden_carrot: #18, 37(1%)
minecraft.used.baked_potato: #18, 25(0%)
minecraft.mined.potatoes: #18, 21(0%)
minecraft.picked_up.diamond_helmet: #19, 3(1%)
minecraft.picked_up.diamond_leggings: #19, 3(1%)
minecraft.picked_up.firework_rocket: #19, 239(1%)
minecraft.dropped.paper: #19, 10(0%)
minecraft.picked_up.paper: #19, 18(0%)
minecraft.used.dark_oak_sign: #19, 3(0%)
minecraft.mined.polished_andesite: #19, 2(0%)
minecraft.picked_up.podzol: #19, 2(0%)
minecraft.dropped.baked_potato: #19, 1(0%)
minecraft.used.player_head: #20, 10(1%)
minecraft.picked_up.diamond_boots: #20, 3(1%)
minecraft.picked_up.dark_oak_sign: #20, 3(0%)
minecraft.picked_up.polished_andesite: #20, 3(0%)
minecraft.used.polished_andesite: #20, 2(0%)
minecraft.picked_up.diamond_sword: #21, 4(1%)
minecraft.dropped.diamond_sword: #21, 1(1%)
minecraft.picked_up.diamond_axe: #21, 4(1%)
minecraft.killed_by.player: #21, 1(1%)
