stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #14, 3541541(2%)
minecraft.custom.time_since_death: #16, 3540730(2%)
minecraft.custom.fly_one_cm: #25, 16946874(1%)
minecraft.custom.deaths: #27, 1(0%)
minecraft.custom.damage_taken: #31, 240(0%)
minecraft.custom.leave_game: #33, 113(1%)
minecraft.custom.play_time: #37, 4795675(0%)
minecraft.custom.total_world_time: #37, 4795675(0%)
minecraft.custom.walk_one_cm: #37, 865(0%)
minecraft.custom.sprint_one_cm: #38, 171(0%)
minecraft.custom.walk_on_water_one_cm: #39, 55840(0%)
minecraft.custom.walk_under_water_one_cm: #39, 80610(0%)
minecraft.custom.sneak_time: #40, 13648(0%)
minecraft.custom.jump: #40, 2(0%)
