stat, rank, value, (percentage) 
minecraft.mined.stone_brick_wall: #1, 145(50%)
minecraft.mined.polished_diorite: #1, 659(60%)
minecraft.used.axolotl_bucket: #1, 185(43%)
minecraft.picked_up.black_stained_glass: #1, 2650(53%)
minecraft.picked_up.glow_berries: #1, 2259(30%)
minecraft.dropped.flowering_azalea: #1, 174(51%)
minecraft.mined.black_stained_glass: #1, 2682(57%)
minecraft.mined.polished_andesite: #1, 603(31%)
minecraft.used.sand: #1, 36978(25%)
minecraft.mined.deepslate_brick_slab: #1, 464(40%)
minecraft.picked_up.cobblestone_slab: #1, 642(24%)
minecraft.used.cooked_porkchop: #2, 864(31%)
minecraft.dropped.glow_ink_sac: #1, 488(33%)
minecraft.mined.deepslate_bricks: #1, 1146(24%)
minecraft.used.polished_diorite: #1, 3050(45%)
minecraft.picked_up.polished_diorite: #1, 629(34%)
minecraft.mined.iron_trapdoor: #1, 280(28%)
minecraft.mined.stone_brick_stairs: #1, 399(28%)
minecraft.picked_up.iron_trapdoor: #1, 274(26%)
minecraft.dropped.black_stained_glass: #1, 193(60%)
minecraft.dropped.warped_roots: #1, 633(41%)
minecraft.used.stone_brick_wall: #1, 516(28%)
minecraft.dropped.iron_ore: #1, 289(27%)
minecraft.picked_up.deepslate_brick_slab: #1, 491(27%)
minecraft.picked_up.dark_oak_fence_gate: #1, 87(31%)
minecraft.crafted.sandstone: #1, 1399(32%)
minecraft.used.andesite_wall: #1, 780(32%)
minecraft.used.polished_diorite_stairs: #1, 1181(80%)
minecraft.used.end_stone: #1, 620(23%)
minecraft.crafted.glow_item_frame: #1, 109(23%)
minecraft.used.campfire: #1, 283(20%)
minecraft.used.polished_diorite_slab: #1, 778(54%)
minecraft.crafted.white_stained_glass: #1, 3072(21%)
minecraft.used.iron_block: #1, 8102(18%)
minecraft.used.polished_deepslate_stairs: #1, 2464(21%)
minecraft.used.warped_nylium: #1, 128(32%)
minecraft.used.iron_trapdoor: #2, 926(24%)
minecraft.used.glow_item_frame: #1, 110(20%)
minecraft.mined.andesite_wall: #1, 231(37%)
