stat, rank, value, (percentage) 
minecraft.picked_up.light_gray_bed: #1, 1533(86%)
minecraft.mined.light_gray_bed: #1, 1509(86%)
minecraft.used.light_gray_bed: #1, 1521(84%)
minecraft.custom.interact_with_smoker: #1, 362(63%)
minecraft.used.candle: #1, 883(52%)
minecraft.used.diorite: #1, 7527(32%)
minecraft.crafted.stone: #1, 5354(39%)
minecraft.picked_up.emerald_block: #1, 13273(35%)
minecraft.used.weathered_cut_copper: #1, 309(74%)
minecraft.crafted.jungle_button: #1, 316(72%)
minecraft.dropped.hay_block: #1, 525(61%)
minecraft.mined.waxed_weathered_cut_copper: #1, 477(87%)
minecraft.picked_up.waxed_weathered_cut_copper: #1, 493(73%)
minecraft.used.painting: #1, 604(29%)
minecraft.used.crossbow: #1, 288(24%)
minecraft.picked_up.cooked_mutton: #1, 258(38%)
minecraft.picked_up.painting: #1, 450(28%)
minecraft.used.exposed_cut_copper: #1, 44(56%)
minecraft.picked_up.leather_horse_armor: #1, 49(51%)
minecraft.used.waxed_weathered_cut_copper: #1, 477(66%)
minecraft.used.weathered_cut_copper_stairs: #1, 140(66%)
minecraft.used.grass: #1, 2806(31%)
minecraft.used.jungle_button: #1, 298(97%)
minecraft.used.cooked_mutton: #1, 210(27%)
minecraft.dropped.netherite_ingot: #1, 26(38%)
minecraft.mined.powder_snow: #1, 302(17%)
minecraft.picked_up.grass: #1, 3023(22%)
minecraft.used.diorite_wall: #1, 1224(33%)
minecraft.crafted.lime_stained_glass_pane: #1, 608(32%)
minecraft.used.nether_bricks: #1, 2222(21%)
minecraft.mined.stripped_jungle_wood: #1, 173(32%)
minecraft.dropped.birch_sapling: #1, 349(18%)
minecraft.mined.stonecutter: #1, 329(16%)
minecraft.picked_up.stonecutter: #1, 342(16%)
minecraft.crafted.cooked_beef: #1, 1133(19%)
minecraft.crafted.deepslate: #1, 1010(48%)
minecraft.mined.candle: #1, 26(24%)
minecraft.crafted.weathered_cut_copper_stairs: #1, 140(71%)
minecraft.used.polished_diorite_stairs: #1, 470(38%)
minecraft.used.stone_stairs: #2, 2816(19%)
minecraft.used.prismarine_wall: #1, 257(37%)
minecraft.picked_up.diorite_slab: #1, 80(37%)
minecraft.picked_up.cooked_beef: #1, 907(15%)
minecraft.mined.waxed_exposed_cut_copper: #1, 62(41%)
minecraft.used.stonecutter: #1, 332(14%)
minecraft.picked_up.stripped_jungle_wood: #1, 173(27%)
minecraft.picked_up.netherite_ingot: #1, 26(21%)
minecraft.used.oak_button: #2, 113(25%)
minecraft.dropped.light_gray_bed: #1, 8(53%)
minecraft.crafted.terracotta: #1, 1224(62%)
minecraft.used.prismarine_brick_stairs: #1, 182(61%)
minecraft.used.nether_brick_wall: #1, 242(52%)
minecraft.used.birch_wood: #2, 794(26%)
minecraft.custom.horse_one_cm: #3, 12506866(18%)
minecraft.killed_by.player: #2, 287(11%)
minecraft.dropped.stripped_birch_wood: #1, 54(70%)
minecraft.crafted.painting: #2, 126(20%)
minecraft.dropped.moss_block: #2, 1822(17%)
minecraft.dropped.jungle_button: #1, 31(66%)
minecraft.mined.polished_diorite_stairs: #1, 35(32%)
minecraft.dropped.oak_button: #1, 14(25%)
minecraft.picked_up.chest_minecart: #1, 12(23%)
minecraft.crafted.oak_button: #2, 123(18%)
minecraft.dropped.jungle_fence: #1, 48(69%)
minecraft.used.lime_stained_glass_pane: #2, 594(26%)
minecraft.mined.lime_shulker_box: #2, 454(16%)
minecraft.crafted.packed_mud: #2, 5357(18%)
minecraft.picked_up.lime_shulker_box: #2, 457(16%)
minecraft.mined.stripped_birch_wood: #2, 383(28%)
minecraft.used.smoker: #2, 37(22%)
minecraft.killed.sheep: #2, 139(14%)
minecraft.used.diorite_slab: #1, 226(20%)
minecraft.used.nether_sprouts: #1, 86(52%)
minecraft.used.acacia_fence_gate: #1, 23(37%)
minecraft.used.lime_shulker_box: #2, 454(16%)
minecraft.crafted.birch_wood: #2, 834(19%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #2, 172(32%)
minecraft.used.waxed_exposed_cut_copper: #1, 62(27%)
minecraft.used.diorite_stairs: #1, 223(24%)
minecraft.mined.acacia_fence_gate: #1, 10(59%)
minecraft.used.prismarine: #2, 1944(19%)
minecraft.picked_up.stripped_birch_wood: #2, 437(27%)
minecraft.crafted.chest_minecart: #2, 20(19%)
minecraft.used.mossy_cobblestone: #2, 2303(13%)
minecraft.picked_up.jungle_button: #1, 14(37%)
minecraft.dropped.stripped_dark_oak_log: #1, 29(26%)
minecraft.picked_up.acacia_fence_gate: #1, 10(53%)
minecraft.used.green_glazed_terracotta: #1, 71(21%)
minecraft.picked_up.totem_of_undying: #3, 277(13%)
minecraft.used.stripped_dark_oak_log: #2, 709(14%)
minecraft.picked_up.diorite: #2, 18778(9%)
minecraft.dropped.nether_bricks: #2, 271(19%)
minecraft.dropped.birch_pressure_plate: #1, 12(50%)
minecraft.used.lead: #2, 11(14%)
minecraft.used.chest_minecart: #2, 24(18%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #2, 160(29%)
minecraft.dropped.cooked_beef: #2, 235(15%)
minecraft.used.lime_dye: #2, 40(19%)
minecraft.mined.waxed_weathered_copper: #2, 358(18%)
minecraft.mined.jungle_button: #1, 13(93%)
minecraft.mined.potted_fern: #1, 3(60%)
minecraft.mined.yellow_banner: #1, 9(90%)
minecraft.dropped.brown_shulker_box: #1, 2(25%)
minecraft.picked_up.stripped_dark_oak_log: #2, 789(10%)
minecraft.used.waxed_weathered_copper: #2, 355(21%)
minecraft.dropped.waxed_weathered_cut_copper: #1, 16(84%)
minecraft.dropped.green_bed: #1, 3(27%)
minecraft.picked_up.mutton: #2, 212(10%)
minecraft.crafted.flower_banner_pattern: #1, 2(22%)
minecraft.mined.stripped_dark_oak_log: #2, 735(10%)
minecraft.custom.interact_with_stonecutter: #2, 921(8%)
minecraft.used.iron_shovel: #3, 10693(11%)
