stat, rank, value, (percentage) 
minecraft.mined.stripped_oak_log: #1, 18493(91%)
minecraft.picked_up.stripped_oak_log: #1, 19376(90%)
minecraft.used.oak_log: #1, 20551(56%)
minecraft.mined.slime_block: #1, 11339(73%)
minecraft.picked_up.stripped_birch_log: #1, 5238(58%)
minecraft.used.brown_mushroom: #1, 4835(84%)
minecraft.used.slime_block: #1, 15793(66%)
minecraft.used.stripped_oak_log: #1, 16595(95%)
minecraft.used.flowering_azalea_leaves: #1, 8045(60%)
minecraft.used.deepslate_diamond_ore: #1, 12849(54%)
minecraft.mined.cobblestone_wall: #1, 1003(57%)
minecraft.used.oak_leaves: #1, 41231(53%)
minecraft.used.soul_sand: #1, 14666(52%)
minecraft.used.water_bucket: #1, 33467(38%)
minecraft.mined.polished_deepslate_slab: #1, 5249(59%)
minecraft.used.black_stained_glass: #1, 84831(62%)
minecraft.mined.stripped_mangrove_log: #1, 7369(68%)
minecraft.custom.minecart_one_cm: #1, 30953087(39%)
minecraft.picked_up.stripped_mangrove_log: #1, 7553(67%)
minecraft.used.cut_sandstone: #1, 38968(75%)
minecraft.picked_up.slime_block: #1, 9902(48%)
minecraft.used.stripped_birch_log: #1, 3840(62%)
minecraft.killed.slime: #1, 12734(53%)
minecraft.dropped.flowering_azalea: #1, 482(51%)
minecraft.dropped.azalea: #1, 1044(55%)
minecraft.used.cut_copper_slab: #1, 11265(80%)
minecraft.used.rooted_dirt: #1, 4562(54%)
minecraft.used.smooth_sandstone: #1, 52124(69%)
minecraft.picked_up.deepslate_diamond_ore: #1, 9449(43%)
minecraft.dropped.dragon_egg: #1, 2386(97%)
minecraft.mined.stripped_acacia_log: #1, 1289(65%)
minecraft.crafted.slime_ball: #1, 17080(52%)
minecraft.mined.smooth_sandstone: #1, 4337(57%)
minecraft.mined.stripped_birch_log: #1, 5156(39%)
minecraft.used.bamboo_block: #1, 3883(76%)
minecraft.crafted.tinted_glass: #1, 31190(60%)
minecraft.crafted.black_stained_glass: #1, 83976(56%)
minecraft.picked_up.oak_leaves: #1, 41299(40%)
minecraft.mined.cut_sandstone: #1, 4269(59%)
minecraft.used.mossy_cobblestone: #1, 7931(44%)
minecraft.mined.dripstone_block: #1, 5885(44%)
minecraft.picked_up.cobblestone_wall: #1, 1416(43%)
minecraft.picked_up.stripped_acacia_log: #1, 1294(62%)
minecraft.mined.oak_leaves: #1, 45166(31%)
minecraft.used.mossy_cobblestone_stairs: #1, 1052(64%)
minecraft.mined.sculk_catalyst: #1, 8091(73%)
minecraft.used.tinted_glass: #1, 24124(49%)
minecraft.picked_up.cut_sandstone: #1, 4851(60%)
minecraft.used.bucket: #1, 34417(28%)
minecraft.crafted.dark_oak_boat: #1, 205(55%)
minecraft.used.mangrove_log: #1, 7240(41%)
minecraft.mined.piston_head: #1, 231(49%)
minecraft.picked_up.sticky_piston: #1, 1975(35%)
minecraft.mined.deepslate_diamond_ore: #1, 9944(30%)
minecraft.picked_up.slime_ball: #1, 13867(38%)
minecraft.used.spruce_fence: #1, 6818(32%)
minecraft.used.waxed_weathered_cut_copper_stairs: #1, 1850(85%)
minecraft.picked_up.amethyst_shard: #1, 54768(37%)
minecraft.picked_up.yellow_concrete: #1, 4292(34%)
minecraft.used.stripped_mangrove_log: #1, 6616(70%)
minecraft.mined.cobbled_deepslate: #1, 6717(29%)
minecraft.used.pink_terracotta: #1, 3543(74%)
minecraft.crafted.mossy_cobblestone: #1, 11829(39%)
minecraft.mined.bamboo: #1, 8453(33%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #1, 323(88%)
minecraft.mined.soul_sand: #1, 16032(33%)
minecraft.picked_up.smooth_sandstone: #1, 5331(44%)
minecraft.mined.sticky_piston: #1, 1306(31%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #1, 1494(87%)
minecraft.crafted.oak_planks: #1, 64973(23%)
minecraft.used.sculk_catalyst: #1, 8095(72%)
minecraft.picked_up.dragon_egg: #1, 3699(57%)
minecraft.used.stripped_acacia_log: #1, 1137(72%)
minecraft.mined.waxed_weathered_cut_copper_slab: #1, 1412(94%)
minecraft.used.warped_button: #1, 335(42%)
minecraft.used.oxidized_cut_copper_slab: #1, 5373(44%)
minecraft.crafted.sandstone: #1, 15241(49%)
minecraft.used.cobbled_deepslate: #1, 28537(26%)
minecraft.crafted.spruce_fence: #1, 6657(30%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #1, 270(83%)
minecraft.crafted.green_bed: #1, 28(55%)
minecraft.custom.sneak_time: #1, 16658392(12%)
minecraft.crafted.mossy_stone_bricks: #1, 4418(43%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #1, 2626(91%)
minecraft.used.mossy_stone_brick_slab: #1, 1380(82%)
minecraft.used.coal_block: #1, 1712(40%)
minecraft.used.cobblestone_stairs: #1, 1885(36%)
minecraft.picked_up.white_shulker_box: #1, 1771(29%)
minecraft.mined.white_shulker_box: #1, 1742(29%)
minecraft.mined.piston: #1, 2264(30%)
minecraft.used.white_shulker_box: #1, 1772(29%)
minecraft.killed.creeper: #2, 24599(25%)
minecraft.used.detector_rail: #1, 298(45%)
minecraft.crafted.iron_door: #1, 201(32%)
minecraft.mined.exposed_cut_copper_stairs: #1, 395(77%)
minecraft.mined.black_stained_glass: #1, 1784(36%)
minecraft.crafted.oak_boat: #1, 113(33%)
minecraft.dropped.cut_sandstone: #1, 413(54%)
minecraft.dropped.crimson_roots: #1, 1721(39%)
minecraft.crafted.acacia_door: #1, 195(62%)
minecraft.custom.walk_on_water_one_cm: #1, 15002501(11%)
minecraft.used.smooth_sandstone_stairs: #1, 5414(49%)
minecraft.picked_up.pink_concrete: #1, 2297(43%)
minecraft.crafted.black_terracotta: #1, 8208(37%)
minecraft.used.oxidized_cut_copper_stairs: #1, 1916(36%)
minecraft.picked_up.soul_sand: #1, 15124(27%)
minecraft.mined.warped_fence: #1, 249(45%)
minecraft.picked_up.glass_bottle: #1, 4514(22%)
minecraft.mined.detector_rail: #1, 122(55%)
minecraft.mined.crimson_roots: #1, 2594(31%)
minecraft.picked_up.piston: #1, 2640(26%)
minecraft.picked_up.dead_tube_coral_fan: #1, 336(87%)
minecraft.picked_up.detector_rail: #1, 194(41%)
minecraft.used.black_terracotta: #1, 8002(39%)
minecraft.used.tube_coral_fan: #1, 323(49%)
minecraft.picked_up.black_stained_glass: #1, 1836(29%)
minecraft.used.sandstone_wall: #1, 4389(49%)
minecraft.custom.horse_one_cm: #1, 15428951(22%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #1, 1387(98%)
minecraft.used.target: #1, 786(32%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #1, 1534(97%)
minecraft.picked_up.purple_bed: #1, 373(40%)
minecraft.picked_up.oak_button: #1, 67(34%)
minecraft.custom.crouch_one_cm: #1, 95468585(13%)
minecraft.used.mossy_stone_brick_stairs: #1, 937(67%)
minecraft.picked_up.exposed_cut_copper_stairs: #1, 395(66%)
minecraft.picked_up.string: #1, 20206(19%)
minecraft.picked_up.oak_fence_gate: #1, 82(36%)
minecraft.used.waxed_oxidized_cut_copper_slab: #1, 6423(93%)
minecraft.used.sticky_piston: #1, 3936(24%)
minecraft.used.quartz_stairs: #1, 1270(36%)
minecraft.dropped.sticky_piston: #1, 315(46%)
minecraft.used.rose_bush: #2, 381(30%)
minecraft.used.purple_bed: #1, 363(40%)
minecraft.mined.oak_fence_gate: #1, 64(36%)
minecraft.used.waxed_exposed_cut_copper_stairs: #1, 419(58%)
minecraft.used.light_gray_terracotta: #1, 3092(30%)
minecraft.used.oak_wood: #1, 1673(31%)
minecraft.used.piston: #1, 3771(23%)
minecraft.mined.purple_bed: #1, 364(41%)
minecraft.used.minecart: #1, 642(26%)
minecraft.mined.honey_block: #1, 420(25%)
minecraft.custom.climb_one_cm: #1, 11177412(13%)
minecraft.mined.dead_tube_coral_fan: #1, 309(87%)
minecraft.used.green_stained_glass: #1, 3160(44%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #1, 333(61%)
minecraft.used.birch_trapdoor: #1, 590(29%)
minecraft.picked_up.obsidian: #1, 10130(21%)
minecraft.crafted.white_shulker_box: #1, 83(26%)
minecraft.mined.stripped_birch_wood: #1, 624(46%)
minecraft.used.nether_quartz_ore: #1, 3903(29%)
minecraft.mined.green_stained_glass: #1, 566(46%)
minecraft.used.waxed_weathered_cut_copper_slab: #1, 3320(85%)
minecraft.mined.tinted_glass: #1, 956(28%)
minecraft.used.oak_button: #1, 140(31%)
minecraft.dropped.deepslate_copper_ore: #1, 83(53%)
minecraft.picked_up.warped_fence: #1, 239(32%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #1, 284(53%)
minecraft.picked_up.oxidized_cut_copper_slab: #1, 623(32%)
minecraft.crafted.warped_button: #1, 341(32%)
minecraft.mined.weathered_cut_copper_slab: #1, 111(81%)
minecraft.used.elytra: #2, 232(18%)
minecraft.mined.observer: #2, 2148(24%)
minecraft.picked_up.minecart: #1, 672(20%)
minecraft.crafted.mangrove_stairs: #1, 700(32%)
minecraft.used.observer: #2, 6734(23%)
minecraft.used.oak_fence_gate: #1, 224(29%)
minecraft.used.white_stained_glass: #1, 11047(25%)
minecraft.mined.exposed_cut_copper_slab: #1, 122(68%)
minecraft.used.birch_fence: #1, 1274(25%)
minecraft.picked_up.cut_copper_slab: #1, 289(39%)
minecraft.picked_up.nether_quartz_ore: #1, 4089(23%)
minecraft.dropped.redstone_block: #1, 530(22%)
minecraft.picked_up.weathered_cut_copper_slab: #1, 104(76%)
minecraft.used.mossy_stone_bricks: #1, 1027(25%)
minecraft.crafted.green_stained_glass: #1, 4680(35%)
minecraft.picked_up.black_concrete: #1, 11212(21%)
minecraft.used.flowering_azalea: #1, 409(22%)
minecraft.picked_up.observer: #2, 2576(23%)
minecraft.crafted.dark_oak_button: #2, 962(30%)
minecraft.mined.amethyst_cluster: #1, 4635(22%)
minecraft.crafted.target: #1, 742(25%)
minecraft.dropped.black_stained_glass: #1, 415(47%)
minecraft.mined.yellow_concrete: #2, 3962(25%)
minecraft.mined.brown_mushroom_block: #1, 10048(22%)
minecraft.mined.sandstone_stairs: #1, 163(43%)
minecraft.mined.sand: #1, 285279(17%)
minecraft.picked_up.red_nether_bricks: #1, 281(43%)
minecraft.crafted.spruce_door: #1, 126(20%)
minecraft.used.pink_concrete: #1, 1849(43%)
minecraft.used.pumpkin_pie: #2, 5492(18%)
minecraft.mined.sandstone: #1, 54408(20%)
minecraft.used.stripped_birch_wood: #1, 1424(62%)
minecraft.picked_up.weathered_copper: #1, 763(23%)
minecraft.crafted.pink_terracotta: #1, 3544(26%)
minecraft.used.mangrove_stairs: #1, 599(33%)
minecraft.picked_up.sandstone: #1, 54098(20%)
minecraft.used.dark_oak_button: #2, 809(31%)
minecraft.picked_up.dead_fire_coral_fan: #1, 134(97%)
minecraft.used.moss_carpet: #2, 4212(19%)
minecraft.used.cobblestone: #1, 14348(13%)
minecraft.mined.weathered_copper: #1, 763(23%)
minecraft.mined.cut_copper_slab: #1, 244(40%)
minecraft.picked_up.netherite_hoe: #1, 28(23%)
minecraft.mined.crimson_fungus: #1, 369(24%)
minecraft.crafted.light_gray_terracotta: #1, 2848(30%)
minecraft.used.mangrove_wood: #2, 2230(30%)
minecraft.dropped.orange_terracotta: #1, 197(24%)
minecraft.crafted.birch_fence: #2, 1380(27%)
minecraft.used.tripwire_hook: #1, 127(23%)
minecraft.used.fire_coral_fan: #1, 168(39%)
minecraft.picked_up.stripped_birch_wood: #1, 622(39%)
minecraft.used.spruce_door: #1, 106(19%)
minecraft.used.cobblestone_wall: #2, 1910(22%)
minecraft.killed.chicken: #2, 4628(21%)
minecraft.used.dead_tube_coral_fan: #1, 332(93%)
minecraft.dropped.stripped_oak_log: #1, 133(42%)
minecraft.picked_up.moss_block: #2, 25171(16%)
minecraft.picked_up.sandstone_stairs: #1, 161(38%)
minecraft.crafted.bamboo_block: #1, 4189(24%)
minecraft.crafted.oak_wood: #1, 1659(23%)
minecraft.picked_up.cobbled_deepslate: #1, 132554(14%)
minecraft.used.acacia_trapdoor: #1, 2610(27%)
minecraft.mined.spruce_fence: #1, 583(17%)
minecraft.crafted.mangrove_wood: #2, 2562(29%)
minecraft.picked_up.diamond_helmet: #1, 66(13%)
minecraft.used.magma_block: #1, 5043(19%)
minecraft.picked_up.diamond_hoe: #1, 68(24%)
minecraft.dropped.lava_bucket: #1, 32(34%)
minecraft.crafted.waxed_oxidized_copper: #1, 1695(74%)
minecraft.mined.polished_deepslate_wall: #1, 328(20%)
minecraft.crafted.smooth_sandstone_stairs: #1, 255(49%)
minecraft.dropped.polished_deepslate_slab: #2, 512(32%)
minecraft.crafted.oak_button: #1, 139(21%)
minecraft.crafted.piston: #1, 4503(16%)
minecraft.picked_up.spruce_fence: #1, 955(16%)
minecraft.mined.obsidian: #2, 11340(19%)
minecraft.used.golden_carrot: #2, 6619(12%)
minecraft.picked_up.spruce_door: #1, 69(16%)
minecraft.dropped.moss_carpet: #2, 3226(20%)
minecraft.crafted.note_block: #2, 1086(19%)
minecraft.mined.rooted_dirt: #2, 3494(22%)
minecraft.used.note_block: #2, 989(19%)
minecraft.dropped.potion: #2, 534(20%)
minecraft.used.stone_slab: #2, 15749(19%)
minecraft.custom.aviate_one_cm: #1, 2147483647(9%)
minecraft.crafted.observer: #2, 4797(20%)
minecraft.picked_up.rooted_dirt: #2, 3437(21%)
minecraft.used.stripped_oak_wood: #2, 717(30%)
minecraft.mined.oxidized_cut_copper_slab: #2, 389(30%)
minecraft.picked_up.sand: #2, 317477(17%)
minecraft.mined.gold_ore: #2, 1283(20%)
minecraft.mined.nether_quartz_ore: #1, 8785(14%)
minecraft.dropped.stone_axe: #1, 22(18%)
minecraft.mined.pumpkin: #2, 1760(17%)
minecraft.picked_up.potion: #2, 569(16%)
minecraft.custom.fall_one_cm: #2, 24348416(10%)
minecraft.used.deepslate: #2, 28587(18%)
minecraft.crafted.birch_trapdoor: #2, 664(22%)
minecraft.picked_up.exposed_cut_copper_slab: #1, 112(55%)
minecraft.crafted.oxidized_cut_copper: #1, 628(26%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #1, 372(76%)
minecraft.picked_up.cobweb: #1, 973(21%)
minecraft.used.ladder: #1, 1118(12%)
minecraft.dropped.mangrove_wood: #1, 59(75%)
minecraft.used.yellow_concrete: #2, 3172(23%)
minecraft.used.blue_wool: #2, 842(29%)
minecraft.killed.warden: #1, 38(36%)
minecraft.picked_up.bamboo: #2, 45779(17%)
minecraft.used.brown_terracotta: #2, 4632(22%)
minecraft.dropped.sandstone_stairs: #1, 192(90%)
minecraft.crafted.stone_axe: #1, 23(14%)
minecraft.used.waxed_oxidized_copper: #1, 515(33%)
minecraft.used.sandstone_stairs: #1, 452(30%)
minecraft.mined.pink_concrete: #2, 1968(29%)
minecraft.dropped.smooth_sandstone: #2, 509(38%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #1, 646(88%)
minecraft.crafted.chiseled_red_sandstone: #1, 14(70%)
minecraft.mined.warped_fence_gate: #1, 17(39%)
minecraft.used.oak_fence: #1, 641(12%)
minecraft.picked_up.dripstone_block: #2, 2778(19%)
minecraft.dropped.rooted_dirt: #1, 137(25%)
minecraft.dropped.diamond_ore: #1, 24(49%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #1, 413(68%)
minecraft.picked_up.gold_ingot: #2, 5862(18%)
minecraft.used.yellow_concrete_powder: #2, 3888(20%)
minecraft.mined.cobweb: #2, 986(17%)
minecraft.killed_by.slime: #1, 10(48%)
minecraft.picked_up.warped_fence_gate: #1, 17(37%)
minecraft.picked_up.tinted_glass: #2, 1261(21%)
minecraft.crafted.acacia_trapdoor: #2, 2590(25%)
minecraft.mined.stripped_jungle_log: #2, 971(22%)
minecraft.mined.magma_block: #2, 7059(15%)
minecraft.picked_up.waxed_exposed_cut_copper: #1, 89(32%)
minecraft.crafted.white_stained_glass: #2, 10320(18%)
minecraft.dropped.yellow_concrete: #1, 65(46%)
minecraft.used.oxidized_cut_copper: #2, 644(23%)
minecraft.killed_by.creeper: #2, 18(16%)
minecraft.picked_up.target: #2, 147(21%)
minecraft.picked_up.copper_ore: #1, 3190(12%)
minecraft.mined.smooth_sandstone_stairs: #2, 470(28%)
minecraft.dropped.azalea_leaves: #2, 854(26%)
minecraft.picked_up.honey_block: #2, 636(16%)
minecraft.picked_up.note_block: #2, 284(16%)
minecraft.mined.birch_fence_gate: #1, 35(22%)
minecraft.picked_up.stripped_oak_wood: #2, 490(20%)
minecraft.mined.stripped_oak_wood: #2, 500(21%)
minecraft.picked_up.polished_deepslate_slab: #2, 993(16%)
minecraft.used.redstone_block: #2, 3462(15%)
minecraft.mined.mossy_cobblestone_stairs: #1, 29(25%)
minecraft.used.powered_rail: #2, 6192(15%)
minecraft.used.ochre_froglight: #2, 1985(21%)
minecraft.mined.dead_fire_coral_wall_fan: #1, 139(99%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #1, 894(74%)
minecraft.used.dead_fire_coral_fan: #1, 131(98%)
minecraft.picked_up.diamond_ore: #1, 53(16%)
minecraft.picked_up.flowering_azalea_leaves: #2, 4062(14%)
minecraft.crafted.warped_fence_gate: #1, 85(27%)
minecraft.dropped.oak_fence_gate: #1, 18(37%)
minecraft.picked_up.smooth_sandstone_stairs: #2, 452(26%)
minecraft.picked_up.tuff: #2, 20532(12%)
minecraft.mined.white_stained_glass: #2, 1432(18%)
minecraft.mined.iron_trapdoor: #2, 195(19%)
minecraft.dropped.oxidized_cut_copper_slab: #1, 58(48%)
minecraft.mined.powered_rail: #2, 1465(15%)
minecraft.mined.oxidized_copper: #2, 4922(16%)
minecraft.picked_up.green_stained_glass: #2, 638(25%)
minecraft.picked_up.stripped_jungle_log: #3, 1392(25%)
minecraft.used.hopper_minecart: #2, 285(15%)
minecraft.crafted.sticky_piston: #3, 2666(19%)
minecraft.killed_by.zombie: #1, 12(15%)
minecraft.mined.black_concrete: #2, 10442(15%)
minecraft.dropped.sandstone: #2, 1516(17%)
minecraft.crafted.powered_rail: #2, 4888(16%)
minecraft.used.weathered_cut_copper_slab: #1, 104(31%)
minecraft.crafted.black_concrete: #1, 1024(46%)
minecraft.picked_up.netherite_pickaxe: #2, 114(13%)
minecraft.crafted.oak_fence_gate: #2, 191(20%)
minecraft.picked_up.magma_block: #2, 5843(13%)
minecraft.picked_up.deepslate: #2, 59086(13%)
minecraft.picked_up.powered_rail: #2, 2123(14%)
minecraft.picked_up.brown_mushroom: #2, 1479(15%)
minecraft.crafted.stripped_oak_wood: #1, 201(38%)
