stat, rank, value, (percentage) 
minecraft.mined.obsidian: #5, 2830(5%)
minecraft.dropped.obsidian: #8, 69(1%)
minecraft.picked_up.obsidian: #12, 997(2%)
minecraft.used.diamond_pickaxe: #31, 2830(0%)
minecraft.dropped.diamond_pickaxe: #32, 1(0%)
minecraft.picked_up.diamond_pickaxe: #33, 2(0%)
minecraft.killed_by.player: #35, 1(0%)
minecraft.custom.open_shulker_box: #38, 23(0%)
minecraft.used.golden_carrot: #40, 1(0%)
minecraft.custom.open_enderchest: #42, 1(0%)
minecraft.picked_up.golden_carrot: #43, 1(0%)
minecraft.custom.deaths: #45, 1(0%)
minecraft.custom.sprint_one_cm: #45, 97686(0%)
minecraft.custom.drop: #45, 3(0%)
minecraft.custom.damage_taken: #47, 250(0%)
minecraft.custom.crouch_one_cm: #48, 909(0%)
minecraft.custom.open_chest: #48, 1(0%)
minecraft.custom.walk_one_cm: #50, 27613(0%)
minecraft.custom.jump: #50, 55(0%)
minecraft.custom.fall_one_cm: #52, 209(0%)
minecraft.custom.leave_game: #57, 6(0%)
minecraft.custom.fly_one_cm: #60, 211157(0%)
minecraft.custom.play_time: #61, 141003(0%)
minecraft.custom.total_world_time: #61, 141003(0%)
minecraft.custom.sneak_time: #66, 249(0%)
minecraft.custom.walk_on_water_one_cm: #67, 411(0%)
minecraft.custom.time_since_rest: #71, 131(0%)
minecraft.custom.time_since_death: #72, 0(0%)
