stat, rank, value, (percentage) 
minecraft.dropped.lime_concrete: #10, 1(0%)
minecraft.dropped.golden_carrot: #19, 111(1%)
minecraft.picked_up.lime_concrete: #19, 3(0%)
minecraft.used.suspicious_stew: #20, 1(1%)
minecraft.picked_up.suspicious_stew: #20, 1(0%)
minecraft.dropped.filled_map: #23, 84(0%)
minecraft.dropped.bundle: #24, 1(0%)
minecraft.picked_up.golden_carrot: #25, 187(0%)
minecraft.picked_up.bundle: #25, 1(0%)
minecraft.used.bundle: #25, 1(0%)
minecraft.used.azalea: #26, 1(0%)
minecraft.dropped.diamond_boots: #27, 1(1%)
minecraft.picked_up.filled_map: #27, 42(0%)
minecraft.custom.time_since_rest: #28, 67777(0%)
minecraft.used.oak_sapling: #28, 1(0%)
minecraft.crafted.oak_sign: #29, 3(0%)
minecraft.used.golden_carrot: #29, 24(0%)
minecraft.used.egg: #29, 2(0%)
minecraft.used.oak_sign: #30, 1(0%)
minecraft.picked_up.azalea: #30, 1(0%)
minecraft.picked_up.egg: #30, 2(0%)
minecraft.picked_up.potion: #31, 1(0%)
minecraft.mined.azalea: #31, 1(0%)
minecraft.picked_up.ender_chest: #32, 2(0%)
minecraft.picked_up.oak_sapling: #32, 1(0%)
minecraft.dropped.arrow: #32, 1(0%)
minecraft.dropped.carved_pumpkin: #33, 2(0%)
minecraft.used.potion: #33, 1(0%)
minecraft.mined.oak_log: #33, 5(0%)
minecraft.picked_up.firework_rocket: #34, 172(0%)
minecraft.dropped.bow: #34, 1(0%)
minecraft.mined.oak_leaves: #34, 3(0%)
minecraft.custom.aviate_one_cm: #35, 3887136(0%)
minecraft.picked_up.bow: #35, 1(0%)
minecraft.crafted.oak_planks: #35, 20(0%)
minecraft.picked_up.oak_log: #35, 5(0%)
minecraft.used.dirt: #35, 5(0%)
minecraft.dropped.elytra: #36, 1(0%)
minecraft.picked_up.diamond_boots: #36, 1(0%)
minecraft.used.elytra: #36, 1(0%)
minecraft.used.firework_rocket: #36, 169(0%)
minecraft.mined.crafting_table: #36, 1(0%)
minecraft.used.bow: #36, 1(0%)
minecraft.mined.grass: #36, 1(0%)
minecraft.mined.grass_block: #36, 1(0%)
minecraft.crafted.crafting_table: #37, 1(0%)
minecraft.picked_up.crafting_table: #37, 1(0%)
minecraft.used.crafting_table: #37, 1(0%)
minecraft.dropped.firework_rocket: #37, 18(0%)
minecraft.picked_up.arrow: #37, 1(0%)
minecraft.picked_up.dirt: #37, 5(0%)
minecraft.mined.dirt: #37, 4(0%)
minecraft.killed_by.player: #38, 1(0%)
minecraft.custom.interact_with_lectern: #38, 2(0%)
minecraft.custom.drop: #38, 45(0%)
minecraft.picked_up.carved_pumpkin: #38, 3(0%)
minecraft.crafted.stick: #38, 4(0%)
minecraft.custom.swim_one_cm: #39, 8813(0%)
minecraft.custom.open_enderchest: #39, 3(0%)
minecraft.custom.jump: #40, 1950(0%)
minecraft.custom.interact_with_crafting_table: #40, 1(0%)
minecraft.picked_up.elytra: #41, 1(0%)
minecraft.custom.fall_one_cm: #41, 42447(0%)
minecraft.custom.sprint_one_cm: #41, 288165(0%)
minecraft.custom.open_shulker_box: #41, 19(0%)
minecraft.custom.damage_taken: #42, 1898(0%)
minecraft.custom.open_barrel: #42, 11(0%)
minecraft.custom.walk_on_water_one_cm: #43, 43271(0%)
minecraft.custom.time_since_death: #44, 67754(0%)
minecraft.custom.open_chest: #44, 10(0%)
minecraft.custom.crouch_one_cm: #44, 3885(0%)
minecraft.custom.walk_one_cm: #45, 115687(0%)
minecraft.custom.climb_one_cm: #46, 346(0%)
minecraft.custom.damage_dealt: #47, 9(0%)
minecraft.custom.deaths: #48, 1(0%)
minecraft.custom.fly_one_cm: #56, 467591(0%)
minecraft.custom.walk_under_water_one_cm: #59, 2677(0%)
minecraft.custom.sneak_time: #63, 2745(0%)
minecraft.custom.play_time: #66, 87459(0%)
minecraft.custom.total_world_time: #66, 87459(0%)
minecraft.custom.leave_game: #71, 1(0%)
