stat, rank, value, (percentage) 
minecraft.mined.prismarine: #1, 4135(54%)
minecraft.used.cyan_bed: #1, 432(63%)
minecraft.mined.prismarine_bricks: #1, 3157(38%)
minecraft.picked_up.cyan_bed: #1, 432(63%)
minecraft.picked_up.prismarine_shard: #1, 5783(55%)
minecraft.mined.cyan_bed: #1, 425(67%)
minecraft.used.quartz_pillar: #1, 4146(40%)
minecraft.used.prismarine: #1, 4837(46%)
minecraft.custom.player_kills: #1, 207(21%)
minecraft.picked_up.cod: #1, 1245(32%)
minecraft.used.wooden_sword: #1, 1191(31%)
minecraft.dropped.wheat: #1, 906(28%)
minecraft.used.spruce_wood: #1, 5988(33%)
minecraft.dropped.prismarine_shard: #1, 4324(60%)
minecraft.picked_up.prismarine: #1, 3198(31%)
minecraft.used.pink_stained_glass: #1, 4555(46%)
minecraft.mined.dirt_path: #1, 1380(20%)
minecraft.picked_up.prismarine_bricks: #2, 2822(26%)
minecraft.mined.cobblestone_stairs: #1, 303(24%)
minecraft.crafted.cherry_planks: #1, 1188(26%)
minecraft.crafted.cherry_fence: #1, 417(85%)
minecraft.mined.spruce_wood: #1, 588(31%)
minecraft.used.pink_wool: #1, 2900(31%)
minecraft.used.oxidized_cut_copper: #1, 741(27%)
minecraft.used.cyan_glazed_terracotta: #1, 111(97%)
minecraft.crafted.sea_lantern: #1, 8131(48%)
minecraft.dropped.composter: #1, 32(34%)
minecraft.dropped.sandstone_slab: #1, 262(52%)
minecraft.picked_up.cherry_fence: #1, 96(77%)
minecraft.mined.dark_prismarine: #1, 292(19%)
minecraft.used.pink_glazed_terracotta: #1, 2280(89%)
minecraft.crafted.sandstone_slab: #1, 2034(44%)
minecraft.used.cherry_fence: #1, 400(85%)
minecraft.crafted.spruce_wood: #2, 4805(23%)
minecraft.dropped.pink_dye: #1, 128(51%)
minecraft.mined.cherry_fence: #1, 97(82%)
minecraft.used.mossy_stone_bricks: #2, 975(24%)
minecraft.picked_up.prismarine_crystals: #2, 1228(22%)
minecraft.used.lilac: #1, 124(17%)
minecraft.picked_up.spruce_wood: #1, 593(18%)
minecraft.mined.sea_lantern: #1, 315(16%)
minecraft.dropped.green_concrete: #1, 82(47%)
minecraft.crafted.prismarine: #1, 6275(40%)
minecraft.used.cobblestone: #2, 13728(13%)
minecraft.mined.quartz_pillar: #2, 423(21%)
minecraft.dropped.sponge: #1, 180(49%)
minecraft.broken.stone_hoe: #1, 8(31%)
minecraft.used.diorite: #2, 3322(14%)
minecraft.used.cherry_slab: #1, 176(78%)
minecraft.dropped.prismarine_crystals: #2, 1163(29%)
minecraft.dropped.pink_stained_glass: #1, 321(51%)
minecraft.used.sandstone_slab: #1, 1882(29%)
minecraft.crafted.cherry_slab: #1, 222(47%)
minecraft.used.stone_hoe: #2, 1149(19%)
minecraft.mined.potted_dandelion: #1, 7(70%)
minecraft.used.pink_candle: #1, 39(56%)
minecraft.dropped.black_dye: #2, 352(29%)
minecraft.used.peony: #2, 59(18%)
minecraft.used.prismarine_slab: #1, 1117(66%)
minecraft.picked_up.prismarine_wall: #1, 14(33%)
minecraft.crafted.prismarine_bricks: #1, 5536(36%)
minecraft.dropped.bowl: #2, 41(17%)
minecraft.mined.prismarine_wall: #1, 10(30%)
minecraft.dropped.prismarine_bricks: #2, 396(28%)
minecraft.mined.potted_white_tulip: #1, 12(80%)
minecraft.mined.smooth_sandstone: #2, 1289(17%)
minecraft.dropped.prismarine: #2, 318(26%)
minecraft.picked_up.oxidized_cut_copper: #2, 108(18%)
minecraft.mined.black_wall_banner: #1, 40(29%)
minecraft.crafted.beetroot_soup: #1, 4(57%)
minecraft.mined.oxidized_cut_copper: #2, 87(20%)
minecraft.used.spruce_planks: #3, 9299(13%)
minecraft.used.prismarine_stairs: #1, 161(55%)
minecraft.mined.cyan_glazed_terracotta: #1, 6(55%)
minecraft.broken.iron_pickaxe: #1, 18(8%)
minecraft.used.dark_oak_planks: #3, 4512(14%)
minecraft.picked_up.quartz_pillar: #2, 459(14%)
minecraft.crafted.cherry_pressure_plate: #1, 3(50%)
minecraft.crafted.quartz_pillar: #3, 4879(20%)
minecraft.used.mushroom_stew: #1, 38(26%)
minecraft.used.prismarine_bricks: #2, 1475(13%)
minecraft.mined.potted_red_tulip: #1, 3(60%)
minecraft.picked_up.glow_lichen: #2, 4360(11%)
minecraft.mined.cherry_slab: #1, 12(86%)
minecraft.picked_up.wooden_sword: #2, 114(11%)
minecraft.picked_up.cod_bucket: #1, 11(85%)
minecraft.used.enchanted_book: #1, 40(42%)
minecraft.used.dark_prismarine: #2, 1726(15%)
minecraft.crafted.dark_prismarine: #2, 6272(26%)
minecraft.used.beetroot_soup: #1, 2(40%)
minecraft.mined.pink_candle: #1, 4(80%)
minecraft.picked_up.sandstone_slab: #2, 402(22%)
minecraft.mined.potted_oxeye_daisy: #1, 4(50%)
minecraft.picked_up.pink_bed: #2, 131(18%)
minecraft.crafted.pink_carpet: #2, 1653(17%)
minecraft.used.smooth_quartz_stairs: #3, 1295(13%)
minecraft.used.spruce_leaves: #3, 5913(13%)
minecraft.killed.player: #3, 207(10%)
