stat, rank, value, (percentage) 
minecraft.mined.oak_sapling: #1, 835(72%)
minecraft.custom.interact_with_lectern: #1, 4473(41%)
minecraft.mined.pumpkin: #1, 5117(51%)
minecraft.used.azalea: #1, 2723(50%)
minecraft.crafted.hopper_minecart: #1, 2474(55%)
minecraft.picked_up.brain_coral_fan: #1, 1336(66%)
minecraft.mined.brain_coral_wall_fan: #1, 1213(65%)
minecraft.picked_up.stripped_dark_oak_log: #1, 3593(46%)
minecraft.used.oak_sapling: #1, 15637(44%)
minecraft.mined.horn_coral_wall_fan: #1, 1081(64%)
minecraft.used.azalea_leaves: #1, 18653(45%)
minecraft.used.gray_stained_glass: #1, 18777(67%)
minecraft.picked_up.hopper_minecart: #1, 2851(62%)
minecraft.picked_up.horn_coral_fan: #1, 1215(65%)
minecraft.used.andesite_wall: #1, 10032(64%)
minecraft.mined.stripped_dark_oak_log: #1, 3377(46%)
minecraft.mined.oak_log: #1, 35941(32%)
minecraft.crafted.gray_stained_glass: #1, 22056(57%)
minecraft.used.grass_block: #1, 200503(36%)
minecraft.dropped.apple: #1, 764(48%)
minecraft.used.experience_bottle: #1, 17424(42%)
minecraft.crafted.blue_concrete_powder: #1, 10504(63%)
minecraft.custom.trigger_trapped_chest: #1, 364(44%)
minecraft.mined.bubble_coral_wall_fan: #1, 1153(55%)
minecraft.mined.fire_coral_wall_fan: #1, 1203(60%)
minecraft.crafted.minecart: #1, 2498(38%)
minecraft.picked_up.glow_item_frame: #1, 743(43%)
minecraft.mined.red_concrete_powder: #1, 960(73%)
minecraft.dropped.birch_fence: #1, 316(78%)
minecraft.picked_up.fire_coral_fan: #1, 1301(59%)
minecraft.picked_up.bubble_coral_fan: #1, 1322(50%)
minecraft.used.mangrove_leaves: #1, 5224(48%)
minecraft.used.tube_coral_block: #1, 1130(71%)
minecraft.mined.brain_coral_fan: #1, 244(66%)
minecraft.used.brain_coral: #1, 157(69%)
minecraft.dropped.oak_sign: #1, 271(48%)
minecraft.used.rose_bush: #1, 492(38%)
minecraft.mined.pink_petals: #1, 1225(53%)
minecraft.picked_up.horn_coral: #1, 193(56%)
minecraft.picked_up.pink_petals: #1, 4018(50%)
minecraft.picked_up.golden_carrot: #1, 8575(22%)
minecraft.mined.oak_leaves: #2, 43881(30%)
minecraft.crafted.golden_carrot: #1, 28482(38%)
minecraft.mined.horn_coral: #1, 202(53%)
minecraft.picked_up.tube_coral_fan: #1, 1065(47%)
minecraft.mined.horn_coral_fan: #1, 222(60%)
minecraft.used.brain_coral_fan: #1, 385(63%)
minecraft.used.bubble_coral_fan: #1, 491(63%)
minecraft.mined.brain_coral: #1, 203(51%)
minecraft.used.crimson_roots: #1, 731(87%)
minecraft.crafted.stripped_dark_oak_wood: #1, 1051(87%)
minecraft.crafted.polished_blackstone_stairs: #1, 388(54%)
minecraft.crafted.polished_andesite: #1, 18192(33%)
minecraft.used.chorus_fruit: #1, 141(36%)
minecraft.mined.tube_coral_wall_fan: #1, 1007(48%)
minecraft.crafted.sandstone_wall: #1, 1483(72%)
minecraft.picked_up.fire_coral: #1, 235(53%)
minecraft.dropped.dark_oak_sign: #1, 159(43%)
minecraft.picked_up.dead_tube_coral_block: #1, 1401(85%)
minecraft.mined.light_gray_concrete_powder: #1, 2266(53%)
minecraft.picked_up.oak_leaves: #2, 34634(34%)
minecraft.used.oak_leaves: #2, 28039(36%)
minecraft.mined.fire_coral: #1, 252(52%)
minecraft.picked_up.diamond_boots: #1, 221(23%)
minecraft.picked_up.smooth_quartz_stairs: #1, 577(33%)
minecraft.mined.azalea_leaves: #1, 24955(31%)
minecraft.used.moss_carpet: #1, 5928(27%)
minecraft.crafted.light_gray_wool: #1, 2858(43%)
minecraft.crafted.brown_shulker_box: #1, 115(39%)
minecraft.picked_up.bubble_coral: #1, 185(48%)
minecraft.picked_up.azalea_leaves: #1, 24278(32%)
minecraft.used.golden_carrot: #1, 10112(18%)
minecraft.picked_up.diamond_leggings: #1, 229(22%)
minecraft.used.bubble_coral_block: #1, 1622(74%)
minecraft.mined.bubble_coral_fan: #1, 286(54%)
minecraft.picked_up.diamond_pickaxe: #1, 366(20%)
minecraft.mined.stripped_jungle_log: #1, 1842(42%)
minecraft.crafted.birch_door: #1, 87(54%)
minecraft.used.horn_coral: #1, 264(80%)
minecraft.picked_up.brain_coral: #1, 189(54%)
minecraft.mined.bubble_coral: #1, 197(47%)
minecraft.dropped.grass: #1, 256(47%)
minecraft.dropped.pumpkin_seeds: #1, 10155(38%)
minecraft.used.yellow_stained_glass: #1, 5789(47%)
minecraft.picked_up.flowering_azalea_leaves: #1, 8140(28%)
minecraft.crafted.smooth_stone_slab: #1, 4394(33%)
minecraft.used.stripped_dark_oak_wood: #1, 1371(52%)
minecraft.dropped.diamond: #2, 2341(28%)
minecraft.used.stripped_dark_oak_log: #1, 1815(37%)
minecraft.picked_up.jungle_stairs: #1, 750(77%)
minecraft.used.brain_coral_block: #1, 1067(59%)
minecraft.used.smooth_quartz_stairs: #1, 2884(29%)
