stat, rank, value, (percentage) 
minecraft.picked_up.name_tag: #1, 2002(81%)
minecraft.picked_up.flower_pot: #1, 1689(60%)
minecraft.dropped.ink_sac: #1, 18489(80%)
minecraft.dropped.name_tag: #1, 572(75%)
minecraft.mined.crimson_planks: #1, 1844(62%)
minecraft.dropped.dried_kelp: #1, 4236(96%)
minecraft.crafted.flower_pot: #1, 3477(56%)
minecraft.picked_up.crimson_planks: #1, 2452(48%)
minecraft.dropped.salmon: #1, 1424(84%)
minecraft.used.crimson_planks: #1, 5500(53%)
minecraft.picked_up.map: #1, 1374(80%)
minecraft.custom.play_noteblock: #1, 2518(43%)
minecraft.picked_up.experience_bottle: #1, 1745(56%)
minecraft.picked_up.salmon: #1, 1079(43%)
minecraft.picked_up.bricks: #1, 5577(51%)
minecraft.picked_up.birch_slab: #1, 1271(54%)
minecraft.picked_up.oak_stairs: #1, 1288(43%)
minecraft.dropped.quartz_block: #1, 6282(72%)
minecraft.picked_up.lantern: #1, 2466(32%)
minecraft.picked_up.acacia_wood: #1, 506(52%)
minecraft.picked_up.dried_kelp: #1, 4143(93%)
minecraft.mined.redstone_torch: #1, 1132(40%)
minecraft.used.magenta_stained_glass: #1, 6136(76%)
minecraft.dropped.dripstone_block: #1, 1411(52%)
minecraft.picked_up.waxed_oxidized_copper: #1, 1036(90%)
minecraft.picked_up.mangrove_planks: #1, 740(47%)
minecraft.picked_up.ink_sac: #1, 16742(32%)
minecraft.dropped.lantern: #1, 1100(48%)
minecraft.crafted.glass_pane: #1, 10697(43%)
minecraft.crafted.name_tag: #1, 2290(58%)
minecraft.picked_up.quartz_pillar: #1, 1337(42%)
minecraft.crafted.brown_concrete_powder: #1, 3680(48%)
minecraft.dropped.slime_block: #1, 1702(56%)
minecraft.dropped.glass: #1, 8364(40%)
minecraft.picked_up.waxed_weathered_copper: #1, 1527(51%)
minecraft.dropped.birch_slab: #1, 560(86%)
minecraft.dropped.green_terracotta: #1, 971(66%)
minecraft.picked_up.cherry_leaves: #1, 12093(50%)
minecraft.dropped.golden_carrot: #1, 2538(24%)
minecraft.mined.cherry_leaves: #1, 13148(41%)
minecraft.dropped.sculk: #1, 2688(74%)
minecraft.mined.waxed_oxidized_copper: #1, 807(89%)
minecraft.picked_up.glass_pane: #1, 1048(37%)
minecraft.dropped.light_gray_terracotta: #1, 742(50%)
minecraft.crafted.lapis_lazuli: #1, 13703(32%)
minecraft.picked_up.cartography_table: #1, 106(41%)
minecraft.crafted.light_blue_concrete_powder: #1, 3644(45%)
minecraft.picked_up.green_glazed_terracotta: #1, 623(69%)
minecraft.dropped.quartz_pillar: #1, 2168(95%)
minecraft.dropped.birch_planks: #1, 672(30%)
minecraft.dropped.stone_pickaxe: #1, 35(30%)
minecraft.picked_up.bookshelf: #1, 776(30%)
minecraft.custom.fish_caught: #1, 313(62%)
minecraft.picked_up.magenta_stained_glass: #1, 879(39%)
minecraft.mined.oak_stairs: #1, 461(28%)
minecraft.crafted.lantern: #1, 3143(24%)
minecraft.mined.cocoa: #1, 1887(29%)
minecraft.dropped.mangrove_planks: #1, 162(52%)
minecraft.crafted.cyan_glazed_terracotta: #1, 729(72%)
minecraft.dropped.experience_bottle: #1, 1624(72%)
minecraft.crafted.dried_kelp_block: #1, 3315(45%)
minecraft.dropped.magenta_stained_glass: #1, 231(51%)
minecraft.dropped.cyan_terracotta: #1, 861(44%)
minecraft.dropped.glass_pane: #1, 624(47%)
minecraft.crafted.magenta_concrete_powder: #1, 3776(57%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #1, 130(57%)
minecraft.picked_up.cooked_salmon: #1, 247(40%)
minecraft.crafted.magenta_stained_glass: #1, 7992(61%)
minecraft.picked_up.waxed_exposed_copper: #1, 675(51%)
minecraft.dropped.map: #1, 274(56%)
minecraft.picked_up.honeycomb: #1, 2244(29%)
minecraft.crafted.orange_glazed_terracotta: #1, 720(95%)
minecraft.dropped.glowstone: #1, 1139(51%)
minecraft.dropped.cooked_salmon: #1, 139(55%)
minecraft.picked_up.cocoa_beans: #1, 8453(26%)
minecraft.mined.waxed_weathered_copper: #1, 810(41%)
minecraft.dropped.mangrove_slab: #1, 202(81%)
minecraft.mined.magenta_stained_glass: #1, 173(34%)
minecraft.killed.iron_golem: #1, 123(49%)
minecraft.picked_up.dripstone_block: #1, 3921(26%)
minecraft.picked_up.raw_copper: #1, 54075(19%)
minecraft.dropped.brick: #1, 1435(44%)
minecraft.mined.mangrove_trapdoor: #2, 687(35%)
minecraft.mined.acacia_wood: #1, 150(34%)
minecraft.dropped.oak_sapling: #1, 681(22%)
minecraft.picked_up.acacia_log: #1, 8143(22%)
minecraft.crafted.lime_glazed_terracotta: #1, 615(85%)
minecraft.picked_up.glass: #1, 13635(21%)
minecraft.picked_up.cyan_glazed_terracotta: #1, 624(98%)
minecraft.crafted.cooked_salmon: #1, 382(45%)
minecraft.dropped.golden_apple: #1, 106(29%)
minecraft.dropped.lime_terracotta: #1, 483(48%)
minecraft.dropped.birch_button: #1, 73(65%)
minecraft.dropped.lapis_lazuli: #1, 1158(26%)
minecraft.dropped.brown_glazed_terracotta: #1, 628(96%)
minecraft.mined.waxed_exposed_copper: #1, 600(52%)
minecraft.killed.salmon: #1, 370(23%)
minecraft.used.experience_bottle: #2, 10646(26%)
minecraft.picked_up.copper_block: #1, 2567(21%)
minecraft.used.birch_slab: #1, 1315(30%)
minecraft.crafted.purple_concrete_powder: #1, 3576(35%)
minecraft.used.book: #1, 671(56%)
minecraft.used.fishing_rod: #1, 883(28%)
minecraft.picked_up.white_dye: #1, 981(22%)
minecraft.used.cherry_wood: #1, 768(69%)
minecraft.used.chiseled_bookshelf: #1, 342(46%)
minecraft.picked_up.grindstone: #1, 237(22%)
minecraft.used.cooked_salmon: #1, 295(29%)
minecraft.used.glowstone: #1, 2117(22%)
minecraft.picked_up.lime_concrete_powder: #1, 224(29%)
minecraft.dropped.black_glazed_terracotta: #1, 590(90%)
minecraft.dropped.pink_terracotta: #1, 472(90%)
minecraft.dropped.mangrove_trapdoor: #1, 28(60%)
minecraft.dropped.stripped_oak_wood: #1, 39(76%)
minecraft.crafted.cherry_wood: #1, 921(67%)
minecraft.crafted.copper_ingot: #1, 16977(21%)
minecraft.mined.cartography_table: #1, 46(29%)
minecraft.dropped.polished_diorite: #1, 450(38%)
minecraft.dropped.baked_potato: #1, 105(35%)
minecraft.picked_up.mangrove_trapdoor: #2, 635(30%)
minecraft.picked_up.dried_kelp_block: #1, 234(52%)
minecraft.dropped.deepslate_tile_slab: #1, 250(32%)
minecraft.used.sculk_shrieker: #1, 300(40%)
minecraft.dropped.gray_terracotta: #1, 637(57%)
minecraft.used.honeycomb: #1, 2494(22%)
minecraft.picked_up.waxed_copper_block: #1, 438(32%)
minecraft.mined.birch_slab: #1, 169(30%)
minecraft.picked_up.ender_eye: #1, 58(39%)
minecraft.crafted.quartz_pillar: #1, 6325(27%)
minecraft.dropped.yellow_terracotta: #1, 186(34%)
minecraft.picked_up.birch_fence: #1, 577(23%)
minecraft.used.cocoa_beans: #1, 2341(23%)
minecraft.dropped.bricks: #1, 923(39%)
minecraft.dropped.bookshelf: #1, 648(56%)
minecraft.dropped.rail: #2, 1436(25%)
minecraft.picked_up.iron_ore: #1, 4245(17%)
minecraft.used.cyan_terracotta: #1, 11549(17%)
minecraft.crafted.chiseled_bookshelf: #1, 311(38%)
minecraft.picked_up.golden_apple: #1, 186(21%)
minecraft.dropped.crimson_stem: #1, 1453(35%)
minecraft.mined.polished_granite: #1, 371(22%)
minecraft.mined.dirt: #1, 125280(13%)
minecraft.dropped.honeycomb: #1, 1366(44%)
minecraft.dropped.cherry_planks: #1, 64(69%)
minecraft.crafted.birch_slab: #1, 1673(18%)
minecraft.dropped.black_terracotta: #1, 741(53%)
minecraft.picked_up.dirt: #1, 149089(13%)
minecraft.dropped.bamboo_block: #1, 231(68%)
minecraft.crafted.smooth_quartz_slab: #1, 2398(28%)
minecraft.picked_up.sculk_shrieker: #2, 391(27%)
minecraft.picked_up.mangrove_slab: #1, 389(21%)
minecraft.mined.grindstone: #1, 96(20%)
minecraft.mined.quartz_pillar: #1, 448(22%)
minecraft.crafted.blue_stained_glass: #1, 1728(27%)
minecraft.picked_up.calcite: #1, 7815(16%)
minecraft.used.red_sand: #2, 543(31%)
minecraft.crafted.lime_banner: #1, 173(66%)
minecraft.dropped.glowstone_dust: #1, 1373(25%)
minecraft.used.soul_soil: #2, 3277(28%)
minecraft.mined.deepslate_copper_ore: #1, 550(19%)
minecraft.dropped.spruce_fence: #1, 144(23%)
minecraft.dropped.pufferfish: #1, 35(44%)
minecraft.crafted.cyan_terracotta: #1, 11385(18%)
minecraft.dropped.green_stained_glass: #1, 46(63%)
minecraft.crafted.sponge: #1, 2238(44%)
minecraft.used.tuff: #1, 6948(15%)
minecraft.picked_up.oak_wood: #1, 307(29%)
minecraft.mined.waxed_copper_block: #1, 331(27%)
minecraft.dropped.crimson_planks: #1, 133(31%)
minecraft.dropped.light_blue_concrete_powder: #1, 96(62%)
minecraft.crafted.brown_dye: #2, 2501(21%)
minecraft.crafted.crimson_fence: #1, 795(27%)
minecraft.dropped.spruce_wood: #1, 409(54%)
minecraft.custom.traded_with_villager: #1, 109381(17%)
minecraft.picked_up.brown_glazed_terracotta: #2, 628(38%)
minecraft.dropped.light_blue_terracotta: #1, 1005(85%)
minecraft.picked_up.grass_block: #2, 115415(16%)
minecraft.mined.chiseled_quartz_block: #1, 59(36%)
minecraft.picked_up.birch_wood: #1, 133(27%)
minecraft.dropped.stonecutter: #1, 17(33%)
minecraft.mined.crimson_slab: #2, 675(29%)
minecraft.picked_up.brown_concrete_powder: #1, 254(22%)
minecraft.dropped.azalea_leaves: #1, 875(26%)
minecraft.picked_up.jungle_wood: #1, 121(47%)
minecraft.used.lime_banner: #1, 97(70%)
minecraft.mined.copper_ore: #1, 8860(13%)
minecraft.picked_up.raw_copper_block: #1, 520(23%)
minecraft.picked_up.crimson_slab: #2, 1263(27%)
minecraft.picked_up.campfire: #1, 295(19%)
minecraft.picked_up.mangrove_stairs: #1, 72(27%)
minecraft.crafted.red_glazed_terracotta: #1, 978(45%)
minecraft.used.emerald_ore: #1, 66(29%)
minecraft.mined.birch_fence: #1, 239(19%)
minecraft.mined.chiseled_bookshelf: #1, 67(58%)
minecraft.picked_up.sculk: #1, 8441(20%)
minecraft.picked_up.oak_door: #1, 30(19%)
minecraft.picked_up.cooked_cod: #2, 174(28%)
minecraft.crafted.light_gray_concrete_powder: #1, 11632(21%)
minecraft.picked_up.redstone_torch: #2, 1506(18%)
minecraft.mined.stripped_cherry_wood: #1, 21(66%)
minecraft.used.cherry_leaves: #1, 2311(30%)
minecraft.picked_up.golden_carrot: #2, 4474(11%)
minecraft.picked_up.spruce_hanging_sign: #1, 20(49%)
minecraft.picked_up.acacia_slab: #1, 164(28%)
minecraft.crafted.diamond_helmet: #1, 18(15%)
minecraft.dropped.oak_wood: #1, 118(55%)
minecraft.crafted.light_blue_glazed_terracotta: #1, 599(96%)
minecraft.picked_up.mangrove_wood: #1, 199(32%)
minecraft.used.cartography_table: #1, 53(24%)
minecraft.picked_up.cherry_planks: #1, 124(38%)
minecraft.used.crimson_fence: #1, 537(25%)
minecraft.crafted.pink_concrete_powder: #1, 3928(29%)
minecraft.used.salmon: #1, 15(38%)
minecraft.picked_up.cherry_log: #2, 2069(22%)
minecraft.crafted.jungle_fence_gate: #1, 125(26%)
minecraft.picked_up.stripped_mangrove_wood: #1, 210(26%)
minecraft.used.egg: #3, 6929(19%)
minecraft.crafted.birch_fence_gate: #2, 325(29%)
minecraft.picked_up.magenta_dye: #1, 337(33%)
minecraft.picked_up.lime_banner: #1, 135(73%)
minecraft.dropped.brown_terracotta: #1, 175(20%)
minecraft.crafted.smooth_quartz: #2, 4862(21%)
minecraft.picked_up.light_gray_dye: #1, 455(26%)
minecraft.picked_up.chiseled_bookshelf: #1, 59(51%)
minecraft.dropped.raw_copper: #2, 2332(24%)
minecraft.used.coal_ore: #1, 3199(12%)
minecraft.picked_up.dark_oak_planks: #2, 2669(14%)
minecraft.dropped.campfire: #1, 100(44%)
minecraft.mined.calcite: #1, 5944(13%)
minecraft.used.spruce_hanging_sign: #1, 26(44%)
minecraft.picked_up.orange_glazed_terracotta: #1, 82(35%)
minecraft.dropped.diamond_axe: #1, 22(12%)
minecraft.picked_up.black_glazed_terracotta: #2, 620(41%)
minecraft.picked_up.fishing_rod: #1, 23(21%)
minecraft.picked_up.bowl: #1, 68(18%)
minecraft.picked_up.diamond_helmet: #2, 65(13%)
minecraft.picked_up.soul_soil: #2, 5180(18%)
minecraft.dropped.magenta_dye: #1, 63(68%)
