stat, rank, value, (percentage) 
minecraft.used.crossbow: #9, 27(2%)
minecraft.used.diamond_chestplate: #14, 1(1%)
minecraft.dropped.stone_pressure_plate: #14, 3(1%)
minecraft.crafted.leather_horse_armor: #15, 1(1%)
minecraft.picked_up.bamboo_raft: #15, 1(0%)
minecraft.used.bamboo_raft: #15, 1(0%)
minecraft.picked_up.pitcher_pod: #15, 1(0%)
minecraft.picked_up.stone_pressure_plate: #16, 4(1%)
minecraft.used.honey_bottle: #17, 6(1%)
minecraft.used.netherite_boots: #17, 1(0%)
minecraft.picked_up.goat_horn: #18, 3(1%)
minecraft.custom.damage_resisted: #18, 975(0%)
minecraft.used.iron_boots: #19, 1(1%)
minecraft.custom.interact_with_cartography_table: #19, 1(0%)
minecraft.custom.horse_one_cm: #20, 415785(1%)
minecraft.dropped.bundle: #20, 2(0%)
minecraft.used.iron_chestplate: #21, 1(1%)
minecraft.dropped.netherite_boots: #21, 1(1%)
minecraft.used.iron_helmet: #21, 1(1%)
minecraft.picked_up.trident: #21, 1(0%)
minecraft.used.bundle: #21, 4(0%)
minecraft.used.stone_pressure_plate: #21, 1(0%)
minecraft.used.trident: #21, 4(0%)
minecraft.custom.interact_with_smithing_table: #22, 6(0%)
minecraft.dropped.filled_map: #22, 105(0%)
minecraft.picked_up.bundle: #22, 2(0%)
minecraft.dropped.cyan_shulker_box: #23, 1(1%)
minecraft.picked_up.netherite_boots: #23, 1(0%)
minecraft.picked_up.filled_map: #23, 116(0%)
minecraft.killed_by.ravager: #24, 6(0%)
minecraft.used.diamond_leggings: #24, 1(0%)
minecraft.picked_up.iron_sword: #24, 1(0%)
minecraft.custom.target_hit: #24, 8(0%)
minecraft.picked_up.diamond_chestplate: #24, 1(0%)
minecraft.picked_up.sweet_berries: #24, 35(0%)
minecraft.custom.interact_with_blast_furnace: #24, 5(0%)
minecraft.picked_up.emerald: #24, 64(0%)
minecraft.used.nether_bricks: #24, 2(0%)
minecraft.used.iron_leggings: #25, 1(1%)
minecraft.picked_up.cyan_shulker_box: #25, 9(0%)
minecraft.custom.minecart_one_cm: #25, 60370(0%)
minecraft.used.blackstone: #25, 2(0%)
minecraft.used.carved_pumpkin: #26, 3(0%)
minecraft.used.sweet_berries: #26, 26(0%)
minecraft.picked_up.nether_bricks: #26, 2(0%)
minecraft.mined.nether_bricks: #26, 2(0%)
minecraft.picked_up.iron_helmet: #27, 1(1%)
minecraft.used.snowball: #27, 16(0%)
minecraft.picked_up.iron_chestplate: #27, 1(0%)
minecraft.used.cyan_shulker_box: #27, 8(0%)
minecraft.used.cooked_porkchop: #27, 23(0%)
minecraft.used.basalt: #27, 5(0%)
minecraft.custom.boat_one_cm: #28, 862223(0%)
minecraft.picked_up.saddle: #28, 1(0%)
minecraft.picked_up.splash_potion: #28, 1(0%)
minecraft.used.iron_sword: #28, 12(0%)
minecraft.used.splash_potion: #28, 1(0%)
minecraft.mined.cyan_shulker_box: #28, 4(0%)
minecraft.picked_up.iron_nugget: #28, 35(0%)
minecraft.mined.coarse_dirt: #28, 1(0%)
minecraft.picked_up.coarse_dirt: #28, 1(0%)
minecraft.picked_up.blackstone: #28, 2(0%)
minecraft.used.elytra: #29, 3(0%)
minecraft.picked_up.red_shulker_box: #29, 13(0%)
minecraft.picked_up.compass: #29, 4(0%)
minecraft.mined.red_shulker_box: #29, 11(0%)
minecraft.used.red_shulker_box: #29, 11(0%)
minecraft.mined.carved_pumpkin: #29, 1(0%)
minecraft.dropped.gunpowder: #29, 2(0%)
minecraft.picked_up.basalt: #29, 5(0%)
minecraft.used.coarse_dirt: #29, 1(0%)
minecraft.custom.inspect_dispenser: #30, 2(0%)
minecraft.dropped.glass_bottle: #31, 2(0%)
minecraft.dropped.iron_nugget: #31, 3(0%)
minecraft.picked_up.golden_carrot: #32, 77(0%)
minecraft.picked_up.totem_of_undying: #32, 1(0%)
minecraft.picked_up.potion: #32, 1(0%)
minecraft.custom.open_enderchest: #32, 17(0%)
minecraft.picked_up.glass_bottle: #32, 1(0%)
minecraft.picked_up.spruce_log: #32, 7(0%)
minecraft.used.oak_log: #32, 1(0%)
minecraft.picked_up.stone: #32, 8(0%)
minecraft.dropped.diamond_sword: #33, 1(1%)
minecraft.used.golden_carrot: #33, 19(0%)
minecraft.used.bow: #33, 3(0%)
minecraft.picked_up.gunpowder: #33, 4(0%)
minecraft.picked_up.pumpkin: #33, 1(0%)
minecraft.picked_up.snowball: #33, 16(0%)
minecraft.used.stone: #33, 8(0%)
minecraft.killed.player: #34, 1(0%)
minecraft.picked_up.carved_pumpkin: #34, 9(0%)
minecraft.custom.open_barrel: #34, 42(0%)
minecraft.used.player_head: #34, 1(0%)
minecraft.used.potion: #34, 1(0%)
minecraft.crafted.spruce_planks: #34, 4(0%)
minecraft.custom.deaths: #35, 9(0%)
minecraft.custom.player_kills: #35, 1(0%)
minecraft.custom.sprint_one_cm: #35, 1299421(0%)
minecraft.custom.jump: #35, 3997(0%)
minecraft.custom.interact_with_lectern: #35, 5(0%)
minecraft.custom.open_shulker_box: #35, 115(0%)
minecraft.killed.skeleton: #35, 1(0%)
minecraft.mined.oak_log: #35, 1(0%)
minecraft.custom.damage_taken: #36, 5428(0%)
minecraft.custom.fall_one_cm: #36, 77966(0%)
minecraft.dropped.carved_pumpkin: #36, 1(0%)
minecraft.custom.crouch_one_cm: #36, 110640(0%)
minecraft.custom.aviate_one_cm: #36, 3664082(0%)
minecraft.custom.drop: #36, 58(0%)
minecraft.picked_up.cooked_porkchop: #36, 12(0%)
minecraft.used.cobblestone: #36, 1(0%)
minecraft.picked_up.diamond_leggings: #37, 1(0%)
minecraft.picked_up.diamond_sword: #37, 1(0%)
minecraft.custom.walk_one_cm: #37, 836890(0%)
minecraft.picked_up.oak_log: #37, 1(0%)
minecraft.crafted.crafting_table: #38, 1(0%)
minecraft.picked_up.bow: #38, 1(0%)
minecraft.used.firework_rocket: #38, 115(0%)
minecraft.used.crafting_table: #38, 1(0%)
minecraft.picked_up.arrow: #38, 1(0%)
minecraft.custom.mob_kills: #38, 3(0%)
minecraft.picked_up.crafting_table: #39, 1(0%)
minecraft.custom.climb_one_cm: #39, 5201(0%)
minecraft.custom.damage_dealt: #39, 311(0%)
minecraft.killed.zombie: #39, 1(0%)
minecraft.dropped.firework_rocket: #39, 1(0%)
minecraft.picked_up.cobblestone: #39, 1(0%)
minecraft.used.diamond_pickaxe: #39, 2(0%)
minecraft.killed_by.player: #40, 1(0%)
minecraft.custom.swim_one_cm: #40, 8681(0%)
minecraft.picked_up.player_head: #40, 1(0%)
minecraft.picked_up.diamond_pickaxe: #41, 1(0%)
minecraft.picked_up.elytra: #42, 1(0%)
minecraft.custom.open_chest: #42, 19(0%)
minecraft.picked_up.firework_rocket: #42, 1(0%)
minecraft.custom.walk_on_water_one_cm: #44, 42001(0%)
minecraft.custom.sneak_time: #45, 34383(0%)
minecraft.custom.fly_one_cm: #54, 689571(0%)
minecraft.custom.play_time: #56, 530316(0%)
minecraft.custom.total_world_time: #56, 530316(0%)
minecraft.custom.walk_under_water_one_cm: #56, 11695(0%)
minecraft.custom.leave_game: #58, 6(0%)
minecraft.custom.time_since_rest: #69, 460(0%)
minecraft.custom.time_since_death: #70, 421(0%)
