stat, rank, value, (percentage) 
minecraft.dropped.bell: #3, 2(6%)
minecraft.dropped.spyglass: #4, 4(11%)
minecraft.custom.bell_ring: #6, 194(7%)
minecraft.dropped.powder_snow_bucket: #7, 2(3%)
minecraft.used.powder_snow_bucket: #8, 71(1%)
minecraft.picked_up.music_disc_strad: #10, 2(2%)
minecraft.used.bell: #10, 5(1%)
minecraft.picked_up.leather_horse_armor: #10, 1(1%)
minecraft.used.goat_horn: #10, 2(1%)
minecraft.picked_up.cherry_leaves: #10, 39(0%)
minecraft.picked_up.spyglass: #11, 3(3%)
minecraft.used.music_disc_strad: #12, 1(1%)
minecraft.mined.brown_concrete_powder: #12, 1(1%)
minecraft.mined.lime_concrete_powder: #13, 4(2%)
minecraft.picked_up.jungle_boat: #13, 1(1%)
minecraft.picked_up.goat_horn: #14, 5(2%)
minecraft.used.music_disc_cat: #14, 2(1%)
minecraft.mined.pearlescent_froglight: #14, 4(0%)
minecraft.picked_up.bamboo_raft: #14, 1(0%)
minecraft.used.bamboo_raft: #14, 1(0%)
minecraft.used.gray_terracotta: #14, 8(0%)
minecraft.mined.mangrove_wall_sign: #15, 1(1%)
minecraft.mined.gray_terracotta: #15, 8(0%)
minecraft.picked_up.gray_terracotta: #15, 6(0%)
minecraft.custom.damage_resisted: #16, 1446(1%)
minecraft.picked_up.lime_concrete_powder: #16, 3(0%)
minecraft.used.leather_boots: #17, 1(1%)
minecraft.used.cooked_beef: #17, 45(0%)
minecraft.used.spyglass: #17, 22(0%)
minecraft.picked_up.brown_concrete_powder: #17, 1(0%)
minecraft.picked_up.light_gray_bed: #17, 1(0%)
minecraft.used.green_concrete: #17, 8(0%)
minecraft.picked_up.mangrove_sign: #18, 1(1%)
minecraft.picked_up.pearlescent_froglight: #18, 4(0%)
minecraft.picked_up.green_concrete: #18, 7(0%)
minecraft.used.cherry_log: #19, 1(0%)
minecraft.mined.green_concrete: #19, 6(0%)
minecraft.used.lime_concrete_powder: #19, 4(0%)
minecraft.custom.boat_one_cm: #20, 2596792(1%)
minecraft.dropped.netherite_pickaxe: #20, 2(1%)
minecraft.picked_up.music_disc_cat: #20, 4(1%)
minecraft.mined.dark_oak_wall_sign: #20, 2(0%)
minecraft.used.pearlescent_froglight: #20, 7(0%)
minecraft.used.crossbow: #21, 11(1%)
minecraft.killed_by.vex: #21, 2(1%)
minecraft.picked_up.music_disc_otherside: #21, 1(0%)
minecraft.used.brown_concrete_powder: #21, 1(0%)
minecraft.picked_up.snowball: #22, 508(0%)
minecraft.used.nether_bricks: #22, 5(0%)
minecraft.dropped.stone_bricks: #22, 2(0%)
minecraft.picked_up.cherry_log: #22, 1(0%)
minecraft.picked_up.tnt: #22, 2(0%)
minecraft.used.snowball: #23, 28(0%)
minecraft.dropped.compass: #23, 10(0%)
minecraft.picked_up.compass: #23, 10(0%)
minecraft.used.sweet_berries: #23, 32(0%)
minecraft.picked_up.sweet_berries: #23, 38(0%)
minecraft.picked_up.iron_nugget: #23, 64(0%)
minecraft.dropped.tropical_fish: #23, 2(0%)
minecraft.used.red_concrete: #23, 18(0%)
minecraft.used.tnt: #23, 1(0%)
minecraft.picked_up.dark_oak_sign: #24, 3(0%)
minecraft.custom.minecart_one_cm: #24, 60378(0%)
minecraft.used.smooth_quartz: #24, 19(0%)
minecraft.picked_up.nether_bricks: #24, 5(0%)
minecraft.used.blackstone: #24, 5(0%)
minecraft.used.elytra: #25, 4(0%)
minecraft.custom.target_hit: #25, 7(0%)
minecraft.picked_up.netherite_pickaxe: #25, 2(0%)
minecraft.mined.nether_bricks: #25, 5(0%)
minecraft.dropped.paper: #25, 3(0%)
minecraft.custom.horse_one_cm: #26, 231793(0%)
minecraft.custom.play_record: #26, 3(0%)
minecraft.picked_up.saddle: #26, 1(0%)
minecraft.used.dark_oak_sign: #26, 1(0%)
minecraft.picked_up.tropical_fish: #26, 2(0%)
minecraft.picked_up.blackstone: #26, 5(0%)
minecraft.killed_by.ravager: #27, 4(0%)
minecraft.picked_up.birch_boat: #27, 1(0%)
minecraft.picked_up.cyan_shulker_box: #27, 7(0%)
minecraft.picked_up.phantom_membrane: #27, 1(0%)
minecraft.used.bucket: #27, 63(0%)
minecraft.used.birch_boat: #28, 1(0%)
minecraft.custom.crouch_one_cm: #28, 423205(0%)
minecraft.used.cyan_shulker_box: #28, 7(0%)
minecraft.picked_up.stone_bricks: #28, 2(0%)
minecraft.custom.swim_one_cm: #29, 138616(0%)
minecraft.dropped.iron_nugget: #29, 5(0%)
minecraft.dropped.stone: #29, 2(0%)
minecraft.picked_up.pumpkin: #30, 3(0%)
minecraft.picked_up.stone: #30, 37(0%)
minecraft.custom.open_enderchest: #31, 19(0%)
