stat, rank, value, (percentage) 
minecraft.killed.blaze: #1, 14154(79%)
minecraft.picked_up.warped_fungus: #1, 6752(62%)
minecraft.picked_up.red_concrete_powder: #1, 13911(86%)
minecraft.dropped.moss_carpet: #1, 9180(56%)
minecraft.dropped.warped_roots: #1, 4684(82%)
minecraft.used.mangrove_propagule: #1, 6826(82%)
minecraft.dropped.stick: #1, 37297(40%)
minecraft.dropped.mangrove_roots: #1, 42987(99%)
minecraft.dropped.nether_wart_block: #1, 4510(66%)
minecraft.dropped.cookie: #1, 1504(74%)
minecraft.used.spruce_sapling: #1, 8596(42%)
minecraft.crafted.mud_brick_slab: #1, 1620(73%)
minecraft.used.warped_fungus: #1, 3957(59%)
minecraft.used.crimson_fungus: #1, 3719(67%)
minecraft.picked_up.mangrove_roots: #1, 19643(49%)
minecraft.used.dark_oak_wood: #1, 3487(54%)
minecraft.dropped.shroomlight: #1, 1036(82%)
minecraft.mined.red_concrete: #1, 13059(39%)
minecraft.mined.crimson_stem: #1, 11689(40%)
minecraft.used.red_concrete: #1, 10710(41%)
minecraft.picked_up.mangrove_log: #1, 9913(42%)
minecraft.picked_up.mangrove_propagule: #1, 5007(50%)
minecraft.picked_up.warped_roots: #1, 12664(39%)
minecraft.mined.spruce_trapdoor: #1, 2109(32%)
minecraft.used.dark_oak_boat: #1, 271(43%)
minecraft.picked_up.crimson_fungus: #1, 4050(45%)
minecraft.crafted.dark_oak_wood: #1, 3732(49%)
minecraft.used.bone_meal: #1, 106471(32%)
minecraft.mined.coarse_dirt: #1, 6179(35%)
minecraft.used.campfire: #1, 1263(36%)
minecraft.used.red_concrete_powder: #1, 12617(42%)
minecraft.used.coarse_dirt: #1, 15527(32%)
minecraft.dropped.weeping_vines: #1, 401(48%)
minecraft.dropped.gunpowder: #2, 16914(32%)
minecraft.used.red_mushroom_block: #1, 3807(50%)
minecraft.mined.stripped_oak_wood: #1, 1085(46%)
minecraft.picked_up.stripped_oak_wood: #1, 1062(44%)
minecraft.picked_up.dark_oak_boat: #1, 258(38%)
minecraft.used.cherry_sapling: #1, 853(51%)
minecraft.picked_up.bone_meal: #2, 92132(30%)
minecraft.mined.stripped_dark_oak_wood: #1, 880(45%)
minecraft.dropped.oak_leaves: #1, 1168(35%)
minecraft.picked_up.red_mushroom: #1, 3005(33%)
minecraft.picked_up.crimson_stem: #1, 13262(32%)
minecraft.used.red_mushroom: #1, 3095(55%)
minecraft.used.spruce_trapdoor: #1, 7130(25%)
minecraft.dropped.totem_of_undying: #1, 370(33%)
minecraft.picked_up.coarse_dirt: #1, 5864(29%)
minecraft.crafted.coarse_dirt: #1, 13224(29%)
minecraft.crafted.mud_brick_stairs: #1, 432(73%)
minecraft.mined.warped_stem: #1, 9875(32%)
minecraft.crafted.red_concrete_powder: #1, 12800(37%)
minecraft.picked_up.acacia_sapling: #1, 2980(31%)
minecraft.mined.stripped_acacia_wood: #1, 299(67%)
minecraft.dropped.bamboo: #1, 10507(37%)
minecraft.picked_up.spruce_trapdoor: #1, 2083(23%)
minecraft.picked_up.warped_stem: #1, 9264(29%)
minecraft.mined.iron_door: #1, 186(32%)
minecraft.used.acacia_sapling: #1, 4213(48%)
minecraft.crafted.spruce_wood: #1, 6672(33%)
minecraft.crafted.spruce_trapdoor: #1, 5790(22%)
minecraft.mined.mushroom_stem: #1, 13120(27%)
minecraft.picked_up.crimson_roots: #2, 16892(31%)
minecraft.mined.stripped_spruce_wood: #1, 972(36%)
minecraft.picked_up.spruce_sapling: #1, 5846(22%)
minecraft.used.mud_bricks: #1, 3276(31%)
minecraft.used.stripped_oak_wood: #1, 946(40%)
minecraft.mined.spruce_leaves: #1, 24834(21%)
minecraft.used.birch_sapling: #2, 5944(30%)
minecraft.crafted.acacia_slab: #1, 978(35%)
minecraft.used.jungle_sapling: #1, 996(44%)
minecraft.picked_up.stripped_spruce_wood: #1, 961(34%)
minecraft.crafted.campfire: #1, 830(25%)
minecraft.mined.campfire: #1, 256(27%)
minecraft.crafted.mud_brick_wall: #1, 282(47%)
minecraft.mined.iron_trapdoor: #1, 305(30%)
minecraft.crafted.mud_bricks: #1, 5028(28%)
minecraft.crafted.emerald_block: #2, 33666(29%)
minecraft.used.spruce_leaves: #1, 10404(23%)
minecraft.dropped.red_mushroom_block: #1, 1329(54%)
minecraft.used.oak_slab: #1, 2034(21%)
minecraft.crafted.ladder: #1, 2214(19%)
minecraft.dropped.warped_fungus: #1, 204(44%)
minecraft.dropped.purpur_pillar: #1, 87(40%)
minecraft.dropped.string: #2, 17177(23%)
minecraft.crafted.chest_minecart: #1, 34(33%)
minecraft.dropped.spider_eye: #2, 31995(24%)
minecraft.used.glass_pane: #1, 1510(28%)
minecraft.used.music_disc_otherside: #1, 43(28%)
minecraft.picked_up.pumpkin_pie: #1, 2623(17%)
minecraft.used.podzol: #1, 966(24%)
minecraft.dropped.jungle_slab: #1, 187(68%)
minecraft.crafted.experience_bottle: #1, 27663(39%)
minecraft.mined.dark_oak_wood: #1, 218(39%)
minecraft.picked_up.jungle_sapling: #1, 951(27%)
minecraft.used.lime_dye: #1, 75(36%)
minecraft.used.spruce_wood: #2, 5553(30%)
minecraft.mined.cherry_sapling: #1, 154(49%)
minecraft.picked_up.stripped_acacia_wood: #1, 273(53%)
minecraft.dropped.grass_block: #1, 5587(20%)
minecraft.used.purpur_pillar: #1, 151(38%)
minecraft.dropped.spruce_trapdoor: #1, 253(23%)
minecraft.used.stripped_acacia_wood: #1, 171(55%)
minecraft.crafted.blackstone_stairs: #1, 164(41%)
minecraft.dropped.stripped_crimson_stem: #1, 59(61%)
minecraft.picked_up.carrot_on_a_stick: #1, 17(37%)
minecraft.dropped.mangrove_propagule: #1, 128(48%)
minecraft.mined.dead_bush: #1, 874(19%)
minecraft.picked_up.stripped_dark_oak_wood: #2, 879(32%)
minecraft.used.gray_banner: #1, 104(47%)
minecraft.crafted.packed_mud: #1, 6665(22%)
minecraft.mined.mangrove_wood: #1, 139(41%)
minecraft.picked_up.spruce_leaves: #2, 14939(20%)
minecraft.crafted.oak_slab: #2, 5446(19%)
minecraft.mined.red_mushroom_block: #2, 17072(23%)
minecraft.used.iron_shovel: #2, 16774(17%)
minecraft.dropped.warped_wart_block: #2, 2621(32%)
minecraft.crafted.smooth_red_sandstone_slab: #1, 306(63%)
minecraft.mined.weathered_cut_copper: #1, 21(44%)
minecraft.picked_up.weathered_cut_copper: #1, 21(36%)
minecraft.used.iron_bars: #1, 3558(17%)
minecraft.crafted.oak_stairs: #1, 852(18%)
minecraft.used.iron_trapdoor: #1, 1060(18%)
minecraft.crafted.glowstone: #2, 5794(22%)
minecraft.used.chest_minecart: #1, 34(26%)
minecraft.dropped.bamboo_planks: #1, 81(41%)
minecraft.crafted.purple_banner: #1, 36(51%)
minecraft.dropped.crimson_roots: #2, 1171(27%)
minecraft.dropped.sugar_cane: #2, 2146(22%)
minecraft.mined.warped_fungus: #2, 366(20%)
minecraft.used.waxed_weathered_copper: #1, 531(31%)
minecraft.crafted.smooth_red_sandstone_stairs: #1, 101(66%)
minecraft.dropped.arrow: #2, 26181(15%)
minecraft.dropped.carrot_on_a_stick: #1, 17(44%)
minecraft.dropped.muddy_mangrove_roots: #1, 461(49%)
minecraft.crafted.red_sandstone_stairs: #1, 104(97%)
minecraft.crafted.iron_bars: #1, 4343(16%)
minecraft.crafted.oak_fence_gate: #1, 199(20%)
minecraft.crafted.gray_banner: #1, 90(35%)
minecraft.picked_up.gray_concrete_powder: #2, 3507(24%)
minecraft.crafted.diorite_slab: #1, 286(35%)
minecraft.crafted.white_wool: #1, 10597(15%)
minecraft.picked_up.mushroom_stem: #2, 9833(21%)
minecraft.crafted.stone_stairs: #2, 2472(22%)
minecraft.used.waxed_exposed_copper: #1, 265(31%)
minecraft.crafted.cooked_porkchop: #2, 230(21%)
minecraft.picked_up.totem_of_undying: #2, 316(14%)
minecraft.crafted.exposed_cut_copper_stairs: #1, 32(73%)
minecraft.picked_up.music_disc_otherside: #2, 51(20%)
minecraft.dropped.warped_nylium: #1, 96(33%)
minecraft.mined.red_mushroom: #2, 385(27%)
minecraft.crafted.fire_charge: #1, 1812(90%)
