stat, rank, value, (percentage) 
minecraft.dropped.pink_shulker_box: #3, 1(10%)
minecraft.dropped.netherite_sword: #10, 1(2%)
minecraft.used.diamond_chestplate: #11, 2(2%)
minecraft.dropped.netherite_axe: #11, 1(1%)
minecraft.picked_up.netherite_axe: #12, 2(1%)
minecraft.used.netherite_axe: #13, 10(0%)
minecraft.picked_up.netherite_sword: #14, 1(0%)
minecraft.used.diamond_leggings: #15, 2(1%)
minecraft.picked_up.diamond_chestplate: #15, 2(1%)
minecraft.dropped.shield: #16, 2(2%)
minecraft.dropped.book: #16, 1(0%)
minecraft.used.cooked_chicken: #16, 3(0%)
minecraft.dropped.netherite_pickaxe: #18, 2(1%)
minecraft.custom.trigger_trapped_chest: #18, 1(0%)
minecraft.dropped.cooked_porkchop: #18, 32(0%)
minecraft.picked_up.cooked_chicken: #18, 3(0%)
minecraft.used.pink_shulker_box: #19, 3(0%)
minecraft.dropped.cyan_shulker_box: #20, 1(1%)
minecraft.dropped.diamond_boots: #20, 1(1%)
minecraft.dropped.ender_chest: #20, 1(0%)
minecraft.picked_up.pink_shulker_box: #20, 2(0%)
minecraft.dropped.feather: #20, 1(0%)
minecraft.dropped.ink_sac: #20, 2(0%)
minecraft.mined.pink_shulker_box: #21, 1(0%)
minecraft.picked_up.purpur_block: #21, 2(0%)
minecraft.picked_up.netherite_pickaxe: #22, 2(0%)
minecraft.dropped.firework_rocket: #23, 252(0%)
minecraft.dropped.iron_nugget: #23, 33(0%)
minecraft.dropped.diamond_leggings: #24, 1(0%)
minecraft.used.totem_of_undying: #24, 1(0%)
minecraft.dropped.totem_of_undying: #24, 1(0%)
minecraft.picked_up.chorus_fruit: #24, 6(0%)
minecraft.picked_up.shield: #25, 2(1%)
minecraft.dropped.torch: #25, 59(0%)
minecraft.dropped.diamond_shovel: #25, 1(1%)
minecraft.picked_up.iron_nugget: #25, 54(0%)
minecraft.dropped.elytra: #26, 3(1%)
minecraft.custom.damage_absorbed: #26, 80(0%)
minecraft.dropped.bow: #26, 3(0%)
minecraft.dropped.diamond_axe: #27, 1(1%)
minecraft.used.carved_pumpkin: #27, 2(0%)
minecraft.custom.tune_noteblock: #27, 22(0%)
minecraft.picked_up.orange_shulker_box: #27, 1(0%)
minecraft.used.orange_shulker_box: #27, 1(0%)
minecraft.killed_by.ravager: #28, 3(0%)
minecraft.dropped.arrow: #28, 2(0%)
minecraft.dropped.diamond_sword: #29, 1(1%)
minecraft.dropped.compass: #29, 2(0%)
minecraft.picked_up.cooked_porkchop: #29, 36(0%)
minecraft.picked_up.ink_sac: #29, 2(0%)
minecraft.picked_up.feather: #29, 1(0%)
minecraft.picked_up.diamond_sword: #30, 4(0%)
minecraft.dropped.carved_pumpkin: #30, 4(0%)
minecraft.picked_up.bow: #30, 3(0%)
minecraft.mined.cyan_shulker_box: #30, 1(0%)
minecraft.picked_up.book: #30, 1(0%)
minecraft.dropped.stone: #30, 1(0%)
minecraft.picked_up.diamond_leggings: #31, 3(0%)
minecraft.killed_by.player: #31, 4(0%)
minecraft.killed.player: #31, 2(0%)
minecraft.picked_up.firework_rocket: #31, 413(0%)
minecraft.used.elytra: #31, 1(0%)
minecraft.picked_up.compass: #31, 2(0%)
minecraft.dropped.player_head: #31, 3(0%)
minecraft.picked_up.gunpowder: #31, 4(0%)
minecraft.picked_up.elytra: #32, 5(0%)
minecraft.custom.player_kills: #32, 2(0%)
minecraft.picked_up.diamond_boots: #32, 1(0%)
minecraft.picked_up.diamond_shovel: #32, 1(0%)
minecraft.custom.minecart_one_cm: #32, 30188(0%)
minecraft.picked_up.cyan_shulker_box: #32, 2(0%)
minecraft.picked_up.sweet_berries: #32, 6(0%)
minecraft.used.bow: #32, 5(0%)
minecraft.dropped.diamond_pickaxe: #33, 1(0%)
minecraft.picked_up.diamond_axe: #33, 1(0%)
minecraft.picked_up.carved_pumpkin: #33, 18(0%)
minecraft.picked_up.torch: #33, 59(0%)
minecraft.used.cyan_shulker_box: #33, 1(0%)
minecraft.picked_up.ender_chest: #33, 1(0%)
minecraft.picked_up.stone: #33, 1(0%)
minecraft.picked_up.golden_carrot: #34, 45(0%)
minecraft.dropped.ender_pearl: #34, 1(0%)
minecraft.dropped.golden_carrot: #35, 1(0%)
minecraft.picked_up.ender_pearl: #35, 17(0%)
minecraft.picked_up.arrow: #35, 2(0%)
minecraft.picked_up.filled_map: #35, 2(0%)
minecraft.used.diamond_sword: #35, 14(0%)
minecraft.custom.deaths: #36, 7(0%)
minecraft.used.cooked_porkchop: #36, 1(0%)
minecraft.custom.drop: #37, 54(0%)
minecraft.custom.time_since_rest: #37, 25835(0%)
minecraft.custom.interact_with_anvil: #37, 1(0%)
minecraft.picked_up.diamond_pickaxe: #38, 1(0%)
minecraft.custom.open_barrel: #38, 23(0%)
minecraft.picked_up.player_head: #38, 3(0%)
minecraft.custom.open_enderchest: #38, 3(0%)
minecraft.custom.damage_dealt: #38, 547(0%)
minecraft.custom.damage_taken: #39, 2773(0%)
minecraft.used.firework_rocket: #39, 85(0%)
minecraft.custom.walk_one_cm: #40, 487387(0%)
minecraft.custom.open_chest: #40, 31(0%)
minecraft.custom.crouch_one_cm: #41, 25893(0%)
minecraft.custom.climb_one_cm: #42, 2728(0%)
minecraft.used.golden_carrot: #42, 1(0%)
minecraft.custom.open_shulker_box: #42, 17(0%)
minecraft.custom.jump: #43, 737(0%)
minecraft.custom.swim_one_cm: #43, 923(0%)
minecraft.custom.fall_one_cm: #44, 16820(0%)
minecraft.custom.sprint_one_cm: #44, 155293(0%)
minecraft.custom.aviate_one_cm: #44, 899282(0%)
minecraft.custom.time_since_death: #54, 25785(0%)
minecraft.custom.sneak_time: #55, 15058(0%)
minecraft.custom.walk_under_water_one_cm: #58, 4096(0%)
minecraft.custom.play_time: #60, 143180(0%)
minecraft.custom.total_world_time: #60, 143180(0%)
minecraft.custom.walk_on_water_one_cm: #61, 1167(0%)
minecraft.custom.fly_one_cm: #62, 122326(0%)
minecraft.custom.leave_game: #66, 1(0%)
