stat, rank, value, (percentage) 
minecraft.crafted.deepslate_tiles: #1, 7588(35%)
minecraft.crafted.bamboo_planks: #1, 6596(46%)
minecraft.crafted.warped_stairs: #1, 2384(31%)
minecraft.dropped.red_tulip: #1, 72(65%)
minecraft.crafted.polished_deepslate: #1, 23700(24%)
minecraft.crafted.polished_deepslate_slab: #1, 5670(33%)
minecraft.used.warped_stairs: #1, 2291(32%)
minecraft.custom.pig_one_cm: #1, 764004(33%)
minecraft.crafted.deepslate_tile_stairs: #2, 604(30%)
minecraft.crafted.polished_blackstone_bricks: #1, 2836(34%)
minecraft.crafted.oxidized_cut_copper_stairs: #1, 321(31%)
minecraft.picked_up.cookie: #1, 304(19%)
minecraft.crafted.deepslate_bricks: #2, 9704(24%)
minecraft.mined.deepslate_brick_slab: #1, 579(23%)
minecraft.mined.copper_block: #1, 748(17%)
minecraft.mined.oxidized_cut_copper_stairs: #1, 215(24%)
minecraft.picked_up.oxidized_cut_copper_stairs: #1, 208(19%)
minecraft.dropped.orange_tulip: #1, 88(94%)
minecraft.mined.warped_trapdoor: #1, 161(18%)
minecraft.used.warped_button: #2, 166(21%)
minecraft.used.polished_deepslate_slab: #1, 5431(14%)
minecraft.used.polished_deepslate: #2, 10609(15%)
minecraft.crafted.polished_blackstone: #2, 6332(18%)
minecraft.dropped.pink_tulip: #1, 43(75%)
minecraft.used.warped_trapdoor: #1, 602(15%)
minecraft.mined.blackstone: #2, 22061(15%)
minecraft.mined.warped_stem: #2, 4930(16%)
minecraft.picked_up.warped_stem: #2, 4901(15%)
minecraft.crafted.deepslate_brick_stairs: #2, 323(16%)
minecraft.crafted.bamboo_block: #2, 3298(19%)
minecraft.crafted.smooth_stone_slab: #2, 2016(15%)
minecraft.used.carrot_on_a_stick: #1, 13(42%)
minecraft.crafted.deepslate_brick_wall: #2, 150(23%)
minecraft.crafted.deepslate_tile_wall: #2, 216(21%)
minecraft.dropped.white_tulip: #1, 23(79%)
minecraft.crafted.warped_button: #2, 197(18%)
minecraft.mined.warped_stairs: #2, 182(19%)
minecraft.crafted.prismarine_brick_slab: #1, 96(31%)
minecraft.killed_by.vindicator: #1, 4(29%)
minecraft.dropped.green_concrete: #2, 64(37%)
