stat, rank, value, (percentage) 
minecraft.dropped.mangrove_log: #1, 175(38%)
minecraft.picked_up.magenta_bed: #1, 28(82%)
minecraft.mined.magenta_bed: #1, 27(84%)
minecraft.dropped.mossy_cobblestone_slab: #1, 63(35%)
minecraft.dropped.birch_wood: #1, 54(33%)
minecraft.crafted.red_sandstone_wall: #1, 60(26%)
minecraft.dropped.rose_bush: #2, 173(18%)
minecraft.used.sunflower: #2, 30(11%)
minecraft.used.carrot_on_a_stick: #2, 12(39%)
minecraft.used.magenta_bed: #2, 28(38%)
minecraft.picked_up.stripped_acacia_wood: #2, 99(19%)
minecraft.picked_up.cooked_cod: #3, 86(14%)
minecraft.crafted.stripped_acacia_wood: #2, 45(38%)
minecraft.used.cooked_cod: #3, 118(12%)
minecraft.dropped.diorite_slab: #2, 8(24%)
minecraft.crafted.green_bed: #2, 4(8%)
minecraft.mined.powder_snow: #3, 118(7%)
minecraft.picked_up.mossy_cobblestone_slab: #3, 67(10%)
minecraft.dropped.magenta_terracotta: #2, 8(24%)
minecraft.dropped.cookie: #2, 96(5%)
minecraft.used.crimson_button: #3, 8(17%)
minecraft.dropped.cut_copper_stairs: #3, 10(19%)
minecraft.picked_up.cookie: #4, 135(9%)
minecraft.dropped.crimson_trapdoor: #3, 10(12%)
minecraft.mined.dark_oak_wood: #3, 36(6%)
minecraft.crafted.cooked_cod: #3, 64(7%)
minecraft.mined.potted_spruce_sapling: #3, 1(14%)
minecraft.dropped.goat_horn: #4, 7(7%)
minecraft.mined.potted_dandelion: #3, 1(10%)
minecraft.mined.potted_flowering_azalea_bush: #3, 1(4%)
minecraft.used.dead_tube_coral: #3, 1(8%)
minecraft.dropped.spore_blossom: #3, 1(3%)
minecraft.crafted.magenta_bed: #3, 1(2%)
minecraft.dropped.waxed_copper_block: #3, 1(3%)
minecraft.used.cyan_glazed_terracotta: #3, 1(1%)
minecraft.dropped.spruce_wood: #4, 86(11%)
minecraft.dropped.mangrove_planks: #4, 18(6%)
minecraft.used.cod: #4, 5(7%)
minecraft.picked_up.dark_oak_wood: #5, 135(11%)
minecraft.used.white_candle: #4, 8(6%)
minecraft.dropped.sea_pickle: #4, 64(6%)
minecraft.used.green_bed: #4, 33(3%)
minecraft.dropped.green_terracotta: #4, 64(4%)
minecraft.dropped.lectern: #4, 3(5%)
