stat, rank, value, (percentage) 
minecraft.picked_up.warped_button: #1, 225(30%)
minecraft.dropped.mangrove_fence: #1, 12(60%)
minecraft.picked_up.red_glazed_terracotta: #1, 177(24%)
minecraft.picked_up.blackstone_stairs: #1, 91(28%)
minecraft.picked_up.dragon_head: #2, 22(12%)
minecraft.picked_up.carrot_on_a_stick: #2, 8(17%)
minecraft.crafted.elytra: #1, 2(100%)
minecraft.used.golden_chestplate: #2, 1(14%)
minecraft.dropped.mangrove_slab: #2, 18(7%)
minecraft.picked_up.music_disc_blocks: #3, 13(9%)
minecraft.picked_up.dark_oak_pressure_plate: #2, 6(4%)
minecraft.dropped.mangrove_sign: #3, 2(14%)
minecraft.dropped.lily_of_the_valley: #3, 8(9%)
minecraft.mined.dark_oak_pressure_plate: #3, 2(15%)
minecraft.killed_by.pillager: #3, 1(14%)
minecraft.mined.dark_oak_slab: #4, 186(6%)
minecraft.picked_up.pink_candle: #3, 9(8%)
minecraft.dropped.carrot_on_a_stick: #3, 3(8%)
minecraft.mined.mangrove_slab: #4, 77(7%)
minecraft.picked_up.sculk_sensor: #4, 261(5%)
minecraft.mined.mangrove_planks: #4, 47(7%)
minecraft.picked_up.magenta_bed: #3, 1(3%)
minecraft.mined.magenta_bed: #3, 1(3%)
minecraft.used.dark_oak_pressure_plate: #4, 7(10%)
minecraft.killed_by.phantom: #4, 1(8%)
minecraft.dropped.music_disc_blocks: #4, 2(4%)
minecraft.picked_up.warped_stairs: #5, 92(7%)
minecraft.mined.red_glazed_terracotta: #4, 7(4%)
minecraft.crafted.lime_bed: #4, 1(2%)
minecraft.used.magenta_bed: #4, 1(1%)
minecraft.crafted.air: #4, 0(0%)
minecraft.picked_up.dark_oak_planks: #6, 1016(5%)
minecraft.used.beef: #5, 4(6%)
minecraft.used.porkchop: #5, 4(5%)
minecraft.picked_up.goat_horn: #6, 14(5%)
minecraft.picked_up.lingering_potion: #5, 1(5%)
minecraft.picked_up.lime_bed: #5, 6(1%)
minecraft.mined.dark_oak_sign: #6, 3(4%)
minecraft.picked_up.cooked_cod: #6, 24(4%)
minecraft.used.cookie: #6, 21(4%)
minecraft.dropped.jukebox: #6, 1(4%)
minecraft.used.lingering_potion: #6, 1(2%)
minecraft.used.music_disc_13: #7, 16(6%)
minecraft.picked_up.mangrove_slab: #7, 91(5%)
minecraft.mined.lime_bed: #6, 4(1%)
minecraft.used.mangrove_slab: #7, 177(5%)
minecraft.picked_up.dark_oak_slab: #7, 360(4%)
minecraft.dropped.red_stained_glass_pane: #6, 1(0%)
minecraft.dropped.cooked_cod: #7, 9(5%)
minecraft.picked_up.mangrove_fence: #7, 13(5%)
minecraft.dropped.smooth_quartz_slab: #7, 30(6%)
minecraft.mined.powder_snow: #8, 96(5%)
minecraft.picked_up.lime_wool: #7, 135(3%)
minecraft.dropped.oak_trapdoor: #7, 7(3%)
minecraft.used.music_disc_blocks: #7, 2(3%)
minecraft.used.red_glazed_terracotta: #7, 11(2%)
minecraft.dropped.dark_oak_trapdoor: #7, 14(1%)
minecraft.dropped.black_dye: #7, 16(1%)
minecraft.used.lime_bed: #7, 4(1%)
minecraft.picked_up.smooth_quartz_stairs: #8, 72(4%)
minecraft.picked_up.smooth_quartz_slab: #8, 155(4%)
minecraft.picked_up.sea_lantern: #8, 286(4%)
minecraft.used.music_disc_cat: #8, 11(5%)
minecraft.picked_up.netherite_ingot: #8, 5(4%)
minecraft.picked_up.jukebox: #8, 17(3%)
minecraft.picked_up.music_disc_otherside: #8, 7(3%)
minecraft.picked_up.mangrove_planks: #8, 44(3%)
minecraft.picked_up.brick_slab: #8, 42(2%)
minecraft.used.red_mushroom_block: #8, 90(1%)
minecraft.picked_up.polished_deepslate_stairs: #9, 210(5%)
minecraft.picked_up.iron_pickaxe: #9, 7(5%)
minecraft.mined.spruce_sign: #9, 5(5%)
minecraft.picked_up.iron_shovel: #9, 8(4%)
minecraft.picked_up.powder_snow_bucket: #8, 3(0%)
