stat, rank, value, (percentage) 
minecraft.used.terracotta: #1, 29768(77%)
minecraft.picked_up.green_concrete_powder: #1, 16328(81%)
minecraft.used.green_concrete_powder: #1, 32376(70%)
minecraft.mined.green_concrete: #1, 13069(68%)
minecraft.used.green_concrete: #1, 12239(74%)
minecraft.used.acacia_planks: #1, 15025(93%)
minecraft.picked_up.cyan_concrete_powder: #1, 10205(88%)
minecraft.picked_up.purpur_stairs: #1, 965(68%)
minecraft.picked_up.green_shulker_box: #1, 1366(46%)
minecraft.mined.green_concrete_powder: #1, 1589(68%)
minecraft.used.green_shulker_box: #1, 1370(46%)
minecraft.crafted.green_concrete_powder: #1, 31976(67%)
minecraft.mined.oak_wall_sign: #1, 440(46%)
minecraft.used.moss_block: #1, 82373(44%)
minecraft.mined.green_shulker_box: #1, 1358(47%)
minecraft.picked_up.acacia_planks: #1, 1705(59%)
minecraft.picked_up.green_concrete: #1, 6034(49%)
minecraft.mined.acacia_planks: #1, 1474(81%)
minecraft.picked_up.yellow_concrete_powder: #1, 5561(75%)
minecraft.picked_up.torchflower_seeds: #1, 1766(77%)
minecraft.dropped.white_terracotta: #1, 1134(63%)
minecraft.used.prismarine_bricks: #1, 5897(54%)
minecraft.used.cyan_concrete: #1, 8173(54%)
minecraft.mined.cyan_concrete: #1, 9116(52%)
minecraft.mined.purpur_stairs: #1, 551(54%)
minecraft.picked_up.pitcher_pod: #1, 1710(71%)
minecraft.picked_up.pink_wool: #1, 3263(65%)
minecraft.used.beehive: #1, 1563(57%)
minecraft.picked_up.green_carpet: #1, 11870(51%)
minecraft.mined.light_gray_terracotta: #1, 6243(40%)
minecraft.picked_up.light_gray_terracotta: #1, 6784(38%)
minecraft.killed.cod: #1, 568(54%)
minecraft.used.green_terracotta: #1, 22978(41%)
minecraft.crafted.green_terracotta: #1, 23480(46%)
minecraft.mined.mossy_cobblestone: #1, 2648(36%)
minecraft.picked_up.white_terracotta: #2, 14068(36%)
minecraft.mined.orange_concrete: #1, 6226(44%)
minecraft.mined.gray_wool: #1, 2767(42%)
minecraft.used.oak_sign: #1, 1126(31%)
minecraft.crafted.green_dye: #1, 9630(40%)
minecraft.used.orange_shulker_box: #1, 1462(34%)
minecraft.picked_up.orange_shulker_box: #1, 1442(34%)
minecraft.crafted.beehive: #1, 1281(48%)
minecraft.used.dragon_egg: #1, 23047(89%)
minecraft.mined.orange_shulker_box: #1, 1439(34%)
minecraft.used.blue_terracotta: #1, 12012(63%)
minecraft.picked_up.orange_concrete_powder: #1, 6252(79%)
minecraft.picked_up.podzol: #1, 7172(32%)
minecraft.mined.yellow_concrete: #1, 5563(35%)
minecraft.picked_up.purpur_pillar: #1, 720(45%)
minecraft.mined.purpur_pillar: #1, 729(45%)
minecraft.picked_up.red_sand: #1, 18669(42%)
minecraft.picked_up.purpur_block: #1, 1780(40%)
minecraft.crafted.blue_terracotta: #1, 11752(56%)
minecraft.used.orange_concrete: #1, 6039(52%)
minecraft.mined.red_sand: #1, 17805(41%)
minecraft.picked_up.orange_terracotta: #1, 23327(34%)
minecraft.mined.purpur_block: #1, 1806(40%)
minecraft.mined.jungle_wall_sign: #1, 124(79%)
minecraft.used.light_blue_terracotta: #1, 8453(53%)
minecraft.dropped.raw_gold: #1, 475(49%)
minecraft.picked_up.oak_sign: #1, 612(25%)
minecraft.used.purpur_block: #1, 561(45%)
minecraft.used.loom: #1, 296(35%)
minecraft.crafted.light_blue_terracotta: #1, 8296(40%)
minecraft.used.cooked_cod: #1, 360(38%)
minecraft.picked_up.gray_concrete_powder: #1, 5388(37%)
minecraft.used.granite: #1, 6162(24%)
minecraft.used.yellow_concrete: #1, 4956(35%)
minecraft.used.mangrove_wood: #1, 2873(39%)
minecraft.crafted.mangrove_wood: #1, 3411(39%)
minecraft.dropped.crimson_nylium: #1, 384(43%)
minecraft.picked_up.yellow_carpet: #1, 11456(46%)
minecraft.mined.orange_terracotta: #1, 19139(30%)
minecraft.picked_up.terracotta: #1, 57201(24%)
minecraft.picked_up.mossy_cobblestone: #1, 2788(27%)
minecraft.crafted.acacia_planks: #1, 18136(27%)
minecraft.used.orange_stained_glass_pane: #1, 568(47%)
minecraft.picked_up.fern: #1, 4114(33%)
minecraft.mined.terracotta: #1, 53666(23%)
minecraft.picked_up.gray_wool: #1, 3210(27%)
minecraft.crafted.oak_sign: #1, 684(23%)
minecraft.mined.fern: #1, 3249(27%)
minecraft.used.mangrove_planks: #1, 1207(30%)
minecraft.used.cyan_concrete_powder: #1, 8981(31%)
minecraft.used.jungle_wood: #1, 764(47%)
minecraft.used.orange_concrete_powder: #1, 6090(40%)
minecraft.picked_up.jungle_sign: #1, 179(63%)
minecraft.mined.small_dripleaf: #2, 139(33%)
minecraft.mined.pink_concrete: #1, 2686(39%)
minecraft.crafted.yellow_wool: #1, 1143(44%)
minecraft.used.yellow_concrete_powder: #1, 5388(28%)
minecraft.used.jungle_sign: #1, 190(54%)
minecraft.dropped.pink_wool: #1, 189(84%)
