stat, rank, value, (percentage) 
minecraft.crafted.wooden_shovel: #2, 764(29%)
minecraft.used.warped_planks: #2, 5512(19%)
minecraft.dropped.warped_button: #1, 64(24%)
minecraft.crafted.dark_prismarine_slab: #1, 198(18%)
minecraft.crafted.magenta_glazed_terracotta: #2, 417(28%)
minecraft.dropped.honey_block: #2, 256(21%)
minecraft.crafted.dropper: #3, 1071(11%)
minecraft.used.redstone_torch: #3, 1453(9%)
minecraft.mined.dark_prismarine: #3, 162(10%)
minecraft.crafted.warped_button: #3, 128(12%)
minecraft.used.dropper: #4, 960(10%)
minecraft.dropped.cut_copper_slab: #2, 2(8%)
minecraft.crafted.furnace: #4, 275(7%)
minecraft.picked_up.emerald_ore: #4, 76(9%)
minecraft.used.furnace: #4, 281(6%)
minecraft.picked_up.warped_button: #4, 65(9%)
minecraft.custom.fish_caught: #3, 32(6%)
minecraft.used.sticky_piston: #4, 1003(6%)
minecraft.picked_up.blue_bed: #4, 38(8%)
minecraft.used.magenta_glazed_terracotta: #3, 489(5%)
minecraft.mined.blue_bed: #4, 37(7%)
minecraft.crafted.sticky_piston: #4, 805(6%)
minecraft.mined.emerald_ore: #5, 83(8%)
minecraft.used.blue_bed: #4, 37(7%)
minecraft.crafted.quartz_slab: #4, 276(6%)
minecraft.crafted.comparator: #5, 960(8%)
minecraft.crafted.netherite_sword: #4, 1(7%)
minecraft.dropped.deepslate_tile_wall: #4, 7(9%)
minecraft.custom.interact_with_campfire: #4, 21(5%)
minecraft.used.observer: #5, 1518(5%)
minecraft.used.fire_charge: #4, 1(5%)
minecraft.used.comparator: #6, 942(8%)
minecraft.dropped.quartz_slab: #5, 32(12%)
minecraft.mined.crimson_planks: #5, 101(3%)
minecraft.used.tadpole_bucket: #5, 8(7%)
minecraft.picked_up.honey_block: #6, 257(7%)
minecraft.crafted.observer: #6, 1525(6%)
minecraft.crafted.slime_ball: #5, 873(3%)
minecraft.used.redstone: #6, 4627(5%)
minecraft.dropped.wooden_axe: #5, 2(3%)
minecraft.mined.cyan_concrete_powder: #5, 14(3%)
minecraft.used.warped_stem: #6, 2277(6%)
minecraft.crafted.redstone_torch: #7, 6366(8%)
minecraft.crafted.warped_planks: #6, 5620(4%)
minecraft.crafted.crimson_planks: #6, 4112(4%)
minecraft.dropped.spruce_log: #7, 695(8%)
minecraft.used.dark_prismarine: #6, 554(5%)
minecraft.crafted.netherite_axe: #6, 1(6%)
minecraft.used.dark_prismarine_slab: #6, 241(4%)
minecraft.used.warped_button: #6, 27(3%)
minecraft.crafted.magenta_terracotta: #6, 640(4%)
minecraft.dropped.redstone_lamp: #6, 11(6%)
minecraft.picked_up.magenta_glazed_terracotta: #6, 52(3%)
minecraft.used.experience_bottle: #6, 780(2%)
minecraft.picked_up.tadpole_bucket: #6, 4(6%)
minecraft.crafted.blue_bed: #6, 1(4%)
minecraft.mined.magenta_glazed_terracotta: #6, 21(3%)
minecraft.crafted.cyan_terracotta: #7, 3584(6%)
minecraft.picked_up.oak_door: #7, 10(6%)
minecraft.used.oak_door: #7, 10(6%)
minecraft.mined.dark_prismarine_slab: #6, 42(1%)
minecraft.used.repeater: #7, 860(4%)
minecraft.crafted.blue_ice: #6, 64(1%)
minecraft.dropped.stripped_mangrove_log: #6, 1(1%)
minecraft.custom.strider_one_cm: #6, 22605(1%)
minecraft.used.cyan_terracotta: #8, 4274(6%)
minecraft.used.stone_button: #7, 480(3%)
minecraft.crafted.warped_fungus_on_a_stick: #7, 1(6%)
minecraft.mined.quartz_slab: #7, 59(3%)
minecraft.crafted.repeater: #8, 896(5%)
minecraft.dropped.mangrove_planks: #7, 8(3%)
minecraft.crafted.redstone: #8, 17379(5%)
minecraft.used.yellow_stained_glass: #7, 183(1%)
minecraft.crafted.polished_deepslate_wall: #7, 32(1%)
minecraft.picked_up.dark_prismarine_slab: #7, 44(1%)
minecraft.picked_up.cobblestone: #8, 46913(3%)
minecraft.mined.oak_door: #8, 6(6%)
minecraft.crafted.dark_prismarine: #7, 384(2%)
minecraft.killed.wither_skeleton: #7, 90(0%)
minecraft.picked_up.dark_prismarine: #8, 162(3%)
minecraft.used.emerald_ore: #8, 13(6%)
minecraft.picked_up.crimson_planks: #8, 140(3%)
minecraft.picked_up.axolotl_bucket: #8, 3(2%)
minecraft.used.mangrove_planks: #8, 70(2%)
minecraft.dropped.emerald_ore: #8, 2(3%)
minecraft.mined.blue_ice: #8, 69(1%)
minecraft.picked_up.cyan_concrete_powder: #8, 21(0%)
minecraft.mined.wither_skeleton_skull: #8, 1(0%)
minecraft.used.compass: #8, 1(0%)
minecraft.crafted.piston: #9, 801(3%)
minecraft.used.honey_block: #9, 235(2%)
minecraft.crafted.stone_button: #9, 526(2%)
minecraft.used.quartz_slab: #9, 264(2%)
minecraft.dropped.oak_trapdoor: #9, 7(3%)
minecraft.used.quartz_stairs: #9, 75(2%)
minecraft.dropped.coal_block: #9, 10(3%)
minecraft.crafted.granite_slab: #9, 48(2%)
minecraft.picked_up.quartz_block: #9, 324(1%)
minecraft.used.cod_bucket: #9, 1(2%)
minecraft.picked_up.blue_ice: #9, 67(1%)
minecraft.dropped.redstone_block: #10, 85(4%)
minecraft.picked_up.cookie: #10, 45(3%)
minecraft.crafted.netherite_pickaxe: #10, 2(5%)
minecraft.mined.redstone_lamp: #10, 25(3%)
minecraft.used.diamond_helmet: #10, 3(3%)
minecraft.picked_up.packed_ice: #10, 3375(1%)
minecraft.mined.packed_ice: #10, 3406(1%)
minecraft.mined.warped_planks: #10, 141(1%)
minecraft.used.quartz_pillar: #10, 161(2%)
minecraft.crafted.wooden_axe: #10, 2(1%)
minecraft.mined.crimson_slab: #10, 29(1%)
minecraft.used.ice: #10, 378(1%)
minecraft.dropped.red_mushroom_block: #10, 42(2%)
minecraft.dropped.lilac: #10, 6(1%)
minecraft.dropped.dark_oak_slab: #10, 8(0%)
minecraft.mined.stone: #11, 150983(3%)
minecraft.picked_up.stripped_mangrove_log: #10, 10(0%)
minecraft.mined.stripped_mangrove_log: #10, 9(0%)
minecraft.used.lapis_block: #10, 4(0%)
minecraft.used.stripped_mangrove_log: #10, 4(0%)
minecraft.used.dark_oak_fence: #11, 299(2%)
minecraft.used.slime_block: #11, 295(1%)
minecraft.mined.deepslate_tile_wall: #11, 11(1%)
minecraft.crafted.quartz_pillar: #11, 204(1%)
minecraft.mined.nether_bricks: #11, 157(1%)
minecraft.used.crimson_slab: #11, 225(1%)
minecraft.dropped.nether_gold_ore: #11, 3(1%)
minecraft.killed.wither: #11, 1(0%)
minecraft.used.rotten_flesh: #11, 5(0%)
minecraft.used.stripped_warped_stem: #11, 15(0%)
minecraft.used.netherite_sword: #11, 285(0%)
minecraft.crafted.oak_door: #12, 6(4%)
minecraft.mined.dark_oak_door: #12, 3(3%)
minecraft.killed.phantom: #12, 16(2%)
minecraft.used.cooked_porkchop: #12, 341(1%)
minecraft.dropped.oak_fence: #12, 5(2%)
minecraft.picked_up.polished_deepslate_wall: #12, 39(1%)
minecraft.picked_up.wooden_axe: #12, 2(1%)
minecraft.mined.cyan_terracotta: #12, 114(1%)
minecraft.used.packed_ice: #12, 914(1%)
minecraft.dropped.fishing_rod: #12, 1(1%)
minecraft.used.cornflower: #12, 3(1%)
minecraft.crafted.yellow_stained_glass: #12, 184(1%)
minecraft.picked_up.nether_bricks: #12, 144(1%)
minecraft.used.mangrove_log: #12, 91(1%)
minecraft.used.prismarine: #12, 71(1%)
minecraft.picked_up.crimson_slab: #12, 30(1%)
minecraft.dropped.mutton: #12, 2(0%)
minecraft.crafted.beacon: #12, 1(0%)
minecraft.used.netherite_axe: #12, 898(0%)
minecraft.mined.light_blue_stained_glass: #12, 2(0%)
minecraft.used.dark_oak_door: #13, 9(3%)
minecraft.crafted.dark_oak_fence: #13, 306(2%)
minecraft.mined.terracotta: #13, 3984(2%)
minecraft.custom.pig_one_cm: #13, 56738(2%)
minecraft.picked_up.cod: #13, 63(2%)
minecraft.mined.oxidized_copper: #13, 468(2%)
minecraft.picked_up.oxidized_copper: #13, 468(1%)
minecraft.picked_up.dark_oak_door: #13, 5(1%)
minecraft.picked_up.fishing_rod: #13, 2(2%)
minecraft.used.mangrove_slab: #13, 44(1%)
minecraft.used.crimson_planks: #13, 103(1%)
minecraft.broken.stone_pickaxe: #13, 1(1%)
minecraft.picked_up.mangrove_planks: #13, 16(1%)
minecraft.picked_up.stone_sword: #13, 6(1%)
minecraft.used.pearlescent_froglight: #13, 40(1%)
minecraft.mined.warped_button: #13, 1(1%)
minecraft.dropped.stone_sword: #13, 6(1%)
minecraft.used.granite_slab: #13, 34(1%)
minecraft.crafted.crimson_slab: #13, 204(1%)
minecraft.crafted.snow: #13, 126(0%)
minecraft.used.black_terracotta: #13, 60(0%)
minecraft.used.quartz_block: #13, 81(0%)
minecraft.crafted.cooked_chicken: #13, 5(0%)
minecraft.picked_up.granite_slab: #13, 3(0%)
minecraft.mined.magenta_shulker_box: #13, 3(0%)
minecraft.picked_up.cut_copper_slab: #13, 1(0%)
minecraft.picked_up.light_blue_stained_glass: #13, 2(0%)
minecraft.dropped.polished_deepslate_slab: #13, 1(0%)
minecraft.mined.yellow_stained_glass: #13, 1(0%)
minecraft.picked_up.fire_charge: #13, 1(0%)
minecraft.used.blue_ice: #13, 3(0%)
minecraft.used.raw_iron_block: #13, 1(0%)
minecraft.picked_up.stone: #14, 79578(3%)
minecraft.mined.dark_oak_planks: #14, 191(2%)
minecraft.picked_up.redstone_lamp: #14, 36(2%)
minecraft.picked_up.terracotta: #14, 3982(2%)
minecraft.used.copper_block: #14, 685(1%)
minecraft.picked_up.quartz_slab: #14, 51(2%)
minecraft.picked_up.warped_planks: #14, 122(1%)
minecraft.crafted.raw_iron_block: #14, 69(1%)
minecraft.dropped.oak_slab: #14, 5(1%)
minecraft.used.fishing_rod: #14, 36(1%)
minecraft.mined.mangrove_planks: #14, 8(1%)
minecraft.picked_up.honeycomb: #14, 63(1%)
minecraft.picked_up.deepslate_tile_wall: #14, 18(1%)
minecraft.picked_up.cooked_cod: #14, 5(1%)
minecraft.crafted.golden_boots: #14, 1(1%)
minecraft.picked_up.pufferfish: #14, 3(1%)
minecraft.picked_up.quartz_pillar: #14, 13(0%)
minecraft.mined.mangrove_trapdoor: #14, 7(0%)
minecraft.used.cooked_chicken: #14, 5(0%)
minecraft.mined.granite_slab: #14, 3(0%)
minecraft.used.black_stained_glass: #14, 211(0%)
minecraft.crafted.gold_nugget: #14, 55(0%)
minecraft.mined.red_concrete_powder: #14, 1(0%)
minecraft.dropped.ender_pearl: #15, 5250(1%)
minecraft.custom.enchant_item: #15, 39(2%)
minecraft.used.shield: #15, 78(2%)
minecraft.custom.inspect_dropper: #15, 361(1%)
minecraft.used.redstone_lamp: #15, 51(1%)
minecraft.custom.damage_blocked_by_shield: #15, 2913(1%)
minecraft.crafted.dark_oak_door: #15, 6(1%)
minecraft.used.polished_andesite_stairs: #15, 120(1%)
minecraft.mined.deepslate_tile_slab: #15, 19(1%)
minecraft.crafted.coal_block: #15, 200(1%)
minecraft.crafted.mangrove_slab: #15, 36(1%)
minecraft.dropped.dark_oak_log: #15, 62(1%)
minecraft.mined.mangrove_slab: #15, 8(1%)
minecraft.picked_up.mangrove_slab: #15, 11(1%)
minecraft.used.crimson_stem: #15, 191(0%)
minecraft.used.red_concrete: #15, 120(0%)
minecraft.crafted.gray_carpet: #15, 129(0%)
minecraft.used.axolotl_bucket: #15, 3(1%)
minecraft.used.ochre_froglight: #15, 49(1%)
minecraft.mined.infested_stone: #15, 1(0%)
minecraft.used.gray_carpet: #15, 134(0%)
minecraft.mined.ice: #15, 585(0%)
minecraft.dropped.oxeye_daisy: #15, 1(0%)
minecraft.picked_up.quartz_stairs: #15, 2(0%)
minecraft.used.wither_skeleton_skull: #15, 4(0%)
minecraft.used.azure_bluet: #15, 2(0%)
minecraft.used.magenta_shulker_box: #15, 3(0%)
minecraft.picked_up.magenta_shulker_box: #15, 3(0%)
minecraft.mined.stripped_warped_stem: #15, 16(0%)
minecraft.mined.quartz_block: #15, 9(0%)
minecraft.used.light_blue_stained_glass: #15, 2(0%)
minecraft.used.diamond_pickaxe: #16, 164784(2%)
minecraft.picked_up.iron_ore: #16, 461(2%)
minecraft.dropped.cobbled_deepslate: #16, 603(1%)
minecraft.used.iron_boots: #16, 1(1%)
minecraft.used.diamond_boots: #16, 2(1%)
minecraft.used.ender_chest: #16, 128(1%)
minecraft.picked_up.cyan_terracotta: #16, 114(1%)
minecraft.used.dark_oak_boat: #16, 4(1%)
minecraft.used.mangrove_trapdoor: #16, 19(1%)
minecraft.mined.light_blue_shulker_box: #16, 59(0%)
minecraft.crafted.pink_shulker_box: #16, 1(1%)
minecraft.used.light_blue_shulker_box: #16, 59(0%)
minecraft.used.nether_quartz_ore: #16, 61(0%)
minecraft.mined.quartz_stairs: #16, 2(0%)
minecraft.used.written_book: #16, 82(0%)
minecraft.picked_up.bricks: #16, 35(0%)
minecraft.used.music_disc_cat: #16, 1(0%)
minecraft.picked_up.mangrove_trapdoor: #16, 7(0%)
minecraft.used.prismarine_bricks: #16, 34(0%)
minecraft.crafted.cooked_porkchop: #16, 3(0%)
